U' L' D R2 F B'
U' L' D R2 B' F
U' L' D F R2 B'
U' L' D F B' R2
U' L' D B' R2 F
U' L' D B' F R2
U' L' B' D R2 F
U' L' B' D F R2
F2 U' F2 L' F B'
F2 U' F2 L' B' F
B' L R' F2 U' L2 F
B L U L2 D R2 F
B L U L2 D F R2
F2 L U R B' U2 B2
F2 L U B' R U2 B
B L U2 F2 U' L2 F
B' L F2 R' U' L2 F
U' L' R D R2 F B'
U' L' R D R2 B' F
B' L' R D R2 F B2
B' L' R D R2 B2 F
U' L' R D F R2 B'
U' L' R D F B' R2
B' L' R D F R2 B2
B' L' R D F B2 R2
U' L' R D B' R2 F
U' L' R D B' F R2
B' L' R D B2 R2 F
B' L' R D B2 F R2
U L' R D F B R2
U L' R D B R2 F
U L' R D B F R2
U' L' R B' D R2 F
U' L' R B' D F R2
U L' R B D R2 F
U L' R B D F R2
U' L' R' D R2 F B'
U' L' R' D R2 B' F
U' L' R' D F R2 B'
U' L' R' D F B' R2
U' L' R' D B' R2 F
U' L' R' D B' F R2
U L' R' D R2 F B
U L' R' D R2 B F
U' L' R' B' D R2 F
U' L' R' B' D F R2
U' L' R2 D R2 F B'
U' L' R2 D R2 B' F
U' L' R2 D F R2 B'
U' L' R2 D F B' R2
U' L' R2 D B' R2 F
U' L' R2 D B' F R2
U' L' R2 B' D R2 F
U' L' R2 B' D F R2
F2 L' U R U2 F B
F2 L' U R U2 B F
B' L' U R' F2 U' F'
U' L' U F2 U' F' B'
U' L' U F2 U' B' F'
F2 L' U' F2 L' F' B'
F2 L' U' F2 L' B' F'
U' L' D R B' R F
U' L' D R' F R' B'
U' L' D R2 D F B'
U' L' D R2 D B' F
U' L' D R2 D' F B'
U' L' D R2 D' B' F
U' L' D R2 D2 F B'
U' L' D R2 D2 B' F
U' L' D R2 F D B'
U' L' D R2 F D' B'
U' L' D R2 F D2 B'
U' L' D R2 F B' D
U' L' D R2 F B' D'
U' L' D R2 F B' D2
U' L' D R2 B' D F
U' L' D R2 B' D' F
U' L' D R2 B' D2 F
U' L' D R2 B' F D
U' L' D R2 B' F D'
U' L' D R2 B' F D2
B L' D R2 D2 F B2
B L' D R2 D2 B2 F
U' L' D F R B' R
U' L' D F R2 D B'
U' L' D F R2 D' B'
U' L' D F R2 D2 B'
U' L' D F R2 B' D
U' L' D F R2 B' D'
U' L' D F R2 B' D2
U L' D R B R F
U' L' D F B R2 B2
U' L' D F B' R2 D
U' L' D F B' R2 D'
U' L' D F B' R2 D2
U' L' D F' R2 F2 B'
U' L' D F' R2 B' F2
U' L' D F' B' R2 F2
U' L' D B R2 F B2
U' L' D B R2 B2 F
U' L' D B F R2 B2
U' L' D B' R' F R'
U' L' D B' R2 D F
U' L' D B' R2 D' F
U' L' D B' R2 D2 F
U' L' D B' R2 F D
U' L' D B' R2 F D'
U' L' D B' R2 F D2
B L' D F' R2 F2 B
B L' D F' R2 B F2
U' L' D B' F R2 D
U' L' D B' F R2 D'
U' L' D B' F R2 D2
U' L' D B' F' R2 F2
U L' D F R B R
U' L' D' F D2 R2 B'
U' L' D' F D2 B' R2
U' L' D' F B' D2 R2
B L' D' F B2 D2 R2
U' L' D' B' D2 R2 F
U' L' D' B' D2 F R2
U' L' D' B' F D2 R2
B L' D' B2 D2 R2 F
B L' D' B2 D2 F R2
B L' D' B2 F D2 R2
U' L' D2 F D' R2 B'
U' L' D2 F D' B' R2
B' L' F U R' F U'
B' L' F U F R' U'
U' L' F U F U' B'
U2 L' F U R F U'
B L' F U' L2 B' U
U L' F U F R U'
U' L' F B' U F U'
F' L' F' U' F2 L' B'
U' L' B' R D R2 F
U' L' B' R D F R2
U' L' B' R' D R2 F
U' L' B' R' D F R2
U' L' B' R2 D R2 F
U' L' B' R2 D F R2
U' L' B' U F2 U' F'
U' L' B' D R' F R'
U' L' B' D R2 D F
U' L' B' D R2 D' F
U' L' B' D R2 D2 F
U' L' B' D R2 F D
U' L' B' D R2 F D'
U' L' B' D R2 F D2
U' L' B' D F R2 D
U' L' B' D F R2 D'
U' L' B' D F R2 D2
U' L' B' D F' R2 F2
U' L' B' D' F D2 R2
U' L' B' D2 F D' R2
U' L' B' F U F U'
U' L' B2 D F B R2
U' L' B2 D B R2 F
U' L' B2 D B F R2
B2 L2 D L R2 F B'
B2 L2 D L R2 B' F
B2 L2 D L F R2 B'
B2 L2 D L F B' R2
B2 L2 D L B' R2 F
B2 L2 D L B' F R2
B2 L2 D R2 L F B'
B2 L2 D R2 L B' F
L' U R F2 U' F' B
L' U R F2 U' B F'
B' R L' D R2 F B2
B' R L' D R2 B2 F
B' R L' D F R2 B2
B' R L' D F B2 R2
U' R L' D R2 F B'
U' R L' D R2 B' F
U' R L' D F R2 B'
B' R L' D B2 R2 F
U' R L' D F B' R2
B' R L' D B2 F R2
U' R L' D B' R2 F
U' R L' D B' F R2
U' R L' B' D R2 F
U' R L' B' D F R2
U R L' D F B R2
U R L' D B R2 F
U R L' D B F R2
U R L' B D R2 F
U R L' B D F R2
R' U' L' D R2 F B'
R' U' L' D R2 B' F
R' U' L' D F R2 B'
R' U' L' D F B' R2
R' U' L' D B' R2 F
R' U' L' D B' F R2
R' U' L' B' D R2 F
R' U' L' B' D F R2
R2 U' L' D R2 F B'
R2 U' L' D R2 B' F
R2 U' L' D F R2 B'
R2 U' L' D F B' R2
R2 U' L' D B' R2 F
R2 U' L' D B' F R2
R U' L' D R2 F B'
R U' L' D R2 B' F
R U' L' D F R2 B'
R U' L' D F B' R2
R U' L' D B' R2 F
R U' L' D B' F R2
R2 U' L' B' D R2 F
R2 U' L' B' D F R2
R U' L' B' D R2 F
R U' L' B' D F R2
U R B L' D R2 F
U R B L' D F R2
B' R' L F2 U' L2 F
U' R' L' D R2 F B'
U' R' L' D R2 B' F
U' R' L' D F R2 B'
U' R' L' D F B' R2
U' R' L' D B' R2 F
U' R' L' D B' F R2
U' R' L' B' D R2 F
U' R' L' B' D F R2
U R' L' D R2 F B
U R' L' D R2 B F
B' R' U' L' D R2 F
B' R' U' L' D F R2
B' R' F2 U' F2 L' F
U' R2 L' D R2 F B'
U' R2 L' D R2 B' F
U' R2 L' D F R2 B'
U' R2 L' D F B' R2
U' R2 L' D B' R2 F
U' R2 L' D B' F R2
U' R2 L' B' D R2 F
U' R2 L' B' D F R2
U' D R2 D' L' F B'
U' D R2 D' L' B' F
F2 U D2 R U2 F' B
F2 U D2 R U2 B F'
F2 U F2 U2 L' F B'
F2 U F2 U2 L' B' F
F2 U' L' F D2 B' L
F2 U' L' F2 B' L' F'
F2 U' L' B' F2 L' F'
D U' R2 D' L' F B'
D U' R2 D' L' B' F
F2 U' F L' F B' L'
F2 U' F L' B' F L'
F2 U' F2 L' D F B'
F2 U' F2 L' D B' F
F2 U' F2 L' D' F B'
F2 U' F2 L' D' B' F
F2 U' F2 L' D2 F B'
F2 U' F2 L' D2 B' F
F2 U' F2 L' F D B'
F2 U' F2 L' F D' B'
F2 U' F2 L' F D2 B'
F2 U' F2 L' F B' D
F2 U' F2 L' F B' D'
F2 U' F2 L' F B' D2
F2 U' F2 L' B' D F
F2 U' F2 L' B' D' F
F2 U' F2 L' B' D2 F
F2 U' F2 L' B' F D
F2 U' F2 L' B' F D'
F2 U' F2 L' B' F D2
F2 U' F2 B L' F B'
F2 U' F2 B L' B' F
F2 U' F2 B' L' F B'
F2 U' F2 B' L' B' F
F2 U' F2 B2 L' F B'
F2 U' F2 B2 L' B' F
F2 U' B F2 L' F B'
F2 U' B F2 L' B' F
F2 U' B' F2 L' F B'
F2 U' B' F2 L' B' F
F2 U' B2 F2 L' F B'
F2 U' B2 F2 L' B' F
L' F U R F U' B
L' F U F R U' B
L' F U' L' U B' R'
L' F B' U R' F U'
L' F B' U F R' U'
L' F2 L U' L' F' B'
L' F2 L U' L' B' F'
L2 F2 L2 U' L' F B'
L2 F2 L2 U' L' B' F
L F2 L' U' L' F B'
L F2 L' U' L' B' F
R' F2 U' F2 L' F B'
R' F2 U' F2 L' B' F
R2 F2 U' F2 L' F B'
R2 F2 U' F2 L' B' F
L F2 U' L' B' L' F
R F2 U' F2 L' F B'
R F2 U' F2 L' B' F
F2 D2 U R U2 F' B
F2 D2 U R U2 B F'
U' B L' D R2 F B'
U' B L' D R2 B' F
U' B L' D F R2 B'
U' B L' D F B' R2
U' B L' D B' R2 F
U' B L' D B' F R2
U' B L' B' D R2 F
U' B L' B' D F R2
U' B' L' D R2 F B'
U' B' L' D R2 B' F
U' B' L' D F R2 B'
U' B' L' D F B' R2
U' B' L' D B' R2 F
U' B' L' D B' F R2
U' B' L' B' D R2 F
U' B' L' B' D F R2
L' B' R D R2 F B2
L' B' R D R2 B2 F
L' B' R D F R2 B2
L' B' R D F B2 R2
L' B' R D B2 R2 F
L' B' R D B2 F R2
L' B' U R' F2 U' F'
L B' U' R' F2 U' L2
L B' U' F2 R' U' L2
L' B' F U R' F U'
L' B' F U F R' U'
U' B2 L' D R2 F B'
U' B2 L' D R2 B' F
U' B2 L' D F R2 B'
U' B2 L' D F B' R2
U' B2 L' D B' R2 F
U' B2 L' D B' F R2
U' B2 L' B' D R2 F
U' B2 L' B' D F R2
