D' L2 R' U L' F'
R' U L D2 F' B2
R' U L D2 B2 F'
R' U D2 L F' B2
R' U D2 L B2 F'
R' U D2 F' L B2
D' R' L2 U L' F'
R' U' F2 U2 F L
D2 R' U L F' B2
D2 R' U L B2 F'
D2 R' U F' L B2
R' D' L2 U L' F'
R' D2 U L F' B2
R' D2 U L B2 F'
R' D2 U F' L B2
D2 L R' F' B2 D' R2
L' R U' F2 B U2 L2
D2 L R' B2 D' F' R2
D2 L R' B2 F' D' R2
L' R U' B F2 U2 L2
L2 R U' F2 B R U2
L2 R U' B F2 R U2
R' L D' L2 U L2 F'
R' L D' L2 U F' L2
R' L D2 F' B2 D' R2
R' L D2 B2 D' F' R2
R' L D2 B2 F' D' R2
R' L F' B2 D' R2 B
R' L B2 F' D' R2 B
L' R' U L2 D2 F' B2
R' L' U L2 D2 F' B2
R' L' U L2 D2 B2 F'
L' R' U L2 D2 B2 F'
L2 R' U L' D2 F' B2
L2 R' U L' D2 B2 F'
L' R' U F L2 F2 B'
L' R' U F L2 B' F2
R' L' U F L2 F2 B'
R' L' U F L2 B' F2
L2 R' U D2 L' F' B2
L2 R' U D2 L' B2 F'
L2 R' U D2 B2 L' F'
R' L' U' F2 U2 F L2
L' R' U' F2 U2 F L2
D2 L B2 R D' R2 F'
D2 L B2 R' D' F' R2
D2 L B2 R' F' D' R2
L2 R' U' F2 R U2 F
R L' U' F2 B U2 L2
R L' U' B F2 U2 L2
D2 L B2 D' R' F' R'
D2 L' R U B2 L2 F
D2 L' R' U L2 F' B2
D2 L' R' U L2 B2 F'
D2 L' R' U F' L2 B2
D2 L' R' U F' B2 L2
D2 L' R' U B2 L2 F'
D2 L' R' U B2 F' L2
L R' D' L2 U L2 F'
L R' D' L2 U F' L2
L2 R' D' L2 U L F'
L2 R' D' L2 U F' L
L2 R' D2 U L' F' B2
L2 R' D2 U L' B2 F'
L2 R' D2 U B2 L' F'
L R' D2 F' B2 D' R2
U2 L' U F2 U2 L2 F
U2 L' U F2 B' U2 L2
U2 L' U B' F2 U2 L2
L R' D2 B2 D' F' R2
L R' D2 B2 F' D' R2
R' L' F U L2 F2 B'
R' L' F U L2 B' F2
L' R' F U L2 F2 B'
L' R' F U L2 B' F2
U2 L' U' L2 D2 F B2
U2 L' U' L2 D2 B2 F
U2 L' U' F L2 F B'
U2 L' U' F L2 B' F
L R' F' B2 D' R2 B
R' L2 U L' D2 F' B2
R' L2 U L' D2 B2 F'
L R' B2 F' D' R2 B
R' L2 U D2 L' F' B2
R' L2 U D2 L' B2 F'
R' L2 U D2 B2 L' F'
L2 R2 U D2 L' F B2
L2 R2 U D2 L' B2 F
R2 L2 U D2 L' F B2
R2 L2 U D2 L' B2 F
L2 R2 U D2 B2 L' F
R2 L2 U D2 B2 L' F
R' L2 U' F2 R U2 F
L2 R2 U' F2 R U2 F'
R2 L2 U' F2 R U2 F'
R L2 U' F2 B R U2
R L2 U' B F2 R U2
R' L2 D' L2 U L F'
R' L2 D' L2 U F' L
D' L2 R U' B U2 L'
R' L2 D2 U L' F' B2
R' L2 D2 U L' B2 F'
R' L2 D2 U B2 L' F'
L2 R2 D2 U L' F B2
L2 R2 D2 U L' B2 F
L2 R2 D2 U B2 L' F
R2 L2 D2 U L' F B2
R2 L2 D2 U L' B2 F
R2 L2 D2 U B2 L' F
D2 L2 R' U L' F' B2
D2 L2 R' U L' B2 F'
D' L2 R' U L F' L2
D' L2 R' U L' D F'
D' L2 R' U L' D' F'
D' L2 R' U L' D2 F'
D' L2 R' U L' F' D
D' L2 R' U L' F' D'
D' L2 R' U L' F' D2
D' L2 R' U L2 F' L
D' L2 R' U D L' F'
D' L2 R' U D' L' F'
D' L2 R' U D2 L' F'
D2 L2 R' U B2 L' F'
D' L2 R' D U L' F'
D' L2 R' D' U L' F'
D' L2 R' D2 U L' F'
F L2 R' U B' L' F'
D' L2 R2 U D2 L' F
D' L2 R2 D2 U L' F
U2 L2 U' L' D2 F B2
U2 L2 U' L' D2 B2 F
D' L2 U2 L U' F L2
D' L2 D R' U L' F'
D' L2 D' R' U L' F'
R' U L U2 F2 U2 F
R' U L D F' D B2
R' U L D' F' D' B2
R' U L D2 F' B2 D
R' U L D2 F' B2 D'
R' U L D2 F' B2 D2
R' U L D2 B2 D F'
R' U L D2 B2 D' F'
R' U L D2 B2 D2 F'
R' U L D2 B2 F' D
R' U L D2 B2 F' D'
R' U L D2 B2 F' D2
R' U L F' R2 B R2
R' U L F' U2 F' U2
R' U L B D2 F' B2
R' U L B D2 B2 F'
R U L R2 F' R2 B
D' L2 D2 R' U L' F'
R' U L B' D2 F' B2
R' U L B' D2 B2 F'
R' U L B2 D2 F' B2
R' U L B2 D2 B2 F'
R U L U2 F2 B U2
R U L U2 B F2 U2
R' U L' F L2 F2 B'
R' U L' F L2 B' F2
R U L B' D2 F2 B2
R U L B' D2 B2 F2
R' U L2 D2 L' F' B2
R' U L2 D2 L' B2 F'
R' U L2 D2 B2 L' F'
R2 U L2 D2 L' F B2
R2 U L2 D2 L' B2 F
R2 U L2 D2 B2 L' F
R U R2 L F' R2 B
R' U D L D F' B2
R' U D L D B2 F'
R' U D L F' D B2
R U R2 F' L R2 B
R U R2 F' R2 L B
R' U D F' L D B2
R' U D F' D L B2
R' U D' F' D' L B2
R' U D2 L F' B2 D
R' U D2 L F' B2 D'
R' U D2 L F' B2 D2
R' U D2 L B2 D F'
R' U D2 L B2 D' F'
R' U D2 L B2 D2 F'
R' U D2 L B2 F' D
R' U D2 L B2 F' D'
R' U D2 L B2 F' D2
R' U D2 L' F' L2 B2
R' U D2 L' F' B2 L2
R' U D2 L' B2 L2 F'
R' U D2 L' B2 F' L2
R' U D2 L2 B2 L' F'
R' U D2 F L F2 B2
R' U D2 F L B2 F2
R' U D2 F' L B2 D
R' U D2 F' L B2 D'
R' U D2 F' L B2 D2
R' U D2 F' L' B2 L2
R' U D2 F' L2 B2 L'
R2 U D2 L' F L2 B2
R2 U D2 L' F B2 L2
R2 U D2 L' B2 F L2
D2 R L' U B2 L2 F
R U D2 L' B2 L2 F
R' U F L2 B' L' F2
D' R L2 U' B U2 L'
R' U F' L R2 B R2
