F2 L' R F' U' B'
F2 L' R2 U' B' R'
F2 R L' F' U' B'
U2 R U2 F' U' B
F' R F' L' U' B'
U2 R' B R2 U B
F2 R2 L' U' B' R'
U2 D R U B R'
D U2 R U B R'
D2 F2 L' F U' B'
F2 D2 L' F U' B'
U2 L R U2 F' U' B
U2 L R' B R2 U B
U2 L D R U B R'
L R F' U F2 U2 F2
R L F' U F2 U2 F2
R' L' U' B' D' R2 F2
R' L' U' B' D' F2 R2
L' R' U' B' D' R2 F2
L' R' U' B' D' F2 R2
R2 L' U2 R' U B' R'
R' L' U2 B R2 U B2
L' R' U2 B R2 U B2
U2 L' R U2 F' U' B
F2 L' R D F' U' B'
F2 L' R D' F' U' B'
F2 L' R D2 F' U' B'
F2 L' R F' R U' B'
F2 L' R F' R' U' B'
F2 L' R F' R2 U' B'
F2 L' R F' U' D B'
F2 L' R F' U' D' B'
F2 L' R F' U' D2 B'
F2 L' R F' U' B' D
F2 L' R F' U' B' D'
F2 L' R F' U' B' D2
F2 L' R F' D U' B'
F2 L' R F' D' U' B'
F2 L' R F' D2 U' B'
F2 L' R' U' B' D' R2
F2 L' R' U2 B U B2
U2 L' R' B R2 U B
F' L' R2 U' B' R' F'
F2 L' R2 U' R B' R'
F2 L' R2 U' R' B' R'
F2 L' R2 U' R2 B' R'
F2 L' R2 U' D B' R'
F2 L' R2 U' D' B' R'
F2 L' R2 U' D2 B' R'
F2 L' R2 U' B' R' D
F2 L' R2 U' B' R' D'
F2 L' R2 U' B' R' D2
F2 L' R2 U' B' D R'
F2 L' R2 U' B' D' R'
F2 L' R2 U' B' D2 R'
F2 L' R2 D U' B' R'
F2 L' R2 D' U' B' R'
F2 L' R2 D2 U' B' R'
F2 L' R2 F U' B' R'
F2 L' R2 F' U' B' R'
F2 L' R2 F2 U' B' R'
F2 L' U' R' B' D' R2
F2 L' U' D B R' B2
F2 L' U' B2 D B R'
U2 L' D R U B R'
F2 L' D U' B R' B2
F2 L' D' F' U' R B'
F2 L' D' F' U' B' R
F2 L' F R F' U' B'
F2 L' F R2 U' B' R'
F2 L' F' R F' U' B'
F2 L' F' R2 U' B' R'
F2 L' F2 R F' U' B'
F2 L' F2 R2 U' B' R'
L' R2 U2 R' U B' R'
U2 L2 R U2 F' U' B
F2 L2 R F' L U' B'
U2 L2 R' B R2 U B
U2 L2 D R U B R'
U2 R L U2 F' U' B
U2 R L' U2 F' U' B
F2 R L' D F' U' B'
F2 R L' D' F' U' B'
F2 R L' D2 F' U' B'
F2 R L' F' R U' B'
F2 R L' F' R' U' B'
F2 R L' F' R2 U' B'
F2 R L' F' U' D B'
F2 R L' F' U' D' B'
F2 R L' F' U' D2 B'
F2 R L' F' U' B' D
F2 R L' F' U' B' D'
F2 R L' F' U' B' D2
F2 R L' F' D U' B'
F2 R L' F' D' U' B'
F2 R L' F' D2 U' B'
U2 R L2 U2 F' U' B
F2 R L2 F' L U' B'
U2 R U B U F' U'
U2 R U2 D F' U' B
U2 R U2 D' F' U' B
U2 R U2 D2 F' U' B
U2 R U2 F' U' D B
U2 R U2 F' U' D' B
U2 R U2 F' U' D2 B
U2 R U2 F' U' B D
U2 R U2 F' U' B D'
U2 R U2 F' U' B D2
U2 R U2 F' D U' B
U2 R U2 F' D' U' B
U2 R U2 F' D2 U' B
F2 R D L' F' U' B'
F' R D F' L' U' B'
U2 R D U2 F' U' B
F2 R D' L' F' U' B'
F' R D' F' L' U' B'
U2 R D' U2 F' U' B
F2 R D2 L' F' U' B'
F' R D2 F' L' U' B'
U2 R D2 U2 F' U' B
F R F L' F2 U' B'
F' R F' L' R U' B'
F' R F' L' R' U' B'
F' R F' L' R2 U' B'
F' R F' L' U' D B'
F' R F' L' U' D' B'
F' R F' L' U' D2 B'
F' R F' L' U' B' D
F' R F' L' U' B' D'
F' R F' L' U' B' D2
F' R F' L' D U' B'
F' R F' L' D' U' B'
F' R F' L' D2 U' B'
F' R F' R L' U' B'
F' R F' R' L' U' B'
F' R F' R2 L' U' B'
F' R F' D L' U' B'
F' R F' D' L' U' B'
F' R F' D2 L' U' B'
F R F' U2 R U B
L' U' R' B' D' R2 F2
L' U' R' B' D' F2 R2
U2 R B' U2 F' U' B2
U2 R B2 U2 F' U' B'
U2 R' L B R2 U B
F2 R' L' U' B' D' R2
F2 R' L' U2 B U B2
U2 R' L' B R2 U B
U2 R' L2 B R2 U B
L' U2 R U2 F' U' B'
L' U2 R' B R2 U B2
R2 U2 R' U' F' L' U2
U2 R' B L R2 U B
U2 R' B L' R2 U B
U2 R' B L2 R2 U B
U2 R' B R2 L U B
U2 R' B R2 L' U B
U2 R' B R2 L2 U B
U2 R' B R2 U D B
U2 R' B R2 U D' B
U2 R' B R2 U D2 B
U2 R' B R2 U B D
U2 R' B R2 U B D'
U2 R' B R2 U B D2
U2 R' B R2 D U B
U2 R' B R2 D' U B
U2 R' B R2 D2 U B
U2 R' B' R2 B2 U B'
U2 R' B2 R2 B' U B2
F' R2 L' U' B' R' F'
F2 R2 L' U' R B' R'
F2 R2 L' U' R' B' R'
F2 R2 L' U' R2 B' R'
F2 R2 L' U' D B' R'
F2 R2 L' U' D' B' R'
F2 R2 L' U' D2 B' R'
F2 R2 L' U' B' R' D
F2 R2 L' U' B' R' D'
F2 R2 L' U' B' R' D2
F2 R2 L' U' B' D R'
F2 R2 L' U' B' D' R'
F2 R2 L' U' B' D2 R'
F2 R2 L' D U' B' R'
F2 R2 L' D' U' B' R'
F2 R2 L' D2 U' B' R'
F2 R2 L' F U' B' R'
F2 R2 L' F' U' B' R'
F2 R2 L' F2 U' B' R'
F2 R2 D L' U' B' R'
F2 R2 D' L' U' B' R'
F2 R2 D2 L' U' B' R'
F R2 F L' U' B' R'
F' R2 F' L' U' B' R'
U2 D L R U B R'
U2 D L' R U B R'
U2 D L2 R U B R'
U2 D R L U B R'
U2 D R L' U B R'
U2 D R L2 U B R'
U2 D R U B R' D
U2 D R U B R' D'
U2 D R U B R' D2
U2 D R U B D R'
U2 D R U B D' R'
U2 D R U B D2 R'
U2 D R B' U B2 R'
U2 D B R U B R2
U2 D' R U D2 B R'
U2 D' R D2 U B R'
D2 U2 L R B' U B2
U2 D2 L R B' U B2
D2 U2 L B' R U B
D U2 L R U B R'
U2 D2 L B' R U B
D U2 L' R U B R'
D' U2 R U D2 B R'
D2 U2 R L B' U B2
D U2 L2 R U B R'
D2 U2 R U D' B R'
D' U2 R D2 U B R'
D2 U2 R D' U B R'
U2 D2 R L B' U B2
U2 D2 R U D' B R'
U2 D2 R D' U B R'
D U2 R L U B R'
D U2 R L' U B R'
D U2 R L2 U B R'
D U2 R U B R' D
D U2 R U B R' D'
D U2 R U B R' D2
D U2 R U B D R'
D U2 R U B D' R'
D U2 R U B D2 R'
D U2 R B' U B2 R'
D U2 B R U B R2
R F R' F2 L' U' B'
F2 D L' U' B R' B2
R F' L U F U2 F'
L' F' R2 U' B' R' F'
R F' R' U2 R U B
F2 D' L' F' U' R B'
F2 D' L' F' U' B' R
D2 F2 L' R F U' B'
D2 F2 L' R' F U' B'
D2 F2 L' R2 F U' B'
D2 F2 L' D F U' B'
D2 F2 L' D' F U' B'
D2 F2 L' D2 F U' B'
D2 F2 L' F R U' B'
D2 F2 L' F R' U' B'
D2 F2 L' F R2 U' B'
D2 F2 L' F U' D B'
D2 F2 L' F U' D' B'
D2 F2 L' F U' D2 B'
D2 F2 L' F U' B' D
D2 F2 L' F U' B' D'
D2 F2 L' F U' B' D2
D2 F2 L' F D U' B'
D2 F2 L' F D' U' B'
D2 F2 L' F D2 U' B'
D' F2 L' F U' R B'
D' F2 L' F U' B' R
D F2 L' U' B R' B2
F' D' F' L' U' R B'
F' D' F' L' U' B' R
D2 F2 R L' F U' B'
D2 F2 R' L' F U' B'
D2 F2 R2 L' F U' B'
F2 D2 L' R F U' B'
F2 D2 L' R' F U' B'
F2 D2 L' R2 F U' B'
F2 D2 L' D F U' B'
F2 D2 L' D' F U' B'
F2 D2 L' D2 F U' B'
F2 D2 L' F R U' B'
F2 D2 L' F R' U' B'
F2 D2 L' F R2 U' B'
F2 D2 L' F U' D B'
F2 D2 L' F U' D' B'
F2 D2 L' F U' D2 B'
F2 D2 L' F U' B' D
F2 D2 L' F U' B' D'
F2 D2 L' F U' B' D2
F2 D2 L' F D U' B'
F2 D2 L' F D' U' B'
F2 D2 L' F D2 U' B'
D F2 D L' F U' B'
F2 D2 R L' F U' B'
F2 D2 R' L' F U' B'
F2 D2 R2 L' F U' B'
F' D2 F' L' F U' B'
U2 B R U2 F' U' B
U2 B R' B R2 U B
U2 B D R U B R'
U2 B' R U2 F' U' B
U2 B' R' B R2 U B
U2 B' D R U B R'
U2 B2 R U2 F' U' B
U2 B2 R' B R2 U B
U2 B2 D R U B R'
