F U' B U' F2
U2 L2 F' B' D L2
U' L2 B U' F' B2
U' L2 B U' B2 F'
U2 L2 B' D L2 F'
U2 L2 B' D F' L2
U2 L2 B' F' D L2
F R2 U F' U F'
F U R2 F' U F'
F U D R2 F' U
F U' L B U' F2
F U' L' B U' F2
F U' L2 B U' F2
F U' D' L2 B U'
F U' D' B L2 U'
F U' B L U' F2
F U' B L' U' F2
F U' B L2 U' F2
F U' B U' F2 D
F U' B U' F2 D'
F U' B U' F2 D2
F U' B D' L2 U'
B' U2 D L2 F' B'
B' U2 D L2 B' F'
F U2 F2 U B U'
D2 F U' B U' F2
D' F U' B U' F2
D F U' B U' F2
R2 F D R2 U2 F'
R2 F D B R2 U2
R2 F D' B U2 L2
R2 F B U F2 U
R2 F B U2 D' L2
R2 F B D R2 U2
R2 F B D' U2 L2
B' D U2 L2 F' B'
B' D U2 L2 B' F'
F D U R2 F' U
B' D F U2 L2 F2
B' D F U2 F2 L2
B' D' R2 F B U2
B' D' R2 B F U2
B' D' F R2 U2 F2
F D' U' L2 B U'
F D' U' B L2 U'
U' B L2 U' F' B'
U' B L2 U' B' F'
U' B U F U2 F2
U' B U' F' D2 B2
F D2 B2 U' B' U'
R2 B F U F2 U
R2 B F U2 D' L2
R2 B F D R2 U2
R2 B F D' U2 L2
B' F U' B2 U' F2
B' F U' B2 U' F2
B2 F U' B' U' F2
B' F U2 F2 D L2
B F U2 F2 D' L2
F B U2 F2 D' L2
U2 B' D L2 F' B'
U2 B' D L2 B' F'
F B' U' B2 U' F2
F B' U2 F2 D L2
F B2 U' B' U' F2
B L U L' F U2 F2
F L U' B U' F2 R
U2 L F' L B' D L2
U' L B L U' F' B'
U' L B L U' B' F'
U2 L' F' L' B' D L2
U' L' B L' U' F' B'
U' L' B L' U' B' F'
B L2 U L2 F U2 F2
U2 L2 U B U' F' B2
U2 L2 U B U' B2 F'
U L2 U F' B' D L2
U L2 U B' D L2 F'
U L2 U B' D F' L2
U L2 U B' F' D L2
U' L2 U' F' B' D L2
B L2 U' D2 F' R2 B'
B L2 U' D2 F' B' R2
B L2 U' D2 B' F' R2
U' L2 U' B' D L2 F'
U' L2 U' B' D F' L2
U' L2 U' B' F' D L2
B L2 U' F' D2 R2 B'
B L2 U' F' D2 B' R2
B L2 U' F' B' D2 R2
B L2 U' B' D2 F' R2
B L2 U' B' F' D2 R2
U L2 U2 B U' F' B2
U L2 U2 B U' B2 F'
U' L2 D B U' F' B2
U' L2 D B U' B2 F'
U2 L2 D F' B' D L2
U2 L2 D B' D L2 F'
U2 L2 D B' D F' L2
U2 L2 D B' F' D L2
B L2 D F2 U' F B'
B L2 D F2 U' B' F
U' L2 D' B U' F' B2
U' L2 D' B U' B2 F'
U2 L2 D' F' B' D L2
U2 L2 D' B' D L2 F'
U2 L2 D' B' D F' L2
U2 L2 D' B' F' D L2
U' L2 D2 B U' F' B2
U' L2 D2 B U' B2 F'
B L2 D2 U' F' R2 B'
B L2 D2 U' F' B' R2
U2 L2 D2 F' B' D L2
B L2 D2 U' B' F' R2
U2 L2 D2 B' D L2 F'
U2 L2 D2 B' D F' L2
U2 L2 D2 B' F' D L2
U2 L2 F' U B U' B2
U2 L2 F' D B' D L2
U2 L2 F' D' B' D L2
U2 L2 F' D2 B' D L2
U2 L2 F' B' L D L2
U2 L2 F' B' L' D L2
U2 L2 F' B' L2 D L2
U2 L2 F' B' U B2 U'
U2 L2 F' B' D L2 D
U2 L2 F' B' D L2 D'
U2 L2 F' B' D L2 D2
U' L2 B L U' F' B2
U' L2 B L U' B2 F'
U' L2 B L' U' F' B2
U' L2 B L' U' B2 F'
U2 L2 F2 B' D F L2
U' L2 B L2 U' F' B2
U' L2 B L2 U' B2 F'
U' L2 B U' F' B2 D
U' L2 B U' F' B2 D'
U' L2 B U' F' B2 D2
U' L2 B U' B2 D F'
U' L2 B U' B2 D' F'
U' L2 B U' B2 D2 F'
U' L2 B U' B2 F' D
U' L2 B U' B2 F' D'
U' L2 B U' B2 F' D2
U2 L2 B' L D L2 F'
U2 L2 B' L D F' L2
U2 L2 B' L F' D L2
U2 L2 B' L' D L2 F'
U2 L2 B' L' D F' L2
U2 L2 B' L' F' D L2
U2 L2 B' L2 D L2 F'
U2 L2 B' L2 D F' L2
U2 L2 B' L2 F' D L2
U2 L2 B' U B2 U' F'
U2 L2 B' D L F' L
U2 L2 B' D L2 D F'
U2 L2 B' D L2 D' F'
U2 L2 B' D L2 D2 F'
U2 L2 B' D L2 F' D
U2 L2 B' D L2 F' D'
U2 L2 B' D L2 F' D2
U2 L2 B' D F L2 F2
U2 L2 B' D F' L2 D
U2 L2 B' D F' L2 D'
U2 L2 B' D F' L2 D2
U2 L2 B' D' F' D2 L2
U2 L2 B' F' L D L2
U2 L2 B' F' L' D L2
U2 L2 B' F' L2 D L2
U2 L2 B' F' U B2 U'
U2 L2 B' F' D L2 D
U2 L2 B' F' D L2 D'
U2 L2 B' F' D L2 D2
U2 L2 B' F2 D F L2
R2 U F' U' F2 B U2
R2 U F' U' B F2 U2
F R U R F' U F'
F2 R U2 D' F L' B'
F R U2 F D' F L'
F2 R D' U2 F L' B'
U' R' U F R U2 F'
F R' U F' U L' F'
F R' U' B U' L F2
F R' U' B U' F2 L
F2 R2 U F' U F2 B
F2 R2 U F' U B F2
F R2 U D F' R2 U
F R2 U F' U D F'
F R2 U F' U D' F'
F R2 U F' U D2 F'
F R2 U F' U F' D
F R2 U F' U F' D'
F R2 U F' U F' D2
F R2 U F' D U F'
F R2 U F' D' U F'
F R2 U F' D2 U F'
F2 R2 U2 F D' L2 B
F2 R2 U2 F D' B L2
F2 R2 U2 F B D' L2
F2 R2 U2 B F D' L2
F R2 U2 F D' F L2
B' R2 D F B U2 L2
F R2 U2 F2 U' F U
B' R2 D B U2 L2 B'
B' R2 D B F U2 L2
B' R2 D' R2 F U2 F2
F R2 D U F' R2 U
B' R2 D' F R2 U2 F'
B' R2 D' F B R2 U2
B' R2 D' B R2 F U2
B' R2 D' B F R2 U2
D' R2 F D R2 U2 F'
D2 R2 F D R2 U2 F'
D' R2 F D B R2 U2
D2 R2 F D B R2 U2
D' R2 F D' B U2 L2
D2 R2 F D' B U2 L2
B' R2 F D B U2 L2
B' R2 F D' R2 U2 F'
D' R2 F B U F2 U
B' R2 F D' B R2 U2
D' R2 F B U2 D' L2
D' R2 F B D R2 U2
D' R2 F B D' U2 L2
D2 R2 F B U F2 U
D2 R2 F B U2 D' L2
D2 R2 F B D R2 U2
D2 R2 F B D' U2 L2
B' R2 F B U' B U'
F R2 D2 B2 U F' U
B2 R2 F B U' B2 U'
B2 R2 F B U2 D L2
B2 R2 F B D U2 L2
B2 R2 F B D' R2 U2
D R2 F D R2 U2 F'
D R2 F D B R2 U2
D R2 F D' B U2 L2
B R2 F B U' B' U'
