F2 L B U' B2 U'
F2 L B U2 D L2
F2 L B D U2 L2
F2 L B D' R2 U2
F2 D' L B R' U2
L F2 B U' B2 U'
L F2 B U2 D L2
L F2 B D U2 L2
L F2 B D' R2 U2
L B F2 U' B2 U'
L B F2 U2 D L2
L B F2 D U2 L2
L B F2 D' R2 U2
F2 L R2 U' B' U' F'
F2 L U' B' U B2 U2
F2 L U' B' U' D2 F2
F2 L U' B' D L2 U'
F2 L U' B' D2 U' F2
F2 L D B U' B2 U'
F2 L D B U2 D L2
F2 L D B D U2 L2
F2 L D B D' R2 U2
F2 L D' B U' B2 U'
F2 L D' B U2 D L2
F2 L D' B D U2 L2
F2 L D' B D' R2 U2
F2 L D2 B U' B2 U'
F2 L D2 B U2 D L2
F2 L D2 B D U2 L2
F2 L D2 B D' R2 U2
R2 L F2 U' B' U' F
F' L F' B U' B2 U'
F' L F' B U2 D L2
F' L F' B D U2 L2
F' L F' B D' R2 U2
U' L F2 B U' B2 U'
U' L F2 B U2 D L2
U' L F2 B D U2 L2
U2 L F2 B U' B2 U'
U' L F2 B D' R2 U2
U2 L F2 B U2 D L2
U2 L F2 B D U2 L2
U2 L F2 B D' R2 U2
U L F2 B U' B2 U'
U L F2 B U2 D L2
U L F2 B D U2 L2
U L F2 B D' R2 U2
F2 L B R U' B2 U'
F2 L B R U2 D L2
F2 L B R D U2 L2
F2 L B R D' R2 U2
F2 L B R' U' B2 U'
F2 L B R' U2 D L2
F2 L B R' D U2 L2
F2 L B R' D' R2 U2
F2 L B R2 U' B2 U'
F2 L B R2 U2 D L2
F2 L B R2 D U2 L2
F2 L B R2 D' R2 U2
F2 L B U D2 F2 U
F2 L B U' B2 U' D
F2 L B U' B2 U' D'
F2 L B U' B2 U' D2
F2 L B U' B2 D U'
F2 L B U' B2 D' U'
F2 L B U' B2 D2 U'
F2 L B U2 L D L2
F2 L B U2 L' D L2
F2 L B U2 L2 D L2
F' L B D F' U2 L2
F2 L B U2 D L2 D
F2 L B U2 D L2 D'
F2 L B U2 D L2 D2
D' L B D' R' U2 B
F' L B D' R2 U2 B
F2 L B D R U2 L2
F' L B D' F' R2 U2
F2 L B D R' U2 L2
F2 L B D R2 U2 L2
F2 L B D U2 L2 D
F2 L B D U2 L2 D'
F2 L B D U2 L2 D2
F2 L B D' R2 U2 D
F2 L B D' R2 U2 D'
F2 L B D' R2 U2 D2
F2 L B D' R2 D U2
F2 L B D' R2 D' U2
F2 L B D' R2 D2 U2
F2 L B D2 U F2 U
F' L B F' U' B2 U'
F' L B F' U2 D L2
F' L B F' D U2 L2
F' L B F' D' R2 U2
U' L B F2 U' B2 U'
U' L B F2 U2 D L2
U' L B F2 D U2 L2
U' L B F2 D' R2 U2
U2 L B F2 U' B2 U'
U2 L B F2 U2 D L2
U2 L B F2 D U2 L2
U2 L B F2 D' R2 U2
U L B F2 U' B2 U'
U L B F2 U2 D L2
U L B F2 D U2 L2
U L B F2 D' R2 U2
F2 L' B L2 U' B' U'
D' L2 U' L' B R' U2
L R2 F2 U' B' U' F
D' L2 U' B L' R' U2
D' L2 U' B R' L' U2
L2 U L' F2 B U2 L
L2 U L' B F2 U2 L
F2 L2 B L' U' B' U'
L2 U F2 B U2 L R
L2 U F2 B U2 R L
L2 U B L' F2 U2 L2
L2 U B F2 U2 L R
L2 U B F2 U2 R L
L U' D R2 B' U' F'
L U' B' U F2 B2 U2
L U' B' U B2 F2 U2
L U' B' U' D2 F2 B2
L U' B' U' D2 B2 F2
L U' B' D L2 R2 U'
L U' B' D R2 L2 U'
L U' B' D2 U' F2 B2
L U' B' D2 U' B2 F2
F2 R2 L U' B' U' F'
D2 R2 U F' B2 L' R'
D2 R2 U F' B2 R' L'
D2 R2 U B2 F' L' R'
D2 R2 U B2 F' R' L'
L D U' R2 B' U' F'
L' D F2 R2 B U' F'
L D B U' R2 B2 U'
L D B U' B2 R2 U'
L D B U2 D L2 B2
L D B U2 D B2 L2
L D B D U2 L2 B2
L D B D U2 B2 L2
L D B D' R2 F2 U2
L D B D' F2 R2 U2
L' D' F B2 L2 U F
L D' B D F2 U2 L2
L D' B D' R2 U2 B2
L' D' B2 F L2 U F
L' D2 R2 F' B2 D' L2
L' D2 R2 B2 F' D' L2
L' D2 F U R2 F' B2
L' D2 F U R2 B2 F'
L D2 B U' B2 U' B'
L D2 B U2 D L2 B
L D2 B U2 D B L2
L D2 B D U2 L2 B
L D2 B D U2 B L2
L D2 B D' R2 F' U2
L' F U' L2 B U2 B2
L' F U' F L2 B U2
L' F U' F B L2 U2
L' F U' B L2 U2 B'
L' F U' B F L2 U2
F' D L F' B R U2
F2 D L D2 B R' U2
F' D L B F' R U2
L F B U2 D L2 B'
L F B D U2 L2 B'
L F B D F U2 L2
L F B D' R2 F U2
L F B D' F R2 U2
F' D F' L B R U2
F D F L B U2 L2
F' D' L F' B R' U2
F' D' L B F' R' U2
F2 D' L B R' U2 D
F2 D' L B R' U2 D'
F2 D' L B R' U2 D2
F2 D' L B R' D U2
F2 D' L B R' D' U2
F2 D' L B R' D2 U2
F2 D' L B D R' U2
F2 D' L B D' R' U2
F2 D' L B D2 R' U2
F2 D' L' B L2 R' U2
F2 D' L' B R' L2 U2
F2 D' L2 B L' R' U2
F2 D' L2 B R' L' U2
L F' B D F' U2 L2
L F' B D' R2 U2 B
L F' B D' F' R2 U2
U' F2 L B U' B2 U'
U' F2 L B U2 D L2
U' F2 L B D U2 L2
U' F2 L B D' R2 U2
U2 F2 L B U' B2 U'
U2 F2 L B U2 D L2
U2 F2 L B D U2 L2
U2 F2 L B D' R2 U2
U F2 L B U' B2 U'
F' D' F' L B R' U2
U F2 L B U2 D L2
U F2 L B D U2 L2
U F2 L B D' R2 U2
L' F2 L2 B U F' U
F D' F L B R' U2
L F2 R2 U' B' U' F'
F2 D2 L D B R' U2
U' F2 D' L B R' U2
L F2 U' B' U B2 U2
L F2 U' B' U' D2 F2
L F2 U' B' D L2 U'
L F2 U' B' D2 U' F2
U2 F2 D' L B R' U2
L F2 D B U' B2 U'
L F2 D B U2 D L2
L F2 D B D U2 L2
L F2 D B D' R2 U2
U F2 D' L B R' U2
L' F2 B L2 U F' U
L F2 D' B U' B2 U'
L F2 D' B U2 D L2
L F2 D' B D U2 L2
L F2 D' B D' R2 U2
L F2 D2 B U' B2 U'
L F2 D2 B U2 D L2
L F2 D2 B D U2 L2
L F2 D2 B D' R2 U2
L F2 B R U' B2 U'
L F2 B R U2 D L2
L F2 B R D U2 L2
L F2 B R D' R2 U2
L F2 B R' U' B2 U'
L F2 B R' U2 D L2
L F2 B R' D U2 L2
L F2 B R' D' R2 U2
L F2 B R2 U' B2 U'
L F2 B R2 U2 D L2
L F2 B R2 D U2 L2
L F2 B R2 D' R2 U2
L F2 B U D2 F2 U
L F2 B U' B2 U' D
L F2 B U' B2 U' D'
L F2 B U' B2 U' D2
L F2 B U' B2 D U'
L F2 B U' B2 D' U'
L F2 B U' B2 D2 U'
L F2 B U2 L D L2
L F2 B U2 L' D L2
L F2 B U2 L2 D L2
L F2 B U2 D L2 D
L F2 B U2 D L2 D'
L F2 B U2 D L2 D2
L F2 B D R U2 L2
L F2 B D R' U2 L2
L F2 B D R2 U2 L2
L F2 B D U2 L2 D
L F2 B D U2 L2 D'
L F2 B D U2 L2 D2
L F2 B D' R2 U2 D
L F2 B D' R2 U2 D'
L F2 B D' R2 U2 D2
L F2 B D' R2 D U2
L F2 B D' R2 D' U2
L F2 B D' R2 D2 U2
L F2 B D2 U F2 U
L2 B L' F2 U' B' U'
L' B L2 F2 U' B' U'
L B R F2 U' B2 U'
L B R F2 U2 D L2
L B R F2 D U2 L2
L B R F2 D' R2 U2
L B R' F2 U' B2 U'
L B R' F2 U2 D L2
L B R' F2 D U2 L2
L B R' F2 D' R2 U2
L B R2 F2 U' B2 U'
L B R2 F2 U2 D L2
L B R2 F2 D U2 L2
L B R2 F2 D' R2 U2
L B U D2 F2 U B2
L B U' D R2 U' L2
L B U' B2 U F2 U2
L B U' B2 U' D2 B2
L B U' B2 D R2 U'
L B U' B2 D2 U' B2
L B U2 D L2 D B2
L B U2 D2 B2 D' L2
L B D U' R2 U' L2
L B D U2 L2 D B2
L B D' R2 U L2 U
