R' U' L' F' R'
R' L U' L2 F' R'
R' L U' F' L2 R'
R' L U' F' R' L2
R2 L' U R U' F'
L2 R' U' L F' R'
L R' U' L2 F' R'
L R' U' F' L2 R'
L R' U' F' R' L2
L2 R' U' F' L R'
L2 R' U' F' R' L
L' R2 U R U' F'
R' L2 U' L F' R'
R' L2 U' F' L R'
R' L2 U' F' R' L
L' U R' U' R' F'
R2 U R U' L' F'
R' U' L F' L2 R'
R' U' L F' R' L2
R' U' L' D F' R'
R' U' L' D' F' R'
R' U' L' D2 F' R'
R' U' L' F R' F2
R' U' L' F' R' D
R' U' L' F' R' D'
R' U' L' F' R' D2
R' U' L' F' D R'
R' U' L' F' D' R'
R' U' L' F' D2 R'
R' U' L' F2 R' F
R' U' L2 F' L R'
R' U' L2 F' R' L
R' U' R' D2 L' F
R' U' D L' F' R'
R' U' D' L' F' R'
R' U' D2 L' F' R'
U R' U' L' R' F'
U R' U' R' L' F'
R' D U' L' F' R'
R' D' U' L' F' R'
R' D2 U' L' F' R'
L' R U R2 U' F' R'
R2 L U R U' L2 F'
R2 L U R U' F' L2
R' L U F' L2 R' B'
R' L U F' R' L2 B'
B2 L R' U L2 F' R'
B2 L R' U F' L2 R'
B2 L R' U F' R' L2
U2 L R' U' R' F L2
U2 L R' U' F L2 R'
U2 L R' U' F R' L2
R' L U' L F' L R'
R' L U' L F' R' L
R' L U' L2 D F' R'
R' L U' L2 D' F' R'
R' L U' L2 D2 F' R'
R' L U' L2 F R' F2
R' L U' L2 F' R' D
R' L U' L2 F' R' D'
R' L U' L2 F' R' D2
R' L U' L2 F' D R'
R' L U' L2 F' D' R'
R' L U' L2 F' D2 R'
R' L U' L2 F2 R' F
U L R' U' L2 R' F'
U L R' U' R' L2 F'
U L R' U' R' F' L2
D' L R' F2 U' F L2
R' L U' F L2 R' F2
R' L U' F L2 F2 R'
R' L U' F R' L2 F2
R' L U' F R' F2 L2
R' L U' F' L2 R' D
R' L U' F' L2 R' D'
R' L U' F' L2 R' D2
R' L U' F' L2 D R'
R' L U' F' L2 D' R'
R' L U' F' L2 D2 R'
R' L U' F' R' L2 D
R' L U' F' R' L2 D'
R' L U' F' R' L2 D2
R' L U' F2 R' F L2
L' R D R2 F' R' B2
R' L F U' L2 R' F2
R' L F U' L2 F2 R'
R' L F U' R' L2 F2
R' L F U' R' F2 L2
R' L F U' F2 L2 R'
R' L F U' F2 R' L2
R' L F2 U' R' F L2
R' L F2 U' F L2 R'
R' L F2 U' F R' L2
D' L F2 R' U' L2 F'
D' L F2 R' U' F' L2
R2 L' U L R U' F'
R2 L' U L' R U' F'
R2 L' U L2 R U' F'
R2 L' U R L U' F'
R2 L' U R L' U' F'
R2 L' U R L2 U' F'
R2 L' U R U' D F'
R2 L' U R U' D' F'
R2 L' U R U' D2 F'
R2 L' U R U' F' D
R2 L' U R U' F' D'
R2 L' U R U' F' D2
R2 L' U R D U' F'
R2 L' U R D' U' F'
R2 L' U R D2 U' F'
R L' U R2 U' F' R'
L R' U F' L2 R' B'
L R' U F' R' L2 B'
L R' U' L F' L R'
L R' U' L F' R' L
L2 R' U' L D F' R'
L2 R' U' L D' F' R'
L2 R' U' L D2 F' R'
L2 R' U' L F R' F2
L2 R' U' L F' R' D
L2 R' U' L F' R' D'
L2 R' U' L F' R' D2
L2 R' U' L F' D R'
L2 R' U' L F' D' R'
L2 R' U' L F' D2 R'
L2 R' U' L F2 R' F
L2 R' U' L' F' L2 R'
L2 R' U' L' F' R' L2
L R' U' L2 D F' R'
L R' U' L2 D' F' R'
L R' U' L2 D2 F' R'
L R' U' L2 F R' F2
L R' U' L2 F' R' D
L R' U' L2 F' R' D'
L R' U' L2 F' R' D2
L R' U' L2 F' D R'
L R' U' L2 F' D' R'
L R' U' L2 F' D2 R'
L R' U' L2 F2 R' F
L2 R' U' D L F' R'
L2 R' U' D F' L R'
L2 R' U' D F' R' L
L2 R' U' D' L F' R'
L2 R' U' D' F' L R'
L2 R' U' D' F' R' L
L2 R' U' D2 L F' R'
L2 R' U' D2 F' L R'
L2 R' U' D2 F' R' L
L R' U' F L2 R' F2
L R' U' F L2 F2 R'
L R' U' F R' L2 F2
L2 R' U' F L R' F2
L R' U' F R' F2 L2
L2 R' U' F L F2 R'
L2 R' U' F R' L F2
L2 R' U' F R' F2 L
L R' U' F' L2 R' D
L R' U' F' L2 R' D'
L R' U' F' L2 R' D2
L R' U' F' L2 D R'
L R' U' F' L2 D' R'
L R' U' F' L2 D2 R'
L R' U' F' R' L2 D
L R' U' F' R' L2 D'
L R' U' F' R' L2 D2
L2 R' U' F' L R' D
L2 R' U' F' L R' D'
L2 R' U' F' L R' D2
L2 R' U' F' L D R'
L2 R' U' F' L D' R'
L2 R' U' F' L D2 R'
L2 R' U' F' R' L D
L2 R' U' F' R' L D'
L2 R' U' F' R' L D2
L2 R' U' F' R' D L
L2 R' U' F' R' D' L
L2 R' U' F' R' D2 L
L2 R' U' F' D L R'
L2 R' U' F' D R' L
L2 R' U' F' D' L R'
L2 R' U' F' D' R' L
L2 R' U' F' D2 L R'
L2 R' U' F' D2 R' L
L R' U' F2 R' F L2
L2 R' U' F2 R' F L
D' L' R D R2 F' B2
D' L' R D R2 B2 F'
L2 R' D U' L F' R'
R L' D R2 F' R' B2
L2 R' D U' F' L R'
L2 R' D U' F' R' L
B' L' R' D' F' R' B
B2 L' R' D' F' R' B2
B' L' R' F' D' R' B
B2 L' R' F' R' D' B2
B2 L' R' F' D' R' B2
L2 R' D' U' L F' R'
L2 R' D' U' F' L R'
L2 R' D' U' F' R' L
U' L' U R' U' F' R'
L2 R' D2 U' L F' R'
L2 R' D2 U' F' L R'
L2 R' D2 U' F' R' L
L2 R' F U' L R' F2
L2 R' F U' L F2 R'
L2 R' F U' R' L F2
L2 R' F U' R' F2 L
L R' F U' L2 R' F2
L R' F U' L2 F2 R'
L R' F U' R' L2 F2
L R' F U' R' F2 L2
L2 R' F U' F2 L R'
L2 R' F U' F2 R' L
L R' F U' F2 L2 R'
L R' F U' F2 R' L2
R' L' F' R' U R U'
L' R' F' R' U R U'
R' L' F' R2 D R B2
R' L' F' R2 D B2 R
L' R' F' R2 D R B2
L' R' F' R2 D B2 R
L2 R' F2 U' R' F L
L2 R' F2 U' F L R'
L2 R' F2 U' F R' L
L R' F2 U' R' F L2
L R' F2 U' F L2 R'
L R' F2 U' F R' L2
R2 L' B U R U' F'
R2 L' B' U R U' F'
R2 L' B2 U R U' F'
L' R2 U L R U' F'
L' R2 U L' R U' F'
L' R2 U L2 R U' F'
L' R2 U R L U' F'
L' R2 U R L' U' F'
L' R2 U R L2 U' F'
L' R2 U R U' D F'
L' R2 U R U' D' F'
L' R2 U R U' D2 F'
L' R2 U R U' F' D
L' R2 U R U' F' D'
L' R2 U R U' F' D2
L' R2 U R D U' F'
L' R2 U R D' U' F'
L' R2 U R D2 U' F'
R2 L2 U R U' L F'
R2 L2 U R U' F' L
L2 R2 U R U' L F'
L2 R2 U R U' F' L
L R2 U R U' L2 F'
L R2 U R U' F' L2
R' L2 U' L D F' R'
R' L2 U' L D' F' R'
R' L2 U' L D2 F' R'
R' L2 U' L F R' F2
R' L2 U' L F' R' D
R' L2 U' L F' R' D'
R' L2 U' L F' R' D2
R' L2 U' L F' D R'
R' L2 U' L F' D' R'
R' L2 U' L F' D2 R'
R' L2 U' L F2 R' F
R' L2 U' L' F' L2 R'
R' L2 U' L' F' R' L2
R' L2 U' D L F' R'
R' L2 U' D F' L R'
R' L2 U' D F' R' L
R' L2 U' D' L F' R'
R' L2 U' D' F' L R'
R' L2 U' D' F' R' L
R' L2 U' D2 L F' R'
R' L2 U' D2 F' L R'
R' L2 U' D2 F' R' L
R' L2 U' F L R' F2
R' L2 U' F L F2 R'
R' L2 U' F R' L F2
R' L2 U' F R' F2 L
R' L2 U' F' L R' D
R' L2 U' F' L R' D'
R' L2 U' F' L R' D2
R' L2 U' F' L D R'
R' L2 U' F' L D' R'
R' L2 U' F' L D2 R'
R' L2 U' F' R' L D
R' L2 U' F' R' L D'
R' L2 U' F' R' L D2
R' L2 U' F' R' D L
R' L2 U' F' R' D' L
R' L2 U' F' R' D2 L
R' L2 U' F' D L R'
R' L2 U' F' D R' L
R' L2 U' F' D' L R'
R' L2 U' F' D' R' L
R' L2 U' F' D2 L R'
R' L2 U' F' D2 R' L
R' L2 U' F2 R' F L
R' L2 D U' L F' R'
R' L2 D U' F' L R'
R' L2 D U' F' R' L
R' L2 D' U' L F' R'
R' L2 D' U' F' L R'
R' L2 D' U' F' R' L
R' L2 D2 U' L F' R'
R' L2 D2 U' F' L R'
R' L2 D2 U' F' R' L
U' L2 R' U' L R' F
U' L2 R' U' L F R'
U' L2 R' U' R' L F
R' L2 F U' L R' F2
R' L2 F U' L F2 R'
R' L2 F U' R' L F2
R' L2 F U' R' F2 L
R' L2 F U' F2 L R'
R' L2 F U' F2 R' L
D' L2 R' F2 U' F L
U L2 R' U' L R' F'
U L2 R' U' R' L F'
U L2 R' U' R' F' L
R' L2 F2 U' R' F L
R' L2 F2 U' F L R'
R' L2 F2 U' F R' L
D2 L2 U' R' U' L F
L' R2 B U R U' F'
L' R2 B' U R U' F'
L' R2 B2 U R U' F'
L' U L R' U' R' F'
R' U L U2 L2 F' R'
R' U L U2 F' L2 R'
R' U L U2 F' R' L2
R2 U L R U' L2 F'
R2 U L R U' F' L2
R' U L F' L2 R' B'
R' U L F' R' L2 B'
L' U L' R' U' R' F'
L' U L2 R' U' R' F'
R' U L2 U2 L F' R'
R' U L2 U2 F' L R'
R' U L2 U2 F' R' L
R2 U L2 R U' L F'
R2 U L2 R U' F' L
R2 U R L U' L2 F'
R2 U R L U' F' L2
R2 U R L2 U' L F'
R2 U R L2 U' F' L
R2 U R U' L F' L2
R2 U R U' L' D F'
R2 U R U' L' D' F'
R2 U R U' L' D2 F'
R2 U R U' L' F' D
R2 U R U' L' F' D'
R2 U R U' L' F' D2
R2 U R U' L2 F' L
R2 U R U' D L' F'
R2 U R U' D' L' F'
R2 U R U' D2 L' F'
D' L2 F2 R' U' L F'
D' L2 F2 R' U' F' L
R2 U R D U' L' F'
R2 U R D' U' L' F'
L' U R' L U' R' F'
R2 U R D2 U' L' F'
L' U R' L' U' R' F'
L' U R' L2 U' R' F'
L' U R' U' R' D F'
L' U R' U' R' D' F'
L' U R' U' R' D2 F'
L' U R' U' R' F' D
L' U R' U' R' F' D'
L' U R' U' R' F' D2
L' U R' U' D R' F'
