U2 L2 F B U L'
U2 L2 B F U L'
D2 R2 F' B' U' L
D2 R2 B' F' U' L
F2 U2 L2 B U L
F2 U2 B L2 U L'
F U2 B L2 U L
U2 F B L2 U L
F2 D2 R2 F' U' L'
U2 B L2 F U L'
U B L2 U F L'
U2 B F L2 U L
U2 L F L B U L2
U2 L' D' L' F B U
U2 L' D' L' B F U
U2 L' D' B L' F U
U2 L' F B U L' B'
U2 L' B L' F U L'
U2 L' B D' L' F U
U2 L' B F U L' B'
B L2 U F D L' F2
B L2 U F' D F2 L'
B2 L2 U2 F L2 U' L
B L2 D R F' U F'
F' L2 D B U F2 L'
U2 L2 D2 B U' R' U2
B L2 F U D L' F2
U2 L2 F D B U L'
U' L2 F B U L' F'
U2 L2 F D' B U L'
B L2 F U2 L2 U' L
U2 L2 F D2 B U L'
B L2 F D U L' F2
U2 L2 F B U L' D
U2 L2 F B U L' D'
U2 L2 F B U L' D2
U2 L2 F B U D L'
U2 L2 F B U D' L'
U2 L2 F B U D2 L'
U2 L2 F B D U L'
U2 L2 F B D' U L'
U2 L2 F B D2 U L'
B L2 F D2 R2 U L'
B L2 F' U D F2 L'
B L2 F' D U F2 L'
U2 L2 F' B U' R U2
F' L2 B U D F2 L'
F' L2 B D U F2 L'
U2 L2 B U F L' F'
U' L2 B F U L' F'
U2 L2 B F U L' D
U2 L2 B F U L' D'
U2 L2 B F U L' D2
U2 L2 B F U D L'
U2 L2 B F U D' L'
U2 L2 B F U D2 L'
U2 L2 B F D U L'
U2 L2 B F D' U L'
U2 L2 B F D2 U L'
U L2 B U L2 F L'
U2 L2 B F' U' R U2
U2 L2 B2 D2 B' U L
D R D R2 B U' R'
D2 R B' R F' U' L
D2 R' D' R' F' B U'
D2 R' D' R' B F' U'
L2 U2 B2 L2 F U' L'
F' R2 D' F' U' B2 L
F2 R2 D' F' U' L' B2
F2 R2 D' F' U' B2 L'
D2 R2 D2 F' U R U2
F2 R2 D2 F' R2 U' L'
D2 R2 F' U' B' L B
F' R2 F' U' D' B2 L
F' R2 F' D' U' B2 L
D2 R2 F' B U R' U2
F2 R2 F' U' D' L' B2
F2 R2 F' U' D' B2 L'
D2 R2 F' B' U' L D
D2 R2 F' B' U' L D'
D2 R2 F' B' U' L D2
D2 R2 F' B' U' D L
D2 R2 F' B' U' D' L
D2 R2 F' B' U' D2 L
D2 R2 F' B' D U' L
D2 R2 F' B' D' U' L
D2 R2 F' B' D2 U' L
F2 R2 F' U2 L2 U L
F2 R2 F' D' U' L' B2
F2 R2 F' D' U' B2 L'
F2 R2 F' D2 R2 U' L'
D R2 F' U F' U2 L'
D2 R2 F2 D2 F U' L'
D2 R2 B F' U R' U2
D2 R2 B' D F' U' L
D2 R2 B' D' F' U' L
D2 R2 B' D2 F' U' L
D2 R2 B' F' U' L D
D2 R2 B' F' U' L D'
D2 R2 B' F' U' L D2
D2 R2 B' F' U' D L
D2 R2 B' F' U' D' L
D2 R2 B' F' U' D2 L
D2 R2 B' F' D U' L
D2 R2 B' F' D' U' L
D2 R2 B' F' D2 U' L
R2 D F' R2 U' B L
L2 D B R F' U F'
F U B L2 U F L
U2 D' L' F B U B
U2 D' L' B F U B
U2 D' L2 B U B L
F U' L' U' L' B U
F U' L' U' B L' U
U2 D' B L' F U B
U2 D' B L2 U B L
U' D' B' D' R2 B' L
D' U' B' D' R2 B' L
U' D' B' D' B' L R2
U' D' B' D' B' R2 L
D' U' B' D' B' L R2
D' U' B' D' B' R2 L
D2 U' B' D L B2 R'
D' U2 L' F B U B
D' U2 L' B F U B
D' U2 L2 B U B L
F' U' B' D' R2 B2 L
F U' B' D' L' R2 B2
F U' B' D' L' B2 R2
F U' B' D' R2 L' B2
F U' B' D' R2 B2 L'
F U' B' D' B2 L' R2
F U' B' D' B2 R2 L'
F2 U2 L' B L' U L2
B2 U2 L2 U2 F U' L'
B' U2 L2 F B2 U L'
F2 U2 L2 D B U L
F2 U2 L2 D' B U L
F' U2 L2 F2 B U L'
F' U2 L2 B U' R U2
B' U2 L2 B2 F U L'
F2 U2 L2 D2 B U L
F' U2 L2 B F2 U L'
F2 U2 L2 F B U L
F2 U2 L2 F' B U L
F2 U2 L2 F2 B U L
F2 U2 L2 B U L D
F2 U2 L2 B U L D'
F2 U2 L2 B U L D2
F2 U2 L2 B U D L
F2 U2 L2 B U D' L
F2 U2 L2 B U D2 L
F2 U2 L2 B D U L
F2 U2 L2 B D' U L
F2 U2 L2 B D2 U L
F2 U2 L2 B F U L
F2 U2 L2 B F' U L
F2 U2 L2 B F2 U L
R2 D2 F' R2 B' U' L
F U2 L' B L' U L
R2 D2 F' B' R2 U' L
D' U2 B L' F U B
D' U2 B L2 U B L
D2 U2 B U D B2 L
D2 U2 B D U B2 L
L2 D2 B R2 U' R U2
U2 D2 B U D B2 L
L2 D2 B R2 F2 U L'
U2 D2 B D U B2 L
U' D2 B' D L B2 R'
R2 D2 B' F' R2 U' L
F2 U2 D' B U L B
F U2 D' B U L' B
F U2 D' B U B L'
F2 U2 F L2 B U L
U2 F L' B L' U L
B' U2 F B2 L2 U L
B2 U2 F B' L2 U L
F2 U2 F B L2 U L'
F2 U2 F' L2 B U L
F2 U2 F' B L2 U L'
F2 U2 F2 L2 B U L
F' U2 F2 B L2 U L
F2 U2 F2 B L2 U L'
F' U2 B L2 U' R U2
F' U2 B L2 F2 U L'
F2 U2 B L2 U L' D
F2 U2 B L2 U L' D'
F2 U2 B L2 U L' D2
F2 U2 B L2 U D L'
F2 U2 B L2 U D' L'
F2 U2 B L2 U D2 L'
F2 U2 B L2 D U L'
F2 U2 B L2 D' U L'
F2 U2 B L2 D2 U L'
F2 U2 B U D' L B2
F' U2 B F2 L2 U L
F2 U2 B D' U L B2
D2 F R2 F' B' U' L
F2 U2 B F L2 U L'
F2 U2 B F' L2 U L'
D2 F R2 B' F' U' L
F2 U2 B F2 L2 U L'
B2 U2 B' L2 F U L'
F2 U2 B' L2 B2 U L
F U2 B L2 U L D
F U2 B L2 U L D'
F U2 B L2 U L D2
