B L F L2 R U'
B L F R L2 U'
U L' B U' B2 R'
L F L2 B R U'
L F B L2 R U'
L F B R L2 U'
L B F L2 R U'
L B F R L2 U'
B L R F L2 R U'
B L R F R L2 U'
B L R' F L2 R U'
B L R' F R L2 U'
B L R2 F L2 R U'
B L R2 F R L2 U'
R' L F L2 R B U'
R' L F R L2 B U'
R' L F R B L2 U'
B L D F R U' F
D' L F L2 B R U'
D2 L F L2 B R U'
B' L F L2 R B2 U'
B' L F L2 B2 R U'
B' L F R L2 B2 U'
D L F L2 B R U'
B' L F R B2 L2 U'
B L F L2 R U' D
B L F L2 R U' D'
B L F L2 R U' D2
B L F L2 R D U'
B L F L2 R D' U'
B L F L2 R D2 U'
B L F L2 D R U'
B L F L2 D' R U'
B L F L2 D2 R U'
B L F R L2 U' D
B L F R L2 U' D'
B L F R L2 U' D2
B L F R L2 D U'
B L F R L2 D' U'
B L F R L2 D2 U'
B L F R U' D F2
B L F R D U' F2
D2 L F B L2 R U'
D2 L F B R L2 U'
D' L F B L2 R U'
D' L F B R L2 U'
B L F D R U' F2
D L F B L2 R U'
D L F B R L2 U'
B' L F B2 L2 R U'
B' L F B2 R L2 U'
B L F2 L2 F' R U'
D2 L B F L2 R U'
D2 L B F R L2 U'
D' L B F L2 R U'
D' L B F R L2 U'
D L B F L2 R U'
D L B F R L2 U'
B' L B2 F L2 R U'
B' L B2 F R L2 U'
F' L' R2 F' R B' U
F' L' R2 F' B' R U
F' L' R2 B' F' R U
L R' F L2 R B U'
L R' F R L2 B U'
L R' F R B L2 U'
B L' U' R B D' R2
B L' U2 B L B2 U
B L' U2 B' U2 R' U'
U L' D B U' B2 R'
U L' D' B U' B2 R'
U L' D2 B U' B2 R'
B L' F R U2 B' U
U L' F B U' B2 R'
B L' F' U2 B' L' U
U L' F' B U' B2 R'
U L' F2 B U' B2 R'
U L' B R U' B2 R'
U L' B R' U' B2 R'
U L' B R2 U' B2 R'
U L' B U L U2 B2
U L' B U' R B2 R'
U L' B U' R' B2 R'
U L' B U' R2 B2 R'
U L' B U' B2 R' D
U L' B U' B2 R' D'
U L' B U' B2 R' D2
U L' B U' B2 D R'
U L' B U' B2 D' R'
U L' B U' B2 D2 R'
U L' B F U' B2 R'
U L' B F' U' B2 R'
U L' B F2 U' B2 R'
U2 L' B' R' F' B2 U'
U2 L' B' R' B2 F' U'
B' L' B2 U2 B L U
B R L F L2 R U'
B R L F R L2 U'
B R' L F L2 R U'
B R' L F R L2 U'
R' U2 L' B' R' F' U'
B R2 L F L2 R U'
B R2 L F R L2 U'
F' R2 L' F' R B' U
F' R2 L' F' B' R U
F' R2 L' B' F' R U
L' U2 B' U2 R' B2 U'
D' U L' B U' B2 R'
D2 U L' B U' B2 R'
B' U L' B2 U' B R'
D U L' B U' B2 R'
U D L' B U' B2 R'
L D F B R U' F
L D B F R U' F
B2 U B' L' U' R' B'
U D' L' B U' B2 R'
U D2 L' B U' B2 R'
L F L' B L' R U'
L F L' B R L' U'
L F L2 D B R U'
L F L2 D' B R U'
L F L2 D2 B R U'
L F L2 B R U' D
L F L2 B R U' D'
L F L2 B R U' D2
L F L2 B R D U'
L F L2 B R D' U'
L F L2 B R D2 U'
L F L2 B D R U'
L F L2 B D' R U'
L F L2 B D2 R U'
L F L2 B' R B2 U'
L F L2 B2 R B' U'
B2 U2 B' L' R' F' U'
B2 U2 B' R' L' F' U'
B D L F L2 R U'
B D L F R L2 U'
L F D B R U' F2
L' F B R U' D' R2
L' F B R U2 B2 U
L' F B R D' U' R2
L' F B R D2 F2 U'
L' F B D' R U' R
