B' U L F' R U2
B' U F' L R U2
B' U F' R L U2
B U F' R U2 R2
R2 F U' L' B R'
R2 F U' B L' R'
R2 F U' B R' L'
B' L F' D R U2 F'
R2 U F U2 L' B R'
R2 U F U2 B L' R'
R2 U F U2 B R' L'
R2 U F2 U2 B L R'
R2 U F2 U2 B R' L
R2 U B L2 R' F L'
R2 U B L2 F L' R'
R2 U B L2 F R' L'
R2 U B R' L2 F L'
U R F' R U2 B R'
F' R B' L U' L' U'
R2 U' F L' F' B R'
R2 U' F L' B F' R'
R2 U' F B L' F' R'
R2 U' B R' F L' F'
R2 U' B F L' F' R'
R2 U' B2 D2 B' L R'
R2 U' B2 D2 B' R' L
R2 U2 F U L' B R'
R2 U2 F U B L' R'
R2 U2 F U B R' L'
D R2 U' D' B L R'
D R2 U' D' B R' L
D R2 D' U' B L R'
D R2 D' U' B R' L
U' R2 F L' F' B R'
U' R2 F L' B F' R'
U' R2 F B L' F' R'
U R2 F U2 L' B R'
U R2 F U2 B L' R'
U R2 F U2 B R' L'
U' R2 B R' F L' F'
U R2 F2 U2 B L R'
U R2 F2 U2 B R' L
U' R2 B F L' F' R'
U R2 B L2 R' F L'
U R2 B L2 F L' R'
U R2 B L2 F R' L'
U R2 B R' L2 F L'
U' R2 B2 D2 B' L R'
U' R2 B2 D2 B' R' L
B' U L F' R U2 D
B' U L F' R U2 D'
B' U L F' R U2 D2
B' U L F' R D U2
B' U L F' R D' U2
B' U L F' R D2 U2
B' U L F' D R U2
B' U L F' D' R U2
B' U L F' D2 R U2
B U L F' R U2 R2
B' U L' F' L2 R U2
B' U L' F' R L2 U2
B U L' F' R U2 R2
B U L2 F' R U2 R2
B' U F L F2 U2 L2
B' U F' L R U2 D
B' U F' L R U2 D'
B' U F' L R U2 D2
B' U F' L R D U2
B' U F' L R D' U2
B' U F' L R D2 U2
B' U F' L D R U2
B' U F' L D' R U2
B' U F' L D2 R U2
B' U F' R L U2 D
B' U F' R L U2 D'
B' U F' R L U2 D2
B' U F' R L D U2
B' U F' R L D' U2
B' U F' R L D2 U2
B' U F' R D L U2
B' U F' R D' L U2
B' U F' R D2 L U2
B2 U F' R U B U
B' U F' D L R U2
B' U F' D R L U2
B' U F' D' L R U2
B' U F' D' R L U2
B' U F' D2 L R U2
B' U F' D2 R L U2
B U F' L R U2 R2
B U F' L' R U2 R2
B U F' L2 R U2 R2
B U F' R L U2 R2
B U F' R L' U2 R2
B U F' R L2 U2 R2
B U F' R U2 R2 D
B U F' R U2 R2 D'
B U F' R U2 R2 D2
B U F' R D2 L2 U2
B U F' U2 R' D2 L2
B U F' D R U2 R2
B U F' D' R U2 R2
B U F' D2 R U2 R2
B' U' L F' R U2 F
F U' L' B R' D2 B2
F U' L' B D2 R' B2
F U' L' B' D2 B2 R'
B U' R' D2 L B' L
B U' R' D2 B' L B'
B U' F' R U2 R2 F
B U' F' R U2 F R2
F U' B L' R' D2 B2
F U' B L' D2 R' B2
F U' B R' L' D2 B2
F U' B R' D2 L' B2
F U' B R' D2 B2 L'
F U' B D2 L' R' B2
F U' B D2 R' L' B2
F U' B D2 R' B2 L'
F U' B' L' D2 R2 B2
F U' B' L' D2 B2 R2
F U' B' D2 B2 L' R'
F U' B' D2 B2 R' L'
U' F L' D2 F' R B2
U' F L' D2 F' B2 R
U' F L' D2 B2 F' R
U' F L' F' R2 B R'
R' F R' U' L' B R'
R' F R' U' B L' R'
R' F R' U' B R' L'
R F R U' L' B R'
R F R U' B L' R'
R F R U' B R' L'
R' F U' L' R' B R'
R' F U' L' B R' B
R' F U' R' L' B R'
R' F U' R' B L' R'
R' F U' R' B R' L'
R' F U' B L' R' B
R' F U' B R' L' B
R' F U' B R' B L'
R2 F U' L B L2 R'
R2 F U' L B R' L2
R2 F U' L' B R' D
R2 F U' L' B R' D'
R2 F U' L' B R' D2
R2 F U' L' B D R'
R2 F U' L' B D' R'
R2 F U' L' B D2 R'
R2 F U' B L' R' D
R2 F U' B L' R' D'
R2 F U' B L' R' D2
R2 F U' B L' D R'
R2 F U' B L' D' R'
R2 F U' B L' D2 R'
R2 F U' B R' L' D
R2 F U' B R' L' D'
R2 F U' B R' L' D2
R2 F U' B R' D L'
R2 F U' B R' D' L'
R2 F U' B R' D2 L'
R2 F U' B D L' R'
R2 F U' B D R' L'
R2 F U' B D' L' R'
R2 F U' B D' R' L'
R2 F U' B D2 L' R'
R2 F U' B D2 R' L'
U' F D2 L' F' R B2
U' F D2 L' F' B2 R
U' F D2 L' B2 F' R
U' F D2 B2 L' F' R
R' F B U' L' R' B
R' F B U' R' L' B
R' F B U' R' B L'
B D R2 U' B L R
B D R2 U' B R L
R2 F B' U' B2 L' R'
R2 F B' U' B2 R' L'
U' F' L2 R B' L U2
U' F' L2 B' L R U2
U' F' L2 B' R L U2
U' F' R L2 B' L U2
U' F' R B U2 R' F
U' F' R B U2 F R'
U' F' R B2 U2 F R
U F' R U B U R'
U F' R U2 B R' B'
U F' R B' L B U2
R2 F' U' B R' D2 L2
F' D' R U' F' U' F
U' F' B R U2 R2 F
U' F' B R U2 F R2
U F' D' R U' F' U'
U' F' B2 R U2 F R
U F' B R B' U2 R2
U F' B' L B R U2
U F2 D2 F L' R U2
U F2 D2 F R L' U2
U' B R' D2 L B' L
U' B R' D2 B' L B'
D2 B U F' R' U2 R2
U' B U2 F' R U2 R2
U2 B U' F' R U2 R2
F' B R U2 R2 D' F2
R' B F U' L' R' B
R' B F U' R' L' B
R' B F U' R' B L'
U' B F' R U2 R2 F
U' B F' R U2 F R2
B' F U L F2 U2 L2
B' F U F2 L R U2
B' F U F2 R L U2
B' F U' L' D2 R2 B2
B' F U' L' D2 B2 R2
U' B' L F' R U2 F
B' F U' D2 B2 L' R'
B' F U' D2 B2 R' L'
U B F' R B' U2 R2
B F U F2 R U2 R2
B F U' L' R' D2 B2
B F U' L' D2 R' B2
F B U F2 R U2 R2
B F U' R' L' D2 B2
B F U' R' D2 L' B2
B F U' R' D2 B2 L'
B F U' D2 L' R' B2
B F U' D2 R' L' B2
B F U' D2 R' B2 L'
F B U' L' R' D2 B2
F B U' L' D2 R' B2
F B U' R' L' D2 B2
F B U' R' D2 L' B2
F B U' R' D2 B2 L'
F B U' D2 L' R' B2
F B U' D2 R' L' B2
F B U' D2 R' B2 L'
U B' L F' B R U2
U B' L B F' R U2
B F D R2 U' L' R
B F D R2 U' R L'
F B D R2 U' L' R
F B D R2 U' R L'
B' F D2 U' B2 L' R'
B' F D2 U' B2 R' L'
B' F' L R U' L' U'
F' B' L R U' L' U'
B F D2 U' L' R' B2
B F D2 U' R' L' B2
B F D2 U' R' B2 L'
F B D2 U' L' R' B2
F B D2 U' R' L' B2
F B D2 U' R' B2 L'
D2 B' U F' U2 L R
D2 B' U F' U2 R L
U' B' U2 L F' R U2
B' F' R L U' L' U'
U2 B' U' L F' R U2
F' B' R L U' L' U'
U' B' U2 F' L R U2
U' B' U2 F' R L U2
U2 B' U' F' L R U2
U2 B' U' F' R L U2
B F' R U2 R2 D' F2
F B' U L F2 U2 L2
F B' U F2 L R U2
F B' U F2 R L U2
R2 B' F U' B2 L' R'
R2 B' F U' B2 R' L'
F B' U' L' D2 R2 B2
F B' U' L' D2 B2 R2
F B' U' D2 B2 L' R'
F B' U' D2 B2 R' L'
U B' F' L B R U2
F B' D2 U' B2 L' R'
F B' D2 U' B2 R' L'
U' B2 U2 F' L' R U2
U' B2 U2 F' R L' U2
U' B2 F' R U2 F R
