L2 R B' L2 U' R
R L2 B' L2 U' R
D R U2 F B2 U
D R U2 B2 F U
D' R F2 U2 F' U
R U' R U' F U
D' R' F2 R2 B U'
F2 U2 L' F' U R2
U2 F2 L' F' U R2
R' F2 R2 B U' R
D' F2 U2 L' F' U
L2 B' L2 R U' R
L2 B' R L2 U' R
L2 R D B' U' R F2
L2 R B L2 B2 U' R
L2 R B' L2 U' R D
L2 R B' L2 U' R D'
L2 R B' L2 U' R D2
L2 R B' L2 U' D R
L2 R B' L2 U' D' R
L2 R B' L2 U' D2 R
L2 R B' L2 D U' R
L2 R B' L2 D' U' R
L2 R B' L2 D2 U' R
L2 R B' U' R D F2
L2 R B' U' D R F2
U2 L F2 L' F U R2
L2 R B' D U' R F2
L2 R B2 L2 B U' R
U2 L' U2 R B U' R
F2 L' D F' B2 R' U
F2 L' D B2 F' R' U
F L' D B2 R' U B
L2 R2 U R' B' L2 U'
R2 L2 U R' B' L2 U'
F2 L' F' U2 L U' R2
F2 L' F' D B2 R' U
F2 L' F' B2 R' U R'
R L2 D B' U' R F2
F2 L' B2 F' R' U R'
D' L2 R F2 B' L2 U'
D' L2 R B' L2 F2 U'
B' L2 R B' L2 U' R
D' L2 R B' F2 L2 U'
B2 L2 R B' L2 U' R
D L2 R B' L2 F U'
B L2 R B' L2 U' R
U' L2 R2 U R' B' U'
U' L2 U R B' U' R
U' L2 U B' R U' R
D2 L2 U' R B' L2 U'
D2 L2 U' B' L2 R U'
D2 L2 U' B' R L2 U'
U L2 U' R B' U' R
R L2 B L2 B2 U' R
U2 L2 U2 R B' U' R
U L2 U' B' R U' R
U2 L2 U2 B' R U' R
R L2 B' L2 U' R D
R L2 B' L2 U' R D'
R L2 B' L2 U' R D2
R L2 B' L2 U' D R
R L2 B' L2 U' D' R
R L2 B' L2 U' D2 R
R L2 B' L2 D U' R
R L2 B' L2 D' U' R
R L2 B' L2 D2 U' R
R L2 B' U' R D F2
R L2 B' U' D R F2
R L2 B' D U' R F2
R L2 B2 L2 B U' R
R U L2 U' B' U' R
L2 U R B' L2 U' R
R2 U R' U2 F U F'
R U R' U F U R2
D' L2 B' L2 R F2 U'
B' L2 B' L2 R U' R
D' L2 B' R L2 F2 U'
B' L2 B' R L2 U' R
D' L2 B' R F2 L2 U'
B2 L2 B' L2 R U' R
R U R2 U F U R'
B2 L2 B' R L2 U' R
D L2 B' L2 R F U'
B L2 B' L2 R U' R
D L2 B' R L2 F U'
B L2 B' R L2 U' R
U L2 B' R U' R F'
D' R L2 F2 B' L2 U'
D' R L2 B' L2 F2 U'
B' R L2 B' L2 U' R
D' R L2 B' F2 L2 U'
D2 R U L2 U' B' U'
B2 R L2 B' L2 U' R
D R L2 B' L2 F U'
B R L2 B' L2 U' R
F' R U' R D' L2 B
B' R U' R U' F U
F' R U' R D' B L2
F' R U' R B D' L2
B2 R U' R U' F U
F' R U' D' L2 R B
F' R U' D' R L2 B
F' R U' D' R B L2
B R U' R U' F U
D' R U2 D F U R2
D2 R U2 D' F B2 U
D2 R U2 D' B2 F U
D2 R U2 D2 F U R2
D2 R U2 F U D2 R2
D' R U2 D2 F B2 U
D2 R U2 F U' L2 U2
D2 R U2 F D' B2 U
D2 R U2 F D2 U R2
D' R U2 D2 B2 F U
D' R U2 F U2 F U'
U2 R U2 R' F U R2
D R U2 D' F U R2
L2 U B' L2 R U' R
D R U2 F U D' R2
D R U2 F D' U R2
D R U2 F B2 U D
D R U2 F B2 U D'
D R U2 F B2 U D2
D R U2 F B2 D U
D R U2 F B2 D' U
D R U2 F B2 D2 U
L2 U B' R L2 U' R
D R U2 B2 D F U
D R U2 B2 D' F U
D R U2 B2 D2 F U
D R U2 B2 F U D
D R U2 B2 F U D'
D R U2 B2 F U D2
D R U2 B2 F D U
D R U2 B2 F D' U
D R U2 B2 F D2 U
U R U2 F U F' R
D' R D U2 F U R2
D2 R D F2 U2 F' U
D2 R D' U2 F B2 U
D2 R D' U2 B2 F U
F' R D' U' L2 R B
F' R D' U' R L2 B
F' R D' U' R B L2
D R D' U2 F U R2
D2 R D2 U2 F U R2
D' R D2 U2 F B2 U
D' R D2 U2 B2 F U
F' R D2 B2 U' R B
D R D2 F2 U2 F' U
D2 R F U L2 U2 L2
R U' L2 R U B' U'
R U' L2 U B' U' R
D' R F' D' F' U' L2
D' R F' D2 F' B2 U'
D2 R F' D2 B2 U' R2
D' R F' D2 B2 F' U'
D R F' U' D' L2 R2
D R F' U' D' R2 L2
D R F' U2 F2 B2 U
D R F' U2 B2 F2 U
D R F' D' U' L2 R2
D R F' D' U' R2 L2
D R F' D2 F2 B2 U'
D R F' D2 B2 F2 U'
D' R F2 R2 B R2 U'
R U' R L2 U B' U'
D' R F2 U2 D F' U
D' R F2 U2 D' F' U
D' R F2 U2 D2 F' U
D' R F2 U2 F' U D
D' R F2 U2 F' U D'
D' R F2 U2 F' U D2
D' R F2 U2 F' D U
D' R F2 U2 F' D' U
D' R F2 U2 F' D2 U
R U' R U' D F U
D' R F2 D U2 F' U
R U' R U' D' F U
R U' R U' D2 F U
R U' R U' F U D
R U' R U' F U D'
R U' R U' F U D2
R U' R U' F D U
R U' R U' F D' U
R U' R U' F D2 U
D' R F2 D' U2 F' U
L2 U' R B' L2 U' R
D' R F2 D2 U2 F' U
R U' R D U' F U
D' R F2 B U2 F' U
R U' R D' U' F U
D' R F2 B' U2 F' U
R U' R D2 U' F U
D' R F2 B2 U2 F' U
R U' R F' D' F L2
D R F2 U2 F' B2 U
D R F2 U2 B2 F' U
R U' R' U' F U R2
D' R B F2 U2 F' U
D R B U2 F B U
D R B U2 B F U
R U' R2 U' F U R'
D' R B' F2 U2 F' U
D R B' U2 F B' U
D R B' U2 B' F U
R U' D R U' F U
D' R B2 F2 U2 F' U
R U' D' R U' F U
R U' D2 R U' F U
R U' F' D' F L2 R
R U' F' D' F R L2
L2 U' B' L2 R U' R
L2 U' B' R L2 U' R
L' U2 L R B U' R
L' U2 R L B U' R
D' R' F2 R2 D B U'
D' R' F2 R2 D' B U'
D' R' F2 R2 D2 B U'
D' R' F2 R2 B U' D
D' R' F2 R2 B U' D'
D' R' F2 R2 B U' D2
D' R' F2 R2 B D U'
D' R' F2 R2 B D' U'
D' R' F2 R2 B D2 U'
B' R' F2 R2 B U' R
B2 R' F2 R2 B U' R
L2 U2 R B' L2 U' R
D' R' F2 B R2 B U'
D' R' F2 B' R2 B U'
D' R' F2 B2 R2 B U'
B R' F2 R2 B U' R
R U2 R F R' U R
D' R' B F2 R2 B U'
R' U2 D F U R' B2
D' R' B' F2 R2 B U'
R U2 R2 F R2 U R
D' R' B2 F2 R2 B U'
R' U2 D2 F L2 U R'
R' U2 F U D R' B2
R' U2 F U2 R2 U' R
R' U2 F D U R' B2
R' U2 F D2 L2 U R'
U' R2 L2 U R' B' U'
R2 U2 F U2 R' U' R
R U2 F U F' R F
R U2 F U2 F' U' R
U' R2 U R' U2 F U
R U2 F D2 B U R'
U' R2 U' F U2 R' U'
L2 U2 B' L2 R U' R
L2 U2 B' R L2 U' R
D R2 U2 F B2 L U
D R2 U2 B2 F L U
D' R2 F2 R2 B R U'
R D L2 B' L2 U' R
F2 R2 F2 B R U' R'
F2 R2 B F2 R U' R'
U' R2 B2 U' F L U
R' D U2 F U R' B2
R D U' R U' F U
D2 U L2 U' R B' U'
D2 U L2 U' B' R U'
U2 D F2 L' F' B2 U
U2 D F2 L' B2 F' U
U2 D F2 B2 L' F' U
R D' L2 B' L2 U' R
U2 D B2 F2 L' F' U
R D' U' R U' F U
F2 U' L' F' U R2 F
F2 U' L' F' U F R2
F' U' R D' L2 B R
F' U' R D' B L2 R
F' U' R D' B R L2
F' U' R B R D' L2
F' U' R B D' L2 R
F' U' R B D' R L2
R D2 L2 B' L2 U' R
U D2 L2 U' R B' U'
U D2 L2 U' B' R U'
R' D2 U2 F L2 U R'
F2 U2 L F' L2 U R2
R D2 U' R U' F U
F2 U2 L' D F' B2 U
F2 U2 L' D B2 F' U
F2 U2 L' F' U R2 D
F2 U2 L' F' U R2 D'
F2 U2 L' F' U R2 D2
F2 U2 L' F' D B2 U
F2 U2 L' F' B U R2
F2 U2 L' F' B' U R2
F2 U2 L' F' B2 U R2
F2 U2 L' B F' U R2
F2 U2 L' B' F' U R2
F2 U2 L' B2 F' U R2
F2 U2 L2 F' L U R2
D U2 F2 L' F' B2 U
D U2 F2 L' B2 F' U
D U2 F2 B2 L' F' U
F2 U2 D L' F' B2 U
F2 U2 D L' B2 F' U
F2 U2 D B2 L' F' U
D U2 B2 F2 L' F' U
B' U2 F2 L' F' U R2
B2 U2 F2 L' F' U R2
F' U2 F2 U R B R
F' U2 F2 B L U R2
F' U2 B L F2 U R2
B U2 F2 L' F' U R2
F2 U2 B L' F' U R2
F' U2 B F2 L U R2
F2 U2 B' L' F' U R2
U2 F U R' D R' B
