U2 F L2 U F'
F L2 U2 F' U' F
D2 L2 B' R2 U' F'
U2 R F L2 U F'
U2 R' F L2 U F'
R' U2 F L2 U F'
R2 U2 F L2 U F'
R U2 F L2 U F'
D2 R2 U2 F U F'
D2 R2 U2 F U F'
U2 R2 F L2 U F'
F R2 B L2 U F
F' U L2 F2 B' U
F' U L2 B' F2 U
U2 D' F U F' B2
U2 D' F U B2 F'
D' U2 F U F' B2
D' U2 F U B2 F'
U2 F L2 U D F'
U2 F L2 U D' F'
U2 F L2 U D2 F'
U2 F L2 U F' D
U2 F L2 U F' D'
U2 F L2 U F' D2
U2 F L2 D U F'
U2 F L2 D' U F'
U2 F L2 D2 U F'
B U2 F L2 U F
U F L2 U D2 R2
U F L2 U' L2 U2
U F L2 D' B2 U
U F L2 D2 U R2
U2 F U D' F' B2
U2 F U D' B2 F'
U2 F U F' D' B2
U2 F D' U F' B2
U2 F D' U B2 F'
U2 F2 L2 F' U F'
L2 B' U B U2 B'
F' L U L F2 B' U
F' L U L B' F2 U
F' L U F2 L B' U
L2 R B' U B U2 B'
L2 R' B' U B U2 B'
D2 L' B' R2 U' F' L'
D2 L2 R2 B' U B U2
F L2 R2 B U' B' U2
F' L2 U F2 B' U B
F' L2 U B' F2 U B
U' L2 U B' L2 U' B
D2 L2 U' R2 B' U' R2
U L2 U' L2 U F U
D2 L2 U' B' R2 U' R2
F L2 U2 L F' U' F
F L2 U2 L' F' U' F
F L2 U2 L2 F' U' F
R' L2 B' U B U2 B'
F L2 U2 D F' U' F
F L2 U2 D' F' U' F
F L2 U2 D2 F' U' F
U L2 U2 D F2 B' U'
U L2 U2 D B' F2 U'
U2 L2 U2 B' U B U2
F L2 U2 F' U' D F
F L2 U2 F' U' D' F
F L2 U2 F' U' D2 F
F L2 U2 F' U' F D
F L2 U2 F' U' F D'
F L2 U2 F' U' F D2
F L2 U2 F' D U' F
F L2 U2 F' D' U' F
F L2 U2 F' D2 U' F
U L2 U2 D2 B' U' R2
L2 R2 B' U B U2 B'
R2 L2 B' U B U2 B'
U L2 U2 B' U L2 U2
U L2 U2 B' U' D2 R2
R L2 B' U B U2 B'
U L2 U2 B' D F2 U'
U L2 U2 B' D2 U' R2
F L2 D U2 F' U' F
U L2 D U2 F2 B' U'
U L2 D U2 B' F2 U'
D L2 D B' R2 U' F'
D' L2 D' B' R2 U' F'
F L2 D' U2 F' U' F
U L2 D' B2 U2 B U'
F L2 D2 U2 F' U' F
U L2 D2 U2 B' U' R2
U2 L2 F U2 B' U' F'
F2 L2 F' U2 F' U' F
U2 L2 F' U2 B' U' F
U2 L2 F2 U2 B' U' F2
D L2 F2 U' F2 B' U'
F' L2 F2 B' R2 U F'
D L2 F2 U' B' F2 U'
F' L2 F2 B' U' B U2
D2 L2 B' L R2 U' F'
D2 L2 B' L' R2 U' F'
D2 L2 B' L2 R2 U' F'
D2 L2 B' R2 L U' F'
D2 L2 B' R2 L' U' F'
D2 L2 B' R2 L2 U' F'
D2 L2 B' R2 U' D F'
D2 L2 B' R2 U' D' F'
D2 L2 B' R2 U' D2 F'
D2 L2 B' R2 U' F' D
D2 L2 B' R2 U' F' D'
D2 L2 B' R2 U' F' D2
D2 L2 B' R2 D U' F'
D2 L2 B' R2 D' U' F'
D2 L2 B' R2 D2 U' F'
D' L2 B' R2 U' F' B'
D' L2 B' R2 U' B' F'
F' L2 B' R2 F2 U F
D' L2 B' U B U2 B2
B' L2 B' U B2 U2 B2
D' L2 B' U' B' D2 F2
U L2 B D2 F2 U R2
B2 L2 B' U B' U2 B
D L2 B' U F2 B U2
D L2 B' U B F2 U2
F L2 B' R2 B U F'
F' L2 B' F2 R2 U F'
F' L2 B' F2 U' B U2
D L2 B' D R2 U' F'
U L2 B' U' L2 U2 L2
F L2 B2 D' R2 B U
R' U F L2 U D2 R2
R' U F L2 U' L2 U2
R' U F L2 D' B2 U
R' U F L2 D2 U R2
R2 U F L2 U D2 R2
R2 U F L2 U' L2 U2
R2 U F L2 D' B2 U
R2 U F L2 D2 U R2
R U F L2 U D2 R2
R U F L2 U' L2 U2
R U F L2 D' B2 U
R U F L2 D2 U R2
F' R U L2 F2 B' U
F' R U L2 B' F2 U
U R U R' F L2 U
U R U F L2 R' U
U R U F R' L2 U
D' R U2 F U F' B2
D' R U2 F U B2 F'
U' R U2 F L2 U R'
B R U2 F L2 U F
U2 R D' F U F' B2
U2 R D' F U B2 F'
U2 R F L2 U D F'
U2 R F L2 U D' F'
U2 R F L2 U D2 F'
U2 R F L2 U F' D
U2 R F L2 U F' D'
U2 R F L2 U F' D2
U2 R F L2 D U F'
U2 R F L2 D' U F'
U2 R F L2 D2 U F'
U2 R F U D' F' B2
U2 R F U D' B2 F'
U2 R F U F' D' B2
U2 R F D' U F' B2
U2 R F D' U B2 F'
U2 R F2 L2 F' U F'
F R B L2 U F R
F' R' U L2 F2 B' U
F' R' U L2 B' F2 U
U R' U R F L2 U
D' R' U2 F U F' B2
D' R' U2 F U B2 F'
B R' U2 F L2 U F
U2 R' D' F U F' B2
U2 R' D' F U B2 F'
L' U2 L' R' F' U F
L' U2 L' F U F' L'
U2 R' F L2 U D F'
U2 R' F L2 U D' F'
U2 R' F L2 U D2 F'
U2 R' F L2 U F' D
U2 R' F L2 U F' D'
U2 R' F L2 U F' D2
U2 R' F L2 D U F'
U2 R' F L2 D' U F'
U2 R' F L2 D2 U F'
U2 R' F U D' F' B2
U2 R' F U D' B2 F'
U2 R' F U F' D' B2
L U2 L' F L2 U F'
U2 R' F D' U F' B2
U2 R' F D' U B2 F'
R' U2 R F L2 U F'
U2 R' F2 L2 F' U F'
L' U2 R' L' F' U F
R2 U2 R F L2 U F'
R' U2 R' F L2 U F'
R U2 R F L2 U F'
R2 U2 R' F L2 U F'
R' U2 R2 F L2 U F'
R U2 R' F L2 U F'
R2 U2 R2 F L2 U F'
R U2 R2 F L2 U F'
R' U2 D' F U F' B2
R' U2 D' F U B2 F'
R2 U2 D' F U F' B2
R2 U2 D' F U B2 F'
R U2 D' F U F' B2
R U2 D' F U B2 F'
R' U2 F L2 U D F'
R' U2 F L2 U D' F'
R' U2 F L2 U D2 F'
R' U2 F L2 U F' D
R' U2 F L2 U F' D'
R' U2 F L2 U F' D2
R' U2 F L2 D U F'
R' U2 F L2 D' U F'
R' U2 F L2 D2 U F'
R' U2 F U D' F' B2
R' U2 F U D' B2 F'
R' U2 F U F' D' B2
R' U2 F D' U F' B2
R' U2 F D' U B2 F'
L' U2 F U F' L' B'
R2 U2 F L2 U D F'
R2 U2 F L2 U D' F'
R2 U2 F L2 U D2 F'
R2 U2 F L2 U F' D
R2 U2 F L2 U F' D'
R2 U2 F L2 U F' D2
R2 U2 F L2 D U F'
R2 U2 F L2 D' U F'
R2 U2 F L2 D2 U F'
R2 U2 F U D' F' B2
R2 U2 F U D' B2 F'
R2 U2 F U F' D' B2
R U2 F L2 U D F'
R U2 F L2 U D' F'
R U2 F L2 U D2 F'
R U2 F L2 U F' D
R U2 F L2 U F' D'
R U2 F L2 U F' D2
R U2 F L2 D U F'
R U2 F L2 D' U F'
R U2 F L2 D2 U F'
D2 R2 L2 B' U B U2
R2 U2 F D' U F' B2
R2 U2 F D' U B2 F'
R U2 F U D' F' B2
R U2 F U D' B2 F'
R U2 F U F' D' B2
F' R2 U L2 F2 B' U
F' R2 U L2 B' F2 U
R U2 F D' U F' B2
R U2 F D' U B2 F'
R' U2 F2 L2 F' U F'
F R2 L2 B U' B' U2
F R2 U L2 B U L2
R2 U2 F2 L2 F' U F'
U R2 U R2 F L2 U
U R2 U F L2 R2 U
U R2 U F R2 L2 U
B' R2 U' F' D' L2 B2
B' R2 U' F' D' B2 L2
F R2 U B L2 U L2
R U2 F2 L2 F' U F'
D2 R2 U2 R F U F'
D2 R2 U2 R' F U F'
D2 R2 U2 R2 F U F'
D2 R2 U2 D F U F'
D2 R2 U2 D' F U F'
D2 R2 U2 D2 F U F'
D2 R2 U2 F U D F'
D2 R2 U2 F U D' F'
D2 R2 U2 F U D2 F'
D2 R2 U2 F U F' D
D2 R2 U2 F U F' D'
D2 R2 U2 F U F' D2
D2 R2 U2 F D U F'
D2 R2 U2 F D' U F'
D2 R2 U2 F D2 U F'
D' R2 U2 F U F' B2
D' R2 U2 F U B2 F'
U' R2 U2 F L2 U R2
B' R2 U2 F L2 U F2
B R2 U2 F L2 U F
D2 R2 D U2 F U F'
D2 R2 D' U2 F U F'
U2 R2 D' F U F' B2
U2 R2 D' F U B2 F'
D2 R2 D2 U2 F U F'
U2 R2 F L2 U D F'
U2 R2 F L2 U D' F'
U2 R2 F L2 U D2 F'
U2 R2 F L2 U F' D
U2 R2 F L2 U F' D'
U2 R2 F L2 U F' D2
U2 R2 F L2 D U F'
U2 R2 F L2 D' U F'
U2 R2 F L2 D2 U F'
U2 R2 F U D' F' B2
U2 R2 F U D' B2 F'
U2 R2 F U F' D' B2
U2 R2 F D' U F' B2
U2 R2 F D' U B2 F'
U2 R2 F2 L2 F' U F'
D2 R2 B L2 B' U' F
F R2 B L2 R U F
F R2 B L2 R' U F
F R2 B L2 R2 U F
F R2 B L2 U D F
F R2 B L2 U D' F
F R2 B L2 U D2 F
F R2 B L2 U F D
F R2 B L2 U F D'
F R2 B L2 U F D2
F R2 B L2 D U F
F R2 B L2 D' U F
F R2 B L2 D2 U F
F R2 B R L2 U F
F R2 B R' L2 U F
F R2 B R2 L2 U F
D2 R2 B2 D L2 B' U'
F' U L F2 L B' U
F' U L2 D' B' U L2
F2 U L2 D F' U R2
F' U L2 F2 D B' U
F' U L2 F2 D' B' U
F' U L2 F2 D2 B' U
F' U L2 F2 B' U D
F' U L2 F2 B' U D'
F' U L2 F2 B' U D2
F' U L2 F2 B' D U
F' U L2 F2 B' D' U
F' U L2 F2 B' D2 U
F2 U L2 D2 F' B2 U
F' U L2 B' U D' L2
F2 U L2 D2 B2 F' U
F' U L2 B' D' U L2
F' U L2 B' F2 U D
F' U L2 B' F2 U D'
F' U L2 B' F2 U D2
F' U L2 B' F2 D U
F' U L2 B' F2 D' U
F' U L2 B' F2 D2 U
F2 U L2 F' U2 F' U'
F U L2 U2 F' U' L2
D' U F L' U B2 R'
L2 D B' U B U2 B'
D' U F U B2 D' R2
D2 U F U2 R2 U' R2
U2 D F L2 U F' B'
U2 D F L2 U B' F'
F2 U D F' U R2 B
U2 D F U F' D2 B2
U2 D F U' F U2 F2
F2 U F L2 F2 B' U
F2 U F L2 B' F2 U
D U F2 U F' U F
U D F2 U F' U F
F2 U F' L2 U2 F' U'
F' U F2 L2 U2 F' U'
F' U B L2 F2 B' U
F' U B L2 B' F2 U
B' U B U F L2 U
F U F2 L2 B' U L2
F' U B' L2 F2 B' U
F' U B' L2 B' F2 U
F' U B2 L2 F2 B' U
F' U B2 L2 B' F2 U
B U B' U F L2 U
B2 U B2 U F L2 U
R' D' U2 F U F' B2
R' D' U2 F U B2 F'
R2 D' U2 F U F' B2
R2 D' U2 F U B2 F'
U2 D' R F U F' B2
U2 D' R F U B2 F'
R D' U2 F U F' B2
R D' U2 F U B2 F'
U2 D' R' F U F' B2
U2 D' R' F U B2 F'
D2 U' R2 U2 F U R2
U2 D' R2 F U F' B2
U2 D' R2 F U B2 F'
U2 D' F L U F' B2
U2 D' F L U B2 F'
U2 D' F L' U F' B2
U2 D' F L' U B2 F'
U2 D' F L2 U F' B2
U2 D' F L2 U B2 F'
U2 D' F U F' B2 D
U2 D' F U F' B2 D'
U2 D' F U F' B2 D2
U2 D' F U B2 D F'
U2 D' F U B2 D' F'
U2 D' F U B2 D2 F'
U2 D' F U B2 F' D
U2 D' F U B2 F' D'
U2 D' F U B2 F' D2
U2 D' F D L2 U F'
U D' F L' U B2 R'
U D' F U B2 D' R2
D2 U' F2 R2 B U' R2
L2 D' B' U B U2 B'
F' U' D' F U' L2 B2
F' U' D' F U' B2 L2
F' U' D2 R2 F B2 U'
F' U' D2 R2 B2 F U'
F' U' D2 F R2 B2 U'
F' U' D2 F B2 R2 U'
F' U' D2 B2 R2 F U'
F' U' D2 B2 F R2 U'
U' D' B2 U' F U F'
D' U' B2 U' F U F'
F' U' F U2 F L2 U
U2 D' B2 U' F B2 U
U2 D' B2 U' B2 F U
R' D2 L2 B' R2 U' F'
B' U' F' D' B2 L2 F
R2 D2 L2 B' R2 U' F'
B U' F' D' L2 F B2
B U' F' D' L2 B2 F
F2 U' F2 U2 F L2 U
F U' F' U2 L2 U L2
R D2 L2 B' R2 U' F'
R' D2 R2 U2 F U F'
D' U2 R F U F' B2
D' U2 R F U B2 F'
R2 D2 R2 U2 F U F'
D' U2 R' F U F' B2
D' U2 R' F U B2 F'
R D2 R2 U2 F U F'
U' D2 R2 U2 F U R2
D' U2 R2 F U F' B2
D' U2 R2 F U B2 F'
D' U2 F L U F' B2
D' U2 F L U B2 F'
D' U2 F L' U F' B2
D' U2 F L' U B2 F'
D' U2 F L2 U F' B2
D' U2 F L2 U B2 F'
D' U2 F U F' B2 D
D' U2 F U F' B2 D'
D' U2 F U F' B2 D2
D' U2 F U B2 D F'
D' U2 F U B2 D' F'
D' U2 F U B2 D2 F'
D' U2 F U B2 F' D
D' U2 F U B2 F' D'
D' U2 F U B2 F' D2
D2 U2 F U D F' B2
D2 U2 F U D B2 F'
D2 U2 F U F' D B2
D' U2 F D L2 U F'
D2 U2 F D U F' B2
D2 U2 F D U B2 F'
D2 U2 F D2 L2 U F'
U2 D2 F U D F' B2
U2 D2 F U D B2 F'
U2 D2 F U F' D B2
U2 D2 F D U F' B2
U2 D2 F D U B2 F'
D U2 F L2 U F' B'
D U2 F L2 U B' F'
U2 D2 F D2 L2 U F'
D U2 F U F' D2 B2
D U2 F U' F U2 F2
F' U2 L2 F2 B' U F2
F' U2 L2 B' F2 U F2
U D2 F U2 R2 U' R2
U' D2 F2 R2 B U' R2
B U2 L2 U2 B' U' F
B U2 R F L2 U F
B' U2 R2 F L2 U F2
B U2 R' F L2 U F
L2 D2 B' U B U2 B'
D' U2 B2 U' F B2 U
D' U2 B2 U' B2 F U
B U2 R2 F L2 U F
B2 U2 D' R2 F U B2
B2 U2 D' F R2 U B2
U2 F L D L U F'
U2 F L D' L U F'
U2 F L D2 L U F'
B' U2 F L2 R2 U F'
B' U2 F L2 U' B U2
B' U2 F R2 L2 U F'
B2 U2 F L2 U D2 F2
F U2 D' F' U' F B2
F U2 D' F' U' B2 F
B2 U2 F L2 U' B2 U2
B2 U2 F L2 D' R2 U
B2 U2 F L2 D2 U F2
U2 F L' D L' U F'
U2 F L' D' L' U F'
U2 F L' D2 L' U F'
R' F L2 U2 F' U' F
U' F L2 D2 R2 U R2
B2 U2 F D' R2 U B2
U2 F L2 R2 U' B U2
F U2 D2 F' R2 U' F
U2 F L2 U L' F' L
U2 F L2 U L2 F' L2
U2 F L2 U D F' D
U2 F L2 U D F' D'
U2 F L2 U D F' D2
U2 F L2 U D' F' D
U2 F L2 U D' F' D'
U2 F L2 U D' F' D2
U2 F L2 U D2 F' D
U2 F L2 U D2 F' D'
U2 F L2 U D2 F' D2
U2 F L2 U F2 D F
U2 F L2 U F2 D' F
U2 F L2 U F2 D2 F
B U2 F L2 R U F
B U2 F L2 R' U F
B U2 F L2 R2 U F
B U2 F L2 U D F
B U2 F L2 U D' F
B U2 F L2 U D2 F
B U2 F L2 U F D
B U2 F L2 U F D'
B U2 F L2 U F D2
B U2 F L2 D U F
B U2 F L2 D' U F
B U2 F L2 D2 U F
U2 F L2 U' B U2 F'
U2 F L2 U' B' U2 F'
U2 F L2 U' B2 U2 F'
B U2 F R L2 U F
U2 F L2 U2 L U' F'
U2 F L2 U2 L' U' F'
U2 F L2 U2 L2 U' F'
B U2 F R' L2 U F
U2 F L2 D U F' D
U2 F L2 D U F' D'
U2 F L2 D U F' D2
B U2 F R2 L2 U F
U2 F L2 D' U F' D
U2 F L2 D' U F' D'
U2 F L2 D' U F' D2
U2 F L2 D2 U F' D
U2 F L2 D2 U F' D'
U2 F L2 D2 U F' D2
R2 F L2 U2 F' U' F
U F L' B2 L' U R'
U F L2 U R D2 R2
U F L2 U R' D2 R2
U F L2 U R2 D2 R2
U F L2 U D2 R2 D
U F L2 U D2 R2 D'
U F L2 U D2 R2 D2
U F L2 U' L2 U2 D
U F L2 U' L2 U2 D'
U F L2 U' L2 U2 D2
U F L2 U' L2 D U2
U F L2 U' L2 D' U2
U F L2 U' L2 D2 U2
B U2 F' L2 F2 U F'
U F L2 U2 D F2 U'
U F L2 D U2 F2 U'
U F L2 D' B2 U D
U F L2 D' B2 U D'
U F L2 D' B2 U D2
U F L2 D' B2 D U
U F L2 D' B2 D' U
U F L2 D' B2 D2 U
U F L2 D2 U R2 D
U F L2 D2 U R2 D'
U F L2 D2 U R2 D2
U F L2 D2 B U R2
U F L2 D2 B' U R2
U F L2 D2 B2 U R2
R F L2 U2 F' U' F
U F L2 B U D2 R2
U F L2 B U' L2 U2
U F L2 B D' B2 U
U F L2 B D2 U R2
U F L2 B' U D2 R2
U F L2 B' U' L2 U2
U F L2 B' D' B2 U
U F L2 B' D2 U R2
U F L2 B2 U D2 R2
F U2 F' U' D' F B2
U F L2 B2 U' L2 U2
F U2 F' U' D' B2 F
F U2 F' U' F D' B2
U F L2 B2 D' B2 U
U F L2 B2 D2 U R2
F U2 F' D' U' F B2
F U2 F' D' U' B2 F
F U2 F' D2 R2 U' F
B U2 F2 L2 F' U F2
R' F R2 B L2 U F
U2 F R2 L2 U' B U2
R2 F R2 B L2 U F
U2 F U D' F' B2 D
U2 F U D' F' B2 D'
U2 F U D' F' B2 D2
U2 F U D' B2 D F'
U2 F U D' B2 D' F'
U2 F U D' B2 D2 F'
