D R' B' L F U'
D' L R' F L' B' U'
R' L F U B U2 L
D' L F L' R' B' U'
D' L F R' L' B' U'
L R' F U B U2 L
R2 U R B' U' R' F'
R' U B L U' B2 U'
R' U B L U2 D L2
R' U B L D U2 L2
R' U B L D' R2 U2
R' U B U' B2 U' R'
R' U B D L U2 L
R' U B D' L R2 U2
R' U B D' R2 L U2
D R B' L R2 F U'
D R B' L F R2 U'
D R B' R2 L F U'
D' R' L F L' B' U'
D2 R' D' B' L F U'
D' R' D2 B' L F U'
D R' F B' L F U'
U2 R' F' B' U B2 U2
U2 R' F' B' U' D2 F2
U2 R' F' B' D L2 U'
U2 R' F' B' D2 U' F2
D R' F' B' L F U'
D R' F2 B' L F U'
D' R' B' L F L' U'
D R' B' L D F U'
D R' B' L D' F U'
D R' B' L D2 F U'
D R' B' L F U' D
D R' B' L F U' D'
D R' B' L F U' D2
D R' B' L F D U'
D R' B' L F D' U'
D R' B' L F D2 U'
U2 R' B' D L2 F' U'
U2 R' B' D F' L2 U'
U2 R' B' D2 F' U' F'
D R' B' D L F U'
D R' B' D' L F U'
U2 R' B' F' U B2 U2
U2 R' B' F' U' D2 F2
U2 R' B' F' D L2 U'
U2 R' B' F' D2 U' F2
D R' B' D2 L F U'
D R' B' F L F U'
D R' B' F' L F U'
U R' B' U B2 L U2
U R' B' U' R' D2 F2
U R' B' U' D2 R' F2
U R' B' U' D2 F2 R'
D R' B' F2 L F U'
U R' B' D L2 U' R'
U R' B' D2 U' R' F2
U R' B' D2 U' F2 R'
D R2 B' L R F U'
D R2 B' R L F U'
U R2 B' R U' R2 F'
U2 D R' F' B' L U'
U2 D R' B' L F' U'
U2 D R' B' F' L U'
D U R' B' L U' R'
U D R' B' L U' R'
L D' R' F L' B' U'
L D' F L' R' B' U'
L D' F R' L' B' U'
D U2 R' F' B' L U'
D U2 R' B' L F' U'
D U2 R' B' F' L U'
L F R' U B U2 L
D F R' B' L F U'
F' D R' B' L F U'
F2 D R' B' L F U'
F D R' B' L F U'
D F' R' B' L F U'
R F' U R2 B' U' R'
R F' U B' R2 U' R
D F2 R' B' L F U'
R F2 R2 B' U' F R
R F2 B' R2 U' F R
R' B' L D F L2 U'
R' B' L D2 F U' F
R' B' L F U B2 U2
R' B' L F U' D2 F2
R' B' L F D L2 U'
R' B' L F D2 U' F2
R' B' L' D L2 F U'
R B' L F R2 U' F2
R2 B' R U B L U2
R' B' U B L B U2
R' B' U' D2 F R F
R' B' U' F R D2 F2
R' B' U' F D2 R F2
R' B' U' F' D2 F2 R
R B' R2 U B L U2
R' B' D L F L U'
D B' D L F U' B'
R' B' D2 L F U' F
R' B' D2 U' F R F
R' B' D2 F U' F R
R B' F2 R2 U' F R
