R2 U F L2 R
R2 U F R L2
R' B U F L2
F2 L2 D' F' R B2
F2 L2 D' F' B2 R
F2 L2 D' B2 F' R
R2 U R F L2 R
R2 U R F R L2
R2 U R' F L2 R
R2 U R' F R L2
R2 U R2 F L2 R
R2 U R2 F R L2
R2 U F L2 R D
R2 U F L2 R D'
R2 U F L2 R D2
R2 U F L2 D R
R2 U F L2 D' R
R2 U F L2 D2 R
R2 U F R L2 D
R2 U F R L2 D'
R2 U F R L2 D2
R U F L2 D R2
R2 U F2 L2 F' R
U R F L2 D R2
F' R' B U L2 F2
F' R' B U F2 L2
B' R' B U F L2
B2 R' B U F L2
B R' B U F L2
B' R2 U F L2 R
B' R2 U F R L2
B2 R2 U F L2 R
B2 R2 U F R L2
R U2 F' U' L2 F2
R U2 F' U' F2 L2
B R2 U F L2 R
B R2 U F R L2
R' D F2 B U F'
F2 U L2 D' F' R
R' D B F2 U F'
L2 D' B2 R2 F' R
R' F' B U L2 F2
R' F' B U F2 L2
U F2 L2 D' F' R
D F2 U D2 F' R
R' F2 B U L2 F'
R' F2 B U F' L2
D F2 D2 U F' R
D F2 B U F' R'
R' B R U F L2
R' B R' U F L2
R' B R2 U F L2
R' B U F L2 D
R' B U F L2 D'
R' B U F L2 D2
R' B U F' L2 F2
R' B U F2 L2 F'
R2 B U F L2 R
R2 B U F R L2
R' B D F2 U F'
R' B F' U L2 F2
R' B F' U F2 L2
R' B F2 U L2 F'
R' B F2 U F' L2
D B F2 U F' R'
R2 B' U F L2 R
R2 B' U F R L2
R2 B2 U F L2 R
R2 B2 U F R L2
L2 R' U' L2 B U F
R' L2 U' L2 B U F
F L2 R' U' L2 B U
F L2 R' U' B L2 U
F L2 R' B' D' R2 B2
F L2 R' B' D' B2 R2
U L2 U2 D B' L U2
F2 L2 D F' R2 B R'
U' L2 D B' L U2 L'
U L2 D U2 B' L U2
F L2 D B R' D2 B2
F L2 D B D2 R' B2
F L2 D B' D2 B2 R'
F2 L2 D' F' R B2 D
F2 L2 D' F' R B2 D'
F2 L2 D' F' R B2 D2
F2 L2 D' F' R' B2 R2
F2 L2 D' F' B' R B'
F2 L2 D' F' B2 R D
F2 L2 D' F' B2 R D'
F2 L2 D' F' B2 R D2
F2 L2 D' F' B2 D R
F2 L2 D' F' B2 D' R
F2 L2 D' F' B2 D2 R
B' L2 D' B2 R2 F' R
F2 L2 D' B' F' R B'
B2 L2 D' B2 R2 F' R
F L2 D' F' R F B2
F L2 D' F' R B2 F
F2 L2 D' B2 F' R D
F2 L2 D' B2 F' R D'
F2 L2 D' B2 F' R D2
F2 L2 D' B2 F' D R
F2 L2 D' B2 F' D' R
F2 L2 D' B2 F' D2 R
F L2 D' F' B2 R F
F L2 D' B D2 B R'
B L2 D' B2 R2 F' R
F L2 D' B2 F' R F
R2 U L2 U2 B' U2 R'
F L2 F D' F' R B2
F L2 F D' F' B2 R
F L2 F D' B2 F' R
F' L2 F' D' F' R B2
F' L2 F' D' F' B2 R
F' L2 F' D' B2 F' R
R2 U R F L2 R D
R2 U R F L2 R D'
R2 U R F L2 R D2
R2 U R F L2 D R
R2 U R F L2 D' R
R2 U R F L2 D2 R
R2 U R F R L2 D
R2 U R F R L2 D'
R2 U R F R L2 D2
R2 U R F2 L2 F' R
R2 U R' F L2 R D
R2 U R' F L2 R D'
R2 U R' F L2 R D2
R2 U R' F L2 D R
R2 U R' F L2 D' R
R2 U R' F L2 D2 R
R2 U R' F R L2 D
R2 U R' F R L2 D'
R2 U R' F R L2 D2
R2 U R' F2 L2 F' R
F2 L2 B D' F' R B2
F2 L2 B D' F' B2 R
R' U R2 F L2 D R2
F2 L2 B D' B2 F' R
R2 U R2 F L2 R D
R2 U R2 F L2 R D'
R2 U R2 F L2 R D2
R2 U R2 F L2 D R
R2 U R2 F L2 D' R
R2 U R2 F L2 D2 R
R2 U R2 F R L2 D
R2 U R2 F R L2 D'
R2 U R2 F R L2 D2
R2 U R2 F2 L2 F' R
F2 L2 B' D' F' R B2
F2 L2 B' D' F' B2 R
F2 L2 B' D' B2 F' R
F2 L2 B2 D' F' R B2
F2 L2 B2 D' F' B2 R
F2 L2 B2 D' B2 F' R
R2 U D' F R D L2
R2 U D' F D L2 R
R2 U D' F D R L2
R U D' F D L2 R2
R U D' F D R2 L2
R' U F L2 U' B U
R2 U D2 F D2 L2 R
R2 U D2 F D2 R L2
R' U F U' B U L2
R2 U F L R D L
R2 U F L R D' L
R2 U F L R D2 L
R2 U F L D L R
R2 U F L D R L
R2 U F L D' L R
R2 U F L D' R L
R2 U F L D2 L R
R2 U F L D2 R L
R2 U F L' R D L'
R2 U F L' R D' L'
R2 U F L' R D2 L'
R2 U F L' D L' R
R2 U F L' D R L'
R2 U F L' D' L' R
R2 U F L' D' R L'
R2 U F L' D2 L' R
R2 U F L' D2 R L'
R2 U F L2 R2 D R'
R2 U F L2 R2 D' R'
R2 U F L2 R2 D2 R'
R2 U F L2 D R D
R2 U F L2 D R D'
R2 U F L2 D R D2
R2 U F L2 D' R D
R2 U F L2 D' R D'
R2 U F L2 D' R D2
R2 U F L2 D2 R D
R2 U F L2 D2 R D'
R2 U F L2 D2 R D2
R2 U F L2 B R B'
R2 U F L2 B2 R B2
R2 U F R L D L
R2 U F R L D' L
R2 U F R L D2 L
R2 U F R L' D L'
R2 U F R L' D' L'
R2 U F R L' D2 L'
R2 U F R F L2 F'
R2 U F R F2 L2 F2
R2 U F R B' L2 B
R2 U F R B2 L2 B2
R U F L D L R2
R U F L D R2 L
R2 U F R2 L2 D R'
R2 U F R2 L2 D' R'
R2 U F R2 L2 D2 R'
R U F L' D L' R2
R U F L' D R2 L'
R U F L2 R D R2
R U F L2 R' D R2
R U F L2 R2 D R2
R U F L2 U F2 U'
R U F L2 D R2 D
R U F L2 D R2 D'
R U F L2 D R2 D2
R U F R L2 D R2
R U F R' L2 D R2
R2 U F D R D' L2
R U F R2 L2 D R2
R2 U F D' R D L2
R U F U F2 U' L2
R2 U F B R B' L2
R2 U F B' L2 B R
R U F D R2 D' L2
R2 U F B2 L2 R B2
R2 U F B2 L2 B2 R
R2 U F B2 R L2 B2
R2 U F B2 R B2 L2
R2 U F' R F2 L2 R
R2 U F' R F2 R L2
R2 U F' R' F2 L2 R
R2 U F' R' F2 R L2
R2 U F' R2 F2 L2 R
R2 U F' R2 F2 R L2
R U F' L2 F2 D R2
B' R U F L2 D R2
B2 R U F L2 D R2
R2 U F2 L F' L R
R2 U F2 L F' R L
B R U F L2 D R2
R2 U F2 L2 F' R D
R2 U F2 L2 F' R D'
R2 U F2 L2 F' R D2
R2 U F2 L2 F' D R
R2 U F2 L2 F' D' R
R2 U F2 L2 F' D2 R
U R U F' U' L2 F2
U R U F' U' F2 L2
U' R U' F' U' L2 F2
U' R U' F' U' F2 L2
R' U B U F B' L2
R' U B U B' F L2
U' R U2 F L2 D R2
F' R U2 F' U' L2 F'
F' R U2 F' U' F' L2
B' R U2 F' U' L2 F2
B' R U2 F' U' F2 L2
R2 U B F R B' L2
B2 R U2 F' U' L2 F2
B2 R U2 F' U' F2 L2
B R U2 F' U' L2 F2
B R U2 F' U' F2 L2
F' R D R2 F2 B U
F' R D R2 B F2 U
R2 U B' F L2 B R
R2 U B2 F L2 R B2
R2 U B2 F L2 B2 R
R2 U B2 F R L2 B2
R2 U B2 F R B2 L2
