D L2 R F L'
D R L2 F L'
R D L2 F L'
D L' R F L' F
D' L2 R D2 F L'
D2 L2 R F D' L2
D L2 R F L' D
D L2 R F L' D'
D L2 R F L' D2
D L2 R F D L'
D L2 R F D' L'
D L2 R F D2 L'
D L2 R' F L' R2
D L2 R' F R2 L'
D L2 R2 F L' R'
D L2 R2 F R' L'
D2 L2 D' R F L'
D' L2 D2 R F L'
D R L' F L' F
D' R L2 D2 F L'
D2 R L2 F D' L2
D R L2 F L' D
D R L2 F L' D'
D R L2 F L' D2
D R L2 F D L'
D R L2 F D' L'
D R L2 F D2 L'
D' R U2 B' U2 L
D' R D2 L2 F L'
D2 R F D' L2 F
D R F L2 F L
D R' L2 F L' R2
D R' L2 F R2 L'
R U2 D' B' U2 L
D R2 L2 F L' R'
D R2 L2 F R' L'
R2 D L2 R' F L'
R D L' F L' F
R2 D L2 F L' R'
R2 D L2 F R' L'
R D L2 F L' D
R D L2 F L' D'
R D L2 F L' D2
R D L2 F D L'
R D L2 F D' L'
R D L2 F D2 L'
R2 D R' L2 F L'
R D F L2 F L
R D' L2 D2 F L'
R D' U2 B' U2 L
L' D2 R F' D' L2
U2 D' B' U2 L R
U2 D' B' U2 R L
R D2 L2 D' F L'
D' U2 B' U2 L R
D' U2 B' U2 L R
D' U2 B' U2 R L
F' D L2 F L' R
F' D L2 F R L'
R F D L2 F L'
R F' D L2 F L'
R F2 D L2 F L'
D' B' U2 L B R
D' L R D2 L F L'
D L R F L F L2
D' L R B' L F B
D' L R B' L B F
L R U B L B2 U'
L2 R U B U' F L
L R U B' U2 R' U
R L U B L B2 U'
R L U B' U2 R' U
L2 R U' F' U L' F2
B' L U' B' U' R B2
B' L U' B' U' B2 R
B' L U2 B R D L2
B' L U2 B D L2 R
B' L U2 B D R L2
L2 R F L U' F U
L2 R F L' U B' U'
D2 L D' L R F L'
L2 R F U B U' L
L2 R F U' F' U L'
D2 L D' R L F L'
L' R F' L D' L2 F
L' R F' L' D' F L2
D' L D2 L R F L'
D' L D2 R L F L'
L' R F2 L' F D' L2
L2 R F2 L F' D' L2
B' L B R D L2 F
B' L B D L2 R F
B' L B D R L2 F
D' L B' L B R F
U L B' L U' R F
D L' R F L' D F
D L' R F L' D' F
D L' R F L' D2 F
D L' R F L' F D
D L' R F L' F D'
D L' R F L' F D2
D L' R' F L' R2 F
D L' R' F L' F R2
D L' R' F R2 L' F
D L' R2 F L' R' F
D L' R2 F L' F R'
D L' R2 F R' L' F
R L' F' L D' L2 F
R L' F' L' D' F L2
R L' F2 L' F D' L2
D' L' D2 R F L' F2
D L' F L' F' R F2
R L2 U B U' F L
R L2 U' F' U L' F2
D2 L2 R U' F' U F2
D2 L2 R D F D' L2
D2 L2 R D' F D' L2
D2 L2 R D2 F D' L2
D' L2 R D2 F L' D
D' L2 R D2 F L' D'
D' L2 R D2 F L' D2
D' L2 R D2 F D L'
D' L2 R D2 F D' L'
D' L2 R D2 F D2 L'
D2 L2 R F L D' L2
D2 L2 R F L' D' L2
D2 L2 R F L2 D' L2
D2 L2 R F U' F2 U
D2 L2 R F D' L2 D
D2 L2 R F D' L2 D'
D2 L2 R F D' L2 D2
D' L2 R F B' L B
D' L2 R B' F L B
D L2 R F L2 D L
D L2 R F L2 D' L
D L2 R F L2 D2 L
D L2 R F D L' D
D L2 R F D L' D'
D L2 R F D L' D2
D L2 R F D' L' D
D L2 R F D' L' D'
D L2 R F D' L' D2
D L2 R F D2 L' D
D L2 R F D2 L' D'
D L2 R F D2 L' D2
D L2 R F B' L' B
D L2 R F B2 L' B2
D L2 R F' L F2 L'
D L2 R F' L' F2 L'
D L2 R F' L2 F2 L'
D L2 R F2 L F' L'
D L2 R F2 L' F' L'
D L2 R F2 L2 F' L'
D L2 R F2 D F' L'
D L2 R F2 D' F' L'
D L2 R F2 D2 F' L'
D L2 R B' F L' B
D L2 R B2 F L' B2
R L2 F L U' F U
R L2 F L' U B' U'
D L2 R' F L' R2 D
D L2 R' F L' R2 D'
D L2 R' F L' R2 D2
D L2 R' F R2 L' D
D L2 R' F R2 L' D'
D L2 R' F R2 L' D2
D L2 R' F R2 D L'
D L2 R' F R2 D' L'
D L2 R' F R2 D2 L'
R L2 F U B U' L
D' L2 R2 D2 R' F L'
D' L2 R2 D2 F L' R'
D' L2 R2 D2 F R' L'
R L2 F U' F' U L'
D L2 R2 F L' R' D
D L2 R2 F L' R' D'
D L2 R2 F L' R' D2
D L2 R2 F L' D R'
D L2 R2 F L' D' R'
D L2 R2 F L' D2 R'
D L2 R2 F R' L' D
D L2 R2 F R' L' D'
D L2 R2 F R' L' D2
D L2 R2 F R' D L'
D L2 R2 F R' D' L'
D L2 R2 F R' D2 L'
D L2 R2 F D L' R'
D L2 R2 F D R' L'
D L2 R2 F D' L' R'
D L2 R2 F D' R' L'
D L2 R2 F D2 L' R'
D L2 R2 F D2 R' L'
R L2 F2 L F' D' L2
U L2 U' R F' L' F2
D2 L2 D R D2 F L'
D' L2 D R D F L'
D L2 D R F D' L2
D2 L2 D' R F L' D
D2 L2 D' R F L' D'
D2 L2 D' R F L' D2
D2 L2 D' R F D L'
D2 L2 D' R F D' L'
D2 L2 D' R F D2 L'
D' L2 D' R F D' L2
D2 L2 D' R' F L' R2
D2 L2 D' R' F R2 L'
D2 L2 D' R2 F L' R'
D2 L2 D' R2 F R' L'
D L2 D' R D F L'
D2 L2 D2 R D F L'
D' L2 D2 R F L' D
D' L2 D2 R F L' D'
D' L2 D2 R F L' D2
D' L2 D2 R F D L'
D' L2 D2 R F D' L'
D' L2 D2 R F D2 L'
D' L2 D2 R' F L' R2
D' L2 D2 R' F R2 L'
D' L2 D2 R2 F L' R'
D' L2 D2 R2 F R' L'
D L2 D2 R D2 F L'
R U L B' L U' F
D L2 F L' F' R F
R U L2 U' F' L' F2
D L2 B R F B' L'
D L2 B R B' F L'
R U D L2 U' F L'
D L2 B2 R F L' B2
D L2 B2 R F B2 L'
D L2 B2 R B2 F L'
D' R L D2 L F L'
D' R L B' L F B
D' R L B' L B F
D R L F L F L2
D R L' F L' D F
D R L' F L' D' F
D R L' F L' D2 F
D R L' F L' F D
D R L' F L' F D'
D R L' F L' F D2
D2 R L2 U' F' U F2
D2 R L2 D F D' L2
D2 R L2 D' F D' L2
D2 R L2 D2 F D' L2
D2 R L2 F L D' L2
D2 R L2 F L' D' L2
D2 R L2 F L2 D' L2
D2 R L2 F U' F2 U
D2 R L2 F D' L2 D
D2 R L2 F D' L2 D'
D2 R L2 F D' L2 D2
D' R L2 D2 F L' D
D' R L2 D2 F L' D'
D' R L2 D2 F L' D2
D' R L2 D2 F D L'
D' R L2 D2 F D' L'
D' R L2 D2 F D2 L'
D' R L2 F B' L B
D' R L2 B' F L B
D R L2 F L2 D L
D R L2 F L2 D' L
D R L2 F L2 D2 L
D R L2 F D L' D
D R L2 F D L' D'
D R L2 F D L' D2
D R L2 F D' L' D
D R L2 F D' L' D'
D R L2 F D' L' D2
D R L2 F D2 L' D
D R L2 F D2 L' D'
D R L2 F D2 L' D2
D R L2 F B' L' B
D R L2 F B2 L' B2
D R L2 F' L F2 L'
D R L2 F' L' F2 L'
D R L2 F' L2 F2 L'
D R L2 F2 L F' L'
D R L2 F2 L' F' L'
D R L2 F2 L2 F' L'
D R L2 F2 D F' L'
D R L2 F2 D' F' L'
D R L2 F2 D2 F' L'
D R L2 B' F L' B
D R L2 B2 F L' B2
D R U L2 U' F L'
D2 R U' F' U' B' U2
D' R U2 R B' U2 L
L U B L B2 U' R
D' R U2 R' B' U2 L
L2 U B U' R F L
D' R U2 R2 B' U2 L
D' R U2 B R' B2 U2
D2 R U2 B' U F' U
D' R U2 B' R U2 L
D' R U2 B' R' U2 L
D' R U2 B' R2 U2 L
D' R U2 B' U2 L D
D' R U2 B' U2 L D'
D' R U2 B' U2 L D2
D' R U2 B' U2 D L
D' R U2 B' U2 D' L
D' R U2 B' U2 D2 L
D' R U2 B' D U2 L
D' R U2 B' D' U2 L
D' R U2 B' D2 U2 L
D R U2 D2 B' U2 L
D2 R D L2 F D' L2
F' R D L2 F L' R
F' R D L2 F R L'
D2 R D F D' L2 F
D R D L2 D' F L'
L U B' U' R D' F2
L U B' U2 R' U R2
D2 R D' L2 F D' L2
D' R D' L2 D' F L'
D2 R D' F D' L2 F
D' R D2 L' F L' F
D2 R D2 L2 F D' L2
D' R D2 L2 F L' D
D' R D2 L2 F L' D'
D' R D2 L2 F L' D2
D' R D2 L2 F D L'
D' R D2 L2 F D' L'
D' R D2 L2 F D2 L'
B R D' B' L D' F2
B R D' B' D' L F2
B R D' B' D' F2 L
D' R D2 F L2 F L
D2 R D2 F D' L2 F
D R D2 L2 D2 F L'
D R D2 U2 B' U2 L
D2 R F L2 D' F L2
D' R F L2 D2 F L'
B R D2 F2 D B' L
D' R F U2 B' U2 L
D R F L2 D F L
D R F L2 D' F L
D R F L2 D2 F L
D R F L2 F L D
D R F L2 F L D'
D R F L2 F L D2
D R F L2 F D L
D R F L2 F D' L
D R F L2 F D2 L
D R F L2 F' L F2
D R F L2 F2 L F'
D2 R F D' L2 D F
D2 R F D' L2 D' F
D2 R F D' L2 D2 F
D2 R F D' L2 F D
D2 R F D' L2 F D'
D2 R F D' L2 F D2
D2 R F D' F L2 F
D2 R F D' F' L2 F
D2 R F D' F2 L2 F
D' R F D2 L2 F L'
D R F U2 B' U2 L'
D R F D L2 F L
D' R F' L2 D2 F L'
D R F D' L2 F L
D R F D2 L2 F L
D R F' L' F2 L' F
D' R F' U2 B' U2 L
D R F' L2 F2 L' F'
D' R F' D2 L2 F L'
D R F' U2 R B' U2
D R F' U2 B' R U2
D' R F2 L2 D2 F L'
D R F2 L' F' L' F
D' R F2 U2 B' U2 L
D R F2 L2 F' L' F2
D' R F2 D2 L2 F L'
D R F2 U2 B' R' U2
D' R B' L' B L2 F
D R B D2 F2 B' L
D R B D2 B' L F2
D R B D2 B' F2 L
B R B' D L2 F L'
D R' L' F L' R2 F
D R' L' F L' F R2
D R' L' F R2 L' F
D R' L2 F L' R2 D
D R' L2 F L' R2 D'
D R' L2 F L' R2 D2
D R' L2 F R2 L' D
D R' L2 F R2 L' D'
D R' L2 F R2 L' D2
D R' L2 F R2 D L'
D R' L2 F R2 D' L'
D R' L2 F R2 D2 L'
D' R' U2 B' U2 L R2
D' R' U2 B' U2 R2 L
F' R' D L2 F L' R
F' R' D L2 F R L'
D R' F L2 R2 F L
D R' F L2 F L R2
D R' F L2 F R2 L
D R' F R2 L2 F L
R U2 R D' B' U2 L
R U2 R' D' B' U2 L
D' R' B' U2 L B R2
R U2 R2 D' B' U2 L
R U2 D' R B' U2 L
R U2 D' R' B' U2 L
R U2 D' R2 B' U2 L
R U2 D' B R' B2 U2
R U2 D' B' R U2 L
R U2 D' B' R' U2 L
R U2 D' B' R2 U2 L
R U2 D' B' U2 L D
R U2 D' B' U2 L D'
R U2 D' B' U2 L D2
R U2 D' B' U2 D L
R U2 D' B' U2 D' L
R U2 D' B' U2 D2 L
R U2 D' B' D U2 L
R U2 D' B' D' U2 L
R U2 D' B' D2 U2 L
D R2 L' F L' R' F
D R2 L' F L' F R'
D R2 L' F R' L' F
D' R2 L2 D2 R' F L'
D' R2 L2 D2 F L' R'
D' R2 L2 D2 F R' L'
D R2 L2 F L' R' D
D R2 L2 F L' R' D'
D R2 L2 F L' R' D2
D R2 L2 F L' D R'
D R2 L2 F L' D' R'
D R2 L2 F L' D2 R'
D R2 L2 F R' L' D
D R2 L2 F R' L' D'
D R2 L2 F R' L' D2
D R2 L2 F R' D L'
