D' R' F2 B L R'
D' R' F2 B R' L
D' R' B L R' F2
D' R' B L F2 R'
D' R' B R' L F2
D' R' B R' L F2
D' R' B R' F2 L
D' R' B F2 L R'
D' R' B F2 R' L
D' F2 R' B L R'
D' F2 R' B R' L
D' F2 B L R' B
D' F2 B R' L B
D' B L R' F2 B
D' B L R' B F2
D' B L F2 R' B
D' B R' L F2 B
D' B R' L B F2
D' B R' F2 L B
D' B F2 L R' B
D' B F2 R' L B
D' L R' F2 B L R'
D' L R' F2 B R' L
D' L R' B L R' F2
D' L R' B L F2 R'
D' L R' B R' L F2
D' L R' B R' F2 L
D' L R' B F2 L R'
D' L R' B F2 R' L
U' L R2 F B' L U
B' L R2 F2 B' U L'
B' L R2 B' U' R U2
B' L R2 B' F2 U L'
U' L R2 B' F L U
U' L F R2 B' L U
U' L F B' L R2 U
U' L F B' R2 L U
R2 L B' L U' R' U2
D' L F2 R' B L R'
D' L F2 R' B R' L
D' L F2 B L R' B
D' L F2 B R' L B
D' L B L R' F2 B
D' L B L R' B F2
D' L B L F2 R' B
D' L B R' L F2 B
D' L B R' L B F2
D' L B R' F2 L B
D' L B F2 L R' B
D' L B F2 R' L B
U' L B' R2 F L U
U' L B' F L R2 U
U' L B' F R2 L U
D' L' R' F2 B L R'
D' L' R' F2 B R' L
D' L' R' B L R' F2
D' L' R' B L F2 R'
D' L' R' B R' L F2
D' L' R' B R' F2 L
D' L' R' B F2 L R'
D' L' R' B F2 R' L
D' L' F2 R' B L R'
D' L' F2 R' B R' L
D' L' F2 B L R' B
D' L' F2 B R' L B
D' L' B L R' F2 B
D' L' B L R' B F2
D' L' B L F2 R' B
D' L' B R' L F2 B
D' L' B R' L B F2
D' L' B R' F2 L B
D' L' B F2 L R' B
D' L' B F2 R' L B
D' L2 R' F2 B L R'
D' L2 R' F2 B R' L
D' L2 R' B L R' F2
D' L2 R' B L F2 R'
D' L2 R' B R' L F2
D' L2 R' B R' F2 L
D' L2 R' B F2 L R'
D' L2 R' B F2 R' L
L R2 B' L U' R' U2
D' L2 F2 R' B L R'
D' L2 F2 R' B R' L
D' L2 F2 B L R' B
D' L2 F2 B R' L B
D' L2 B L R' F2 B
D' L2 B L R' B F2
D' L2 B L F2 R' B
D' L2 B R' L F2 B
D' L2 B R' L B F2
D' L2 B R' F2 L B
D' L2 B F2 L R' B
D' L2 B F2 R' L B
L U' R2 B' L F U
D' R' L F2 B L R'
D' R' L F2 B R' L
D' R' L B L R' F2
D' R' L B L F2 R'
D' R' L B R' L F2
D' R' L B R' F2 L
D' R' L B F2 L R'
D' R' L B F2 R' L
D' R' L' F2 B L R'
D' R' L' F2 B R' L
D' R' L' B L R' F2
D' R' L' B L F2 R'
D' R' L' B R' L F2
D' R' L' B R' F2 L
D' R' L' B F2 L R'
D' R' L' B F2 R' L
D' R' L2 F2 B L R'
D' R' L2 F2 B R' L
D' R' L2 B L R' F2
D' R' L2 B L F2 R'
D' R' L2 B R' L F2
D' R' L2 B R' F2 L
D' R' L2 B F2 L R'
D' R' L2 B F2 R' L
B' R' U L R' B' U
B' R' U R' L B' U
L U' B' L R2 F U
L U' B' L F R2 U
L U' B' R2 L F U
D' R' F B R' F L
D' R' F' B L F' R'
D' R' F2 L B L R'
D' R' F2 L B R' L
D' R' F2 L' B L R'
D' R' F2 L' B R' L
D' R' F2 L2 B L R'
D' R' F2 L2 B R' L
D' R' F2 B L R' D
D' R' F2 B L R' D'
D' R' F2 B L R' D2
D' R' F2 B L D R'
D' R' F2 B L D' R'
D' R' F2 B L D2 R'
D' R' F2 B R' L D
D' R' F2 B R' L D'
D' R' F2 B R' L D2
D' R' F2 B R' D L
D' R' F2 B R' D' L
D' R' F2 B R' D2 L
D' R' F2 B D L R'
D' R' F2 B D R' L
D' R' F2 B D' L R'
D' R' F2 B D' R' L
D' R' F2 B D2 L R'
D' R' F2 B D2 R' L
D' R' B L R F2 R2
D' R' B L R' F2 D
D' R' B L R' F2 D'
D' R' B L R' F2 D2
D' R' B L F R' F
D' R' B L F2 R' D
D' R' B L F2 R' D'
D' R' B L F2 R' D2
D' R' B L F2 D R'
D' R' B L F2 D' R'
D' R' B L F2 D2 R'
D' R' B L' R' F2 L2
D' R' B L' F2 L2 R'
D' R' B L' F2 R' L2
D' R' B R L F2 R2
D' R' B R F2 L R2
D' R' B R F2 R2 L
D' R' B R' L F2 D
D' R' B R' L F2 D'
D' R' B R' L F2 D2
D' R' B R' L' F2 L2
D' R' B R' F' L F'
D' R' B R' F2 L D
D' R' B R' F2 L D'
D' R' B R' F2 L D2
D' R' B R' F2 D L
D' R' B R' F2 D' L
D' R' B R' F2 D2 L
D' R' B F R' F L
D' R' B F' L F' R'
D' R' B F2 L R' D
D' R' B F2 L R' D'
D' R' B F2 L R' D2
D' R' B F2 L D R'
D' R' B F2 L D' R'
D' R' B F2 L D2 R'
D' R' B F2 R' L D
D' R' B F2 R' L D'
D' R' B F2 R' L D2
D' R' B F2 R' D L
D' R' B F2 R' D' L
D' R' B F2 R' D2 L
D' R' B F2 D L R'
D' R' B F2 D R' L
D' R' B F2 D' L R'
D' R' B F2 D' R' L
D' R' B F2 D2 L R'
D' R' B F2 D2 R' L
U' R2 L F B' L U
B' R2 L F2 B' U L'
B' R2 L B' U' R U2
U' R2 L B' F L U
B' R2 L B' F2 U L'
B' R2 F2 L B' U L2
D' R2 F2 R B L R'
D' R2 F2 R B R' L
U' R2 B' L F B' U
U' R2 B' L B' F U
R2 D' B U L R' B
R2 D' B U R' L B
D' F R' F B L R'
D' F R' F B R' L
D' F R' B R' F L
D' F R' B F L R'
D' F R' B F R' L
D' F B R' F L B
D' F' B L F' R' B
F' D' R' F2 B L R'
F' D' R' F2 B R' L
F' D' R' B L R' F2
F' D' R' B L F2 R'
F' D' R' B R' L F2
F' D' R' B R' F2 L
F' D' R' B F2 L R'
F' D' R' B F2 R' L
F2 D' R' F2 B L R'
F2 D' R' F2 B R' L
F2 D' R' B L R' F2
F2 D' R' B L F2 R'
F2 D' R' B R' L F2
F2 D' R' B R' F2 L
F2 D' R' B F2 L R'
F2 D' R' B F2 R' L
F D' R' F2 B L R'
F D' R' F2 B R' L
F D' R' B L R' F2
F D' R' B L F2 R'
F D' R' B R' L F2
F D' R' B R' F2 L
F D' R' B F2 L R'
F D' R' B F2 R' L
D' F2 L R' B L R'
D' F2 L R' B R' L
D' F2 L B L R' B
D' F2 L B R' L B
D' F2 L' R' B L R'
D' F2 L' R' B R' L
D' F2 L' B L R' B
D' F2 L' B R' L B
D' F2 L2 R' B L R'
D' F2 L2 R' B R' L
D' F2 L2 B L R' B
D' F2 L2 B R' L B
D' F2 R' L B L R'
D' F2 R' L B R' L
F' D' F2 R' B L R'
F' D' F2 R' B R' L
D' F2 R' L' B L R'
D' F2 R' L' B R' L
D' F2 R' L2 B L R'
D' F2 R' L2 B R' L
F2 D' F2 R' B L R'
F2 D' F2 R' B R' L
F' D' F2 B L R' B
F' D' F2 B R' L B
F' D' B L R' F2 B
F' D' B L R' B F2
F' D' B L F2 R' B
D' F2 R' B L R' D
D' F2 R' B L R' D'
D' F2 R' B L R' D2
D' F2 R' B L D R'
D' F2 R' B L D' R'
D' F2 R' B L D2 R'
D' F2 R' B R' L D
D' F2 R' B R' L D'
D' F2 R' B R' L D2
D' F2 R' B R' D L
D' F2 R' B R' D' L
D' F2 R' B R' D2 L
D' F2 R' B D L R'
D' F2 R' B D R' L
D' F2 R' B D' L R'
D' F2 R' B D' R' L
D' F2 R' B D2 L R'
D' F2 R' B D2 R' L
F2 D' F2 B L R' B
F2 D' F2 B R' L B
F' D' B R' L F2 B
F' D' B R' L B F2
F' D' B R' F2 L B
F2 D' B L R' F2 B
F2 D' B L R' B F2
F2 D' B L F2 R' B
F2 D' B R' L F2 B
F2 D' B R' L B F2
F2 D' B R' F2 L B
F' D' B F2 L R' B
F D' F2 R' B L R'
F D' F2 R' B R' L
F' D' B F2 R' L B
F2 D' B F2 L R' B
F2 D' B F2 R' L B
F D' F2 B L R' B
F D' F2 B R' L B
F D' B L R' F2 B
F D' B L R' B F2
F D' B L F2 R' B
F D' B R' L F2 B
F D' B R' L B F2
F D' B R' F2 L B
F D' B F2 L R' B
F D' B F2 R' L B
D' F2 B L R' D B
D' F2 B L R' D' B
D' F2 B L R' D2 B
D' F2 B L R' B D
D' F2 B L R' B D'
D' F2 B L R' B D2
D' F2 B L' R' B L2
D' F2 B L2 R' B L'
D' F2 B R' L D B
D' F2 B R' L D' B
D' F2 B R' L D2 B
D' F2 B R' L B D
D' F2 B R' L B D'
D' F2 B R' L B D2
D' F2 B R' L' B L2
D' F2 B R' L2 B L'
D' F2 B R' D L B
D' F2 B R' D' L B
D' F2 B R' D2 L B
D' F2 B D2 L R' B'
D' F2 B D2 R' L B'
D' B L R' F2 D B
D' B L R' F2 D' B
D' B L R' F2 D2 B
D' B L R' F2 B D
D' B L R' F2 B D'
D' B L R' F2 B D2
D' B L R' B F2 D
D' B L R' B F2 D'
D' B L R' B F2 D2
D' B L F R' F B
D' B L F R' B F
D' B L F2 R' D B
D' B L F2 R' D' B
D' B L F2 R' D2 B
D' B L F2 R' B D
D' B L F2 R' B D'
D' B L F2 R' B D2
D' B L' R' F2 L2 B
D' B L' R' F2 B L2
D' B L' R' B L2 F2
D' B L' R' B F2 L2
D B L R2 F' R B'
D B L R2 F' B' R
D B L R2 B' F' R
D' B L' F2 L2 R' B
D' B L' F2 R' L2 B
D' B L' F2 R' B L2
D' B L2 R' B L' F2
D' B R' L F2 D B
D' B R' L F2 D' B
D' B R' L F2 D2 B
D' B R' L F2 B D
D' B R' L F2 B D'
D' B R' L F2 B D2
D' B R' L B F2 D
D' B R' L B F2 D'
D' B R' L B F2 D2
D' B R' L' F2 L2 B
D' B R' L' F2 B L2
D' B R' L' B L2 F2
D' B R' L' B F2 L2
D' B R' L2 B L' F2
D' B R' F' L F' B
D' B R' F' L B F'
D' B R' F2 L D B
D' B R' F2 L D' B
D' B R' F2 L D2 B
D' B R' F2 L B D
D' B R' F2 L B D'
D' B R' F2 L B D2
D' B R' F2 L' B L2
D' B R' F2 L2 B L'
D' B R' F2 D L B
D' B R' F2 D' L B
D' B R' F2 D2 L B
D' B U L R' F2 B
D' B U L R' B F2
D' B U L F2 R' B
D' B U R' L F2 B
D' B U R' L B F2
D' B U R' F2 L B
D B R2 L F' R B'
D B R2 L F' B' R
D B R2 L B' F' R
D' B U F2 L R' B
D' B U F2 R' L B
D' B U' L R' F2 B
D' B U' L R' B F2
D' B U' L F2 R' B
D B R2 F' L R B'
D B R2 F' L B' R
D B R2 F' R L B'
D' B U' R' L F2 B
D' B U' R' L B F2
D' B U' R' F2 L B
D' B U' F2 L R' B
D' B U' F2 R' L B
D' B U2 L R' F2 B
D' B U2 L R' B F2
D' B U2 L F2 R' B
D' B U2 R' L F2 B
D' B U2 R' L B F2
D' B U2 R' F2 L B
D' B U2 F2 L R' B
D' B U2 F2 R' L B
D' B F R' F L B
D' B F' L F' R' B
D' B F2 L R' D B
D' B F2 L R' D' B
D' B F2 L R' D2 B
D' B F2 L R' B D
D' B F2 L R' B D'
D' B F2 L R' B D2
D' B F2 L' R' B L2
D' B F2 L2 R' B L'
D' B F2 R' L D B
D' B F2 R' L D' B
D' B F2 R' L D2 B
D' B F2 R' L B D
D' B F2 R' L B D'
D' B F2 R' L B D2
D' B F2 R' L' B L2
D' B F2 R' L2 B L'
D' B F2 R' D L B
D' B F2 R' D' L B
D' B F2 R' D2 L B
U' B' L R2 F B' U
U' B' L R2 B' F U
D' B F2 D2 L R' B'
D' B F2 D2 R' L B'
D' B' L R' U2 F2 B
D' B' L R' U2 B F2
U' B' L F R2 B' U
U' B' L F B' R2 U
U' B' L B' R2 F U
U' B' L B' F R2 U
L B' L R2 U' R U2
L B' L R2 F2 U L'
D' B' R' L U2 F2 B
D' B' R' L U2 B F2
U' B' R2 L F B' U
U' B' R2 L B' F U
L B' R2 L U' R U2
L B' R2 L F2 U L'
L B' R2 F2 L U L2
