F' U' L F U' L'
R2 L U' L2 D' B R'
U' L R2 F U' L2 B
U' L R2 F U' B L2
U L U F' L' U2 L'
U' L F U F2 U2 L2
U' L F U' L2 D2 B2
R2 L B L2 D F2 R
R' L B' U' L2 R' B
R' L B' U' R' L2 B
R' L B' U' R' B L2
R2 L B' U' L2 R' B2
R2 L B' U' R' L2 B2
R2 L B' U' R' B2 L2
U L F2 U' L2 B' R'
R2 L' D F2 B' R' B2
R2 L' D B' R' F2 B2
R2 L' D B' R' B2 F2
R2 L' D B' F2 R' B2
U L' R2 D F2 B R'
U L' R2 D B R' F2
U L' R2 D B F2 R'
B2 L' R2 B R' D' F2
F2 L' D F2 L' B' R'
R' L' B' R' D F2 B
R' L' B' R' D B F2
R' L' B' R' B D F2
L' R' B' R' D F2 B
L' R' B' R' D B F2
L' R' B' R' B D F2
R2 L' B' R' B2 D F2
L R' B' U' L2 R' B
L R' B' U' R' L2 B
L R' B' U' R' B L2
L R2 U' L2 D' B R'
L' R2 D F2 B' R' B2
L' R2 D B' R' F2 B2
L' R2 D B' R' B2 F2
L' R2 D B' F2 R' B2
L R2 B L2 D F2 R
L' R2 B' R' B2 D F2
L R2 B' U' L2 R' B2
L R2 B' U' R' L2 B2
L R2 B' U' R' B2 L2
L' U L2 U F' L' U2
L' U F2 L2 U' B' R'
F' R U' L F U' L'
R2 U' L F U' L2 B
R2 U' L F U' B L2
F2 R F U' L F U'
L U' L2 R2 D' B R'
L U' L2 D' R2 B R'
L U' R2 L2 D' B R'
B2 R' U L' R' B R'
B2 R' U L' B R' B
B2 R' U R' L' B R'
B2 R' U R' B L' R'
B2 R' U R' B R' L'
B2 R' U B L' R' B
B2 R' U B R' L' B
B2 R' U B R' B L'
F' R' U' L F U' L'
B2 R' B U L' R' B
B2 R' B U R' L' B
B2 R' B U R' B L'
L' U2 D F' L' U2 F'
L' U2 D' F' L' B2 U2
L' U2 D' F' B2 L' U2
L' U2 D' B2 F' L' U2
U' R2 L F U' L2 B
U' R2 L F U' B L2
B2 R2 L' B R' D' F2
L' U2 F' L' U' L' U'
U R2 L' D F2 B R'
U R2 L' D B R' F2
U R2 L' D B F2 R'
L' U2 F' U2 D F2 R
L' U2 F' D L' U2 F2
L' U2 F' D U2 F2 R
L' U2 F' D' L' B2 U2
L' U2 F' D' B2 L' U2
F' R2 U' L F U' L'
R2 U2 B D L' F R
L' D L2 F2 L2 B' R'
B' R2 B L' R D F2
B' R2 B L' D R F2
B' R2 B R L' D F2
B2 R2 B L' R' D' F2
L' D R' F2 B' R' B
L' D R' B' R' F2 B
L' D R' B' R' B F2
L' D R' B' F2 R' B
B2 R2 B R' L' D' F2
B2 R2 B R' D' L' F2
U2 R2 B D L' F R
L' D R2 F2 B' R' B2
L' D R2 B' R' F2 B2
L' D R2 B' R' B2 F2
L' D R2 B' F2 R' B2
L' D U2 F' L' U2 F'
B' U L' R2 B R F'
L' D F2 L2 B' L2 R'
L' D F2 L2 B' R' L2
L' D F2 U2 F U2 R
B' U R2 L' B R F'
L' D B' R2 B R F2
B' U R2 B L' R F'
B' U R2 B R L' F'
L' D B2 R2 F2 B R'
L' D B2 R2 B R' F2
L' D B2 R2 B F2 R'
L' D' U2 F' L' B2 U2
L' D' U2 F' B2 L' U2
F' U' L F U' L' D
F' U' L F U' L' D'
F' U' L F U' L' D2
F' U' L F U' D L'
F' U' L F U' D' L'
F' U' L F U' D2 L'
F' U' L F D U' L'
F' U' L F D' U' L'
F' U' L F D2 U' L'
F' U' L F B U' L'
F' U' L F B' U' L'
F' U' L F B2 U' L'
F' U' L B F U' L'
L' D' U2 B2 F' L' U2
F' U' L B' F U' L'
F' U' L B2 F U' L'
F' U' D' L F B' U'
F' U' D' L B' F U'
L D' B2 R2 U' B R'
L D' B2 U' R2 B R'
F' U' F L F U' L2
F' U2 F L' R D F2
F' U2 F L' D R F2
F' U2 F R L' D F2
B D L F' U2 L2 F
B D L F' B' U2 L2
B D L B' F' U2 L2
B D L' D2 R2 F B
B D L' D2 R2 B F
B D L' F D2 R2 B2
B D L' F D2 B2 R2
D2 F' U' L F U' L'
D' F' U' L F U' L'
D F' U' L F U' L'
F' D' U' L F B' U'
F' D' U' L B' F U'
L F2 L2 D F2 B' R'
L F2 L2 D B' R' F2
L F2 L2 D B' F2 R'
L F2 L2 B' R' D F2
L F2 L2 B' D R' F2
L F2 L2 B' D F2 R'
L' F2 U L2 U' B' R'
L F2 B' U' L2 R' B'
L F2 B' U' R' L2 B'
L B U L F' U2 L
L B U F' L U2 L
R2 B D L' D2 R2 F
R2 B D L' D2 F R2
R2 B D L' F D2 R2
R' B' R' B L' D F2
L' B' R2 D B R F2
R' B' U L' R' F' B
R' B' U L' R' B F'
L' B' R2 B R D F2
L' B' R2 B D R F2
R' B' U R' L' F' B
R' B' U R' L' B F'
R' B' U R' B L' F'
R2 B' R' B2 D L' F
L B' R2 U' L2 B R
R2 B' U L' R' F' B2
R2 B' U L' R' B2 F'
L B' R2 U' B L2 R
L B' R2 U' B R L2
R2 B' U R' L' F' B2
R2 B' U R' L' B2 F'
R2 B' U R' B2 L' F'
L B' U F' U2 L2 R'
L B' U F' U2 R' L2
L B' U' L2 R2 B R
L B' U' R2 L2 B R
L' B' D R2 B R F2
L B' U' R2 B L2 R
L B' U' R2 B R L2
L B' F2 U' L2 R' B'
L B' F2 U' R' L2 B'
R' B2 R' U L' B R'
R' B2 R' U B L' R'
R' B2 R' U B R' L'
L' B2 R2 B R' D F2
L' B2 R2 B D R' F2
L' B2 R2 B D F2 R'
L B2 R2 U' L2 B R'
L B2 R2 U' B L2 R'
L B2 R2 U' B R' L2
L B2 U' L2 R2 B R'
L B2 U' R2 L2 B R'
L B2 U' R2 B L2 R'
L B2 U' R2 B R' L2
