D' B R' B L U
R' L U B' L U2 L'
U2 L R' U B' L U2
R' L U' B' L U2 B
D' L B R' B L U
B2 L B U' L B2 U2
B2 L B U' B2 U2 R'
L' R' U F R2 B R'
R' L' U F R2 B R'
L R' U B' L U2 L'
B' L B' U L U L'
U' L B' D L U2 B'
L R' U' B' L U2 B
B2 L B2 U' B U2 R'
B L' R2 U R F B
B L' R2 U R B F
B L' U R F B R2
B L' U R B R2 F
B L' U R B F R2
B L' U R' F D2 B2
B L' U F R B R2
D L' U2 R' F L' U'
D L' U2 F L' R' U'
D L' U2 F R' L' U'
D' L' B R' B L U
R' U L B' L U2 L2
D' L2 B R' B L U
D2 R U F' D R B2
D2 R U F' D B2 R
R' U B' L B' U2 L'
R' U' L B' L U2 B
U2 R' L U B' L U2
U2 R' U L B' L U2
U2 R' U B' L B' U2
U2 R' U' D2 R F' R
U2 R' U' D2 F' R F'
R' U' B' L B' U2 B2
U2 R' D L' F L' U'
L U' B' D L U2 B'
U2 R' D F L' F U'
U2 R' D2 U' R F' R
U2 R' D2 U' F' R F'
U2 R' D2 F' U' R F'
L2 U2 R' U' D2 F' R
D' R' B R' U2 R U'
L2 U2 R' D2 U' F' R
L U2 R' U B' L U2
L2 U2 D2 R' U' F' R
R2 U2 D2 R U' F' R
B R2 L' U R F B
B R2 L' U R B F
B R2 U D2 R F' B
B R2 U D2 R B F'
U2 R2 D2 R U' F' R
B R2 D2 U R F' B
B R2 D2 U R B F'
U2 D L' R' F L' U'
U2 D L' F L' R' U'
U2 D L' F R' L' U'
D2 U R F' D R B2
D2 U R F' D B2 R
U2 D R' L' F L' U'
U2 D R' F L' F U'
U2 D F L' R' F U'
U2 D F L' F R' U'
L2 D B2 L B' U F
U2 D F R' L' F U'
D2 U F' R D F' B2
D2 U F' R D B2 F'
D2 U F' R F' D B2
B U D2 R F' B R2
B U D2 R B F' R2
B' U' L B' U L U
B U' L' U2 R' F B'
B U' L' U2 R' B' F
U2 D' R' U2 B R' U
B U' L' U2 F R' B'
B U' R' F2 L' F B'
B U' R' F2 L' B' F
R D2 L2 R U F' R
R D2 L2 U R F' R
R D2 L2 U F' R F'
D U2 L' R' F L' U'
R D2 R L2 U F' R
D U2 L' F L' R' U'
D U2 L' F R' L' U'
D' U2 R' U2 B R' U
D2 U2 R' U' R2 F' R
U2 D2 R' U' R2 F' R
D U2 R' L' F L' U'
B U' B2 L F B' U2
U D2 R F' D R B2
U D2 R F' D B2 R
B U' B2 L B' F U2
D U2 R' F L' F U'
L2 D2 U2 R' U' F' R
R2 D2 U2 R U' F' R
D U2 F L' R' F U'
D U2 F L' F R' U'
D2 U2 F' R' U' R2 F'
D U2 F R' L' F U'
U2 D2 F' R' U' R2 F'
U D2 F' R D F' B2
U D2 F' R D B2 F'
U D2 F' R F' D B2
B' D' B R' U B R'
B' D' B2 U R' F' B
B' D' B2 U R' B F'
D' B L R' B L U
B D2 U R F' B R2
B D2 U R B F' R2
D' B L' R' B L U
D' B L2 R' B L U
D2 B R U F' R B
D' B R' L B L U
D' B R' L' B L U
D' B R' L2 B L U
D' B R' D B L U
D' B R' D' B L U
D' B R' D2 B L U
D' B R' B L U D
D' B R' B L U D'
D' B R' B L U D2
D' B R' B L D U
D' B R' B L D' U
D' B R' B L D2 U
D' B R' B D L U
D' B R' B D' L U
D' B R' B D2 L U
L' B R2 U R F B
L' B R2 U R B F
D2 B U R F' B R
D2 B U R B F' R
L' B U R F B R2
L' B U R B R2 F
L' B U R B F R2
L' B U R' F D2 B2
D2 B U F' R F' B
D2 B U F' R B F'
L' B U F R B R2
R' B U' R' F2 L' F
L B U R B R2 F'
L B U' B2 L F U2
L B D' R2 U R B
U' B' L B' U L U
R' B' U L B' U2 L'
R' B' U' L B' U2 B
D2 B2 L R U F' R
D2 B2 L U R F' R
D2 B2 L U F' R F'
D' B2 L B' R' B U
L2 B2 L B' U R' F
L2 B2 L B' U F R'
D2 B2 R L U F' R
D' B2 D2 L B' R' U
