B' L F L U
B' L D F L U
B' L D' F L U
B' L D2 F L U
B' L F L U D
B' L F L U D'
B' L F L U D2
B' L F L D U
B' L F L D' U
B' L F L D2 U
B2 L F L B U
B L F L B2 U
B' L F D L U
B' L F D' L U
B' L F D2 L U
B' L F' L F2 U
B' L F2 L F' U
B' L2 D F U L'
L2 U2 D F U' L'
L2 D U2 F U' L'
B' U D' B L B
B' U B D' L B2
B' U B' D' B2 L
L F L U2 F U'
L F L' B' L2 U
B' D' L F U B2
B' D' U B L B
B2 D' B U B L
B' F L F L U
U B D' L R2 B2
U B D' L B2 R2
U B D' R2 L B2
F' B' L F L U
B' F' L F L U
F2 B' L F L U
D' B' U B L B2
F B' L F L U
B' F2 L F L U
B' L R F L R' U
B' L R F R' L U
B' L R2 F L R2 U
B' L R2 F R2 L U
U L U' L F U R
B' L D F L U D
B' L D F L U D'
B' L D F L U D2
B' L D F L D U
B' L D F L D' U
B' L D F L D2 U
B' L D F D L U
B' L D F D' L U
B' L D F D2 L U
B' L D F' L F2 U
B2 L D F L B U
B' L D F2 L F' U
B' L D' F L U D
B' L D' F L U D'
B' L D' F L U D2
B' L D' F L D U
B' L D' F L D' U
B' L D' F L D2 U
B' L D' F D L U
B' L D' F D' L U
B' L D' F D2 L U
B' L D' F' L F2 U
B2 L D' F L B U
B' L D' F2 L F' U
B L D' F L U R2
B' L D2 F L U D
B' L D2 F L U D'
B' L D2 F L U D2
B' L D2 F L D U
B' L D2 F L D' U
B' L D2 F L D2 U
B' L D2 F D L U
B' L D2 F D' L U
B' L D2 F D2 L U
B' L D2 F' L F2 U
B2 L D2 F L B U
B' L D2 F2 L F' U
F' L F L U2 F U'
D' L F L' B' U B'
F2 L F L U2 F U'
B' L F L' U D' B2
F' L F L' B' L2 U
B2 L F L D B U
B' L F L' D' U B2
B2 L F L D' B U
B2 L F L D2 B U
B2 L F L B U D
B2 L F L B U D'
B2 L F L B U D2
B2 L F L B D U
B2 L F L B D' U
B2 L F L B D2 U
F2 L F L' B' L2 U
B' L F L2 D L' U
B' L F L2 D' L' U
F L F L U2 F U'
B' L F L2 D2 L' U
B L F L U D' R2
B2 L F L' B L2 U
B L F L D' U R2
B L F L B2 U D
B L F L B2 U D'
B L F L B2 U D2
B L F L B2 D U
B L F L B2 D' U
B L F L B2 D2 U
B2 L F L2 B L' U
F L F L' B' L2 U
B L F L' B2 L2 U
B L F L2 B2 L' U
D' L F U B' R' B'
D L F U' F U2 R
B' L F D L U D
B' L F D L U D'
B' L F D L U D2
B' L F D L D U
B' L F D L D' U
B' L F D L D2 U
B2 L F D L B U
B' L F D' L U D
B' L F D' L U D'
B' L F D' L U D2
B' L F D' L D U
B' L F D' L D' U
B' L F D' L D2 U
B2 L F D' L B U
B' L F D2 L U D
B' L F D2 L U D'
B' L F D2 L U D2
B' L F D2 L D U
B' L F D2 L D' U
B' L F D2 L D2 U
B2 L F D2 L B U
D' L F B' U B' R'
B L F D' L U R2
B' L F' L U D' L2
B' L F' L D' U L2
B' L F' L F2 U D
B' L F' L F2 U D'
B' L F' L F2 U D2
B' L F' L F2 D U
B' L F' L F2 D' U
B' L F' L F2 D2 U
B2 L F' L F2 B U
B2 L F' L B F2 U
B' L F' L' F2 L2 U
B L F B2 U2 R' U'
B L F' L F2 B2 U
B L F' L B2 F2 U
B' L F' D' L U L
B' L F2 L D F' U
B' L F2 L D' F' U
B' L F2 L D2 F' U
B' L F2 L F' U D
B' L F2 L F' U D'
B' L F2 L F' U D2
B' L F2 L F' D U
B' L F2 L F' D' U
B' L F2 L F' D2 U
B2 L F2 L F' B U
B2 L F2 L B F' U
B' L F2 L' F' L2 U
B L F2 L F' B2 U
B L F2 L B2 F' U
B' L F2 D L F' U
B' L F2 D F' L U
B' L F2 D' L F' U
B' L F2 D' F' L U
B' L F2 D2 L F' U
B' L F2 D2 F' L U
B2 L B D2 F L' U
D' L B' F U B' R'
B L B2 F U2 R' U'
B' L' U2 B' U2 L' U
B' L' D L2 F L U
B' L' D' L2 F L U
B' L' D2 L2 F L U
B' L' F U2 B' R' U'
B' L' F' L2 F L' U
B' L' F2 U2 R B' U'
B' L' F2 U2 B' R U'
B2 L' B L' U D L2
