U' L' B2 U B L
B U' F L B U
U' F L' B2 U B
U' F B2 L' U B'
B2 D2 F L' U F'
B F L B U F'
F B L B U F'
U' B2 F L' U B'
F L B L B U F'
U' L' F B2 U B L
U' L' F' B2 U B L
U' L' F2 B2 U B L
F L' B L B U F'
U' L' B2 L F U B
U' L' B2 U L B L
U' L' B2 U L' B L
U' L' B2 U L2 B L
U' L' B2 U D B L
U' L' B2 U D' B L
U' L' B2 U D2 B L
U' L' B2 U B L D
U' L' B2 U B L D'
U' L' B2 U B L D2
U' L' B2 U B D L
U' L' B2 U B D' L
U' L' B2 U B D2 L
U' L' B2 D U B L
U' L' B2 D' U B L
U' L' B2 D2 U B L
U' L' B2 F U B L
U' L' B2 F' U B L
U' L' B2 F2 U B L
B' L2 R' F B' U' F'
B' L2 R' B' F U' F'
B' L2 U R' F B' U'
B' L2 U R' B' F U'
B' L2 U F R' B' U'
D2 L2 F2 B' R' U' F2
F L2 B L B U F'
D2 L2 B' R' F2 U' F2
D2 L2 B' F2 R' U' F2
U R U2 F B2 U B'
U R U2 B2 F U B'
B2 R D2 F L' U F'
R' U' L' B2 U B L
D' R F U F' R B
L U' L' F B2 U B
R2 U' L' B2 U B L
L U' L' B2 F U B
R U' L' B2 U B L
R' U' F L' B2 U B
R2 U' F L' B2 U B
R' U' F B2 L' U B'
R U' F L' B2 U B
B' R' L2 F B' U' F'
B' R' L2 B' F U' F'
R2 U' F B2 L' U B'
R U' F B2 L' U B'
B' R' U' F B' U B
B' R' U' B' F U B
R' U' B2 F L' U B'
L U' B2 L' F U B'
R2 U' B2 F L' U B'
R U' B2 F L' U B'
B2 R' D2 F L' U F'
D' R2 U' F L' U B'
B2 R2 D2 F L' U F'
D' R2 B U' F L U
B' U R' U2 F B' U
B' U R' U2 B' F U
D2 U F2 R U' B L
F U D' F' R B R
F U F' R D' B R2
F U F' R' D' R2 B
F U F' D' R B R
U' D' F L' U R2 B'
D' U' F L' U R2 B'
U' D' F L' U B' R2
D' U' F L' U B' R2
D2 U' F L' U B' R'
B U' D F L B U
B U' D' F L B U
B U' D2 F L B U
B' U' F B2 L B U
B U' F L D B U
B U' F L D' B U
B U' F L D2 B U
B U' F L B U D
B U' F L B U D'
B U' F L B U D2
B U' F L B D U
B U' F L B D' U
B U' F L B D2 U
B U' F L' B L2 U
B U' F L2 B L' U
B U' F D L B U
B U' F D' L B U
B U' F D2 L B U
B U' F' L F2 B U
B U' F' L B F2 U
B U' F2 L F' B U
B U' F2 L B F' U
B' U' B' D2 F L' U
B U' B D2 F L' U
B' U' B2 F L B U
U' D2 F L' U B' R'
L2 D2 F2 B' R' U' F2
U D2 F2 R U' B L
L2 D2 B' R' F2 U' F2
L2 D2 B' F2 R' U' F2
U' F L B2 L2 U B'
