F' R' F' U R' B
D R' F' B2 L U
D R' B2 L F' U
D R' B2 F' L U
R' D' L2 F' U R'
R' D' F' L2 U R'
R' D2 F' U R' B2
R' F' U R2 B R
R' F' U' F' U2 R'
F' L R' F' U R' B
D2 L R' F' U B2 R'
D L R' F' B2 L U
D L R' B2 L F' U
D L R' B2 F' L U
R' L D' L2 F' U R'
R' L D' F' L2 U R'
R' L D2 F' U R' B2
R' L F' U R2 B R
R' L F' U' F' U2 R'
B2 L F' U' R2 B L
F' L' R' F' U R' B
R' L' D' L2 F' U R'
L' R' D' L2 F' U R'
D L' R' F' B2 L U
L R' D' L2 F' U R'
D L' R' B2 L F' U
L2 R' D' L2 F' U R'
D L' R' B2 F' L U
R' L' D' F' L2 U R'
L' R' D' F' L2 U R'
L R' D' F' L2 U R'
L2 R' D' F' L2 U R'
R' L' D2 F' U R' B2
L' R' D2 F' U R' B2
L R' D2 F' U R' B2
L2 R' D2 F' U R' B2
R' L' F' U R2 B R
L' R' F' U R2 B R
R' L' F' U' F' U2 R'
L' R' F' U' F' U2 R'
L2 R' F' U R2 B R
L R' F' U R2 B R
L2 R' F' U' F' U2 R'
L R' F' U' F' U2 R'
R' L2 D' L2 F' U R'
R' L2 D' F' L2 U R'
R' L2 D2 F' U R' B2
D' L2 R' D F' U R2
D' L2 R' D2 F' B2 U
D' L2 R' D2 B2 F' U
D' L2 R' F' U2 F' U'
F' L2 R' F' U R' B
D L2 R' F' B2 L U
F L2 R' F' U R' B'
D L2 R' B2 L F' U
D L2 R' B2 F' L U
R' L2 F' U R2 B R
R' L2 F' U' F' U2 R'
D' L2 D R' F' U R'
D' L2 D2 R' F' B2 U
D' L2 D2 R' B2 F' U
F2 R U R2 F' U R'
R2 U' R D' L2 F' U
R2 U' R D' F' L2 U
R2 U' R D2 F' U B2
R2 U' R F' U' F' U2
D2 R' L F' U B2 R'
F' R' L F' U R' B
D R' L F' B2 L U
D R' L B2 L F' U
D R' L B2 F' L U
F' R' L' F' U R' B
D' R' L2 D F' U R2
D R' L' F' B2 L U
D' R' L2 D2 F' B2 U
D' R' L2 D2 B2 F' U
D R' L' B2 L F' U
D' R' L2 F' U2 F' U'
D R' L' B2 F' L U
F' R' L2 F' U R' B
D R' L2 F' B2 L U
D R' L2 B2 L F' U
D R' L2 B2 F' L U
F R' L2 F' U R' B'
R' U' F2 U F U R'
F2 R' U F' U R' F
F2 R' U F' U F R'
D' R' D F' U R2 B
D2 R' D2 F' U R2 B
D' R' F L2 F2 B' U
D' R' F L2 B' F2 U
D2 R' F' L U B2 R'
F' R' F' L U R' B
D' R' F' L2 U2 F' U'
F' R' F' L' U R' B
F' R' F' L2 U R' B
D2 R' F' U B2 D2 R2
D2 R' F' U' L2 U2 B2
F' R' F' U R' D B
F' R' F' U R' D' B
F' R' F' U R' D2 B
F' R' F' U R' B D
F' R' F' U R' B D'
F' R' F' U R' B D2
F2 R' F' L2 U R' B'
D R' F B2 L F2 U
D R' F' L B2 L U
D R' F' L' B2 L U
D R' F' L2 B2 L U
F2 R' F' U' F U2 R'
F R' F' U R' D2 B2
F R' F' U D2 R' B2
F R' F' U' F2 U2 R'
D R' F' B2 L U D
D R' F' B2 L U D'
D R' F' B2 L U D2
D R' F' B2 L D U
D R' F' B2 L D' U
D R' F' B2 L D2 U
D R' F' B2 D L U
D R' F' B2 D' L U
D R' F' B2 D2 L U
F R' F' D' L2 U R'
F R' F' D2 U R' B2
R' U2 D R2 B U' R
D R' B2 L D F' U
D R' B2 L D' F' U
D R' B2 L D2 F' U
D R' B2 L F' U D
D R' B2 L F' U D'
D R' B2 L F' U D2
D R' B2 L F' D U
D R' B2 L F' D' U
D R' B2 L F' D2 U
D R' B2 L' F' L2 U
D R' B2 D L F' U
D R' B2 D F' L U
D R' B2 D' L F' U
D R' B2 D' F' L U
D R' B2 D2 L F' U
D R' B2 D2 F' L U
D R' B2 F L F2 U
D R' B2 F' L U D
D R' B2 F' L U D'
D R' B2 F' L U D2
D R' B2 F' L D U
D R' B2 F' L D' U
D R' B2 F' L D2 U
D R' B2 F' D L U
D R' B2 F' D' L U
D R' B2 F' D2 L U
D R2 U2 R F' B2 U
D R2 U2 R B2 F' U
D R2 U2 B2 R F' U
L' D R' F' B2 L U
L' D R' B2 L F' U
F' R2 B U' R F' U
L' D R' B2 F' L U
L2 D R' F' B2 L U
L2 D R' B2 L F' U
L2 D R' B2 F' L U
L D R' F' B2 L U
L D R' B2 L F' U
L D R' B2 F' L U
R' D U2 R2 B U' R
R' D F' U D R' B2
R' D F' U2 R2 U' R
R' D F' D U R' B2
R' D F' D2 L2 U R'
F2 U R' F' U L' R'
F2 U R' F' U R' L'
U2 D R' B2 L F U
R D B R2 U' F' R'
R' D' L F' L U R'
R' D' L2 D F' U R'
R' D' L2 D' F' U R'
R' D' L2 D2 F' U R'
R' D' L2 F' U R' D
R' D' L2 F' U R' D'
R' D' L2 F' U R' D2
R' D' L2 F' U D R'
R' D' L2 F' U D' R'
R' D' L2 F' U D2 R'
R' D' L2 F' D U R'
R' D' L2 F' D' U R'
R' D' L2 F' D2 U R'
F2 U F' R' U L' R'
F2 U F' R' U R' L'
R' D' F L2 F2 U R'
R' D' F' L2 U R' D
R' D' F' L2 U R' D'
R' D' F' L2 U R' D2
R' D' F' L2 U D R'
R' D' F' L2 U D' R'
R' D' F' L2 U D2 R'
R' D' F' L2 D U R'
R' D' F' L2 D' U R'
R' D' F' L2 D2 U R'
R' D' F' U R' D' B2
R' D' F' U D' R' B2
R2 D' F D' L' F B2
R2 D' F D' L' B2 F
R' D' F' D' U R' B2
R2 D' F D' B2 L' F
R' D2 L F' U R' B2
R' D2 L' F' U R' B2
R' D2 L2 F' U R' B2
B U' F' R2 B L F
R D2 L2 B U' B R
F2 U' B U' L R2 F
F2 U' B U' L F R2
F2 U' B U' R2 L F
D U2 R' B2 L F U
R' D2 F' L U R' B2
R' D2 F' L' U R' B2
R' D2 F' L2 U R' B2
R' D2 F' U R B2 R2
R' D2 F' U R' B2 D
R' D2 F' U R' B2 D'
R' D2 F' U R' B2 D2
R' D2 F' U R2 B2 R
R' D2 F' D L2 U R'
F' U2 R' U R' B L
R D2 B L2 U' B R
D' F L2 R' F' B' U
D' F L2 R' B' F' U
R' F L2 F2 U R' B'
D' F R' L2 F' B' U
D' F R' L2 B' F' U
D F R' F' B2 L U
R' F U R' D' L2 B'
D F R' B2 L F' U
D F R' B2 F' L U
R' F U D' L2 R' B'
R' F U D' R' L2 B'
R' F D' U L2 R' B'
R' F D' U R' L2 B'
R2 F D' L' F L' B'
R' F' L U R2 B R
R' F' L U' F' U2 R'
R' F' L' U R2 B R
R' F' L' U' F' U2 R'
R' F' L2 U R2 B R
R' F' L2 U' F' U2 R'
L' F' R' F' U R' B
U2 F' R' U R' B L
L2 F' R' F' U R' B
U F' R' U L' R' B
U F' R' U R' L' B
U F' R' U R' B L'
D F' R' F' B2 L U
R' F' U R2 D B R
R' F' U R2 D' B R
R' F' U R2 D2 B R
R' F' U R2 B R D
R' F' U R2 B R D'
R' F' U R2 B R D2
R' F' U R2 B D R
R' F' U R2 B D' R
R' F' U R2 B D2 R
R' F' U R2 B' R B2
R' F' U R2 B2 R B'
D F' R' B2 L F' U
R' F' U D R2 B R
D F' R' B2 F' L U
R' F' U D' R2 B R
R' F' U D2 R2 B R
L F' R' F' U R' B
R' F' U B' R2 B R'
R' F' U' L F' U2 R'
R' F' U' L' F' U2 R'
R' F' U' L2 F' U2 R'
R' F' U' D F' U2 R'
R' F' U' D' F' U2 R'
R' F' U' D2 F' U2 R'
R' F' U' F' L U2 R'
R' F' U' F' L' U2 R'
R' F' U' F' L2 U2 R'
R' F' U' F' U2 R' D
R' F' U' F' U2 R' D'
R' F' U' F' U2 R' D2
R' F' U' F' U2 D R'
R' F' U' F' U2 D' R'
R' F' U' F' U2 D2 R'
R' F' U' F' D U2 R'
R' F' U' F' D' U2 R'
R' F' U' F' D2 U2 R'
R' F' U2 R2 U' B R
R' F' D U R2 B R
R' F' D U' F' U2 R'
R' F' D' U R2 B R
R' F' D' U' F' U2 R'
R' F' D2 U R2 B R
R' F' D2 U' F' U2 R'
R' F' B' U R2 B R'
R' F' B2 U' L F' U2
R' F' B2 U' F' L U2
R F2 L' U R2 F' U
D' F2 R' F' L2 B' U
U' F2 U R' F' U R'
D F2 R' F' B2 L U
D F2 R' B2 L F' U
D F2 R' B2 F' L U
R' F2 U F U F' R'
R B D2 L2 U' R B2
R B D2 L2 U' B2 R
F' B U' R2 B L F
B2 F' L U' R2 B L
R' B' D2 F' U R B2
R' B' D2 F' U B2 R
R' B' F' U R2 B R'
B F' U' R2 B L F
F' B2 L U' R2 B L
