B U F L B2 U2
B U F B2 U2 R'
B U B2 F U2 R'
B' U2 R' D L2 B'
B' U2 D L2 R' B'
B' U2 D R' L2 B'
L2 F B' R' D L2
L2 F B' D L2 R'
L2 F B' D R' L2
B' D U2 L2 R' B'
B' D U2 R' L2 B'
B' D F U2 L2 R'
B' D F U2 R' L2
B' D' F R2 U2 R
L2 B U' F B2 R'
L2 B U' B2 R' F
L2 B U' B2 F R'
B' F U2 R' D L2
B' F U2 D L2 R'
B' F U2 D R' L2
B' F D U2 L2 R'
B' F D U2 R' L2
B' F D' R2 U2 R
L2 B' R' D F L2
L2 B' R' F D L2
L2 B' D R' F L2
L2 B' D F L2 R'
L2 B' D F R' L2
L2 B' F R' D L2
L2 B' F D L2 R'
L2 B' F D R' L2
F B' U2 R' D L2
F B' U2 D L2 R'
F B' U2 D R' L2
F B' D U2 L2 R'
F B' D U2 R' L2
F B' D' R2 U2 R
L2 R D F B' L R'
L2 R D F B' R' L
L2 R D B' R' F L
L2 R D B' F L R'
L2 R D B' F R' L
L2 R D' F B' L' R'
L2 R D' F B' R' L'
L2 R D' B' R' F L'
L2 R D' B' F L' R'
L2 R D' B' F R' L'
L2 R F D B' L R'
L2 R F D B' R' L
L2 R B' D' R' F L'
L2 R B' D' F L' R'
L2 R B' D' F R' L'
B' L' D' R2 U2 R B
L2 R' B' R' F D' L2
R L2 D F B' L R'
R L2 D F B' R' L
R L2 D B' R' F L
R L2 D B' F L R'
R L2 D B' F R' L
R L2 D' F B' L' R'
R L2 D' F B' R' L'
R L2 D' B' R' F L'
R L2 D' B' F L' R'
R L2 D' B' F R' L'
L2 R2 F D' B' L2 R'
L2 R2 F D' B' R' L2
R2 L2 F D' B' L2 R'
R2 L2 F D' B' R' L2
L2 R2 F B' R' D' L2
L2 R2 F B' D' L2 R'
L2 R2 F B' D' R' L2
R2 L2 F B' R' D' L2
R L2 F D B' L R'
R L2 F D B' R' L
R2 L2 F B' D' L2 R'
R2 L2 F B' D' R' L2
B L2 U B2 L' U2 B
B L2 U' D2 F2 R B'
B L2 U' D2 F2 B' R
B L2 U' D2 B' F2 R
B' L2 U2 R' D B' L2
F L2 U' B U' F R
B' L2 U2 D R' B' L2
R' L2 B' R' F D' L2
L2 R2 B' R' D' F L'
R2 L2 B' R' D' F L'
B' L2 D U2 R' B' L2
L2 R2 B' F R' D' L2
L2 R2 B' F D' L2 R'
L2 R2 B' F D' R' L2
R2 L2 B' F R' D' L2
R2 L2 B' F D' L2 R'
R2 L2 B' F D' R' L2
R L2 B' D' R' F L'
R L2 B' D' F L' R'
R L2 B' D' F R' L'
B' L2 D' R2 U2 R B'
B' L2 D' R2 U2 B' R
B L2 D2 U' F2 R B'
B L2 D2 U' F2 B' R
B L2 D2 U' B' F2 R
U2 L2 F R D B' L
D2 L2 F B' R' D L2
D2 L2 F B' D L2 R'
D2 L2 F B' D R' L2
D' L2 F B' R' D L2
D' L2 F B' D L2 R'
D' L2 F B' D R' L2
U2 L2 F B' R D L2
U2 L2 F B' D L2 R
U2 L2 F B' D R L2
D L2 F B' R' D L2
D L2 F B' D L2 R'
D L2 F B' D R' L2
D2 L2 B U' F B2 R'
D2 L2 B U' B2 R' F
D2 L2 B U' B2 F R'
D' L2 B U' F B2 R'
D' L2 B U' B2 R' F
D' L2 B U' B2 F R'
D L2 B U' F B2 R'
D L2 B U' B2 R' F
D L2 B U' B2 F R'
D2 L2 B' R' D F L2
D2 L2 B' R' F D L2
D' L2 B' R' D F L2
D' L2 B' R' F D L2
D2 L2 B' D R' F L2
D2 L2 B' D F L2 R'
D2 L2 B' D F R' L2
D' L2 B' D R' F L2
D' L2 B' D F L2 R'
D' L2 B' D F R' L2
D L2 B' R' D F L2
D L2 B' R' F D L2
D2 L2 B' F R' D L2
D2 L2 B' F D L2 R'
D2 L2 B' F D R' L2
D' L2 B' F R' D L2
D' L2 B' F D L2 R'
