F' L' B' U F' B'
F' L' B' U B' F'
F' U F' B' R' B'
F' U B' F' R' B'
F' U B2 D2 F' R
F2 U' F U R B2
F2 U' F U B2 R
L' F' B' U F' B'
L' F' B' U B' F'
L' B' F' U F' B'
L' B' F' U B' F'
F' B' U F' B' R'
F' B' U B' F' R'
B' F' U F' B' R'
B' F' U B' F' R'
F2 B2 U' F U R
B2 F2 U' F U R
D' L R2 F L B U'
F' L U F' B2 D R2
F' L U B2 F' D R2
F' L U2 F U' F2 B2
F' L U2 F U' B2 F2
F' L D L2 B' U F'
R2 L F B U' F B
R2 L F B U' B F
R2 L B F U' F B
R2 L B F U' B F
B2 L' U' F' B' U F'
B2 L' U' B' F' U F'
F' L' D B' L2 U F'
B2 L' F' B' U F' B
B2 L' F' B' U B F'
B L' F' B' U F' B2
B L' F' B' U B2 F'
B2 L' F2 U' F B' U
B2 L' F2 U' B' F U
D L' B' L' F' R2 U
F' L' B' U D F' B'
F' L' B' U D B' F'
F' L' B' U D' F' B'
F' L' B' U D' B' F'
F' L' B' U D2 F' B'
F' L' B' U D2 B' F'
F' L' B' U F' D B'
F' L' B' U F' D' B'
F' L' B' U F' D2 B'
F' L' B' U F' B' D
F' L' B' U F' B' D'
F' L' B' U F' B' D2
F' L' B' U B' D F'
F' L' B' U B' D' F'
F' L' B' U B' D2 F'
F' L' B' U B' F' D
F' L' B' U B' F' D'
F' L' B' U B' F' D2
F' L' B' D U F' B'
F' L' B' D U B' F'
F' L' B' D' U F' B'
F' L' B' D' U B' F'
F' L' B' D2 U F' B'
F' L' B' D2 U B' F'
B2 L' B' F' U F' B
B2 L' B' F' U B F'
B L' B' F' U F' B2
B L' B' F' U B2 F'
D' L2 R2 D' B U' R'
L R2 F B U' F B
L R2 F B U' B F
F' L2 U B2 D F' R
L R2 B F U' F B
L R2 B F U' B F
F' L2 D L2 U F' R
L' U F' B' U F' B'
L' U F' B' U B' F'
F2 R U' F U R B2
F2 R U' F U B2 R
L' U B' F' U F' B'
L' U B' F' U B' F'
F2 R B2 U' F U R
L' U' F' B' U F' B'
L' U' F' B' U B' F'
F2 R' U' F U R B2
F2 R' U' F U B2 R
L' U' B' F' U F' B'
L' U' B' F' U B' F'
F2 R' B2 U' F U R
D' R2 L F L B U'
D' R2 L2 D' B U' R'
L' U2 F' B' U F' B'
L' U2 F' B' U B' F'
F2 R2 U' F U R B2
F2 R2 U' F U B2 R
L' U2 B' F' U F' B'
L' U2 B' F' U B' F'
L2 D L2 F' R2 U R'
L D L2 F' R2 B' U
L D L2 F' B' R2 U
L D L2 B' F' R2 U
D' R2 B L F L U'
F2 R2 B2 U' F U R
L' D F' R2 B' L2 U
L2 D F' L2 R2 U R'
L2 D F' R2 L2 U R'
L' D F' B' L2 R2 U
L' D F' B' R2 L2 U
F' U R B' R' F' B'
F' U R B' R' B' F'
L' D B' L2 F' R2 U
L' D B' F' L2 R2 U
L' D B' F' R2 L2 U
L' D' L2 R2 F B U'
L' D' L2 R2 B F U'
F' U F B' R' F2 B'
F' U F B' R' B' F2
L2 D' L2 R2 B U' R'
F' U F' R B' R' B'
F' U F' R' B' R' B'
F' U F' R2 B' R' B'
F' U F' B' R B' R2
F' U F' B' R' D B'
F' U F' B' R' D' B'
F' U F' B' R' D2 B'
F' U F' B' R' B' D
F' U F' B' R' B' D'
F' U F' B' R' B' D2
F' U F' B' R2 B' R
F' U F' B' D R' B'
F' U F' B' D' R' B'
F' U F' B' D2 R' B'
F' U F2 B' R' F B'
F' U F2 B' R' B' F
L' D' R2 L2 F B U'
L' D' R2 L2 B F U'
L2 D' R2 L2 B U' R'
F' U B' D F' R' B'
F' U B' D' F' R' B'
F' U B' D2 F' R' B'
L2 D' R2 B L2 U' R'
F' U B' F R' F2 B'
F' U B' F R' B' F2
F' U B' F' R B' R2
F' U B' F' R' D B'
F' U B' F' R' D' B'
F' U B' F' R' D2 B'
F' U B' F' R' B' D
F' U B' F' R' B' D'
F' U B' F' R' B' D2
F' U B' F' R2 B' R
F' U B' F' D R' B'
F' U B' F' D' R' B'
F' U B' F' D2 R' B'
F' U B' F2 R' F B'
F' U B' F2 R' B' F
L D' R2 F L2 B U'
L D' R2 F B L2 U'
L D' R2 B F L2 U'
F' U B2 D2 F' R D
F' U B2 D2 F' R D'
F' U B2 D2 F' R D2
F' U B2 D2 F' D R
F' U B2 D2 F' D' R
F' U B2 D2 F' D2 R
F2 U' D F L2 U R
F' U' F R F2 B2 L
F2 U' F L U R B2
F' U' F R B2 L F2
F2 U' F L U B2 R
F' U' F R B2 F2 L
F2 U' F L' U R B2
F2 U' F L' U B2 R
F2 U' F L2 U R B2
F2 U' F L2 U B2 R
F' U' F U2 R F2 B2
F' U' F U2 R B2 F2
F' U' F U2 B2 R F2
F2 U' F U R B2 D
F2 U' F U R B2 D'
F2 U' F U R B2 D2
F2 U' F U R' B2 R2
F2 U' F U B' R B'
F2 U' F U B2 R D
F2 U' F U B2 R D'
F2 U' F U B2 R D2
F2 U' F U B2 D R
F2 U' F U B2 D' R
F2 U' F U B2 D2 R
F2 U' F D L2 U R
F2 U' F B U B R
F2 U' F B' U R B'
F2 U' F B' U B' R
B2 U' F' U F2 R F
B2 U' F' U' L' U2 F'
F U' F2 U F' R B2
F U' F2 U F' B2 R
F U' F2 U B2 F' R
F2 U' B F U B R
F' U' B' U2 F' B' R'
F' U' B' U2 B' F' R'
F2 U' B' F U R B'
F2 U' B' F U B' R
F U' B2 D' F L2 R
F U' B2 D' F R L2
U' F R B2 D' F L2
F' D L' B' L' U F'
L F U' B2 D' F L2
F' D L2 U D F' R
F' D L2 D U F' R
L F U2 F2 U F' B2
L F U2 F2 U B2 F'
L F D' R2 U' F L2
R2 F B U' F B R
R2 F B U' B F R
U' F B2 R D' F L2
U' F B2 D' R F L2
F2 D U' F L2 U R
L2 F' L B' U F' B'
L2 F' L B' U B' F'
U' F' L2 U F' B2 R'
U' F' L2 U B2 F' R'
D F' L' R2 B' L' U
B' D F' R2 U B' R'
D F' L' B' L' R2 U
D F' L' B' R2 L' U
D F' R2 L' B' L' U
U' F' U F2 R F B2
U' F' U F2 R B2 F
U' F' U F2 B2 R F
U' F' U B2 F2 R F
U' F' U' L' U2 F' B2
U' F' U' L' U2 B2 F'
U2 F' U F R F2 B2
U2 F' U F R B2 F2
U2 F' U F B2 R F2
D2 F' U' F' L' B2 U2
D2 F' U' F' B2 L' U2
L2 F' U B2 D F' R
U2 F' U B2 F R F2
D2 F' U' B2 F' L' U2
L F' U B2 D F' R2
L2 F' D L2 U F' R
L' F' D B' L2 U F'
L F' U2 F2 U' F B2
L F' U2 F2 U' B2 F
L F' D L2 U F' R2
L' F' B' U D F' B'
L' F' B' U D B' F'
L' F' B' U D' F' B'
L' F' B' U D' B' F'
L' F' B' U D2 F' B'
L' F' B' U D2 B' F'
L' F' B' U F' D B'
L' F' B' U F' D' B'
L' F' B' U F' D2 B'
L' F' B' U F' B' D
L' F' B' U F' B' D'
L' F' B' U F' B' D2
L' F' B' U B' D F'
L' F' B' U B' D' F'
L' F' B' U B' D2 F'
L' F' B' U B' F' D
L' F' B' U B' F' D'
L' F' B' U B' F' D2
L' F' B' D U F' B'
L' F' B' D U B' F'
L' F' B' D' U F' B'
L' F' B' D' U B' F'
L' F' B' D2 U F' B'
L' F' B' D2 U B' F'
F D' R2 U' F L2 R
F D' R2 U' F R L2
U F' B' U F' R' B'
L' F2 U' F B' U B'
L' F2 U' B' F U B'
L' F2 B2 U' F B U
L' F2 B2 U' B F U
R2 F2 B2 U B' U' R'
R2 B L F U' F B
R2 B L F U' B F
R2 B U' F B R F
R2 B U' F2 D2 B R'
R2 B U' B F R F
F' B L' B' U F' B2
F' B L' B' U B2 F'
R2 B F U' F B R
