L' U2 B' U' R' F'
B' L R' F L2 U R
L' R U2 B' U' R' F'
B' L F L2 R' U R2
B' L F R' L2 U R2
R' L' U2 B' U' R' F'
L' R' U2 B' U' R' F'
R2 L' U2 B' U' R' F'
R L' U2 B' U' R' F'
B' L' R' U2 B' U' R'
D2 L' U2 B' U' R' F'
D' L' U2 B' U' R' F'
B2 L' U2 B' L U' R'
D L' U2 B' U' R' F'
B L' U2 B' L2 U' R'
L' R2 U2 B' U' R' F'
B' R' L F L2 U R
B' R' L' U2 B' U' R'
L' U2 D B' U' R' F'
L' U2 D' B' U' R' F'
L' U2 D2 B' U' R' F'
L' U2 F' B' L' U' R'
L' U2 B' L U' R' F'
L' U2 B' L' U' R' F'
L' U2 B' L2 U' R' F'
L' U2 B' U' R' D F'
L' U2 B' U' R' D' F'
L' U2 B' U' R' D2 F'
L' U2 B' U' R' F' D
L' U2 B' U' R' F' D'
L' U2 B' U' R' F' D2
L' U2 B' U' D R' F'
L' U2 B' U' D' R' F'
L' U2 B' U' D2 R' F'
L' U2 B' U' F R' F'
L' U2 B' U' F' R' F'
L' U2 B' U' F2 R' F'
L' U2 B' D U' R' F'
L' U2 B' D' U' R' F'
L' U2 B' D2 U' R' F'
L' U2 B' F' L' U' R'
L' D U2 B' U' R' F'
L' D' U2 B' U' R' F'
L' D2 U2 B' U' R' F'
L F L2 R2 U R' F'
L F L2 U R' F' R2
L F L2 B' R' U R2
L F R2 L2 U R' F'
L F B' L2 R' U R2
L F B' R' L2 U R2
L B' R' F L2 U R
L B' F L2 R' U R2
L B' F R' L2 U R2
