B L U' R2 U' F' L'
B L D B U2 L B
B L D' F2 B U2 L
B L D' B F2 U2 L
B L B U' R2 U' L
B L B U2 L D B2
B L B U2 D L B2
B L B D U2 L B2
B L B D' F2 U2 L
R2 U R B2 U B' U
D L2 B' U' R' B' L
R2 U B2 R U B U
B' R2 U B' U2 L R
B' R2 U B' U2 R L
B2 U2 L B D R' B2
B2 U2 L B' D B2 R'
R2 D2 B' U' F2 L' R'
R2 D2 B' U' F2 R' L'
B D L B U2 L B
B D B U2 L B R'
B D' L F2 B U2 L
B D' L B F2 U2 L
B D' F2 L B U2 L
B' D2 L2 U R' F L'
B' D2 L2 U F L' R'
B' D2 L2 U F R' L'
D2 F2 D' B' R' B' L
R' B L B U L U
R2 B U L B R U2
D B' R' B' D L F2
D B' R' B' D F2 L
R2 B' U R B' U2 R2
R2 B' U' R' D2 L2 F
R' B2 U L B U R'
R' B2 U D L B' U
R' B2 U2 B D' R' B
R' B2 D U L B' U
