D R F' L2 U' L'
D L R F' L U' L'
D L U L R F' U'
D L U R L F' U'
D L U R F' L U'
D2 L B R' F2 D B2
L U D L2 R F' U'
L U D R L2 F' U'
L U D R F' L2 U'
D R L F' L U' L'
D R D F' U' L F'
D R D F' U' F' L
F' R D2 F2 D' L B'
R U' L F D2 F2 R
R U' L F' R D2 F2
R U' L F' D2 R F2
D R F' L2 U' L' D
D R F' L2 U' L' D'
D R F' L2 U' L' D2
D R F' L2 U' D L'
D R F' L2 U' D' L'
D R F' L2 U' D2 L'
D R F' L2 D U' L'
D R F' L2 D' U' L'
D R F' L2 D2 U' L'
D R F' L2 B U' L'
D R F' L2 B' U' L'
D R F' L2 B2 U' L'
D R F' U' D L F2
D R F' U' D F2 L
D' R F2 L' F U' L2
D R F' D U' L F2
D R F' D U' F2 L
R U' F L D2 R2 F2
R U' F L D2 F2 R2
R U' F D2 F2 L R
R U' F D2 F2 R L
R U' F' L R D2 F2
R U' F' L D2 R F2
R U' F' R L D2 F2
R U' F' R D2 L F2
R U' F' R D2 F2 L
R U' F' D2 L R F2
R U' F' D2 R L F2
R U' F' D2 R F2 L
B2 R' U' R2 F' U' R
B2 R' U' F' R2 U' R'
B2 R' F L' U' R2 U'
B2 R' F L' U2 D B2
B2 R' F L' D U2 B2
B2 R' F L' D' F2 U2
B2 R' F D L' U2 B2
B2 R' F D' L' F2 U2
B2 R' F D' F2 U2 R
B2 R' F' U' R2 U' R'
B2 R' F' U2 D R B2
B2 R' F' U2 D B2 R
B2 R' F' D U2 R B2
B2 R' F' D U2 B2 R
B2 R' F' D' F2 L' U2
L2 D L2 R F' U' L
L D L2 R F' U' L2
L2 D R L2 F' U' L
L D R L2 F' U' L2
L D R F' L2 U' L2
L D U L2 R F' U'
L D U R L2 F' U'
L D U R F' L2 U'
F' U L' R B' L2 F
F' U L' B' L2 R F
F' U L' B' R L2 F
F2 U L' B' U L2 F
F' U R L' B' L2 F
U' D R F' L2 U' L'
U2 D R F' L2 U' L'
D U R F' L2 U' L'
U D R F' L2 U' L'
F' U' L R D2 F2 B
F' U' L R D2 B F2
F' U' L D2 R F2 B
F' U' L D2 R B F2
D U' R F' L2 U' L'
F' U' R L D2 F2 B
F' U' R L D2 B F2
F' U' R D2 L F2 B
F' U' R D2 L B F2
F' U' R D2 F2 L B
F' U' D2 L R F2 B
F' U' D2 L R B F2
F' U' D2 R L F2 B
F' U' D2 R L B F2
F' U' D2 R F2 L B
F' U' B2 R' U2 R2 B
F' U' B2 R' F' U2 R2
D U2 R F' L2 U' L'
L D2 B R' F2 D B2
R F U L' B2 U2 L2
R F U B2 L' R' U2
R F U B2 R' L' U2
R F U' L D2 R2 F2
R F U' L D2 F2 R2
R F U' D2 F2 L R
R F U' D2 F2 R L
F' D L2 U' L' R B
F' D L2 U' R L' B
F' D L2 U' R B L'
B2 D R' U' R2 F' U'
R F D2 U' F2 L R
R F D2 U' F2 R L
R F' U B2 R' U2 R2
R F' U' L R D2 F2
R F' U' L D2 R F2
R F' U' R L D2 F2
R F' U' R D2 L F2
R F' U' R D2 F2 L
R F' U' D2 L R F2
R F' U' D2 R L F2
R F' U' D2 R F2 L
R F' D L2 U' L' R
R F' D L2 U' R L'
R F' D2 U' L R F2
R F' D2 U' R L F2
R F' D2 U' R F2 L
D2 F2 L B R' D' B2
D2 F2 L B D' R' B2
D2 F2 L B' D' B2 R'
F' D2 R F2 D' L B'
F' D2 U' L R F2 B
F' D2 U' L R B F2
F' D2 U' R L F2 B
F' D2 U' R L B F2
F' D2 U' R F2 L B
F D2 F2 R D L B'
F D2 F2 D L R B'
F D2 F2 D L B' R
F D2 F2 D R L B'
L B R2 F' R D B2
B2 F L' D R' U2 B
B2 F R' D' L' F U2
B2 F D L' R' U2 B
B2 F D R' L' U2 B
B2 F D' L' R' F U2
B2 F D' L' F R' U2
B2 F D' R' L' F U2
F B2 L' D R' U2 B
B2 F2 R' U L' B' U
F2 B2 R' U L' B' U
F B2 R' D' L' F U2
F B2 D L' R' U2 B
F B2 D R' L' U2 B
F B2 D' L' R' F U2
F B2 D' L' F R' U2
F B2 D' R' L' F U2
