U L B' L F
U' B' U2 L B'
U L F B' L F
U L F' B' L F
U L F2 B' L F
U L B' L D F
U L B' L D' F
U L B' L D2 F
U L B' L F D
U L B' L F D'
U L B' L F D2
B' L B' D' R2 F'
U L B' D L F
U L B' D' L F
U L B' D2 L F
U L B' F L F
U L B' F' L F
U L B' F2 L F
D L' F L' U F
R' U L B' L F
R2 U L B' L F
R U L B' L F
U L2 D2 F L' B'
L' U L2 B' L F
U L2 F L' B' L
U' R B' U2 L B'
R' U' B' U2 L B'
R2 U' B' U2 L B'
R U' B' U2 L B'
U' R' B' U2 L B'
U' R2 B' U2 L B'
F' U L B' L F
F2 U L B' L F
F U L B' L F
F' U' B' U2 L B'
F2 U' B' U2 L B'
F U' B' U2 L B'
B' U2 L B' D' R2
U F L B' L F
U' F B' U2 L B'
U F' L B' L F
U' F' B' U2 L B'
U F2 L B' L F
U' F2 B' U2 L B'
U' B' R U2 L B'
U' B' R' U2 L B'
U' B' R2 U2 L B'
U' B' U2 L D B'
U' B' U2 L D' B'
U' B' U2 L D2 B'
U' B' U2 L B' D
U' B' U2 L B' D'
U' B' U2 L B' D2
U' B' F U2 L B'
U' B' F' U2 L B'
U' B' F2 U2 L B'
L' R U L2 B' L F
U L R' B' L R F
U L R' B' R L F
U L R2 B' L R2 F
U L R2 B' L F R2
U L R2 B' R2 L F
B' L D B' D' R2 F'
B' L D' B' D' R2 F'
U L D2 L F L' B'
B' L D2 B' D' R2 F'
U L D2 B' L F L'
U' L F B' L F R
B' L F B' D' R2 F'
U L F B' L D F
U L F B' L D' F
U L F B' L D2 F
U L F B' L F D
U L F B' L F D'
U L F B' L F D2
U L F B' D L F
U L F B' D' L F
U L F B' D2 L F
B' L F' B' D' R2 F'
U L F' B' L D F
U L F' B' L D' F
U L F' B' L D2 F
U L F' B' L F D
U L F' B' L F D'
U L F' B' L F D2
U L F' B' D L F
U L F' B' D' L F
U L F' B' D2 L F
U' L F2 R B' L F
U' L F2 B' L R F
U' L F2 B' R L F
B' L F2 B' D' R2 F'
U L F2 B' L D F
U L F2 B' L D' F
U L F2 B' L D2 F
U L F2 B' L F D
U L F2 B' L F D'
U L F2 B' L F D2
U L F2 B' D L F
U L F2 B' D' L F
U L F2 B' D2 L F
U L B L F B2 L
U L B L B2 F L
L' R' U L2 B' L F
R' L' U L2 B' L F
R2 L' U L2 B' L F
R L' U L2 B' L F
U' L B' L D2 R2 F
U' L B' L D2 F R2
U' L B' L F D2 R2
U L B' L R F R'
U L B' L R2 F R2
U L B' L D F D
U L B' L D F D'
U L B' L D F D2
U L B' L D' F D
U L B' L D' F D'
U L B' L D' F D2
U L B' L D2 F D
U L B' L D2 F D'
U L B' L D2 F D2
U L B' L F2 D F'
U L B' L F2 D' F'
U L B' L F2 D2 F'
U L B' L' F L2 F
U L B' L' F' L2 F
U L B' L' F2 L2 F
B' L B' R2 D' F' R2
B' L B' R2 F' D' R2
U L B' R L F R'
U L B' R2 L F R2
B' L B' D' R2 D F'
B' L B' D' R2 D' F'
B' L B' D' R2 D2 F'
B' L B' D' R2 F' D
B' L B' D' R2 F' D'
B' L B' D' R2 F' D2
B' L B' D' F R2 F'
B' L B' D' F' R2 F'
B' L B' D' F2 R2 F'
U' L B' F L F R
B' L B' F D' R2 F'
U L B' D L D F
U L B' D L D' F
U L B' D L D2 F
U L B' D L F D
U L B' D L F D'
U L B' D L F D2
U L B' D F L F
U L B' D F' L F
B' L B' F' D' R2 F'
U L B' D F2 L F
U L B' D' L D F
U L B' D' L D' F
U' L B' F2 L R F
U L B' D' L D2 F
U L B' D' L F D
U L B' D' L F D'
U L B' D' L F D2
U' L B' F2 R L F
B' L B' F2 D' R2 F'
U L B' D' F L F
U L B' D' F' L F
U L B' D' F2 L F
U L B' D2 L D F
U L B' D2 L D' F
U L B' D2 L D2 F
U L B' D2 L F D
U L B' D2 L F D'
U L B' D2 L F D2
U L B' D2 F L F
U L B' D2 F' L F
U L B' D2 F2 L F
U L B' F L D F
U L B' F L D' F
U L B' F L D2 F
U L B' F L F D
U L B' F L F D'
U L B' F L F D2
U L B' F D L F
U L B' F D' L F
U L B' F D2 L F
U L B' F' L D F
U L B' F' L D' F
U L B' F' L D2 F
U L B' F' L F D
U L B' F' L F D'
U L B' F' L F D2
U L B' F' D L F
U L B' F' D' L F
U L B' F' D2 L F
U L B' F2 L D F
U L B' F2 L D' F
U L B' F2 L D2 F
U L B' F2 L F D
U L B' F2 L F D'
U L B' F2 L F D2
U L B' F2 D L F
U L B' F2 D' L F
U L B' F2 D2 L F
U L B2 L F B L
U L B2 L B F L
U L B2 D B L F
U L B2 D' B L F
U L B2 D2 B L F
D L' R F L' U F
D L' R' F L' U F
D L' R2 F L' U F
