U2 L R U D2 R2
U2 L R U' L2 U2
U2 L R D' B2 U
U2 L R D2 U R2
L R U' L2 U2 L2
R L U' L2 U2 L2
U2 L D' R B2 U
U2 L D' B2 R U
U2 L D2 R U R
U L' U L2 R U
U L' U R L2 U
F2 L' U' R D' B2
F2 L' U' D' R B2
F2 L' U' D' B2 R
F2 L' U2 L2 U R
F2 L' D' U' R B2
F2 L' D' U' B2 R
F2 L' D2 R2 U' R'
U2 R L U D2 R2
U2 R L U' L2 U2
U2 R L D' B2 U
U2 R L D2 U R2
L' U2 L2 R U R'
L' U2 R L2 U R'
U' L R U D2 L' R2
U' L R U D2 R2 L'
U2 L R U R D2 R2
U2 L R U R' D2 R2
U2 L R U R2 D2 R2
U2 L R U D2 R2 D
U2 L R U D2 R2 D'
U2 L R U D2 R2 D2
U' L R U' L2 U2 L
D2 L R U' L2 U2 L2
U2 L R U' L2 U2 D
U2 L R U' L2 U2 D'
U2 L R U' L2 U2 D2
U2 L R U' L2 D U2
U2 L R U' L2 D' U2
U2 L R U' L2 D2 U2
D' L R U' L2 U2 L2
U2 L R U2 D F2 U'
D L R U' L2 U2 L2
U2 L R D U2 F2 U'
U L R U' L2 R' U2
U L R U' R' L2 U2
U' L R D' B2 U L'
U2 L R D' B2 U D
U2 L R D' B2 U D'
U2 L R D' B2 U D2
U2 L R D' B2 D U
U2 L R D' B2 D' U
U2 L R D' B2 D2 U
U' L R D2 U L' R2
U' L R D2 U R2 L'
U2 L R D2 U R2 D
U2 L R D2 U R2 D'
U2 L R D2 U R2 D2
U2 L R D2 B U R2
U2 L R D2 B' U R2
U2 L R D2 B2 U R2
L R U R2 D2 L2 R2
L R U R2 D2 R2 L2
U L R D' B2 U L
L R U D2 R2 D2 L2
R L U R2 D2 L2 R2
R L U R2 D2 R2 L2
U2 L R B U D2 R2
U2 L R B U' L2 U2
U2 L R B D' B2 U
U2 L R B D2 U R2
U2 L R B' U D2 R2
U2 L R B' U' L2 U2
U2 L R B' D' B2 U
U2 L R B' D2 U R2
R L U D2 R2 D2 L2
U2 L R B2 U D2 R2
U2 L R B2 U' L2 U2
U2 L R B2 D' B2 U
U2 L R B2 D2 U R2
U2 L R' D' B2 U F2
L R U' L2 R U2 L2
L R U' L2 R' U2 L2
L R U' L2 R2 U2 L2
L R U' L2 U2 L2 D
L R U' L2 U2 L2 D'
L R U' L2 U2 L2 D2
L R U' L2 D2 R2 U2
L R U' R L2 U2 L2
L R U' R' L2 U2 L2
R L U' L2 R U2 L2
R L U' L2 R' U2 L2
R L U' L2 R2 U2 L2
L R U' R2 L2 U2 L2
R L U' L2 U2 L2 D
R L U' L2 U2 L2 D'
R L U' L2 U2 L2 D2
R L U' L2 D2 R2 U2
R L U' R L2 U2 L2
R L U' R' L2 U2 L2
R L U' R2 L2 U2 L2
U2 L R2 D' R' B2 U
U2 L R2 D2 R' U R'
U2 L U' L2 U R U
U2 L U2 D F2 L' U'
L R D' B2 U D L2
L R D' B2 U2 B2 U'
L R D' B2 D U L2
L R D' B2 D2 F2 U
R L D' B2 U D L2
R L D' B2 U2 B2 U'
R L D' B2 D U L2
R L D' B2 D2 F2 U
L R D2 U R2 D2 L2
R L D2 U R2 D2 L2
U2 L D R U D R2
U2 L D R U2 F2 U'
U2 L D R D U R2
U2 L D R D2 B2 U
U2 L D U2 F2 L' U'
L R F U' L2 U2 L2
R L F U' L2 U2 L2
U2 L D' R U D' R2
U2 L D' R D' U R2
U' L D' R B2 U L'
U2 L D' R B2 U D
U2 L D' R B2 U D'
U2 L D' R B2 U D2
U2 L D' R B2 D U
U2 L D' R B2 D' U
U2 L D' R B2 D2 U
U2 L D' R' B2 R2 U
U L D' R B2 U L
U2 L D' B' R B' U
U' L D' B2 R U L'
U2 L D' B2 R U D
U2 L D' B2 R U D'
U2 L D' B2 R U D2
U2 L D' B2 R D U
U2 L D' B2 R D' U
U2 L D' B2 R D2 U
U2 L D' B2 D R U
U2 L D' B2 D' R U
U2 L D' B2 D2 R U
L R F' U' L2 U2 L2
R L F' U' L2 U2 L2
U' L D2 R U L' R
U' L D2 R U R L'
U2 L D2 R U R D
U2 L D2 R U R D'
U2 L D2 R U R D2
U2 L D2 R U D R
U2 L D2 R U D' R
U2 L D2 R U D2 R
U2 L D2 R D U R
U2 L D2 R D' U R
U2 L D2 R D2 U R
U2 L D2 R B U R
U2 L D2 R B' U R
U2 L D2 R B2 U R
U2 L D2 B R U R
U2 L D2 B' R U R
U2 L D2 B2 R U R
L R F2 U' L2 U2 L2
R L F2 U' L2 U2 L2
U2 L B R U D2 R2
U2 L B R U' L2 U2
U2 L B R D' B2 U
U2 L B R D2 U R2
L R B2 D2 F2 U R2
R L B2 D2 F2 U R2
U2 L B D' R B2 U
U2 L B D' B2 R U
U2 L B D2 R U R
U2 L B' R U D2 R2
U2 L B' R U' L2 U2
U2 L B' R D' B2 U
U2 L B' R D2 U R2
U2 L B' D' R B2 U
U2 L B' D' B2 R U
U2 L B' D2 R U R
U2 L B2 R U D2 R2
U2 L B2 R U' L2 U2
U2 L B2 R D' B2 U
U2 L B2 R D2 U R2
R' L' U2 L2 R2 U R2
L' R' U2 L2 R2 U R2
R2 L' U2 L2 R' U R
L' R' U2 R2 L2 U R2
R' L' U2 R2 L2 U R2
U2 L B2 D' R B2 U
R2 L' U2 R' L2 U R
U2 L B2 D' B2 R U
U2 L B2 D2 R U R
F2 L' R D2 R2 U' R2
F2 L' R' U' R2 D' B2
F2 L' R' U2 L2 U R2
F2 L' R' D' F2 U' B2
F2 L' R2 U' R' D' B2
F2 L' R2 U' D' R' B2
F2 L' R2 U2 L2 U R'
F2 L' R2 D' U' R' B2
F2 L' R2 D2 R2 U' R
U' L' U L2 R U L'
U2 L' U L2 R U L2
U' L' U R L2 U L'
U2 L' U R L2 U L2
U L' U L2 R U D
U L' U L2 R U D'
U L' U L2 R U D2
U L' U L2 R D U
U L' U L2 R D' U
U L' U L2 R D2 U
F2 L' U D F2 L' U2
U L' U L2 D R U
U L' U L2 D' R U
U L' U L2 D2 R U
U L' U R L2 U D
U L' U R L2 U D'
U L' U R L2 U D2
U L' U R L2 D U
U L' U R L2 D' U
U L' U R L2 D2 U
U L' U R U D' B2
U L' U R D' U B2
U L' U D' R U B2
F2 L' U' R U' L2 U
F2 L' U' R D' B2 D
F2 L' U' R D' B2 D'
F2 L' U' R D' B2 D2
F2 L' U' R B D' B2
F2 L' U' R B' D' B2
F2 L' U' R B2 D' B2
F2 L' U' R2 D' R' B2
F2 L' U' D R D2 B2
F2 L' U' D' R B2 D
F2 L' U' D' R B2 D'
F2 L' U' D' R B2 D2
F2 L' U' D' R' B2 R2
F2 L' U' D' B' R B'
F2 L' U' D' B2 R D
F2 L' U' D' B2 R D'
F2 L' U' D' B2 R D2
F2 L' U' D' B2 D R
F2 L' U' D' B2 D' R
F2 L' U' D' B2 D2 R
F2 L' U' B R D' B2
F2 L' U' B D' R B2
F2 L' U' B D' B2 R
F2 L' U' B' R D' B2
F2 L' U' B' D' R B2
F2 L' U' B' D' B2 R
F2 L' U' B2 R D' B2
D2 L' U2 L2 R U R'
F2 L' U' B2 D' R B2
F2 L' U' B2 D' B2 R
D' L' U2 L2 R U R'
D2 L' U2 R L2 U R'
D' L' U2 R L2 U R'
F2 L' U2 L2 U R D
F2 L' U2 L2 U R D'
F2 L' U2 L2 U R D2
F2 L' U2 L2 U D R
F2 L' U2 L2 U D' R
F2 L' U2 L2 U D2 R
F2 L' U2 L2 D U R
F2 L' U2 L2 D' U R
F2 L' U2 L2 D2 U R
F2 L' U2 L2 B U R
F2 L' U2 L2 B' U R
F2 L' U2 L2 B2 U R
D L' U2 L2 R U R'
D L' U2 R L2 U R'
F2 L' U2 B L2 U R
F2 L' U2 B' L2 U R
F2 L' U2 B2 L2 U R
F2 L' D U F2 L' U2
F2 L' D U' R D2 B2
U L' D F2 U' L' U'
F2 L' D' R' U' R2 B2
F2 L' D' R' U' B2 R2
F2 L' D' R2 U' R' B2
F2 L' D' U' R B2 D
F2 L' D' U' R B2 D'
F2 L' D' U' R B2 D2
F2 L' D' U' R' B2 R2
F2 L' D' U' B' R B'
F2 L' D' U' B2 R D
F2 L' D' U' B2 R D'
F2 L' D' U' B2 R D2
F2 L' D' U' B2 D R
F2 L' D' U' B2 D' R
F2 L' D' U' B2 D2 R
U L' D' U R U B2
F2 L' D2 R2 U' R' D
F2 L' D2 R2 U' R' D'
F2 L' D2 R2 U' R' D2
F2 L' D2 R2 U' D R'
F2 L' D2 R2 U' D' R'
F2 L' D2 R2 U' D2 R'
F2 L' D2 R2 D U' R'
F2 L' D2 R2 D' U' R'
F2 L' D2 R2 D2 U' R'
F2 L' D2 R2 F U' R'
F2 L' D2 R2 F' U' R'
F2 L' D2 R2 F2 U' R'
L' R2 U2 L2 R' U R
L' R2 U2 R' L2 U R
U L' B U L2 R U
U L' B U R L2 U
U L' B' U L2 R U
U L' B' U R L2 U
U L' B2 U L2 R U
U L' B2 U R L2 U
U2 L2 R B2 L' U R'
L2 U L U L2 R U
L2 U L U R L2 U
R' U L' U L2 R2 U
R' U L' U R2 L2 U
R' U L' U2 D' F2 B2
R' U L' U2 D' B2 F2
R' U L' D F2 B2 U2
R' U L' D B2 F2 U2
R' U L' D' U2 F2 B2
R' U L' D' U2 B2 F2
R2 U L' U L2 R' U
R2 U L' U R' L2 U
L' U L2 R U' R' U2
R U L' D F2 U2 F2
F L2 F L' U' R B
L' U R L2 U' R' U2
L' U R U D' B2 L
L' U R D' U B2 L
U2 L2 B2 L' R U R2
U2 L2 B2 R L' U R2
L' U D' R U B2 L
D2 R L U' L2 U2 L2
U' R L U D2 L' R2
D' R L U' L2 U2 L2
