B L' D' R2 F' R B2
B L' D' R2 F' B2 R
B L' D' R2 B2 F' R
R2 U B2 U2 L' B' R'
R2 U' L' D2 F2 B' R'
R2 U' L' D2 B' R' F2
R2 U' L' D2 B' F2 R'
R2 U' D2 L' F2 B' R'
R2 U' D2 L' B' R' F2
R2 U' D2 L' B' F2 R'
R D' R2 B L U L2
R' D' B L R2 U L2
R' D' B R2 L U L2
R2 D2 U' L' F2 B' R'
R2 D2 U' L' B' R' F2
R2 D2 U' L' B' F2 R'
R' D2 B L U L2 F2
R' D2 B L U F2 L2
B2 D' F2 R F' L' U2
R' B L R2 U L2 F'
R' B L R2 U F' L2
R' B L U' B U2 L2
D2 B L B' U L2 F2
D2 B L B' U F2 L2
R' B R2 L U L2 F'
R' B R2 L U F' L2
R' B2 U B' L U L2
B2 F2 D' R F' U2 R
F2 B2 D' R F' U2 R
