D' R' F' B' L U2
D R' F' B' U2 R
D' R' B' L F' U2
D' R' B' F' L U2
D R' B' F' U2 R
R' D F' B' U2 R
R' D B' F' U2 R
R' D' F' B' L U2
R' D' B' L F' U2
R' D' B' F' L U2
R' F' D' B' L U2
R' B' D F' U2 R
R' L F' U B' R' U
L R' F' U B' R' U
D L2 R' F' U2 R F2
D R D2 L2 F B R'
D R D2 L2 B R' F
D R D2 L2 B F R'
D' R B D2 L2 R' F2
D' R B D2 L2 F2 R'
D' R B D2 R' L2 F2
D' R B D2 R' F2 L2
D' R B D2 F2 L2 R'
D' R B D2 F2 R' L2
D' R B' L R2 U2 B2
D' R B' R2 L U2 B2
D' R B' R2 U2 B2 R'
D R' L2 F' U2 R F2
F' R' D F' B' U2 R
F' R' D B' F' U2 R
F2 R' D F' B' U2 R
F2 R' D B' F' U2 R
F R' D F' B' U2 R
F' R' D' F' B' L U2
F R' D B' F' U2 R
F' R' D' B' L F' U2
F' R' D' B' F' L U2
F2 R' D' F' B' L U2
F2 R' D' B' L F' U2
U2 R' D' B' L F U2
F2 R' D' B' F' L U2
F R' D' F' B' L U2
D' R' D2 F' B' U2 R
F R' D' B' L F' U2
F R' D' B' F' L U2
D' R' D2 B' F' U2 R
D R' D2 F' B' L U2
D R' D2 B' L F' U2
D R' D2 B' F' L U2
D' R' F B' L F2 U2
D R' F B' L' F2 U2
D R' F' L2 U2 R F
F' R' F' D' B' L U2
D' R' F' B' L U2 D
D' R' F' B' L U2 D'
D' R' F' B' L U2 D2
D' R' F' B' L D U2
D' R' F' B' L D' U2
D' R' F' B' L D2 U2
D2 R' F' B' U B2 U
D2 R' F' B' U2 D' R2
D2 R' F' B' D L2 U2
D' R' F' B' D L U2
D2 R' F' B' D' U2 R2
D' R' F' B' D' L U2
D' R' F' B' D2 L U2
F2 R' F' D' B' L U2
D R' F' D B' U2 R
D R' F' D' B' U2 R
D R' F' D2 B' U2 R
D R' F' B' L U2 R
D R' F' B' L' U2 R
D R' F' B' L2 U2 R
D R' F' B' U2 R D
D R' F' B' U2 R D'
D R' F' B' U2 R D2
D R' F' B' U2 D R
D R' F' B' U2 D' R
D R' F' B' U2 D2 R
D R' F' B' D U2 R
D R' F' B' D' U2 R
D R' F' B' D2 U2 R
F R' F' D' B' L U2
D' R' B' L D F' U2
D' R' B' L D' F' U2
D' R' B' L D2 F' U2
D' R' B' L F' U2 D
D' R' B' L F' U2 D'
D' R' B' L F' U2 D2
D' R' B' L F' D U2
D' R' B' L F' D' U2
D' R' B' L F' D2 U2
D' R' B' L' F' L2 U2
D2 R' B' U2 D' R2 B
D2 R' B' D L2 F' U2
