B L U' B' U' B' R'
D' L2 F B R' U2 R2
D L2 F B U2 L' R
D L2 F B U2 R L'
D' L2 B R' F U2 R
D' L2 B F R' U2 R2
D L2 B F U2 L' R
D L2 B F U2 R L'
D' R F R F' B' L
D' R F R B' L F'
D' R F R B' F' L
D R F R B' L' F'
D' R F B' L R F'
D' R F B' R L F'
D' R F B' R F' L
D R F B' L' R F'
D R F B' R L' F'
D' R B' L F R F'
D' R B' F L R F'
D' R B' F R L F'
D' R B' F R F' L
D R B' F L' R F'
D R B' F R L' F'
D' R' U2 B' L R' F
D' R' U2 B' L F R'
D' R' U2 B' R' L F
U2 R' D' B' L R' F'
U2 R' D' B' R' L F'
U2 R' D' B' R' F' L
R' U2 D' B' L R' F
R' U2 D' B' L F R'
R' U2 D' B' R' L F
R2 U2 D' F' B' L R'
R2 U2 D' F' B' R' L
R2 U2 D' B' L F' R'
R2 U2 D' B' F' L R'
R2 U2 D' B' F' R' L
R2 U2 F' D' B' L R'
R2 U2 F' D' B' R' L
D' R2 U2 F' B' L R'
D' R2 U2 F' B' R' L
D' R2 U2 B' L F' R'
D' R2 U2 B' F' L R'
D' R2 U2 B' F' R' L
U' R2 D' F' R B' L
U' R2 D' F' B' L R
U' R2 D' F' B' R L
U' R2 D' B' L F' R
U' R2 D' B' F' L R
U' R2 D' B' F' R L
U2 R2 D' F' B' L R'
U2 R2 D' F' B' R' L
U2 R2 D' B' L F' R'
U2 R2 D' B' F' L R'
U2 R2 D' B' F' R' L
F R2 D' F' R' B' L
D' R2 F R F2 B' L
D' R2 F R B' L F2
D' R2 F R B' F2 L
D' R2 F B' L R F2
D' R2 F B' R L F2
D' R2 F B' R F2 L
D R2 F R B' L' F2
F2 R2 F' R D' B' L
D R2 F B' L' R F2
D R2 F B' R L' F2
D' R2 F' B' L D2 R2
F2 R2 F' D' R B' L
F2 R2 F' D' B' L R
F2 R2 F' D' B' R L
U2 R2 F' D' B' L R'
U2 R2 F' D' B' R' L
F R2 F' R' D' B' L
F R2 F' D' R' B' L
D' R2 B' L F R F2
D' R2 B' F L R F2
D' R2 B' F R L F2
D' R2 B' F R F2 L
D' R2 B' F' L D2 R2
D R2 B' F L' R F2
D R2 B' F R L' F2
R2 D F R B' L' F2
B U L' F B' U B'
R2 D F B' L' R F2
R2 D F B' R L' F2
B U L' B' F U B'
R2 D B' F L' R F2
R2 D B' F R L' F2
R' D' U2 B' L R' F
R' D' U2 B' L F R'
R' D' U2 B' R' L F
R2 D' U2 F' B' L R'
R2 D' U2 F' B' R' L
R2 D' U2 B' L F' R'
R2 D' U2 B' F' L R'
R2 D' U2 B' F' R' L
R2 D' F R F2 B' L
R2 D' F R B' L F2
R2 D' F R B' F2 L
R2 D' F B' L R F2
R2 D' F B' R L F2
R2 D' F B' R F2 L
U2 D' R' B' L R' F'
U2 D' R' B' R' L F'
U2 D' R' B' R' F' L
R2 D' F' B' L D2 R2
U2 D' R2 F' B' L R'
U2 D' R2 F' B' R' L
U2 D' R2 B' L F' R'
U2 D' R2 B' F' L R'
U2 D' R2 B' F' R' L
R2 D' B' L F R F2
R2 D' B' F L R F2
R2 D' B' F R L F2
R2 D' B' F R F2 L
R2 D' B' F' L D2 R2
U2 D' B L R' U2 B2
U2 D' B L U2 B2 L
U2 D' B R' L U2 B2
U2 D' B R' U2 B2 R'
U2 D' B U2 B2 L R'
U2 D' B U2 B2 R' L
U2 D' B' L R' D2 F2
U2 D' B' L D2 R' F2
U2 D' B' L D2 F2 R'
U2 D' B' R' L D2 F2
U2 D' B' R' D2 L F2
U2 D' B' R' D2 F2 L
U2 D' B' D2 L R' F2
U2 D' B' D2 L F2 R'
U2 D' B' D2 R' L F2
U2 D' B' D2 R' F2 L
U2 D' B' D2 F2 L R'
U2 D' B' D2 F2 R' L
D' U2 R' B' L R' F'
D' U2 R' B' R' L F'
