F' L R B2 U' R
F' L B2 R U' R
F' R L B2 U' R
L F' R B2 U' R
L F' B2 R U' R
D B2 R' U L2 B
D B2 R' U B L2
L B2 F' R U' R
F' L R U' R D L2
F' L R U' D L2 R
F' L R U' D R L2
F' L R D U' L2 R
F' L R D U' R L2
D' L R F2 U' B' L'
F' L R B2 U' R D
F' L R B2 U' R D'
F' L R B2 U' R D2
F' L R B2 U' D R
F' L R B2 U' D' R
F' L R B2 U' D2 R
F' L R B2 D U' R
F' L R B2 D' U' R
F' L R B2 D2 U' R
F2 L R B2 U' R B
R' L U' D L2 R' B
R' L U' D R' L2 B
R' L U' D R' B L2
L' R D R F2 L2 B'
R' L D U' L2 R' B
R' L D U' R' L2 B
R' L D U' R' B L2
D' L D B2 U' B R2
F' L D' R F2 U' L'
R' L F' R B2 U' R2
R2 L F' B2 R U' R'
D L D2 F2 U' L B'
F2 L F R B2 U' R
F2 L F B2 R U' R
U2 L F' R B2 U' R
U' L F' R B2 U' R
U L F' R B2 U' R
U2 L F' B2 R U' R
U' L F' B2 R U' R
U L F' B2 R U' R
D' L F2 U R2 U2 B'
D' L F2 U' D2 B' L2
D' L F2 U' B' D2 L2
D' L F2 D B2 U' B
D' L F2 D2 U' B' L2
R2 L B2 F' R U' R'
F' L B' R B' U' R
L R' U' D L2 R' B
L R' U' D R' L2 B
L R' U' D R' B L2
F' L B2 R U' R D
F' L B2 R U' R D'
F' L B2 R U' R D2
F' L B2 R U' D R
F' L B2 R U' D' R
F' L B2 R U' D2 R
F' L B2 R D U' R
F' L B2 R D' U' R
F' L B2 R D2 U' R
F2 L B2 R U' R B
F2 L B2 U' R B R
F' L B2 D' R F2 U'
F L B2 U' R2 D' B2
F L B2 U2 L2 U R2
F2 L B2 F R U' R
F L B2 D' F2 U' B2
U' L B2 F' R U' R
U2 L B2 F' R U' R
U L B2 F' R U' R
R' L' D L2 R' F2 B
R' L' D L2 R' B F2
L' R' D L2 R' F2 B
L' R' D L2 R' B F2
R' L' D L2 F2 R' B
L' R' D L2 F2 R' B
R' L' D R' L2 F2 B
R' L' D R' L2 B F2
L' R' D R' L2 F2 B
L' R' D R' L2 B F2
R' L' D R' F2 L2 B
R' L' D R' F2 B L2
R' L' D R' B L2 F2
R' L' D R' B F2 L2
L' R' D R' F2 L2 B
L' R' D R' F2 B L2
L' R' D R' B L2 F2
L' R' D R' B F2 L2
F' L' R B2 L2 U' R
R L' D R F2 L2 B'
L R' D U' L2 R' B
L R' D U' R' L2 B
L R' D U' R' B L2
R' L' D F2 L2 R' B
R' L' D F2 R' L2 B
R' L' D F2 R' B L2
L' R' D F2 L2 R' B
L' R' D F2 R' L2 B
L' R' D F2 R' B L2
F L' U R2 D L2 F2
F L' U R2 D F2 L2
L R' F' R B2 U' R2
F L' U2 L2 B2 U' R2
F L' U2 B2 L2 U' R2
F L' D B2 U L2 F2
F L' D B2 U F2 L2
F' L' B2 L2 R U' R
F' L' B2 R L2 U' R
F' L2 R B2 L' U' R
L R2 F' B2 R U' R'
L R2 B2 F' R U' R'
F' L2 B2 L' R U' R
F' L2 B2 R L' U' R
F L2 B2 L' R' U' R'
F L2 B2 R' L' U' R'
F' R L U' R D L2
F' R L U' D L2 R
F' R L U' D R L2
F' R L D U' L2 R
F' R L D U' R L2
D' R L F2 U' B' L'
F' R L B2 U' R D
F' R L B2 U' R D'
F' R L B2 U' R D2
F' R L B2 U' D R
F' R L B2 U' D' R
F' R L B2 U' D2 R
F' R L B2 D U' R
F' R L B2 D' U' R
F' R L B2 D2 U' R
F2 R L B2 U' R B
F' R L' B2 L2 U' R
F' R L2 B2 L' U' R
F' R D L U' L R
F' R D L U' R L
D' R F2 L U' B' L2
