U R2 U R' B U
U L R2 U R' B U
U L' R2 U R' B U
B L' D F2 L' B2 U'
B L' D F2 B2 L' U'
B L' D B2 F2 L' U'
F2 L' D2 B' U' L2 R'
F2 L' D2 B' U' R' L2
F2 L' B U L R2 U2
F2 L' B U R2 L U2
F2 L' B D B2 U' R'
F2 L' B' U R2 U2 R
F2 L' B' U' D2 L2 R'
F2 L' B' U' D2 R' L2
F2 L' B' D2 U' L2 R'
F2 L' B' D2 U' R' L2
U L2 R2 U R' B U
R2 U R' U2 F' R' U'
L' U R2 U R' B U
L2 U R2 U R' B U
L U R2 U R' B U
U2 R U' R U B U
R2 U' R2 U2 R B U
U R2 L U R' B U
U R2 L' U R' B U
U R2 L2 U R' B U
U R2 U R' D B U
U R2 U R' D' B U
U R2 U R' D2 B U
U R2 U R' B U D
U R2 U R' B U D'
U R2 U R' B U D2
U R2 U R' B D U
U R2 U R' B D' U
U R2 U R' B D2 U
B U L R2 U R' U
B' U R2 U R' U R2
B' U R2 U2 R D' F2
B U R2 L U R' U
B' U' D' R' D' L2 F2
B' U' D' R' D' F2 L2
B' U' D2 L2 R' D' F2
B' U' D2 R' L2 D' F2
D2 U2 R F U L2 R
D2 U2 R F U R L2
U2 D2 R F U L2 R
U2 D2 R F U R L2
B' U2 R U' R U2 R
B' U2 R F2 U L' R2
B' U2 R F2 U R2 L'
B U2 R U' L R U2
B U2 R U' R L U2
B' U2 D' R F2 U R2
B' U2 D2 R U L2 R2
B' U2 D2 R U R2 L2
B2 D F2 L' F B2 U'
B2 D F2 L' B2 F U'
B D F' B2 U' R' F'
B2 D F2 B2 L' F U'
B D F2 B2 L' U' R'
F2 D B2 D L' F U'
B2 D B2 F2 L' F U'
B D B2 U' R' D' F2
B D B2 U2 R U R2
B D B2 F' U' R' F'
B D B2 F2 L' U' R'
D2 F' B' U' L2 R' F'
D2 F' B' U' R' L2 F'
D2 F' B' U' R' F' L2
B' D' U' R' D' L2 F2
B' D' U' R' D' F2 L2
B' D' U2 R F2 U R2
D2 F2 L' B' U' L' R'
D2 F2 L' B' U' R' L'
F2 D2 L' B' U' L' R'
F2 D2 L' B' U' R' L'
D2 F2 B' L' U' L' R'
D2 F2 B' L' U' R' L'
B' D2 U' L2 R' D' F2
B' D2 U' R' L2 D' F2
B' D2 U2 R U L2 R2
B' D2 U2 R U R2 L2
D F2 B2 D L' F U'
B' D2 F' U' L2 R' F'
B' D2 F' U' R' L2 F'
B' D2 F' U' R' F' L2
B' D2 F2 L' U' L' R'
B' D2 F2 L' U' R' L'
F2 D2 B' L' U' L' R'
F2 D2 B' L' U' R' L'
F' D2 B' U' L2 R' F'
F' D2 B' U' R' L2 F'
F' D2 B' U' R' F' L2
U B R2 U R' B U
F D2 B' L U' L R'
F D2 B' L U' R' L
F2 B L' U L2 R2 U2
F2 B L' U R2 L2 U2
F2 B L' U' D2 L2 R2
F2 B L' U' D2 R2 L2
F2 B L' D F2 B2 U'
F2 B L' D B2 F2 U'
R B U' L R F U2
F2 B L' D2 U' L2 R2
F2 B L' D2 U' R2 L2
R B U' R L F U2
F' B U L R2 U2 F
F' B U R2 L U2 F
F' B D B2 U' R' F'
F2 B D B2 L' U' R'
F2 B' L' U R2 U2 R
F2 B' L' U' D2 L2 R'
F2 B' L' U' D2 R' L2
D2 B' U' L2 R' D' F2
F2 B' L' D2 U' L2 R'
F2 B' L' D2 U' R' L2
D2 B' U' R' L2 D' F2
D' B' U' R' D' L2 F2
D' B' U' R' D' F2 L2
U B' R2 U R' B U
D2 B' U2 R U L2 R2
D2 B' U2 R U R2 L2
D' B' U2 R F2 U R2
B' F' U' D2 L2 R' F'
B' F' U' D2 R' L2 F'
B' F' U' D2 R' F' L2
B F' U L R2 U2 F
F' B' U' D2 L2 R' F'
B F' U R2 L U2 F
F' B' U' D2 R' L2 F'
F' B' U' D2 R' F' L2
D2 B' F' U' L2 R' F'
D2 B' F' U' R' L2 F'
D2 B' F' U' R' F' L2
D2 B' F2 L' U' L' R'
D2 B' F2 L' U' R' L'
B' F' D2 U' L2 R' F'
B' F' D2 U' R' L2 F'
B' F' D2 U' R' F' L2
B F' D B2 U' R' F'
F2 B' D2 L' U' L' R'
F2 B' D2 L' U' R' L'
F' B' D2 U' L2 R' F'
F' B' D2 U' R' L2 F'
F' B' D2 U' R' F' L2
B' F2 L' U R2 U2 R
B' F2 L' U' D2 L2 R'
B' F2 L' U' D2 R' L2
B' F2 L' D2 U' L2 R'
B' F2 L' D2 U' R' L2
B F2 L' U L2 R2 U2
B F2 L' U R2 L2 U2
B F2 L' U' D2 L2 R2
B F2 L' U' D2 R2 L2
B F2 L' D F2 B2 U'
B F2 L' D B2 F2 U'
B F2 L' D2 U' L2 R2
B F2 L' D2 U' R2 L2
U B2 R2 U R' B U
D B2 U2 R B U R'
D B2 U2 B R U R2
D B2 D F2 L' F U'
B2 F2 D L' F B2 U'
B2 F2 D L' B2 F U'
F2 B2 D L' F B2 U'
F2 B2 D L' B2 F U'
B2 F2 D B2 L' F U'
F2 B2 D B2 L' F U'
B' F2 D2 L' U' L' R'
B' F2 D2 L' U' R' L'
B F2 D B2 L' U' R'
D B2 F2 D L' F U'
