D' L B' L R' U' R'
D' L B' R' L U' R'
U' L' F D' R2 B' L'
U' L' F D' B' L' R2
U' L' F D' B' R2 L'
U' L' B2 U F L' B
U' L' B2 U F B L'
U' L' B2 U B F L'
U2 L' B2 U F L' B'
L' U' F L' D' R2 B'
L' U' F L' D' B' R2
L' U' F D' L' R2 B'
L' U' F D' L' B' R2
L' U' F D' R2 L' B'
L' U2 B2 U F L' B'
F U' L' D' R2 F B'
F U' L' D' R2 B' F
F U' L' D' F R2 B'
F U' L' D' F B' R2
F U' L' D' B' R2 F
F U' L' D' B' F R2
F U' L' F D' R2 B'
F U' L' F D' B' R2
U' F L' D' R2 F B'
U' F L' D' R2 B' F
U' F L' D' F R2 B'
U' F L' D' F B' R2
U' F L' D' B' R2 F
U' F L' D' B' F R2
U' F L' F D' R2 B'
U' F L' F D' B' R2
F U2 B2 U L' F B'
F U2 B2 U L' B' F
L2 B L B U F L'
U' B2 L' U F B' L'
U' B2 L' U B' F L'
U2 B2 L' U F L' B'
U2 B2 U L' F B' L'
U2 B2 U L' B' F L'
U2 B2 U F L' F B'
U2 B2 U F L' B' F
