B U' L F2 R U
U' L F2 R2 U F' B
U' L F2 R2 U B F'
U' L F2 U' F' B U2
U' L F2 U' B F' U2
U' L' R2 F2 U F B'
U' L' R2 F2 U B' F
B L' D R2 F2 U2 R2
B L' D F2 R2 U2 R2
B L' D' L2 B2 D2 F2
B L' D' B L2 F B
B L' D' B L2 B F
B L' D' B2 L2 D2 F2
U' L' F2 R2 U F' B'
U' L' F2 R2 U B' F'
U' L' F2 U B' D2 F2
U' L' F2 U' B U2 B2
B L' B D' L2 F B2
B L' B D' L2 B2 F
B L' B' D' B2 L2 F
F2 R U R F' B R2
B R U L F2 U R'
F2 R U R B F' R2
B R U F2 L U R'
B2 R D' L2 R' F B
B2 R D' L2 R' B F
B2 R D' L2 F R' B
B2 R D' R' L2 F B
B2 R D' R' L2 B F
B' R' D2 B2 U' R F2
U' R2 L' F2 U F B'
U' R2 L' F2 U B' F
B R2 U L F2 U R2
F2 R2 U F' R B R
B R2 U F2 L U R2
F2 R2 B L U F' R2
B U L F2 U D R2
B U L F2 U2 F2 U'
B U L F2 D U R2
B U L F2 D2 B2 U
B' U R' D2 B2 U' F2
B' U D2 R' B2 U' F2
B U F2 L U D R2
B U F2 L U2 F2 U'
B U F2 L D U R2
B U F2 L D2 B2 U
B U F2 D L U R2
B U F2 D2 L B2 U
B U' L R F2 R U
B U' L R' F2 R U
B U' L R2 F2 R U
B U' L F2 R U D
B U' L F2 R U D'
B U' L F2 R U D2
B U' L F2 R D U
B U' L F2 R D' U
B U' L F2 R D2 U
B U' L F2 D R U
B U' L F2 D' R U
B U' L F2 D2 R U
B U' R L F2 R U
B U' R' L F2 R U
B U' R2 L F2 R U
B U' F2 L U2 L' U'
B U2 L F2 U R F2
B U2 L' D' B2 L2 R'
B U2 L' D' B2 R' L2
B U2 F2 L U F2 R
B2 U2 B' U L F2 U
B2 U2 B' U F2 L U
B' U2 B2 U L F2 U
B' U2 B2 U F2 L U
B D R2 U L U R2
B2 D' L D2 L F B'
B2 D' L D2 L B' F
B2 D' L2 R' B R F
B2 D' L2 F R' B R
B2 D' R' L2 B R F
U2 F' B U L' F' U
U' F2 L U' F B U2
U' F2 L U' B F U2
U' F2 L' R2 U F' B'
U' F2 L' R2 U B' F'
U' F2 L' U B' D2 F2
U' F2 L' U' B U2 B2
R2 F2 R U R F B
R2 F2 R U R B F
U' F2 R2 L' U F' B'
U' F2 R2 L' U B' F'
R2 F2 U R B R F
R2 F2 U F R B R
R F2 U R F' B R2
R F2 U R B F' R2
B' D2 R' B2 U' R F2
B' D2 U R' B2 U' F2
R2 B L F2 U R2 F
R2 B L F2 U F R2
B' D2 F2 U R' B2 U'
D B R2 U L U R2
U2 B U L' F2 U B'
L' B U' L F2 R U
U2 B U F2 L' U B'
L2 B U' L F2 R U
L B U' L F2 R U
U2 B F' U L' F' U
D' B2 L D L F B'
D' B2 L D L B' F
