R U B' R' U B
B' L R2 U F B2 L
B' L R2 U B2 F L
B' L U F2 L' F' B2
B' L U F2 L' B2 F'
B' L U F2 B2 L' F'
B' L U B2 F2 L' F'
B' L U' R U2 F B2
B' L U' R U2 B2 F
F2 L U' F L2 B R
F2 L U' F B L2 R
F2 L U' F B R L2
F L U' F L' B R
F L U' F B L' R
F L U' F B R L'
F2 L U' B F L2 R
F2 L U' B F R L2
F L U' B F L' R
F L U' B F R L'
B L D' F2 L' F' R2
F2 L F L2 D' B R'
F L F L' B D' R2
B L F2 L' D' F' R2
B L F2 L' F' D' R2
B' L F2 U L' F' B2
B' L F2 U L' B2 F'
B' L F2 U B2 L' F'
B L F2 D' L' F' R2
B' L' U' R B' U2 B'
B' L' U' B' R U2 B'
F2 L' D' B R' D2 F2
F2 L' D' B D2 R' F2
F2 L' D' B D2 F2 R'
B' L2 U F2 L' F B2
B' L2 U F2 L' B2 F
B' L2 U F2 B2 L' F
B' L2 U B2 F2 L' F
F L2 F U' L' F B
F L2 F U' L' B F
F L2 F U' B L' F
B' L2 F2 U L' F B2
B' L2 F2 U L' B2 F
B' L2 F2 U B2 L' F
B L2 F2 L' D' R2 F
B L2 F2 L' D' F R2
B L2 F2 L' F D' R2
R U R' B' R' U B2
R U D B' L R' U
R U D B' R' L U
D2 R U B' R' U B
D' R U B' R' U B
D R U B' R' U B
R U B' L R' U B
R U B' L' R' U B
R U B' L2 R' U B
R U B' R' L U B
R U B' R' L' U B
R U B' R' L2 U B
R U B' R' U D B
R U B' R' U D' B
R U B' R' U D2 B
R U B' R' U B D
R U B' R' U B D'
R U B' R' U B D2
R U B' R' D U B
R U B' R' D' U B
R U B' R' D2 U B
L U' F2 L' F' B R
L U' F2 L' B F' R
L U' F2 B L' F' R
L U' B F2 L' F' R
R U2 R' F' B D' R2
R U2 R' B D' F' R2
R U2 R' B F' D' R2
B' R2 L U F B2 L
B' R2 L U B2 F L
B R2 U' B2 U L F
B' R2 B2 L D' R2 F
B' R2 B2 L D' F R2
B' R2 B2 L F D' R2
B' R2 B2 D' L R2 F
B' R2 B2 D' L F R2
B' R2 B2 D' R2 L F
R D U B' L R' U
R D U B' R' L U
B' U F2 B2 D L' F
F2 U B' R' U L' B2
F2 U B' R' U B2 L'
B' U B2 D F2 L' F
B' U B2 F2 D L' F
L' D' B R' D2 L2 F2
L' D' B R' D2 F2 L2
L' D' B D2 F2 L' R'
L' D' B D2 F2 R' L'
L' D' B' L R U2 B2
L' D' B' R L U2 B2
L' D' B' R U2 B2 R'
B U' R2 B2 U L F
B U' B2 U' R B U2
F2 U2 L' D' B R' F'
B U2 R U2 D' R2 F'
B U2 R D L2 B U2
B U2 R D B L2 U2
B U2 R D' U2 R2 F'
B U2 R D' B U2 R2
B U2 R B U B U
B U2 D L2 R B U2
B U2 D R L2 B U2
B U2 D R B L2 U2
B U2 D' R B U2 R
L2 F L' U' F L' B
L2 F L' U' F B L'
L2 F L' U' B F L'
L2 F U' L' F L' B
L2 F U' L' F B L'
L2 F U' L' B F L'
L2 F U' F L' F B
L2 F U' F L' B F
L2 F U' F B L' F
L2 F U' B L' F L'
L2 F U' B F L' F
R F U B' R' U B
B' D L2 U F2 L' F
B' D L2 F2 U L' F
B D U2 L2 R B U2
B D U2 R L2 B U2
B D U2 R B L2 U2
R2 F' R' U B' R' U
R F' U B' R' U B
B D' L F2 L' F' R2
B D' L2 F2 L' R2 F
B D' L2 F2 L' F R2
B D' L2 F2 R2 L' F
B D' R2 U2 R' U2 F'
B D' R2 B2 L F B2
B D' R2 B2 L B2 F
U2 F2 L' D' B R' F'
B D' U2 R B U2 R
L2 F2 L' F D B R2
L2 F2 L' F B D R2
L2 F2 L' B F D R2
B D' F L R2 F L'
B D' F L F L' R2
B D' F L F R2 L'
B D' F R2 L F L'
L F2 L' F' B D' R2
L F2 L' B D' F' R2
L F2 L' B F' D' R2
B D' F2 L R2 F L2
B D' F2 L F L2 R2
B D' F2 L F R2 L2
B D' F2 R2 L F L2
B D' B2 R2 B2 L F
R F2 U B' R' U B
U' F2 B D' L' R2 F
U' F2 B D' L' F R2
U' F2 B D' R2 L' F
L2 F2 B L' F D R2
U F2 B' R' U L' B2
U F2 B' R' U B2 L'
B' F L U F L' B2
B' F L U F B2 L'
B' F L U B2 F L'
F2 B L F L2 D' R2
B F L F L' D' R2
B F L F D' L' R2
B F L F D' R2 L'
F B L F L' D' R2
F B L F D' L' R2
F B L F D' R2 L'
R2 B D' R2 B L F
U' B F2 D' L' R2 F
U' B F2 D' L' F R2
U' B F2 D' R2 L' F
L2 B F2 L' F D R2
F2 B D' L R2 F L2
F2 B D' L F L2 R2
F2 B D' L F R2 L2
F2 B D' R2 L F L2
U' B' R2 U B2 L F
F2 B' L U F L2 B2
F2 B' L U F B2 L2
F2 B' L U B2 F L2
U B' R' U B2 D2 L2
U B' R' U' R2 U2 B2
U' B' U' R B U2 B
F B' L U F L' B2
F B' L U F B2 L'
F B' L U B2 F L'
F2 B' L' B2 D' R2 F'
F2 B' U B2 D L' F
U B' F2 R' U L' B2
U B' F2 R' U B2 L'
B' F2 L U F L2 B2
B' F2 L U F B2 L2
B' F2 L U B2 F L2
B' F2 L' B2 D' R2 F'
B F2 L F L2 D' R2
B' F2 U B2 D L' F
B F2 D' L R2 F L2
B F2 D' L F L2 R2
B F2 D' L F R2 L2
B F2 D' R2 L F L2
