R' B U' L R2
R' B U' R2 L
D2 R' B U' L R2
D2 R' B U' R2 L
D' R' B U' L R2
D' R' B U' R2 L
D R' B U' L R2
D R' B U' R2 L
R' U2 F' U L' R2
R' U2 F' U R2 L'
B U' L' R B' L2
R' D' F2 B U' L
B U' L' B' L2 R
B U' L' B' R L2
R' D' B F2 U' L
B U' R L' B' L2
R' F B U' L R2
R' F B U' R2 L
R' F' B U' L R2
R' F' B U' R2 L
R' F2 B U' L R2
R' F2 B U' R2 L
R' B U' L R2 D
R' B U' L R2 D'
R' B U' L R2 D2
R' B U' R2 L D
R' B U' R2 L D'
R' B U' R2 L D2
R' B U' R2 D L
R' B U' R2 D' L
R' B U' R2 D2 L
R B R2 U' L R2
R B R2 U' R2 L
R' B D' F2 U' L
R' B F U' L R2
R' B F U' R2 L
R' B F' U' L R2
R' B F' U' R2 L
R' B F2 U' L R2
R' B F2 U' R2 L
R' B' U R' U2 R'
L2 R D F2 B L B
L2 R D B L F2 B
L2 R D B L B F2
L2 R D B F2 L B
R' L B L' U' L2 R2
R' L B L' U' R2 L2
L R B L D F2 B2
L R B L D B2 F2
R L B L D F2 B2
R L B L D B2 F2
L2 R B D L F2 B2
L2 R B D L B2 F2
L2 R B D F2 L B2
L2 R B' D F2 B2 L
L2 R B' D B2 L F2
L2 R B' D B2 F2 L
U' L' R U R2 B' U'
U' L' R U B' R2 U'
U' L' R B D L2 B2
U' L' R B D B2 L2
U' L' U R' B' U' R2
L R' B L' U' L2 R2
L R' B L' U' R2 L2
L2 R' B L2 U' L' R2
L2 R' B L2 U' R2 L'
R L2 D F2 B L B
R L2 D B L F2 B
R L2 D B L B F2
R L2 D B F2 L B
R' L2 B L2 U' L' R2
R' L2 B L2 U' R2 L'
R L2 B D L F2 B2
R L2 B D L B2 F2
R L2 B D F2 L B2
R L2 B' D F2 B2 L
R L2 B' D B2 L F2
R L2 B' D B2 F2 L
R' U R U' B U' R
R' U R' U F' U R'
U' R L' U R2 B' U'
U' R L' U B' R2 U'
U' R L' B D L2 B2
U' R L' B D B2 L2
U' R U R2 B U' L
U' R U B R2 U' L
R' U' L R2 U' F U
R' U' L U' F U R2
R' U' L' R2 U B' U'
R' U' L' U B' U' R2
L U' L' R' B' U' R2
L U' R' L' B' U' R2
D2 R B R2 U' L R2
D2 R B R2 U' R2 L
D' R B R2 U' L R2
D' R B R2 U' R2 L
R' U' R2 L U' F U
R' U' R2 L' U B' U'
R' U' R2 U B U' L
R' U' R2 U' F' U L'
D R B R2 U' L R2
D R B R2 U' R2 L
U R B' D B2 L2 F
B R' U' L' R2 B' L2
B R' U' L' B' L2 R2
B R' U' L' B' R2 L2
B R' U' R2 L' B' L2
D' R' U2 F' U L' R2
D2 R' U2 F' U L' R2
D' R' U2 F' U R2 L'
D2 R' U2 F' U R2 L'
D R' U2 F' U L' R2
D R' U2 F' U R2 L'
F R' U2 F' U L' R
F R' U2 F' U R L'
U R' U2 F' U R2 F
U R' U2 F' U F R2
D2 R' D' F2 B U' L
D' R' D' F2 B U' L
D2 R' D' B F2 U' L
D' R' D' B F2 U' L
D R' D' F2 B U' L
D R' D' B F2 U' L
U' R' F U' F' L' R2
U' R' F U' F' R2 L'
F R' D2 B U' L R'
F R' D2 B U' R' L
D2 R' F B U' L R2
D2 R' F B U' R2 L
D' R' F B U' L R2
D' R' F B U' R2 L
F' R' F B U' L R
F' R' F B U' R L
D R' F B U' L R2
D R' F B U' R2 L
D2 R' F' B U' L R2
D2 R' F' B U' R2 L
D' R' F' B U' L R2
D' R' F' B U' R2 L
D R' F' B U' L R2
D R' F' B U' R2 L
D2 R' F2 B U' L R2
D2 R' F2 B U' R2 L
D' R' F2 B U' L R2
D' R' F2 B U' R2 L
F R' F' B U' L R
F R' F' B U' R L
F2 R' F2 B U' L R
F2 R' F2 B U' R L
D2 R' B U' L R2 D
D2 R' B U' L R2 D'
D2 R' B U' L R2 D2
D2 R' B U' R2 L D
D2 R' B U' R2 L D'
D2 R' B U' R2 L D2
D2 R' B U' R2 D L
D2 R' B U' R2 D' L
D2 R' B U' R2 D2 L
D' R' B U' L R2 D
D' R' B U' L R2 D'
D' R' B U' L R2 D2
D' R' B U' R2 L D
D' R' B U' R2 L D'
D' R' B U' R2 L D2
D' R' B U' R2 D L
D' R' B U' R2 D' L
D' R' B U' R2 D2 L
D R' F2 B U' L R2
D R' F2 B U' R2 L
D2 R' B D' F2 U' L
D' R' B D' F2 U' L
F2 R' B U L' U2 L2
D2 R' B F U' L R2
D2 R' B F U' R2 L
F2 R' B U' L D2 R2
D' R' B F U' L R2
D' R' B F U' R2 L
D2 R' B F' U' L R2
D2 R' B F' U' R2 L
D' R' B F' U' L R2
D' R' B F' U' R2 L
D2 R' B F2 U' L R2
D2 R' B F2 U' R2 L
F' R' B F U' L R
F' R' B F U' R L
D' R' B F2 U' L R2
D' R' B F2 U' R2 L
D R' B U' L R2 D
D R' B U' L R2 D'
D R' B U' L R2 D2
D R' B U' R2 L D
D R' B U' R2 L D'
D R' B U' R2 L D2
D R' B U' R2 D L
D R' B U' R2 D' L
D R' B U' R2 D2 L
F2 R' B F2 U' L R
F2 R' B F2 U' R L
D2 R' B' U R' U2 R'
D R' B D' F2 U' L
D' R' B' U R' U2 R'
D R' B F U' L R2
D R' B F U' R2 L
D R' B F' U' L R2
D R' B F' U' R2 L
D R' B F2 U' L R2
D R' B F2 U' R2 L
F2 R' B' U L' R' U2
F2 R' B' U R' L' U2
R' U2 D F' B2 U L'
F R' B F' U' L R
F R' B F' U' R L
D R' B' U R' U2 R'
R' U2 D B2 F' U L'
R' U2 F U' R U2 R
R' U2 F' U L' R2 D
R' U2 F' U L' R2 D'
R' U2 F' U L' R2 D2
R' U2 F' U R2 L' D
R' U2 F' U R2 L' D'
R' U2 F' U R2 L' D2
R' U2 F' U R2 D L'
R' U2 F' U R2 D' L'
R' U2 F' U R2 D2 L'
R' U2 F' D B2 U L'
R' U2 F' B U L' R2
R' U2 F' B U R2 L'
R' U2 F' B' U L' R2
R' U2 F' B' U R2 L'
R' U2 F' B2 U L' R2
R' U2 F' B2 U R2 L'
R2 U2 F' U L' R' B'
R2 U2 F' U R' L' B'
