B U' F' R' U'
B L U' F' R' U'
B L' U' F' R' U'
B L2 U' F' R' U'
B U' D F' R' U'
B U' D' F' R' U'
B U' D2 F' R' U'
B U' F R' F2 U'
B U' F' R' U' D
B U' F' R' U' D'
B U' F' R' U' D2
B U' F' R' D U'
B U' F' R' D' U'
B U' F' R' D2 U'
B U' F' D R' U'
B U' F' D' R' U'
B U' F' D2 R' U'
B U' F2 R' F U'
B D U' F' R' U'
B D' U' F' R' U'
B D2 U' F' R' U'
L' B U' F' R' U'
D2 B U' F' R U'
L2 B U' F' R' U'
L B U' F' R' U'
F' B U' R' U' R
F2 B U' R' F U'
F2 B U' F R' U'
B F U' R' F2 U'
F B U' R' F2 U'
B F U' F2 R' U'
B F U' F2 R' U'
F B U' F2 R' U'
F B U' F2 R' U'
B F' U' R' U' R
B F2 U' R' F U'
B F2 U' F R' U'
B L U' D F' R' U'
B L U' D' F' R' U'
B2 L U' F' L' U' B'
B L U' D2 F' R' U'
B L U' F R' F2 U'
B L U' F' R' U' D
B L U' F' R' U' D'
B L U' F' R' U' D2
B L U' F' R' D U'
B L U' F' R' D' U'
B L U' F' R' D2 U'
B L U' F' D R' U'
B L U' F' D' R' U'
B L U' F' D2 R' U'
B L U' F2 R' F U'
B L D U' F' R' U'
B L D' U' F' R' U'
F2 L D' B U2 R' B
B L D2 U' F' R' U'
B L F U' R' F2 U'
B L F U' F2 R' U'
B L F' U' R' U' R
B L F' U' R' U' R
B L F2 U' R' F U'
B L F2 U' F R' U'
D2 L B U' F' R U'
F' L B U' R' U' R
D L B U' F' U' B2
F L B U' R' F2 U'
F L B U' F2 R' U'
B L' U' D F' R' U'
B L' U' D' F' R' U'
B L' U' D2 F' R' U'
B L' U' F R' F2 U'
B L' U' F' R' U' D
B L' U' F' R' U' D'
B L' U' F' R' U' D2
B L' U' F' R' D U'
B L' U' F' R' D' U'
B L' U' F' R' D2 U'
B L' U' F' D R' U'
B L' U' F' D' R' U'
B L' U' F' D2 R' U'
B L' U' F2 R' F U'
B L' D U' F' R' U'
B L' D' U' F' R' U'
B L' D2 U' F' R' U'
B L' F U' R' F2 U'
B L' F U' F2 R' U'
D L' F U2 D R2 F'
D L' F D U2 R2 F'
D L' F D B U2 R2
D L' F D' L2 B U2
D L' F D' B L2 U2
D L' F B U' F2 U'
D L' F B U2 D R2
D L' F B D U2 R2
D L' F B D' L2 U2
B L' F' U' R' U' R
B L' F2 U' R' F U'
B L' F2 U' F R' U'
F' L' B U' R' U' R
D2 L' B U' F' R U'
F L' B U' R' F2 U'
F L' B U' F2 R' U'
D L' B F U' F2 U'
D L' B F U2 D R2
D L' B F D U2 R2
D L' B F D' L2 U2
B L2 U' D F' R' U'
B L2 U' D' F' R' U'
B L2 U' D2 F' R' U'
B L2 U' F R' F2 U'
B L2 U' F' R' U' D
B L2 U' F' R' U' D'
B L2 U' F' R' U' D2
B L2 U' F' R' D U'
B L2 U' F' R' D' U'
B L2 U' F' R' D2 U'
B L2 U' F' D R' U'
B L2 U' F' D' R' U'
B L2 U' F' D2 R' U'
B L2 U' F2 R' F U'
B L2 D U' F' R' U'
B L2 D' U' F' R' U'
B L2 D2 U' F' R' U'
B L2 F U' R' F2 U'
B L2 F U' F2 R' U'
B L2 F' U' R' U' R
B L2 F2 U' R' F U'
B L2 F2 U' F R' U'
D2 L2 B U' F' R U'
F' L2 B U' R' U' R
F2 L2 B U B2 L U
F L2 B U' R' F2 U'
F L2 B U' F2 R' U'
U2 R' D' R' F' B R
U2 R' D' R' B F' R
U R2 B' L B2 U F'
B' U L D' R2 B U
B U L U2 F' R' U'
B U L' U2 F' R' U'
B U L2 U2 F' R' U'
B' U D' L R2 B U
B' U D' R2 L B U
R' D' R F' B U2 R
