B R U L B' U2
B' L R B2 U' R2 F'
B' L R' D L2 F B2
B' L R' D L2 B2 F
B L B' U' B R U'
B L' R U L2 B' U2
B L' R U' D2 R2 F
B L' R U' D2 F R2
B L' R U' F D2 R2
B L' R D F2 U' F'
B L' R D2 U' R2 F
B L' R D2 U' F R2
B' L' R B2 U' R2 F
B' L' R B2 U' F R2
B' L' R' D F L2 B2
B' L' R' D F B2 L2
B' L' R' D B2 F L2
B' L' R' F D L2 B2
B' L' R' F D B2 L2
B L' D R F2 U' F'
B L' D2 R U' R F
B' L' F D L2 R' B
B' L' F D R' L2 B
B' L' F D R' B L2
B' R L B2 U' R2 F'
B R L' U L2 B' U2
B R L' U' D2 R2 F
B R L' U' D2 F R2
B R L' U' F D2 R2
B R L' D F2 U' F'
B' R L' B2 U' R2 F
B' R L' B2 U' F R2
B R L' D2 U' R2 F
B R L' D2 U' F R2
B R U L D B' U2
B R U L D' B' U2
B R U L D2 B' U2
B R U L B' U2 D
B R U L B' U2 D'
B R U L B' U2 D2
B R U L B' D U2
B R U L B' D' U2
B R U L B' D2 U2
B R F U L B' U2
B R F' U L B' U2
B R F2 U L B' U2
B2 R B' U L B' U2
B' R B2 L' U' R2 F
B' R B2 L' U' F R2
B' R' L D L2 F B2
B' R' L D L2 B2 F
B' R' L' D F L2 B2
B' R' L' D F B2 L2
B' R' L' D B2 F L2
B' R' L' F D L2 B2
B' R' L' F D B2 L2
L' U' B R U' F R
B U L B' U' R U'
L' F B' D L2 R' B
L' F B' D R' L2 B
L' F B' D R' B L2
B2 D' R F' B' L U'
B2 D' R B' L F' U'
B2 D' R B' F' L U'
B2 D' B' L R F' U'
B2 D' B' R L F' U'
B2 D' B' R F' L U'
B2 D2 R B' U' F' R
B D2 R U L U2 F'
D2 B R U L U2 F'
L B R U L B2 U2
L B R U B2 U2 R'
B2 D2 B' R U' F' R
F' B U L F B' U2
F' B U L B' F U2
D' B' L R B2 U' R2
D' B' R L B2 U' R2
D2 B' R B2 U' F' R2
L' B' R B2 U' R2 F
L' B' R B2 U' F R2
D2 B' R' D B2 L2 F
L' B' R' D F L2 B2
L' B' R' D F B2 L2
L' B' R' D B2 F L2
L' B' R' F D L2 B2
L' B' R' F D B2 L2
L B' U' R B2 U' R2
L B' U2 R' D L2 B2
L B' U2 R' D B2 L2
B F' U L F B' U2
B F' U L B' F U2
L' B' F D L2 R' B
L' B' F D R' L2 B
L' B' F D R' B L2
