B' L D B' U L2
B' L D2 F2 B' U
B' L D2 B' F2 U
B' L B' U2 B' U'
B R' F2 L' F U'
L' U2 F B R' U'
L' U2 B R' F U'
L' U2 B F R' U'
L2 U2 B R' F' U'
U2 D' B U' R' B
D' U2 B U' R' B
L B' L U D L2
L B' L U2 B2 U'
L B' L D U L2
L B' L D2 F2 U
L B' U2 B2 R' U'
L B' D L U L
L B' D2 L F2 U
L B' D2 F2 L U
B L R' U2 R B' U
B L R' U2 B' R U
D' L U2 B U' R' B
B' L U2 B2 U2 B U
B' L D F B' U L2
B' L D F' B' U L2
B' L D F2 B' U L2
B' L D B' U L2 D
B' L D B' U L2 D'
B' L D B' U L2 D2
B' L D B' D F2 U
B' L D B' F U L2
B' L D B' F' U L2
B' L D B' F2 U L2
B' L D' B' U D2 L2
B' L D' B' U' R2 U2
B' L D' B' D' F2 U
B' L D' B' D2 U L2
R2 L F' R2 B' L U
R2 L F' B' L R2 U
R2 L F' B' R2 L U
B' L D2 F2 D B' U
B' L D2 F2 D' B' U
B' L D2 F2 D2 B' U
B' L D2 F2 B' U D
B' L D2 F2 B' U D'
B' L D2 F2 B' U D2
B' L D2 F2 B' D U
B' L D2 F2 B' D' U
B' L D2 F2 B' D2 U
B' L D2 B' U D' L2
B' L D2 B' D' U L2
B' L D2 B' F2 U D
B' L D2 B' F2 U D'
B' L D2 B' F2 U D2
B' L D2 B' F2 D U
B' L D2 B' F2 D' U
B' L D2 B' F2 D2 U
B' L F D B' U L2
B' L F D2 F2 B' U
B' L F D2 B' F2 U
B' L F B' U2 B' U'
R2 L B' L F' R2 U
B' L F' D B' U L2
B' L F' D2 F2 B' U
B' L F' D2 B' F2 U
B' L F' B' U2 B' U'
R2 L B' F' L R2 U
R2 L B' F' R2 L U
B' L F2 D B' U L2
B' L F2 D2 F2 B' U
B' L F2 D2 B' F2 U
B' L F2 B' U2 B' U'
B2 L B L F B2 U
B2 L B L B2 F U
F' L B' L U D L2
F' L B' L U2 B2 U'
F' L B' L D U L2
F' L B' L D2 F2 U
F2 L B' L U D L2
F2 L B' L U2 B2 U'
F2 L B' L D U L2
F2 L B' L D2 F2 U
F L B' L U D L2
F L B' L U2 B2 U'
F L B' L D U L2
F L B' L D2 F2 U
B' L B' L2 F L2 U
F' L B' U2 B2 R' U'
F' L B' D L U L
B' L B' U2 D B' U'
B' L B' U2 D' B' U'
B' L B' U2 D2 B' U'
F2 L B' U2 B2 R' U'
F2 L B' D L U L
B' L B' U2 B' U' D
B' L B' U2 B' U' D'
B' L B' U2 B' U' D2
B' L B' U2 B' D U'
B' L B' U2 B' D' U'
B' L B' U2 B' D2 U'
B' L B' D U2 B' U'
F' L B' D2 L F2 U
F' L B' D2 F2 L U
B' L B' D' U2 B' U'
F L B' U2 B2 R' U'
F L B' D L U L
F2 L B' D2 L F2 U
B L B' U2 B R' U'
F2 L B' D2 F2 L U
B' L B' D2 U2 B' U'
B' L B' F U2 B' U'
F L B' D2 L F2 U
B' L B' F' U2 B' U'
F L B' D2 F2 L U
B' L B' F2 U2 B' U'
B L' R' F2 L' F' U'
U L' U F B R' U'
U L' U B R' F U'
U L' U B F R' U'
U' L' U' F B R' U'
U' L' U' B R' F U'
U' L' U' B F R' U'
F' L' U2 F B R' U'
F2 L' U2 F B R' U'
D' L' U2 B U' R' B
F' L' U2 B R' F U'
F' L' U2 B F R' U'
F2 L' U2 B R' F U'
F L' U2 F B R' U'
F2 L' U2 B F R' U'
F L' U2 B R' F U'
F L' U2 B F R' U'
U2 L' F L B R' U'
B L' F R' U2 R U
B L' F' R' F2 L' U'
U L' B R' F U' F'
B' L' B' L2 F B' U
B' L' B' L2 B' F U
B L2 R' U2 R B U
L R2 F' R2 B' L U
L R2 F' B' L R2 U
L R2 F' B' R2 L U
D' L2 U2 B U' R' B
F' L2 U2 B R' F' U'
L R2 B' L F' R2 U
F2 L2 U2 B R' F' U'
B' L2 D L' B' U L'
F L2 U2 B R' F' U'
L R2 B' F' L R2 U
L R2 B' F' R2 L U
B' L2 D2 L' F2 B' U
B' L2 D2 L' B' F2 U
L' U B R' F U' F'
B R' L U2 R B' U
B R' L U2 B' R U
B R' L' F2 L' F' U'
B R' L2 U2 R B U
B R' F L' F L' U'
B R' F2 L' D F U'
B R' F2 L' D' F U'
B R' F2 L' D2 F U'
B R' F2 L' F U' D
B R' F2 L' F U' D'
B R' F2 L' F U' D2
B R' F2 L' F D U'
B R' F2 L' F D' U'
B R' F2 L' F D2 U'
L' U2 F B R' U' D
L' U2 F B R' U' D'
L' U2 F B R' U' D2
L' U2 F B R' D U'
L' U2 F B R' D' U'
L' U2 F B R' D2 U'
L' U2 F B D R' U'
L' U2 F B D' R' U'
L' U2 F B D2 R' U'
L2 U2 F B R' F' U'
L' U2 F' B R' F2 U'
L2 U2 F' B R' F' U'
L' U2 B R F R2 U'
L2 U2 F2 B R' F' U'
L' U2 B R' D F U'
L' U2 B R' D' F U'
L' U2 B R' D2 F U'
L' U2 B R' F U' D
L' U2 B R' F U' D'
L' U2 B R' F U' D2
L' U2 B R' F D U'
L' U2 B R' F D' U'
L' U2 B R' F D2 U'
L' U2 B D R' F U'
L' U2 B D F R' U'
L2 U2 B R' D F' U'
L' U2 B D' R' F U'
L2 U2 B R' D' F' U'
L2 U2 B R' D2 F' U'
L2 U2 B R' F' U' D
L2 U2 B R' F' U' D'
L2 U2 B R' F' U' D2
L2 U2 B R' F' D U'
L2 U2 B R' F' D' U'
L' U2 B D' F R' U'
