D' L' U2 F' B' L
D' L' U2 B' L F'
D' L' U2 B' F' L
L' U F U F2 B'
L' U F U B' F2
F2 R D F L' B'
L' U2 F' D' B' L2
L' U2 F' B' D' L2
L' U2 B' F' D' L2
F2 D R F L' B'
L' R U F R U B'
D L F L2 U2 L F2
D L F L2 U2 F2 L
D L F U2 L' F2 R
D L F' D2 R2 B2 L
R L' U F R U B'
D' L' R U2 B' L F
D' L' R2 B R' U2 B2
D' L' R2 B U2 B2 L
B' L' U F U F2 B'
B' L' U F U B' F2
B2 L' U F U F2 B'
B2 L' U F U B' F2
B L' U F U F2 B'
B L' U F U B' F2
D2 L' U2 D F' B' L
D2 L' U2 D B' L F'
D2 L' U2 D B' F' L
D' L' U2 F B' L F2
D2 L' U2 F' D B' L
D' L' U2 F' B' L D
D' L' U2 F' B' L D'
D' L' U2 F' B' L D2
D' L' U2 F' B' D L
D' L' U2 F' B' D' L
D' L' U2 F' B' D2 L
D L' U2 D2 F' B' L
D L' U2 D2 B' L F'
D L' U2 D2 B' F' L
B' L' U2 F' D' B' L2
B' L' U2 F' B' D' L2
D' L' U2 B' L D F'
D' L' U2 B' L D' F'
D' L' U2 B' L D2 F'
D' L' U2 B' L F' D
D' L' U2 B' L F' D'
D' L' U2 B' L F' D2
D' L' U2 B' L' F' L2
D L' U2 F B' L' F2
B2 L' U2 F' D' B' L2
D' L' U2 B' D L F'
D' L' U2 B' D F' L
D' L' U2 B' D' L F'
B2 L' U2 F' B' D' L2
D' L' U2 B' D' F' L
D' L' U2 B' D2 L F'
D' L' U2 B' D2 F' L
D' L' U2 B' F L F2
D' L' U2 B' F' L D
D' L' U2 B' F' L D'
D' L' U2 B' F' L D2
D' L' U2 B' F' D L
D' L' U2 B' F' D' L
D' L' U2 B' F' D2 L
B L' U2 F' D' B' L2
B' L' U2 B' F' D' L2
B L' U2 F' B' D' L2
B2 L' U2 B' F' D' L2
D L' U2 B' F L' F2
B L' U2 B' F' D' L2
D2 L' D U2 F' B' L
D2 L' D U2 B' L F'
D2 L' D U2 B' F' L
R2 L' B U F U B2
D L' D2 U2 F' B' L
D L' D2 U2 B' L F'
D L' D2 U2 B' F' L
D' L' F U2 F2 B' L
D' L' F U2 B' L F2
D' L' F U2 B' F2 L
F L' F U R F B'
F L' F U R B' F
F L' F U B' R F
D' L' F B' L F2 R
D L' F U2 B' L' F2
D' L' F2 U2 F B' L
D' L' F2 U2 B' F L
D' L' B U2 F' B2 L
D' L' B U2 B2 L F'
D' L' B U2 B2 F' L
D' L' B' L F2 R F
D' L' B' F L F2 R
D' L' B2 U2 F' L' B
D' L' B2 U2 F' B L'
D' L' B2 U2 B F' L'
L' R2 B U F U B2
L2 U L U2 F' B' L'
L2 U L U2 B' F' L'
D' L2 F' B' L B' R'
D' L2 B' L F' B' R'
D' L2 B' L B' F' R'
L' U D F U F2 B'
L' U D F U B' F2
D' L2 B' F' L B' R'
L' U D' F U F2 B'
L' U D' F U B' F2
L' U D2 F U F2 B'
L' U D2 F U B' F2
D' R L' U2 B' L F
L' U F R U F2 B'
L' U F R U B' F2
L' U F R' U F2 B'
L' U F R' U B' F2
L' U F R2 U F2 B'
L' U F R2 U B' F2
L' U F U F2 D B'
L' U F U F2 D' B'
L' U F U F2 D2 B'
L' U F U F2 B' D
L' U F U F2 B' D'
L' U F U F2 B' D2
L' U F U B' F2 D
L' U F U B' F2 D'
L' U F U B' F2 D2
L' U F D R2 U B'
F2 R D F L' D B'
F2 R D F L' D' B'
F2 R D F L' D2 B'
F2 R D F L' B' D
F2 R D F L' B' D'
F2 R D F L' B' D2
F2 R D F D L' B'
F2 R D F D' L' B'
F2 R D F D2 L' B'
F2 R D F B L' B'
F2 R D F B' L' B'
F2 R D F B2 L' B'
F2 R D B F L' B'
F2 R D B' F L' B'
F2 R D B2 F L' B'
F2 R D' L' B' L F
F2 R D' F L' B' L
F2 R F D' L' B' L
F2 R B D F L' B'
F2 R B' D F L' B'
F2 R B2 D F L' B'
D R' F2 R F' L' B'
L' U2 D F' D' B' L2
L' U2 D F' B' D' L2
L' U2 D B' F' D' L2
L' U2 D' F' D' B' L2
L' U2 D' F' B' D' L2
