D' L F L B' R' U
F L2 U' D' B' L F
D' L2 D' B' R' U L
F L2 D' U' B' L F
F L2 B L B' U' B'
U R' F' D R2 B L
F U R F B U2 L
F U R B F U2 L
F U F R B U2 L
F U F R' U2 F' L'
F U F B U2 L F
F U F B' R' U2 F'
F U B F U2 L F
F U B' R' F U2 F2
F U B' F R' U2 F'
F2 U' L F' U' L' F2
F2 U' L2 F' U' L' F
F U' L2 F' B' L' F
F U' L2 B' F' L' F
L2 D' B' L2 R' U L'
L2 D' B' R' L2 U L'
F2 U' F' L U' F L2
F U' F R U2 R' F'
F U' F' L F L2 B'
L F L2 U B' R' F'
B2 D2 F L' B' U' B'
F2 B U' L F' U' L'
F2 B U' F' L U' L2
B F2 U' L F' U' L'
B F2 U' F' L U' L2
