R' B U' B' R' U
D2 L R2 U B' L' F'
D2 L U B' L' D2 F2
D2 L U B' D2 L' F2
D2 L U' B U2 L' B2
D2 L U' B U2 B2 L'
R2 L' U F' L D' B2
L' R2 U F' L D' B2
R' U R U' R' F' B
R' U R U' R' B F'
R2 U R' U' R F' B
R2 U R' U' R B F'
L' U D2 L B' D2 F2
R2 U F R U' R' F2
R2 U F R U' F2 R'
R2 U F' U' L' U L
U2 R U F' R' B U2
B2 R D' R2 B D2 F2
B2 R D' B2 R2 F' B
B2 R D' B2 R2 B F'
L' U' R' U2 L F B
L' U' R' U2 L B F
L U' R2 U2 L' F' B'
L U' R2 U2 L' B' F'
L2 U' B R F' U2 L2
L2 U' B R' U2 L2 B
L2 U' B R' U2 B L2
L U' F2 B R F' U2
L U' B R' U2 L' B
L U' B R' U2 B L'
L U' B R2 U2 L' B'
L U' B F2 R F' U2
L' U' B2 R' B' U2 B2
B2 R' D B D2 R2 F2
B2 R' D B D2 F2 R2
B2 R' D' B R2 D2 F2
B2 R' D' B2 R2 F' B'
B2 R' D' B2 R2 B' F'
B' R' B R2 D' F' R
F' R' B U' B' R' U
F2 R' B U' B' R' U
F R' B U' B' R' U
D2 R2 L U B' L' F'
D' R2 F L' U L F2
D' R2 F L' U F2 L
D' R2 F' U R U' R'
R' D B U' B' R' U
U2 D B U' R' U' R
R' D' B U' B' R' U
L' D2 R2 U L F' B'
L' D2 R2 U L B' F'
L' D2 R2 U F' L B'
L' D2 U L B' D2 F2
R' D2 B U' B' R' U
D U2 B U' R' U' R
D' F L' R2 U L F'
D' F L' R2 U F' L
D' F R2 L' U L F'
D' F R2 L' U F' L
R' F B U' B' R' U
R2 F' R B U' B' U
R2 F' R B2 D' R2 B'
R2 F' R B2 D' B' R2
R2 F' R' B2 D' R2 B
R2 F' U R' U' R B
R2 F' U F R U' R'
R' F' B U' B' R' U
R2 F' B R B D' R2
R2 F' B' R D B R'
R2 F' B' U' B L U
R2 F' B2 R D' B R2
R2 F' B2 R' D' R2 B
R2 F' B2 D' R B R
L F2 U' B R F' U2
R' F2 B U' B' R' U
U' B R F' U F U
R' B R' U' B' U F'
R' B R' F' U' B' U
R' B U' R B' R' U
R' B U' R' B' R' U
R' B U' R2 B' R' U
R' B U' D B' R' U
R' B U' D' B' R' U
R' B U' D2 B' R' U
R' B U' B' R' U D
R' B U' B' R' U D'
R' B U' B' R' U D2
R' B U' B' R' D U
R' B U' B' R' D' U
R' B U' B' R' D2 U
R' B U' B' D R' U
R' B U' B' D' R' U
R' B U' B' D2 R' U
U2 B U' R' U' B R
R' B D U' B' R' U
R' B D' U' B' R' U
R' B D2 U' B' R' U
R' B F U' B' R' U
R' B F' U' B' R' U
R' B F2 U' B' R' U
R2 B F' R B D' R2
R2 B' R D B R' F'
R B' R D' F' R B
R2 B' U' B L U F'
R2 B' F' R D B R'
R2 B' F' U' B L U
R' B2 R D' R2 F' B'
R' B2 R D' R2 B' F'
R' B2 R' D' F' R2 B'
R' B2 R' D' F' B' R2
R' B2 R' D' B' F' R2
R' B2 R' F' D' R2 B'
R' B2 R' F' D' B' R2
R' B2 D' R' F' R' B'
R' B2 D' B' R' F' R'
R2 B2 D' F' R B R
R2 B2 F' R D' B R2
R2 B2 F' R' D' R2 B
R2 B2 F' D' R B R
