D2 L B2 R D' F2
F2 L' U R2 U L2
F2 L' U2 L2 D' F2
D' L2 U L' R F2
D' L2 U R L' F2
D2 L2 U' L' R B2
D2 L2 U' L' B2 R
D2 L2 U' R L' B2
D2 L2 U' R B2 L'
D2 L2 U' B2 L' R
D2 L2 U' B2 R L'
R2 U L R' D2 B2
R2 U L D2 R' B2
R2 U R' L D2 B2
R2 U R' D2 L B2
R2 U D2 L R' B2
R2 U D2 R' L B2
D' R F2 D' L B2
R2 U' F2 U2 L R'
R2 U' F2 U2 R' L
R2 D' L2 U L' R'
R2 D' L2 U R' L'
L D' R F2 D' B2
L D2 R B2 D F2
R2 D2 U L R' B2
R2 D2 U R' L B2
L D2 B2 R D F2
F2 U2 D' F2 L R
L D2 B2 D R F2
F2 U2 D' F2 R L
F2 D L' B2 U2 L2
F2 D B2 L' R' U2
F2 D B2 R' L' U2
F2 D' L' U2 L2 F2
F2 D' L' U2 F2 L2
F2 D' U2 F2 L R
F2 D' U2 F2 R L
D2 L R U L U' B2
D' L R U' L U F2
D' L R F2 U' L U
D2 L R B2 U' R' U
L R U' R U D2 B2
L R U' R U' F2 U2
L R U' R D' L2 U
L R U' R D2 U B2
R L U' R U D2 B2
R L U' R U' F2 U2
R L U' R D' L2 U
R L U' R D2 U B2
L R U' D' L2 R U
L R U' D' R L2 U
L R U' D2 R U B2
R L U' D' L2 R U
R L U' D' R L2 U
R L U' D2 R U B2
D2 L U L U' R B2
D2 L U L U' B2 R
L R U2 F2 U' L' U'
R L U2 F2 U' L' U'
D' L U' L U R F2
R2 L D' L2 U L2 R'
R2 L D' L2 U R' L2
L R D' U' L2 R U
L R D' U' R L2 U
R L D' U' L2 R U
R L D' U' R L2 U
L R D2 U' R U B2
R L D2 U' R U B2
D L D R B2 D F2
L R D2 B2 U' R U
R L D2 B2 U' R U
D L D B2 R D F2
D L D B2 D R F2
U' L D' R F2 D' B2
U2 L D' R F2 D' B2
U L D' R F2 D' B2
U' L D2 R B2 D F2
