L2 R2 U' R F L
R2 L2 U' R F L
D L2 R' F L B2
D2 L2 U R' F L
D2 L2 U F L R'
D2 L2 U F R' L
D L2 F L R' B2
D L2 F R' L B2
R2 U B' U2 L' R
R2 U B' U2 R L'
R2 U' L' D2 R F'
R2 U' L2 R F L
R2 U' R L2 F L
D R B2 L' R2 F'
D R B2 R2 L' F'
D R' L2 F L B2
L2 D R' F L B2
L2 D F L R' B2
L2 D F R' L B2
L2 F L D R' B2
L2 F D L R' B2
L2 F D R' L B2
D' F2 R B' U2 R2
D B2 L' D2 R2 F'
D L R' B2 L F L
B2 L U' R2 U' L2 F'
B2 L U' R2 U' F' L2
D L U2 L2 R' F' B2
D L U2 L2 R' B2 F'
D L U2 R' L2 F' B2
D L U2 R' L2 B2 F'
D L U2 R' F' L2 B2
D L U2 R' F' B2 L2
D L U2 R' B2 L2 F'
D L U2 R' B2 F' L2
L2 R F R2 D' L B'
D' L D2 R' B2 L F
D' L F2 U2 L2 R' F'
D' L F2 U2 R' L2 F'
D' L F2 U2 R' F' L2
L' R' U L' R' U' F
R' L' U L' R' U' F
B2 L B U' R2 U' L2
R' L' U R' L' U' F
L' R' U R' L' U' F
B2 L B U2 L2 D B2
L2 R' U R' U' F L
D2 L' R' U' L' U F
D L' R' B2 L' F L
D' L' R2 D2 R F' B2
D' L' R2 D2 R B2 F'
D' L' R2 D2 B2 R F'
D L' R2 B2 D2 R F'
D2 L' U' L' U R' F
D2 L' U' L' U F R'
L2 R' F L U R' U'
L2 R' F U R' U' L
D' L' D2 R F' R2 B2
D' L' D2 R F' B2 R2
D' L' D2 R B2 F' R2
D L' D2 R F' R2 B
B2 L' D2 R2 D' F' B2
B2 L' D2 R2 D' B2 F'
B2 L' D2 R2 F' D' B2
R' L2 U R' U' F L
L2 R2 U' L D2 R F'
R2 L2 U' L D2 R F'
L2 R2 U' R D F L
L2 R2 U' R D' F L
L2 R2 U' R D2 F L
R2 L2 U' R D F L
L2 R2 U' R F L D
L2 R2 U' R F L D'
L2 R2 U' R F L D2
L2 R2 U' R F D L
L2 R2 U' R F D' L
L2 R2 U' R F D2 L
R2 L2 U' R D' F L
L2 R2 U' R F' L F2
R2 L2 U' R D2 F L
L2 R2 U' R F2 L F'
R2 L2 U' R F L D
R2 L2 U' R F L D'
R2 L2 U' R F L D2
R2 L2 U' R F D L
R2 L2 U' R F D' L
R2 L2 U' R F D2 L
R2 L2 U' R F' L F2
R2 L2 U' R F2 L F'
L2 R2 U' R' F L R2
L2 R2 U' R' F R2 L
R2 L2 U' R' F L R2
R2 L2 U' R' F R2 L
L2 R2 U' R2 F L R'
L2 R2 U' R2 F R' L
R2 L2 U' R2 F L R'
R2 L2 U' R2 F R' L
L2 R2 U' D R F L
R2 L2 U' D R F L
L2 R2 U' D' R F L
R2 L2 U' D' R F L
L2 R2 U' D2 R F L
R2 L2 U' D2 R F L
L2 R2 D U' R F L
R2 L2 D U' R F L
L2 R2 D' U' R F L
R2 L2 D' U' R F L
D L' B2 U2 L B' U2
D2 L2 R U R2 F L
D2 L2 R U F L R2
D2 L2 R U F R2 L
L2 R2 D2 U' R F L
D L2 R F L R2 B2
R2 L2 D2 U' R F L
D L2 R F L B2 R2
D L2 R F R2 L B2
R' L2 F L U R' U'
D' L2 R' D2 F L B2
D' L2 R' F L2 B' L'
R' L2 F U R' U' L
D L2 R' F L B2 D
D L2 R' F L B2 D'
D L2 R' F L B2 D2
D L2 R' F L' B2 L2
D L2 R' F L2 B2 L'
D2 L2 R2 U R F L
D L2 R' F' L F2 B2
D L2 R' F' L B2 F2
D L2 R' F2 L F' B2
D L2 R' F2 L B2 F'
F' L2 R2 U' R F L'
U' L2 R2 U' R F L
R L2 F R2 D' L B'
U2 L2 R2 U' R F L
U L2 R2 U' R F L
D2 L2 U R F L R2
D2 L2 U R F R2 L
D2 L2 U R' D F L
D2 L2 U R' D' F L
D2 L2 U R' D2 F L
D2 L2 U R' F L D
D2 L2 U R' F L D'
D2 L2 U R' F L D2
D2 L2 U R' F D L
D2 L2 U R' F D' L
D2 L2 U R' F D2 L
D2 L2 U R' F' L F2
D2 L2 U R' F2 L F'
D2 L2 U D R' F L
D2 L2 U D F L R'
D2 L2 U D F R' L
D2 L2 U D' R' F L
D2 L2 U D' F L R'
D2 L2 U D' F R' L
D2 L2 U D2 R' F L
D2 L2 U D2 F L R'
D2 L2 U D2 F R' L
D2 L2 U F L R' D
D2 L2 U F L R' D'
D2 L2 U F L R' D2
D2 L2 U F L D R'
D2 L2 U F L D' R'
D2 L2 U F L D2 R'
D2 L2 U F R' L D
D2 L2 U F R' L D'
D2 L2 U F R' L D2
D2 L2 U F R' D L
D2 L2 U F R' D' L
D2 L2 U F R' D2 L
D2 L2 U F D L R'
D2 L2 U F D R' L
D2 L2 U F D' L R'
D2 L2 U F D' R' L
D2 L2 U F D2 L R'
D2 L2 U F D2 R' L
D2 L2 U F' L R' F2
D2 L2 U F' L F2 R'
D2 L2 U F' R' L F2
D2 L2 U F' R' F2 L
D L2 U R' F L B2
D2 L2 U F2 L F' R'
D L2 U F L R' B2
D L2 U F R' L B2
D L2 U' R' F L B2
D L2 U' F L R' B2
D L2 U' F R' L B2
D L2 U2 R' F L B2
D L2 U2 F L R' B2
D L2 U2 F R' L B2
U' L2 D R' F L B2
D2 L2 D U R' F L
D2 L2 D U F L R'
D2 L2 D U F R' L
U2 L2 D R' F L B2
U' L2 D F L R' B2
U' L2 D F R' L B2
U2 L2 D F L R' B2
U2 L2 D F R' L B2
U L2 D R' F L B2
U L2 D F L R' B2
U L2 D F R' L B2
D2 L2 D' U R' F L
D2 L2 D' U F L R'
D2 L2 D' U F R' L
D' L2 D2 R' F L B2
D2 L2 D2 U R' F L
D2 L2 D2 U F L R'
D2 L2 D2 U F R' L
L' U L' R2 U' R F
D' L2 D2 F L R' B2
D' L2 D2 F R' L B2
D' L2 F L D2 R' B
U' L2 F L D R' B2
D' L2 F L2 R' B' L'
F' L2 F L' D R' B2
D' L2 F R' L2 B' L'
U2 L2 F L D R' B2
D L2 F L R B2 R2
D L2 F L R' B2 D
D L2 F L R' B2 D'
D L2 F L R' B2 D2
D L2 F L R2 B2 R
R' U L2 R' U' F L
D L2 F L' R' B2 L2
D L2 F L2 R' B2 L'
D L2 F R L B2 R2
D L2 F R' L B2 D
D L2 F R' L B2 D'
D L2 F R' L B2 D2
D L2 F R' L' B2 L2
D L2 F R' L2 B2 L'
U' L2 F D L R' B2
F' L2 F D L' R' B2
U' L2 F D R' L B2
F' L2 F D R' L' B2
F' L2 F D R' B2 L'
D L2 F R2 L B2 R
U L2 F L D R' B2
U2 L2 F D L R' B2
U2 L2 F D R' L B2
R2 U L2 U2 R F L
D2 L2 F' U L R' F2
U L2 F D L R' B2
D2 L2 F' U L F2 R'
U L2 F D R' L B2
D2 L2 F' U R' L F2
D2 L2 F' U R' F2 L
D2 L2 F' U F2 L R'
D2 L2 F' U F2 R' L
D L2 F' L R' F2 B2
D L2 F' L R' B2 F2
D L2 F' L F2 R' B2
D L2 F' R' L F2 B2
D L2 F' R' L B2 F2
D L2 F' R' F2 L B2
D2 L2 F2 U L F' R'
D2 L2 F2 U F' L R'
D2 L2 F2 U F' R' L
D L2 F2 L F' R' B2
R' U R' L2 U' F L
D' L2 F2 U2 L F' R'
D' L2 F2 U2 F' L R'
D' L2 F2 U2 F' R' L
R' U R' U B' U2 L'
R' U R' U' L2 F L
L' U R2 L' U' R F
L' U R2 U' D2 R F'
R2 U R' B' U2 L' R2
R2 U R' B' U2 R2 L'
L' U R2 D2 U' R F'
L2 U R2 U' R F L
L2 U D R' F L B2
L2 U D F L R' B2
L2 U D F R' L B2
R2 U D B' U2 L' R
R2 U D B' U2 R L'
R2 U D' B' U2 L' R
R2 U D' B' U2 R L'
L2 U F L D R' B2
R2 U D2 B' U2 L' R
R2 U D2 B' U2 R L'
D2 R L2 U R2 F L
D2 R L2 U F L R2
D2 R L2 U F R2 L
L2 U F D L R' B2
L2 U F D R' L B2
D R L2 F L R2 B2
D R L2 F L B2 R2
D R L2 F R2 L B2
D R U B2 L' R2 F'
D R U B2 R2 L' F'
D R U' B2 L' R2 F'
D R U' B2 R2 L' F'
R2 U B' L U2 L2 R
R2 U B' L U2 R L2
R2 U B' L2 U2 L R
R2 U B' L2 U2 R L
R2 U B' R' U2 L' R2
R2 U B' R' U2 R2 L'
D R U2 B2 L' R2 F'
D R U2 B2 R2 L' F'
R2 U B' R2 U2 L' R'
R2 U B' R2 U2 R' L'
R2 U B' U2 L' R D
R2 U B' U2 L' R D'
R2 U B' U2 L' R D2
R2 U B' U2 L' D R
R2 U B' U2 L' D' R
R2 U B' U2 L' D2 R
R2 U B' U2 R L' D
R2 U B' U2 R L' D'
R2 U B' U2 R L' D2
R2 U B' U2 R D L'
R2 U B' U2 R D' L'
R2 U B' U2 R D2 L'
R2 U B' U2 D L' R
R2 U B' U2 D R L'
R2 U B' U2 D' L' R
R2 U B' U2 D' R L'
R2 U B' U2 D2 L' R
R2 U B' U2 D2 R L'
R2 U B' D U2 L' R
R2 U B' D U2 R L'
R2 U B' D' U2 L' R
R2 U B' D' U2 R L'
R2 U B' D2 U2 L' R
R2 U B' D2 U2 R L'
R2 U' L' D2 R D F'
R2 U' L' D2 R D' F'
R2 U' L' D2 R D2 F'
R2 U' L' D2 R F' D
R2 U' L' D2 R F' D'
R2 U' L' D2 R F' D2
R2 U' L2 R D F L
R2 U' L2 R D' F L
R2 U' L2 R D2 F L
R2 U' L2 R F L D
R2 U' L2 R F L D'
R2 U' L2 R F L D2
R2 U' L2 R F D L
R2 U' L2 R F D' L
R2 U' L2 R F D2 L
R2 U' L2 R F' L F2
R2 U' L2 R F2 L F'
R2 U' L2 R' F L R2
R2 U' L2 R' F R2 L
R2 U' L2 R2 F L R'
R2 U' L2 R2 F R' L
D R F B2 R2 F' L'
R2 U' L2 D R F L
R2 U' L2 D' R F L
R2 U' L2 D2 R F L
R2 U' R L2 D F L
R2 U' R L2 D' F L
R2 U' R L2 D2 F L
R2 U' R L2 F L D
R2 U' R L2 F L D'
R2 U' R L2 F L D2
R2 U' R L2 F D L
R2 U' R L2 F D' L
R2 U' R L2 F D2 L
R2 U' R L2 F' L F2
R2 U' R L2 F2 L F'
D' R F2 R B' U2 R
R2 U' R U2 B' U2 L'
R2 U' R D L2 F L
R2 U' R D' L2 F L
R2 U' R D2 L2 F L
R2 U' R F' L2 F L'
D' R F2 B' R U2 R
R2 U' R' L2 F L R2
R2 U' R' L2 F R2 L
D R B L' B R2 F'
L2 U' R2 U' R F L
R2 U' R2 L2 F L R'
R2 U' R2 L2 F R' L
F2 R B' U' R U' R
D' R B' F2 R U2 R
D R B' U2 R2 B' L'
D R B' U2 B' L' R2
D R B' U2 B' R2 L'
R2 U' D L' D2 R F'
L2 U' D R' F L B2
R2 U' D L2 R F L
L2 U' D F L R' B2
R2 U' D R L2 F L
L2 U' D F R' L B2
D R B2 L R2 F' L2
D R B2 L' R2 D F'
D R B2 L' R2 D' F'
D R B2 L' R2 D2 F'
D R B2 L' R2 F' D
D R B2 L' R2 F' D'
D R B2 L' R2 F' D2
D R B2 L' F R2 F'
D R B2 L' F' R2 F'
D R B2 L' F2 R2 F'
D R B2 L2 R2 F' L
D R B2 R2 L F' L2
D R B2 R2 L' D F'
D R B2 R2 L' D' F'
D R B2 R2 L' D2 F'
D R B2 R2 L' F' D
D R B2 R2 L' F' D'
D R B2 R2 L' F' D2
D R B2 R2 L2 F' L
D R B2 R2 D L' F'
D R B2 R2 D' L' F'
D R B2 R2 D2 L' F'
R2 U' D' L' D2 R F'
R2 U' D' L2 R F L
R2 U' D' R L2 F L
D R B2 F R2 F' L'
R2 U' D2 L' D2 R F'
R2 U' D2 L2 R F L
D2 R' L' U' L' U F
R2 U' D2 R L2 F L
D R' L B2 L F L
L2 U' F L D R' B2
L2 U' F D L R' B2
L2 U' F D R' L B2
D' R' L2 D2 F L B2
D' R' L2 F L2 B' L'
D R' L' B2 L' F L
D R' L2 F L B2 D
D R' L2 F L B2 D'
D R' L2 F L B2 D2
D R' L2 F L' B2 L2
D R' L2 F L2 B2 L'
D R' L2 F' L F2 B2
D R' L2 F' L B2 F2
R2 U' F' L2 F L' R
R2 U' F' L2 F R L'
D R' L2 F2 L F' B2
D R' L2 F2 L B2 F'
D2 R' U' L2 U F L
D' R' U2 F2 R B' U2
D' R' U2 F2 B' R U2
D' R' U2 B' F2 R U2
D R' U2 B' U2 B' L'
R2 U' B' U2 L' B R
R2 U' B' U2 B L' R
R2 U' B' U2 B R L'
D2 R' D' L2 F L B2
D' R' D2 L2 F L B2
D R' F' L2 F L' B2
D R' F' L2 F B2 L'
L U2 L2 D R' F' B2
L U2 L2 D R' B2 F'
D R' F' L2 B2 F L'
D' R' F2 B' R U2 R'
D' R' B L' D2 F2 B2
D' R' B L' D2 B2 F2
D' R' B D2 L' F2 B2
D' R' B D2 L' B2 F2
D R' B L' D2 F2 B
D R' B L' D2 B F2
D' R' B D2 B2 L' F2
L2 U2 R2 U' R F L
D R' B D2 L' F2 B
D R' B D2 L' B F2
D R' B D2 B L' F2
L U2 R2 U' L2 R F'
L U2 R2 U' R L2 F'
L U2 R2 U' R F' L2
D' R' B' F2 R U2 R'
L2 U2 D R' F L B2
L2 U2 D F L R' B2
L2 U2 D F R' L B2
D R' B2 L' R2 F' R2
D R' B2 L' U2 B U2
D R' B2 R2 L' F' R2
D R' B2 U2 B U2 L'
D' R2 L' D2 R F' B2
D' R2 L' D2 R B2 F'
D' R2 L' D2 B2 R F'
L2 U2 F L D R' B2
D2 R2 L2 U R F L
F' R2 L2 U' R F L'
U' R2 L2 U' R F L
L2 U2 F D L R' B2
L2 U2 F D R' L B2
U2 R2 L2 U' R F L
D R2 L' B2 D2 R F'
B2 R2 U L U2 L2 F'
B2 R2 U L U2 F' L2
U R2 L2 U' R F L
F2 R2 U R' B' U2 R2
U' R2 U B' U2 L' R
U' R2 U B' U2 R L'
U' R2 U' L' D2 R F'
U' R2 U' L2 R F L
F' R2 U' L2 R F L'
U' R2 U' R L2 F L
F' R2 U' R L2 F L'
U2 R2 U B' U2 L' R
U2 R2 U B' U2 R L'
B2 R2 U' L' D2 F' R2
B2 R2 U' L' F' D2 R2
U2 R2 U' L' D2 R F'
F2 R2 U' R D2 L2 F
U2 R2 U' L2 R F L
U2 R2 U' R L2 F L
U R2 U B' U2 L' R
U R2 U B' U2 R L'
U R2 U' L' D2 R F'
U R2 U' L2 R F L
U R2 U' R L2 F L
R2 D L2 U' R F L
D' R2 F2 R B' L' U2
L2 D R F L R2 B2
L2 D R F L B2 R2
L2 D R F R2 L B2
D' R2 F2 B' L' R U2
D' R2 F2 B' R L' U2
L2 D R' F L B2 D
L2 D R' F L B2 D'
L2 D R' F L B2 D2
L2 D R' F L' B2 L2
L2 D R' F L2 B2 L'
L2 D R' F' L F2 B2
L2 D R' F' L B2 F2
L2 D R' F2 L F' B2
L2 D R' F2 L B2 F'
L' D R2 B2 D R F'
D' R2 B' F2 L' R U2
D' R2 B' F2 R L' U2
D R2 B' U2 R B' L'
L2 D U R' F L B2
D R2 B' U2 B' L' R
D R2 B' U2 B' R L'
L2 D U F L R' B2
L2 D U F R' L B2
B2 R2 B2 U' L' F' R'
D R2 B2 L' R2 F' R'
R2 D U B' U2 L' R
R2 D U B' U2 R L'
D R2 B2 R D2 L' F
R2 D U' L' D2 R F'
D R2 B2 R2 L' F' R'
R2 D U' L2 R F L
L2 D U' R' F L B2
R2 D U' R L2 F L
L2 D U' F L R' B2
L2 D U' F R' L B2
L2 D U2 R' F L B2
L2 D U2 F L R' B2
L2 D U2 F R' L B2
L2 D F L R B2 R2
L2 D F L R' B2 D
L2 D F L R' B2 D'
L2 D F L R' B2 D2
L2 D F L R2 B2 R
L2 D F L' R' B2 L2
L2 D F L2 R' B2 L'
L2 D F R L B2 R2
L2 D F R' L B2 D
L2 D F R' L B2 D'
L2 D F R' L B2 D2
L2 D F R' L' B2 L2
L2 D F R' L2 B2 L'
L2 D F R2 L B2 R
U' D L2 R' F L B2
D2 U L2 U R' F L
D2 U L2 U F L R'
D2 U L2 U F R' L
L' D F' R' B2 D' F2
U2 D L2 R' F L B2
U' D L2 F L R' B2
U' D L2 F R' L B2
L2 D F' L R' F2 B2
L2 D F' L R' B2 F2
L2 D F' L F2 R' B2
L2 D F' R' L F2 B2
L2 D F' R' L B2 F2
L2 D F' R' F2 L B2
D U L2 R' F L B2
U2 D L2 F L R' B2
U2 D L2 F R' L B2
U D L2 R' F L B2
D U L2 F L R' B2
D U L2 F R' L B2
L2 D F2 L F' R' B2
U D L2 F L R' B2
U D L2 F R' L B2
U' D R B2 L' R2 F'
U' D R B2 R2 L' F'
U' D R' L2 F L B2
U2 D R B2 L' R2 F'
U2 D R B2 R2 L' F'
U2 D R' L2 F L B2
D U R B2 L' R2 F'
D U R B2 R2 L' F'
D U R' L2 F L B2
U D R B2 L' R2 F'
U D R B2 R2 L' F'
U D R' L2 F L B2
D' U F2 R B' U2 R2
R2 D' L2 U' R F L
U' D B2 L' D2 R2 F'
U2 D B2 L' D2 R2 F'
D U B2 L' D2 R2 F'
L2 D' R' D2 F L B2
L2 D' R' F L2 B' L'
U D B2 L' D2 R2 F'
D2 U' L2 U R' F L
D2 U' L2 U F L R'
D2 U' L2 U F R' L
R2 D' U B' U2 L' R
R2 D' U B' U2 R L'
R2 D' U' L' D2 R F'
R2 D' U' L2 R F L
R2 D' U' R L2 F L
D U' L2 R' F L B2
D U' L2 F L R' B2
D U' L2 F R' L B2
L2 D' F L D2 R' B
L2 D' F L2 R' B' L'
L2 D' F R' L2 B' L'
D U' R B2 L' R2 F'
D U' R B2 R2 L' F'
D U' R' L2 F L B2
L2 D' F2 U2 L F' R'
L2 D' F2 U2 F' L R'
L2 D' F2 U2 F' R' L
D' U' F2 R B' U2 R2
U' D' F2 R B' U2 R2
B' U' R2 B U' L' R'
B' U' R2 B U' R' L'
U2 D' F2 R B' U2 R2
U D' F2 R B' U2 R2
D U' B2 L' D2 R2 F'
R2 D2 L2 U' R F L
L' D2 R F' R2 D' B2
U' D2 L2 U R' F L
U' D2 L2 U F L R'
U' D2 L2 U F R' L
D2 U2 L2 U R' F L
D2 U2 L2 U F L R'
D2 U2 L2 U F R' L
B' U' B R2 U' L' R
B' U' B R2 U' R L'
L2 D2 R' D' F L B2
L2 D2 R' F D' L B2
U2 D2 L2 U R' F L
U2 D2 L2 U F L R'
U2 D2 L2 U F R' L
D U2 L2 R' F L B2
L D2 R' D' B2 L F
D U2 L2 F L R' B2
U D2 L2 U R' F L
D U2 L2 F R' L B2
U D2 L2 U F L R'
U D2 L2 U F R' L
D U2 R B2 L' R2 F'
D U2 R B2 R2 L' F'
R2 D2 U B' U2 L' R
R2 D2 U B' U2 R L'
D U2 R' L2 F L B2
R2 D2 U' L' D2 R F'
R2 D2 U' L2 R F L
R2 D2 U' R L2 F L
B' U2 L' B D R' B2
B' U2 L' B' D B2 R'
L2 D2 F R' D' L B2
L2 D2 F D' L R' B2
L2 D2 F D' R' L B2
D' U2 F2 R B' U2 R2
D U2 B2 L' D2 R2 F'
