U2 R B' U' F
U2 B' R U' F
F2 L2 F L U F2
F L2 F L' U F'
U2 R D B' U' F
U2 R D' B' U' F
U2 R D2 B' U' F
U2 R B' U' D F
U2 R B' U' D' F
U2 R B' U' D2 F
U2 R B' U' F D
U2 R B' U' F D'
U2 R B' U' F D2
U2 R B' D U' F
U2 R B' D' U' F
U2 R B' D2 U' F
R' U2 R2 B' U' F
R2 U2 R' B' U' F
U2 R' B' R2 U' F
U2 R' B' R2 U' F
R' U2 B' R2 U' F
B' R2 F' R' U' F2
U2 D R B' U' F
U2 D B' R U' F
U2 D' R B' U' F
U2 D' B' R U' F
D2 U2 R B' U' F
U2 D2 R B' U' F
D' U2 R B' U' F
D U2 R B' U' F
D' U2 B' R U' F
U2 D2 B' R U' F
D2 U2 B' R U' F
D U2 B' R U' F
F' U2 B' R' U' F2
U2 B R B2 U' F
U2 B' R U' D F
U2 B' R U' D' F
U2 B' R U' D2 F
U2 B' R U' F D
U2 B' R U' F D'
U2 B' R U' F D2
U2 B' R D U' F
U2 B' R D' U' F
U2 B' R D2 U' F
U2 B' R D2 U' F
R' B' R2 F' U' F2
U B' R U' R' F
U B' R U' F R'
U2 B' D R U' F
U2 B' D' R U' F
U2 B' D2 R U' F
R B' U2 B U F
U2 L R U' F' L' F
L2 R F U' B' U2 B
U2 L D2 R U' F' L'
F2 L' U L' F' D' L2
F2 L' U D F L' F2
L2 R' D2 F L2 U F
F2 L' U F2 D F L'
L2 R' F D2 L2 U F
F2 L' U2 L B' U' F'
F2 L' U2 L2 U' F' L'
F2 L' D U F L' F2
F2 L' D F U L' F2
F L' F L' F U F2
F' L' F' L' F U F2
F2 L' F2 U D F L'
F2 L' F2 D U F L'
R' L2 D2 F L2 U F
F L2 R F L' U F'
R' L2 F D2 L2 U F
F L2 R' F L' U F'
R L2 F U' B' U2 B
F L2 R2 F L' U F'
F2 L2 D F L U F2
F2 L2 D' F L U F2
F2 L2 D2 F L U F2
F2 L2 F L R U F2
F2 L2 F L R' U F2
F2 L2 F L R2 U F2
F2 L2 F L U F2 D
F2 L2 F L U F2 D'
F2 L2 F L U F2 D2
F2 L2 F L D R2 U
F2 L2 F R L U F2
F2 L2 F R' L U F2
F2 L2 F R2 L U F2
F L2 F L' U D F'
F L2 F L' U D' F'
F L2 F L' U D2 F'
F L2 F L' U F' D
F L2 F L' U F' D'
F L2 F L' U F' D2
F L2 F L' D U F'
F' L2 F U2 R U' F
F L2 F L' D' U F'
F L2 F L' D2 U F'
F2 L2 F D L R2 U
F2 L2 F D R2 L U
F L2 F D L' U F'
F' L2 F' L' F2 U F
F L2 F D' L' U F'
F2 L2 F' L F2 U F2
F L2 F D2 L' U F'
R2 U R' B' U' R F
R' U R2 B' U' R2 F
R' U R2 B' U' F R2
U2 R L U' F' L' F
R' U F U R2 B' U'
R' U F U B' R2 U'
R' U F B D L2 B2
R' U F B D B2 L2
R2 U F U R' B' U'
F R L2 F L' U F'
B' R U' R F D R2
B' R U' D' F' R F2
B2 R U' D' R2 F L'
B2 R U' D' F L' R2
B2 R U' D' F R2 L'
B' R U' F2 D' F' R
U2 R U' F U B' U'
U' R U' B' U' F B
U' R U' B' U' B F
R' U B D F L2 B2
R' U B D F B2 L2
R' U B D B2 F L2
R' U B F D L2 B2
R' U B F D B2 L2
B' R U2 R' B U F
B' R U2 R2 U F R
R' U B' R2 U' R2 F
R' U B' R2 U' F R2
F' R U2 B' R' U' F2
U2 R D B' U' D F
U2 R D B' U' D' F
U2 R D B' U' D2 F
U2 R D B' U' F D
U2 R D B' U' F D'
U2 R D B' U' F D2
U2 R D B' D U' F
U2 R D B' D' U' F
U2 R D B' D2 U' F
B' R D' U' F' R F2
B2 R D' U' R2 F L'
B2 R D' U' F L' R2
B2 R D' U' F R2 L'
B' R D' F' U' R F2
U2 R D' B' U' D F
U2 R D' B' U' D' F
U2 R D' B' U' D2 F
U2 R D' B' U' F D
U2 R D' B' U' F D'
U2 R D' B' U' F D2
U2 R D' B' D U' F
U2 R D' B' D' U' F
U2 R D' B' D2 U' F
U2 R D2 B' U' D F
U2 R D2 B' U' D' F
U2 R D2 B' U' D2 F
U2 R D2 B' U' F D
U2 R D2 B' U' F D'
U2 R D2 B' U' F D2
U2 R D2 B' D U' F
U2 R D2 B' D' U' F
U2 R D2 B' D2 U' F
B' R F2 U' D' F' R
B' R F2 D' U' F' R
U2 R B U' D F L2
U2 R B U' F D L2
U2 R B D U' F L2
U2 R B' L2 U B' U2
D2 R B' U2 B U F
D' R B' U2 B U F
U2 R B' U B U2 F
U2 R B' U B' U2 F
U2 R B' U B2 U2 F
U2 R B' U' R F R'
U2 R B' U' R2 F R2
U2 R B' U' D F D
U2 R B' U' D F D'
U2 R B' U' D F D2
U2 R B' U' D' F D
U2 R B' U' D' F D'
U2 R B' U' D' F D2
U2 R B' U' D2 F D
U2 R B' U' D2 F D'
U2 R B' U' D2 F D2
U2 R B' U' F2 D F'
U2 R B' U' F2 D' F'
U2 R B' U' F2 D2 F'
U2 R B' U2 R U F
U2 R B' U2 R' U F
U2 R B' U2 R2 U F
U2 R B' D U' F D
U2 R B' D U' F D'
U2 R B' D U' F D2
U2 R B' D' U' F D
U2 R B' D' U' F D'
U2 R B' D' U' F D2
D R B' U2 B U F
U2 R B' D2 U' F D
U2 R B' D2 U' F D'
U2 R B' D2 U' F D2
U2 R B2 D B U' F
U2 R B2 D' B U' F
B R B2 U2 B U F
U2 R B2 D2 B U' F
F R' L2 F L' U F'
U' R' U' R2 B' U' F
U' R' U' B' R2 U' F
D2 R' U2 R2 B' U' F
D' R' U2 R2 B' U' F
D2 R' U2 B' R2 U' F
D' R' U2 B' R2 U' F
F' R' U2 B' R' U' F2
D R' U2 R2 B' U' F
D R' U2 B' R2 U' F
U2 R' D B' U' F B'
U2 R' D B' U' B' F
L U2 L' R B U' F
L2 U2 L2 R B' U' F
L2 U2 L2 B' R U' F
L2 U2 R L2 B' U' F
R' U2 R B' R U' F
L U2 R L' B U' F
R2 U2 R B' R2 U' F
L U2 R B L' U' F
R2 U2 R' D B' U' F
R2 U2 R' D' B' U' F
R2 U2 R' D2 B' U' F
R' U2 R2 D B' U' F
R' U2 R2 D' B' U' F
U2 R' B R2 B2 U' F
R' U2 R2 D2 B' U' F
R2 U2 R' B' U' D F
R2 U2 R' B' U' D' F
R2 U2 R' B' U' D2 F
R2 U2 R' B' U' F D
R2 U2 R' B' U' F D'
R2 U2 R' B' U' F D2
R2 U2 R' B' D U' F
R2 U2 R' B' D' U' F
R2 U2 R' B' D2 U' F
R' U2 R2 B' U' D F
R' U2 R2 B' U' D' F
R' U2 R2 B' U' D2 F
R' U2 R2 B' U' F D
R' U2 R2 B' U' F D'
R' U2 R2 B' U' F D2
R' U2 R2 B' D U' F
R' U2 R2 B' D' U' F
R' U2 R2 B' D2 U' F
D2 R' B' R2 F' U' F2
D' R' B' R2 F' U' F2
U2 R' B' R2 U' D F
U2 R' B' R2 U' D' F
U2 R' B' R2 U' D2 F
U2 R' B' R2 U' F D
U2 R' B' R2 U' F D'
U2 R' B' R2 U' F D2
U2 R' B' R2 D U' F
U2 R' B' R2 D' U' F
U2 R' B' R2 D2 U' F
U2 R' B' U' D F B2
U2 R' B' U' D B2 F
U2 R' B' U' F D B2
R2 U2 R2 B' R U' F
R' U2 D B' U' F B'
R' U2 D B' U' B' F
D R' B' R2 F' U' F2
U2 R' B' D U' F B2
U2 R' B' D U' B2 F
U R' B' R2 U' R' F
U R' B' R2 U' F R'
R2 U2 D R' B' U' F
B R' B2 R2 F' U' F2
R2 U2 D' R' B' U' F
R2 U2 D2 R' B' U' F
L U2 D2 R B U' F'
F R2 L2 F L' U F'
U' R2 U' R' B' U' F
R' U2 B R2 B2 U' F
D2 R2 U2 R' B' U' F
D' R2 U2 R' B' U' F
R' U2 B' R2 U' D F
R' U2 B' R2 U' D' F
R' U2 B' R2 U' D2 F
R' U2 B' R2 U' F D
R' U2 B' R2 U' F D'
R' U2 B' R2 U' F D2
R' U2 B' R2 D U' F
R' U2 B' R2 D' U' F
R' U2 B' R2 D2 U' F
R' U2 B' U' D F B2
R' U2 B' U' D B2 F
R' U2 B' U' F D B2
R' U2 B' D U' F B2
R' U2 B' D U' B2 F
F' R2 U2 B' R' U' F2
D R2 U2 R' B' U' F
B' R2 D F' R' U' F2
U2 R2 D R' B' U' F
B' R2 D' F' R' U' F2
U2 R2 D' R' B' U' F
B' R2 D2 F' R' U' F2
U2 R2 D2 R' B' U' F
B' R2 F R' F2 U' F2
B' R2 F' L R' U' F2
B' R2 F' L' R' U' F2
B' R2 F' L2 R' U' F2
B' R2 F' R' L U' F2
B' R2 F' R' L' U' F2
B' R2 F' R' L2 U' F2
B' R2 F' R' U' F2 D
B' R2 F' R' U' F2 D'
B' R2 F' R' U' F2 D2
B' R2 F' R' D' L2 U'
B' R2 F' D' L2 R' U'
B' R2 F' D' R' L2 U'
B2 R2 F' B2 L U F2
B2 R2 B2 F' L U F2
R' D U2 B' U' F B'
R' D U2 B' U' B' F
R2 D U2 R' B' U' F
F' U L' F2 D' B' L
U2 D R D B' U' F
U2 D R D' B' U' F
U2 D R D2 B' U' F
U2 D R B' U' D F
U2 D R B' U' D' F
U2 D R B' U' D2 F
U2 D R B' U' F D
U2 D R B' U' F D'
U2 D R B' U' F D2
U2 D R B' D U' F
U2 D R B' D' U' F
U2 D R B' D2 U' F
U2 D R' B' R2 U' F
R D B' U2 B U F
U2 D B R B2 U' F
D' U B' R U' R' F
D' U B' R U' F R'
D2 U B' R U' R' F
D2 U B' R U' F R'
F' U F2 L' D' B' L
U2 D B' R U' D F
U2 D B' R U' D' F
U2 D B' R U' D2 F
U2 D B' R U' F D
U2 D B' R U' F D'
U2 D B' R U' F D2
U2 D B' R D U' F
U2 D B' R D' U' F
U2 D B' R D2 U' F
F' U F2 U B' R' U'
U2 D B' D R U' F
D U B' R U' R' F
D U B' R U' F R'
U2 D B' D' R U' F
U2 D B' D2 R U' F
U D B' R U' R' F
U D B' R U' F R'
F U F' B' R U' R'
F U B' F' R U' R'
R2 D' U2 R' B' U' F
U2 D' R D B' U' F
U2 D' R D' B' U' F
U2 D' R D2 B' U' F
U2 D' R B' U' D F
U2 D' R B' U' D' F
U2 D' R B' U' D2 F
U2 D' R B' U' F D
U2 D' R B' U' F D'
U2 D' R B' U' F D2
U2 D' R B' D U' F
U2 D' R B' D' U' F
U2 D' R B' D2 U' F
U2 D' R' B' R2 U' F
R D' B' U2 B U F
U2 D' B R B2 U' F
U2 D' B' R U' D F
U2 D' B' R U' D' F
U2 D' B' R U' D2 F
U2 D' B' R U' F D
U2 D' B' R U' F D'
U2 D' B' R U' F D2
U2 D' B' R D U' F
U2 D' B' R D' U' F
U2 D' B' R D2 U' F
U2 D' B' D R U' F
U2 D' B' D' R U' F
U2 D' B' D2 R U' F
U D' B' R U' R' F
U D' B' R U' F R'
R' D2 L2 F U' B' U2
D' U2 R D B' U' F
D' U2 R D' B' U' F
D' U2 R D2 B' U' F
D2 U2 R D B' U' F
D2 U2 R D' B' U' F
D2 U2 R D2 B' U' F
D' U2 R B' U' D F
D' U2 R B' U' D' F
D' U2 R B' U' D2 F
D' U2 R B' U' F D
D' U2 R B' U' F D'
D' U2 R B' U' F D2
D' U2 R B' D U' F
D' U2 R B' D' U' F
D' U2 R B' D2 U' F
D2 U2 R B' U' D F
D2 U2 R B' U' D' F
D2 U2 R B' U' D2 F
D2 U2 R B' U' F D
D2 U2 R B' U' F D'
D2 U2 R B' U' F D2
D2 U2 R B' D U' F
D2 U2 R B' D' U' F
D2 U2 R B' D2 U' F
U2 D2 R D B' U' F
U2 D2 R D' B' U' F
U2 D2 R D2 B' U' F
U2 D2 R B' U' D F
U2 D2 R B' U' D' F
U2 D2 R B' U' D2 F
U2 D2 R B' U' F D
U2 D2 R B' U' F D'
U2 D2 R B' U' F D2
U2 D2 R B' D U' F
U2 D2 R B' D' U' F
U2 D2 R B' D2 U' F
D U2 R D B' U' F
D U2 R D' B' U' F
D' U2 R' B' R2 U' F
D U2 R D2 B' U' F
D2 U2 R' B' R2 U' F
D U2 R B' U' D F
D U2 R B' U' D' F
D U2 R B' U' D2 F
D U2 R B' U' F D
D U2 R B' U' F D'
D U2 R B' U' F D2
D U2 R B' D U' F
D U2 R B' D' U' F
D U2 R B' D2 U' F
U2 D2 R' B' R2 U' F
R' D2 F L2 F U F'
D U2 R' B' R2 U' F
R2 D2 U2 R' B' U' F
R' D2 F' L2 F U F
L D2 U2 R B U' F'
R' D2 F2 L2 F U F2
F' U2 R B' R' U' F2
D' U2 B R B2 U' F
D2 U2 B R B2 U' F
U2 D2 B R B2 U' F
F' U2 R' B' R' U' F2
D' U2 B' R U' D F
D' U2 B' R U' D' F
D' U2 B' R U' D2 F
D' U2 B' R U' F D
D' U2 B' R U' F D'
D' U2 B' R U' F D2
D' U2 B' R D U' F
D' U2 B' R D' U' F
D' U2 B' R D2 U' F
D2 U2 B' R U' D F
D2 U2 B' R U' D' F
D2 U2 B' R U' D2 F
D2 U2 B' R U' F D
D2 U2 B' R U' F D'
D2 U2 B' R U' F D2
D2 U2 B' R D U' F
D2 U2 B' R D' U' F
D2 U2 B' R D2 U' F
D U2 B R B2 U' F
D' U2 B' D R U' F
D' U2 B' D' R U' F
D2 U2 B' D R U' F
D' U2 B' D2 R U' F
D2 U2 B' D' R U' F
D2 U2 B' D2 R U' F
U2 D2 B' R U' D F
U2 D2 B' R U' D' F
U2 D2 B' R U' D2 F
U2 D2 B' R U' F D
U2 D2 B' R U' F D'
U2 D2 B' R U' F D2
U2 D2 B' R D U' F
U2 D2 B' R D' U' F
U2 D2 B' R D2 U' F
F' U2 R2 B' R' U' F2
U2 D2 B' D R U' F
U2 D2 B' D' R U' F
U2 D2 B' D2 R U' F
D U2 B' R U' D F
D U2 B' R U' D' F
D U2 B' R U' D2 F
D U2 B' R U' F D
D U2 B' R U' F D'
D U2 B' R U' F D2
D U2 B' R D U' F
D U2 B' R D' U' F
D U2 B' R D2 U' F
D U2 B' D R U' F
U D2 B' R U' R' F
U D2 B' R U' F R'
D U2 B' D' R U' F
D U2 B' D2 R U' F
R D2 B' U2 B U F
F' U2 D' B' L2 R' U'
F' U2 D' B' R' L2 U'
D' F L2 F L' U F'
D2 F L2 F L' U F'
U F L' D' L B' L
U F L' D' B' L B'
D F L2 F L' U F'
U F L2 U' F L' U
B' U2 B U2 R U' F
F' U2 B' L R' U' F2
F' U2 B' L' R' U' F2
F' U2 B' L2 R' U' F2
F' U2 B' R' L U' F2
F' U2 B' R' L' U' F2
F' U2 B' R' L2 U' F2
F' U2 B' R' U' F2 D
F' U2 B' R' U' F2 D'
F' U2 B' R' U' F2 D2
F' U2 B' R' D' L2 U'
R' F U R2 B' U' R2
F' U2 B' D' L2 R' U'
F' U2 B' D' R' L2 U'
F2 U2 B' U2 L' U F'
R' F U B' R2 U' R2
U2 F U F' R B' U'
R2 F U R' B' U' R
U2 F U F' B' R U'
U2 F U B' F' R U'
R' F U2 B' R2 U' F'
U F U' L2 F L' U
F2 D L2 F L U F2
R' F D2 L2 F U F'
F' D R2 U2 B' R' U'
B' D R2 F' R' U' F2
R' F B' R2 F' U' F
R' F' U2 R2 B' U' F2
R' F' U2 B' R2 U' F2
D2 F' U2 B' R' U' F2
D' F' U2 B' R' U' F2
R2 F' U2 R' B' U' F2
D F' U2 B' R' U' F2
F2 D' L2 F L U F2
R' F' B' R2 F' U' F'
B' D' R2 F' R' U' F2
R F' B' U2 B U F2
F' D' U2 B' L2 R' U'
F' D' U2 B' R' L2 U'
L' F2 L' F U' B' U2
L2 F2 L' D F' R U
D2 F2 L2 F L U F2
D' F2 L2 F L U F2
L F2 L F L2 U F
L F2 L' U2 B' U' F
L2 F2 L2 F' L U F2
D F2 L2 F L U F2
B2 D' B R U' R F
F2 D2 L2 F L U F2
R' F2 D2 L2 F U F2
B' D2 R2 F' R' U' F2
R F2 B' U2 B U F'
U2 B R U' D F L2
U2 B R U' F D L2
U2 B R D U' F L2
U2 B R B2 U' D F
U2 B R B2 U' D' F
U2 B R B2 U' D2 F
U2 B R B2 U' F D
U2 B R B2 U' F D'
U2 B R B2 U' F D2
U2 B R B2 D U' F
U2 B R B2 D' U' F
U2 B R B2 D2 U' F
B2 D2 B R F2 U' F'
U2 B R' B2 R2 U' F
B D2 F2 B' L' U F'
U' B U' R B2 U' F
U' B U' B2 R U' F
B D2 B' F2 L' U F'
U B U R B2 U' F
U B U B2 R U' F
U2 B D R U' F L2
B' F R2 F' R U' F
U2 B' L D2 R U' F'
U2 B' L2 R U B' U2
U2 B' R L2 U B' U2
U2 B' R U B U2 F
U2 B' R U B' U2 F
U2 B' R U B2 U2 F
U2 B' R U' R F R'
U2 B' R U' R2 F R2
U2 B' R U' D F D
