L R F B' U F2
R L F B' U F2
L R B' F U F2
R L B' F U F2
L F R B' U F'
L F B' R U F'
L B' R F U F2
L B' F R U F'
F' L R F B' U F2
F2 L R F B' U F2
F L R F B' U F2
F' L R B' F U F2
F2 L R B' F U F2
F L R B' F U F2
L R D F B' U F2
R L D F B' U F2
L R D B' F U F2
R L D B' F U F2
L R D' F B' U F2
R L D' F B' U F2
L R D' B' F U F2
R L D' B' F U F2
L R D2 F B' U F2
R L D2 F B' U F2
L R D2 B' F U F2
R L D2 B' F U F2
R' L F R2 B' U F'
L R F R B' U F2
R2 L F R' B' U F'
L R F R' B' U F2
R L F R B' U F2
L R F R2 B' U F2
R L F R' B' U F2
R L F R2 B' U F2
L R F D R2 B' U
L R F D B' R2 U
R' L F B' U D2 F2
R' L F B' U' B2 U2
R' L F B' D' R2 U
R' L F B' D2 U F2
R L F D R2 B' U
R L F D B' R2 U
R2 L F B' R' U F'
L R F B' R U F2
L R F B' R' U F2
L R F B' R2 U F2
L R F B' U F2 D
L R F B' U F2 D'
L R F B' U F2 D2
L R F B' D R2 U
R L F B' R U F2
R L F B' R' U F2
R L F B' R2 U F2
R L F B' U F2 D
R L F B' U F2 D'
R L F B' U F2 D2
R L F B' D R2 U
F' L F R B' U F'
F2 L F R B' U F'
F L F R B' U F'
F' L F B' R U F'
F2 L F B' R U F'
F L F B' R U F'
R2 L B' R' F U F2
L R B' U F' D' L2
R' L B' D' R2 F U
R' L B' D' F R2 U
R L B' U F' D' L2
R' L B' D2 F U F
L R B' D F U F2
R' L B' F U D2 F2
R' L B' F U' B2 U2
R' L B' F D' R2 U
R' L B' F D2 U F2
L R B' D' F U F2
R L B' D F U F2
L R B' D2 F U F2
R L B' D' F U F2
R2 L B' F R' U F'
L R B' F R U F2
L R B' F R' U F2
L R B' F R2 U F2
L R B' F U F2 D
L R B' F U F2 D'
L R B' F U F2 D2
L R B' F D R2 U
R L B' D2 F U F2
R L B' F R U F2
R L B' F R' U F2
R L B' F R2 U F2
R L B' F U F2 D
R L B' F U F2 D'
R L B' F U F2 D2
R L B' F D R2 U
F' L B' R F U F2
F2 L B' R F U F2
F L B' R F U F2
F' L B' F R U F'
U L B' U' R' B U2
F2 L B' F R U F'
F L B' F R U F'
L R' F R2 B' U F'
L R' F B' U D2 F2
L R' F B' U' B2 U2
L R' F B' D' R2 U
L R' F B' D2 U F2
L R' B' D' R2 F U
L R' B' D' F R2 U
L R' B' D2 F U F
L R' B' F U D2 F2
L R' B' F U' B2 U2
L R' B' F D' R2 U
L R' B' F D2 U F2
L R2 F R' B' U F'
L R2 F B' R' U F'
L R2 B' R' F U F2
L R2 B' F R' U F'
F' R L F B' U F2
F2 R L F B' U F2
F' R L B' F U F2
F2 R L B' F U F2
F R L F B' U F2
F R L B' F U F2
L2 U' L' F U R F'
R U2 L B' U F' L'
R D L F U F2 R
L D F B R' B2 U
L D F B' U2 L U'
L D B R' F B2 U
L D B R' B2 F U
L D B F R' B2 U
L D B' F U2 L U'
L D' F B' U2 L' U'
L D' F' R F2 B' U
L D' F' R B' F2 U
L D' F' B' R F2 U
L D' B' F U2 L' U'
L D' B' F' R F2 U
R F L F B' U F
R F L B' F U F
L F R D B' U F'
L F R D' B' U F'
L F R D2 B' U F'
L F R B' U D F'
L F R B' U D' F'
L F R B' U D2 F'
L F R B' U F' D
L F R B' U F' D'
L F R B' U F' D2
L F R B' D U F'
L F R B' D' U F'
L F R B' D2 U F'
L F R' B' U D2 F2
L F R' B' U' B2 U2
L F R' B' D' R2 U
L F R' B' D2 U F2
L F R2 B' R' U F'
L F D B R' B2 U
L F D B' U2 L U'
L F B R B2 U F'
L F B' R U D F'
L F B' R U D' F'
L F B' R U D2 F'
L F B' R U F' D
L F B' R U F' D'
L F B' R U F' D2
L F B' R D U F'
L F B' R D' U F'
L F B' R D2 U F'
L F B' R' U' B U2
L F B' U R F' R'
L F B2 D B R' U
R F' L F B' U F'
R F' L B' F U F'
L F' R F2 B' U F
L F' R B' F2 U F
L F' B' R F2 U F
L F2 R B' U F' L'
L F2 D' F' R B' U
L F2 D' F' B' R U
L F2 D' B' F' R U
L F2 B' R U F' L'
L F2 B' D' F' R U
L B R F B2 U F2
L B R B2 F U F2
L B F R B2 U F'
L B' R U F' D' L2
L B' R D F U F2
L B' R D' F U F2
L B' R D2 F U F2
L B' R F R U F2
L B' R F R' U F2
L B' R F R2 U F2
L B' R F U F2 D
L B' R F U F2 D'
L B' R F U F2 D2
L B' R F D R2 U
L B' R' F R2 U F'
L B' R' F U' B U2
L B' R2 F R' U F'
L' B' D' F L' U' B2
L B' D' F U2 L' U'
L B' D' F' R F2 U
L B' F R U D F'
L B' F R U D' F'
L B' F R U D2 F'
L B' F R U F' D
L B' F R U F' D'
L B' F R U F' D2
L B' F R D U F'
L B' F R D' U F'
L B' F R D2 U F'
L B' F R' U' B U2
L B' F U R F' R'
L B' F' R F2 U F
L B' F2 R U F' L'
L B' F2 D' F' R U
L B2 D F B R' U
L B2 D B R' F U
L B2 D B F R' U
L B2 F D B R' U
