F2 B U' R F2
B F2 U' R F2
B F2 U' R F2
B L D F2 U' F2
F2 L B U' R F2
U L' U' L B U'
F2 L' B U' R F2
F2 L2 B U' R F2
B' R2 D L2 B2 R'
B U L' U' L U'
L D F2 B U' F2
L D B F2 U' F2
B U' R2 D' F2 R
B D F2 U' R F2
F2 D' L2 B U' R
F2 D' B L2 U' R
B D' F2 U' R F2
D' F2 B U' R F2
D2 F2 B U' R F2
D F2 B U' R F2
F' D2 B U' R' F
F' D2 B U' F R'
B D2 F2 U' R F2
F2 B L U' R F2
F2 B L' U' R F2
F2 B L2 U' R F2
L B D F2 U' F2
F' B U' F' R F2
D2 B F2 U' R F2
D' B F2 U' R F2
F2 B U' R F2 D
F2 B U' R F2 D'
F2 B U' R F2 D2
F2 B U' R' F2 R2
D B F2 U' R F2
F2 B U' R2 F2 R'
F2 B D' L2 U' R
B F' U' F' R F2
B F2 L U' R F2
B F2 L' U' R F2
B F2 L2 U' R F2
B F2 U' R F2 D
B F2 U' R F2 D'
B F2 U' R F2 D2
B F2 U' R' F2 R2
B F2 U' R2 F2 R'
B F2 D' L2 U' R
B L U L2 U' L2 U'
B L U L2 U2 D F2
B L U L2 D U2 F2
B L U L2 D' B2 U2
B L U' D2 R2 D' F2
B L D L F2 U' F2
B L D L' F2 U' F2
B L D L2 F2 U' F2
B' L D F2 U' L2 F2
B' L D F2 U' F2 L2
D2 L D F2 B U' F2
D' L D F2 B U' F2
D2 L D B F2 U' F2
D' L D B F2 U' F2
D L D F2 B U' F2
B L D F2 L U' F2
B L D F2 L' U' F2
B L D F2 L2 U' F2
B L D F2 U' F2 D
B L D F2 U' F2 D'
B L D F2 U' F2 D2
B L D F2 D' L2 U'
D L D B F2 U' F2
F2 L D' L2 B U' R
F2 L D' B L2 U' R
B L D2 U' R2 D' F2
B L D2 F U' F' R2
B L D2 F' U' R2 F
B L D2 F' U' F R2
B L D2 F2 U' R2 F2
B L D2 F2 U' F2 R2
B L F U L2 U2 F'
B L F U' D2 F' R2
B L F U' F' D2 R2
B L F D F2 U' F
B L F D2 U' F' R2
F L F B U' R F2
B L F' U L2 B' U2
B L F' U' D2 R2 F
B L F' U' D2 F R2
B L F' U' F D2 R2
B L F' D F2 U' F'
B L F' D2 U' R2 F
B L F' D2 U' F R2
B L F2 L' U' F2 R
B L F2 U L2 U2 F2
B L F2 U' F2 D2 R2
F2 L B L U' R F2
F2 L B L' U' R F2
F2 L B L2 U' R F2
