R D' F2 U R' B
B2 L U' L' R U B'
B2 L U' R L' U B'
L' R D' F2 U R' B
L2 R D' F2 U R' B
L R D' F2 U R' B
R L D' F2 U R' B
F2 L D F2 B2 L B'
F2 L D B2 L F2 B'
F2 L D B2 L B' F2
F2 L D B2 F2 L B'
B' L D' R F' U R'
B2 L B U' L R U
B2 L B U' L R U
B2 L B U' R L U
B' L B' R U L R'
B' L B' R U R' L
R L' D' F2 U R' B
R L2 D' F2 U R' B
R' U R2 U D' R' B
R U R' D B2 L B'
R' U R2 D' U R' B
R U D' R' D' L2 B
R U D' R' D' B L2
R U D' R' B D' L2
R U D2 L2 D R' B
B2 R U L R B R2
B2 R U R L B R2
D R U R' B2 L B'
D R U D2 L2 R' B
D R U D2 R' L2 B
D R U D2 R' B L2
D' R U' R2 U2 B R
D' R U' F' R2 U2 R
R' U B' L R2 U R'
R' U B' R2 L U R'
U' R D2 F L' U L'
D R D2 U L2 R' B
D R D2 U R' L2 B
D R D2 U R' B L2
D' R' U2 D' B R F2
D' R' U2 B D' R F2
D' R' D B2 U2 R B'
D' R' D B2 U2 B' R
D' R' D' U2 B R F2
U2 R' B' U L R2 U
U2 R' B' U R2 L U
R' U2 D' R' F2 B R2
R' U2 D' R' B R2 F2
R' U2 D' R' B F2 R2
R' D L B2 U2 B R
R' D L2 B2 U2 R B
R' D F2 L' F B2 U2
R' D F2 L' B2 F U2
R' D F2 B2 L' F U2
B U R' U2 F' R2 U
R' D B2 L U2 R B'
R' D B2 L U2 B' R
R' D B2 L2 U2 R B
R' D B2 F2 L' F U2
R D' L F2 U R' B
R D' L' F2 U R' B
R D' L2 F2 U R' B
R' D' R' F2 L' B R2
R' D' R' F2 B L' R2
R' D' R' F2 B R2 L'
R' D' R' B F2 L' R2
R' D' R' B F2 R2 L'
R' D' U2 R' F2 B R2
R' D' U2 R' B R2 F2
R' D' U2 R' B F2 R2
R D' U R' D' L2 B
R D' U R' D' B L2
R D' U R' B D' L2
B' U' L D' R F' U
U' D' R U' R2 U2 B
D' U' R U' R2 U2 B
U' D' R U' F' R2 U2
D' U' R U' F' R2 U2
B2 U' L' R U B' L2
U2 D' R' U2 D' F2 B
U2 D' R' U2 D' B F2
U2 D' R' U2 B D' F2
U2 D' R' D B2 U2 B'
U2 D' R' D' U2 F2 B
U2 D' R' D' U2 B F2
B2 U' R L' U B' L2
R D' F2 L U R' B
R D' F2 L' U R' B
R D' F2 L2 U R' B
R D' F2 U R' D B
R D' F2 U R' D' B
R D' F2 U R' D2 B
R D' F2 U R' B D
R D' F2 U R' B D'
R D' F2 U R' B D2
B' U' D' L R F' U
B' U' D' R L F' U
B' U' D' R F' L U
D' U2 R' U2 D' F2 B
D' U2 R' U2 D' B F2
D' U2 R' U2 B D' F2
D' U2 R' D B2 U2 B'
D' U2 R' D' U2 F2 B
D' U2 R' D' U2 B F2
R D2 U L2 D R' B
R D2 F L' U L' R'
R D2 F L' U R' L'
R F D' F2 U R' B
F2 D B2 L D F2 B'
F2 D B2 L D B' F2
F2 D B2 L B' D F2
B' D' L R F' U R'
B' D' R L F' U R'
B' D' R F' L U R'
R F' D' F2 U R' B
B' D' U' L R F' U
B' D' U' R L F' U
B' D' U' R F' L U
R' F2 D L' F B2 U2
R' F2 D L' B2 F U2
R' F2 D B2 L' F U2
R F2 D' F2 U R' B
D F2 B2 L D F2 B'
D F2 B2 L D B' F2
D F2 B2 L B' D F2
R' B' U L R2 U R'
R' B' U R2 L U R'
D B2 L U' R U B'
D B2 L B' U' R U
D B2 R U L R' B'
D B2 R U R' L B'
R' B2 U R2 U R' B
U2 B2 U R U L B
D B2 U' R U L B'
R B2 U' L R2 F U2
R B2 U' L F R2 U2
R B2 U' R2 L F U2
D B2 F2 L D F2 B'
D B2 F2 L D B' F2
D B2 F2 L B' D F2
