U2 F2 B' R' U B2
B' F R F U B2
U2 B' R' F2 U B2
F B' R F U B2
U2 B' F2 R' U B2
B' L F R F U B2
U' L' D' L2 B R' F'
U L' D' L2 F B R'
U L' D' L2 B R' F
U L' D' L2 B F R'
U' L' D' B L2 R' F'
U' L' D' B R' L2 F'
U' L' D' B R' F' L2
B' L' F R F U B2
F2 L2 U2 F L' U' B
B' L2 F R F U B2
F R D F B' L U
F R D B' F L U
F R D' F B' L' U
F R D' B' F L' U
B' R F R F U B2
F R F D B' L U
U2 R F2 B' R' U B
U2 R B' R' F2 U B
U2 R B' F2 R' U B
L' U' D' L2 B R' F'
F R B' D' F L' U
L' U' D' B L2 R' F'
L' U' D' B R' L2 F'
L' U' D' B R' F' L2
B' R' F R F U B2
R U2 F2 B' R' U B
R U2 B' R' F2 U B
R U2 B' F2 R' U B
B' R2 F R F U B2
B' U L B2 D' F L2
U2 D B' R' U B2 L
B' U B2 L D' F L2
B' U B2 L' D' L2 F
L' D' U' L2 B R' F'
F U B' R F U B2
B' U B2 D' L F L
L' D' U' B L2 R' F'
L' D' U' B R' L2 F'
L' D' U' B R' F' L2
B U' R' F2 B2 U F
B U' R' B2 F2 U F
U2 D' B' R' U L2 B2
U2 D' B' R' U B2 L2
B U' F2 R' B2 U F'
B U' F2 B2 R' U F'
F U' B' R F U B2
B U' B2 R' F2 U F
B U' B2 F2 R' U F'
F2 U2 L2 F L' U' B
D' U2 B' R' U L2 B2
D' U2 B' R' U B2 L2
D U2 B' R' U B2 L
R' F R F B' U B2
R' F R B' F U B2
F U2 B' R F U B2
R' F B' R F U B
D' F B' R U L2 B2
D' F B' R U B2 L2
U2 F B' R' F U B2
F2 D B' R U F' B2
F2 D B' R U B2 F'
F D B' R F U B2
U2 F2 R B' R' U B
F2 D' B' L' U F B2
F2 D' B' L' U B2 F
F D' B' R F U B2
U2 F2 D B' R' U B2
U2 F2 D' B' R' U B2
U2 F2 D2 B' R' U B2
U' F2 B' R' U F' B2
U' F2 B' R' U B2 F'
U2 F2 B' L R' U B2
U2 F2 B' L' R' U B2
U2 F2 B' L2 R' U B2
U2 F2 B' R' L U B2
U2 F2 B' R' L' U B2
U2 F2 B' R' L2 U B2
U2 F2 B' R' U B2 D
U2 F2 B' R' U B2 D'
U2 F2 B' R' U B2 D2
U2 F2 B' R' D L2 U
U2 F2 B' D L2 R' U
U2 F2 B' D R' L2 U
U F2 B' L U F B2
U F2 B' L U B2 F
U B L D' R2 F L2
U B L D' F L2 R2
U B L D' F R2 L2
U' B R D' L2 R2 F'
U' B R D' R2 L2 F'
U' B R D' R2 F' L2
U B L' D' L2 R2 F
U B L' D' L2 F R2
U B L' D' R2 L2 F
U' B R' D' L2 F' R2
U' B R' D' F' L2 R2
U' B R' D' F' R2 L2
F2 D2 B R' B2 U B2
F2 D2 B' U2 L U' B2
F D2 B' R F U B2
U2 B U' F2 B2 R' U
U2 B U' B2 R' F2 U
