F R F' U R B U
U R B U' F' U2 L'
B' R' D' F' L' F' B
B' R' D' F' L' B F'
B' R' D' F' B L' F'
B' R' D' B F' L' F'
B' R' F D' F2 L' B
B' R' F D' F2 B L'
B' R' F D' B F2 L'
B' R' F B D' F2 L'
B' R' F' L' D' F2 B
B' R' F' L' D' B F2
B' R' F' L' B D' F2
B' R' F' D' L' F2 B
B' R' F' D' L' B F2
B' R' F' D' B L' F2
B' R' F' B L' D' F2
B' R' F' B D' L' F2
B' R' B D' F' L' F'
B' R' B F D' F2 L'
B' R' B F' L' D' F2
B' R' B F' D' L' F2
B' U R U R2 B L
B' U2 R' D' F2 B L
B' U2 R' D' B L F2
B' U2 R' D' B F2 L
B' U2 R' B L D' F2
B' U2 R' B D' L F2
B' U2 R' B D' F2 L
B' F' U' L' R' F' B
B' F' U' L' R' B F'
B' F' U' R' L' F' B
B' F' U' R' L' B F'
B' F' U' R' B L' F'
F' B' U' L' R' F' B
F' B' U' L' R' B F'
F' B' U' R' L' F' B
F' B' U' R' L' B F'
F' B' U' R' B L' F'
