L R U F L2 R
L R U F R L2
R L U F L2 R
R L U F R L2
R2 L B U F L2
L R2 B U F L2
L U F L2 D R2
L U2 F' U' L2 F2
L U2 F' U' F2 L2
D2 L R U F L2 R
D2 L R U F R L2
D' L R U F L2 R
D' L R U F R L2
D L R U F L2 R
D L R U F R L2
L R U R F L2 R
L R U R F R L2
L R U R' F L2 R
L R U R' F R L2
L R U R2 F L2 R
L R U R2 F R L2
R L U R F L2 R
R L U R F R L2
R L U R' F L2 R
R L U R' F R L2
R L U R2 F L2 R
R L U R2 F R L2
L R U F L2 R D
L R U F L2 R D'
L R U F L2 R D2
L R U F L2 D R
L R U F L2 D' R
L R U F L2 D2 R
L R U F R L2 D
L R U F R L2 D'
L R U F R L2 D2
L R U F2 L2 F' R
R L U F L2 R D
R L U F L2 R D'
R L U F L2 R D2
R L U F L2 D R
R L U F L2 D' R
R L U F L2 D2 R
R L U F R L2 D
R L U F R L2 D'
R L U F R L2 D2
R L U F2 L2 F' R
D' L R2 B U F L2
D2 L R2 B U F L2
D L R2 B U F L2
D' L U F L2 D R2
D2 L U F L2 D R2
D L U F L2 D R2
R2 L D F2 B U F'
R2 L D B F2 U F'
D2 L U2 F' U' L2 F2
D2 L U2 F' U' F2 L2
D' L U2 F' U' L2 F2
D' L U2 F' U' F2 L2
D L U2 F' U' L2 F2
D L U2 F' U' F2 L2
U L U2 F' L' U' L'
R2 L F' B U L2 F2
R2 L F' B U F2 L2
R2 L F2 B U L2 F'
R2 L F2 B U F' L2
R2 L B R U F L2
R2 L B R' U F L2
R2 L B R2 U F L2
R2 L B U F L2 D
R2 L B U F L2 D'
R2 L B U F L2 D2
R2 L B U F' L2 F2
L R B U F L2 R
L R B U F R L2
R2 L B U F2 L2 F'
R L B U F L2 R
R L B U F R L2
R2 L B D F2 U F'
B2 L F' R' U' L2 F2
B2 L F' R' U' F2 L2
R2 L B F' U L2 F2
R2 L B F' U F2 L2
R2 L B F2 U L2 F'
R2 L B F2 U F' L2
L R B' U F L2 R
L R B' U F R L2
R L B' U F L2 R
R L B' U F R L2
L R B2 U F L2 R
L R B2 U F R L2
R L B2 U F L2 R
R L B2 U F R L2
R2 L' U' L2 B U F
U2 L' R' D' F' R B2
U2 L' R' D' F' B2 R
U2 L' R' D' B2 F' R
R' L' D' B2 R2 F' R
L' R' D' B2 R2 F' R
F' L' U2 L2 U F L'
L' R2 U' L2 B U F
L R2 D F2 B U F'
L R2 D B F2 U F'
L R2 F' B U L2 F2
L R2 F' B U F2 L2
L R2 F2 B U L2 F'
L R2 F2 B U F' L2
L R2 B R U F L2
F' L2 U2 L' U F L'
L R2 B R' U F L2
L R2 B R2 U F L2
L R2 B U F L2 D
L R2 B U F L2 D'
L R2 B U F L2 D2
L R2 B U F' L2 F2
L R2 B U F2 L2 F'
