D' L F2 L' U F'
F2 L' U D2 L2 F
F2 L' U' R2 B' U2
F2 L' U' B' R2 U2
F2 L' D2 U L2 F
D' L2 F2 L' U F
U2 R U B R U2
U' R2 U' R' U' F'
L D' F2 L' U F'
D' F2 L' U' B' U2
U2 L R U B R U2
L R U R U2 R' F
L R U R U2 F R'
R' L U D F B2 L
R' L U D B2 F L
R L U R U2 R' F
R L U R U2 F R'
R' L U F D B2 L
L' R U B' R U2 R'
L' R U' R B' U2 B
D2 L U F D' L B'
R' L D U F B2 L
R' L D U B2 F L
D2 L U2 R U' F L
D L U2 R B2 U' F
D L U2 B2 R U' F
F2 L D' F2 U F' B2
F2 L D' F2 U B2 F'
D L D2 F2 L' U F'
D2 L F2 L' U L2 F'
D2 L F2 L' U F' L2
D' L F2 L' U D F'
D' L F2 L' U D' F'
D' L F2 L' U D2 F'
D' L F2 L' U F' D
D' L F2 L' U F' D'
D' L F2 L' U F' D2
D' L F2 L' D U F'
D' L F2 L' D' U F'
D' L F2 L' D2 U F'
D' L F2 D L' U F'
D' L F2 D' L' U F'
D' L F2 D2 L' U F'
L R' U D F B2 L
L R' U D B2 F L
L R' U F D B2 L
R L' U B' R U2 R'
R L' U' R B' U2 B
F2 L' R U' R B' U2
U2 L' R U B R U2
F2 L' R U' B' R U2
L R' D U F B2 L
F2 L' R' U' R' B' U2
L R' D U B2 F L
F2 L' U L2 D2 F L2
F2 L' U L2 F D2 L2
F2 L' U D2 L2 D F
F2 L' U D2 L2 D' F
F2 L' U D2 L2 D2 F
F2 L' U D2 L2 F D
F2 L' U D2 L2 F D'
F2 L' U D2 L2 F D2
F2 L' U D2 F L2 F
F2 L' U D2 F' L2 F
F2 L' U D2 F2 L2 F
F2 L' U F D2 L2 F
F2 L' U F' D2 L2 F
F2 L' U F2 D2 L2 F
F2 L' U' R B' R U2
F2 L' U' R2 D B' U2
F2 L' U' R2 D' B' U2
F2 L' U' R2 D2 B' U2
F2 L' U' R2 B' U2 D
F2 L' U' R2 B' U2 D'
F2 L' U' R2 B' U2 D2
F2 L' U' R2 B' D U2
F2 L' U' R2 B' D' U2
F2 L' U' R2 B' D2 U2
F2 L' U' D2 B' U2 L2
F2 L' U' B R2 B2 U2
F2 L' U' B' R2 U2 D
F2 L' U' B' R2 U2 D'
F2 L' U' B' R2 U2 D2
F2 L' U' B' R2 D U2
F2 L' U' B' R2 D' U2
F2 L' U' B' R2 D2 U2
F2 L' U' B' U2 D2 L2
F2 L' U' B' D2 U2 L2
F2 L' U' B2 R2 U2 F'
F2 L' D' F2 U' B' U2
F2 L' D2 R U L2 F
F2 L' D2 R' U L2 F
F2 L' D2 R2 U L2 F
F2 L' D2 U L2 D F
F2 L' D2 U L2 D' F
F2 L' D2 U L2 D2 F
F2 L' D2 U L2 F D
F2 L' D2 U L2 F D'
F2 L' D2 U L2 F D2
F2 L' D2 U F L2 F
F2 L' D2 U F' L2 F
F2 L' D2 U F2 L2 F
F2 L' D2 U' B' U2 L2
