L U R2 F
L U F R2
R' L U R' F
R' L U F R'
L R U R F
R L U R F
L R' U R' F
L R' U F R'
D L B2 U F
L U R' F R'
L U R2 D F
L U R2 D' F
L U R2 D2 F
L U R2 F D
L U R2 F D'
L U R2 F D2
L U F R2 D
L U F R2 D'
L U F R2 D2
L U F' R2 F2
L D B2 U F
L B U R2 F
L B U F R2
L B' U R2 F
L B' U F R2
L B2 U R2 F
L B2 U F R2
R' L U R F R2
R' L U R' D F
R' L U R' D' F
R' L U R' D2 F
R' L U R' F D
R' L U R' F D'
R' L U R' F D2
R' L U D R' F
R' L U D F R'
R' L U D' R' F
R' L U D' F R'
R' L U D2 R' F
R' L U D2 F R'
R' L U F R' D
R' L U F R' D'
R' L U F R' D2
R' L U F D R'
R' L U F D' R'
R' L U F D2 R'
R' L U F' R' F2
L R U R D F
L R U R D' F
L R U R D2 F
L R U R F D
L R U R F D'
L R U R F D2
L R U R' F R2
L R U R2 F R'
L R U D R F
L R U D' R F
L R U D2 R F
R L U R D F
R L U R D' F
R L U R D2 F
R L U R F D
R L U R F D'
R L U R F D2
R L U R' F R2
D L R B2 U F
R L U R2 F R'
R L U D R F
R L U D' R F
R L U D2 R F
D L R' B2 U F
D L R2 B2 U F
D' L U D R2 F
D' L U D F R2
R' L D U R' F
R' L D U F R'
D L U D' R2 F
D L U D' F R2
D L U F D' R2
L R D U R F
R L D U R F
R' L D' U R' F
R' L D' U F R'
L R D' U R F
R L D' U R F
R' L D2 U R' F
R' L D2 U F R'
D' L U2 F2 U' F'
L R D2 U R F
R L D2 U R F
D' L D U R2 F
D' L D U F R2
D L D' U R2 F
D L D' U F R2
D' L D2 B2 U F
L R B U R F
R L B U R F
F L F' U R2 F2
F L F' U F2 R2
L R B' U R F
R L B' U R F
F2 L F2 U F' R2
L R B2 U R F
R L B2 U R F
L R' U R F R2
L R' U R' D F
L R' U R' D' F
L R' U R' D2 F
L R' U R' F D
L R' U R' F D'
L R' U R' F D2
L R' U D R' F
L R' U D F R'
L R' U D' R' F
L R' U D' F R'
L R' U D2 R' F
L R' U D2 F R'
L R' U F R' D
L R' U F R' D'
L R' U F R' D2
L R' U F D R'
L R' U F D' R'
L R' U F D2 R'
L R' U F' R' F2
D L B2 R U F
D L B2 R' U F
D L B2 R2 U F
D L B2 U D F
D2 L B2 U R' F
D L B2 U D' F
D L B2 U D2 F
D L B2 U F D
D L B2 U F D'
D L B2 U F D2
D2 L B2 U F R'
D L B2 D U F
D L B2 D' U F
D L B2 D2 U F
L R' D U R' F
L R' D U F R'
L R' D' U R' F
L R' D' U F R'
L R' D2 U R' F
L R' D2 U F R'
L U R D R F
L U R D' R F
L U R D2 R F
L U R' D R' F
L U R' D F R'
L U R' D' R' F
L U R' D' F R'
L U R' D2 R' F
L U R' D2 F R'
L U R' F R' D
L U R' F R' D'
L U R' F R' D2
L U R' F D R'
L U R' F D' R'
L U R' F D2 R'
L U R' F' R' F2
L U R2 D F D
L U R2 D F D'
L U R2 D F D2
L U R2 D' F D
L U R2 D' F D'
L U R2 D' F D2
L U R2 D2 F D
L U R2 D2 F D'
L U R2 D2 F D2
L U R2 F2 D F'
L U R2 F2 D' F'
L U R2 F2 D2 F'
L U D F D' R2
D L2 B2 L' U F
L U D2 F D2 R2
D R L B2 U F
L U F R D R
L U F R D' R
L U F R D2 R
L U F R' D R'
L U F R' D' R'
L U F R' D2 R'
L U F B R2 B'
L U F B2 R2 B2
L U F' R' F2 R'
L U F' R2 F2 D
L U F' R2 F2 D'
L U F' R2 F2 D2
L U B R2 F B'
L U B R2 B' F
L U B F R2 B'
L U B2 R2 F B2
L U B2 R2 B2 F
L U B2 F R2 B2
L U' L2 B' U2 R2
L U' D2 L2 B' U2
D R' L B2 U F
L U' B U2 R2 F
L U' B U2 F R2
L U' B' U2 R2 F
L U' B' U2 F R2
L U' B2 U2 R2 F
L U' B2 U2 F R2
L U2 D' F2 U' F'
D R2 L B2 U F
L U2 F' U' R2 F2
L U2 F' U' F2 R2
L U2 F2 U' F' R2
U R2 U' L U F
R' D L U R' F
R' D L U F R'
R D L U R F
L D R B2 U F
L D R' B2 U F
L D R2 B2 U F
L D U F D' R2
R' D' L U R' F
R' D' L U F R'
L D B2 R U F
L D B2 R' U F
L D B2 R2 U F
L D B2 U D F
L D B2 U D' F
L D B2 U D2 F
L D B2 U F D
L D B2 U F D'
L D B2 U F D2
L D B2 D U F
L D B2 D' U F
L D B2 D2 U F
R D' L U R F
L D' U2 F2 U' F'
R' D2 L U R' F
R' D2 L U F R'
R D2 L U R F
L D2 U F D2 R2
L D2 U' L2 B' U2
B2 U2 R' U' F' R'
B2 D B2 L U F
L2 B L' U R2 F
L2 B L' U F R2
L B R U R F
L B R' U R' F
L B R' U F R'
L B U R' F R'
L B U R2 D F
L B U R2 D' F
L B U R2 D2 F
L B U R2 F D
L B U R2 F D'
L B U R2 F D2
L B U F R2 D
L B U F R2 D'
L B U F R2 D2
L B U F' R2 F2
L B D B2 U F
L2 B' L' U R2 F
L2 B' L' U F R2
L B' R U R F
L B' R' U R' F
L B' R' U F R'
L B' U R' F R'
L B' U R2 D F
L B' U R2 D' F
L B' U R2 D2 F
L B' U R2 F D
L B' U R2 F D'
L B' U R2 F D2
L B' U F R2 D
L B' U F R2 D'
L B' U F R2 D2
L B' U F' R2 F2
L B' D B2 U F
L' B2 L2 U R2 F'
L2 B2 L' U R2 F
L2 B2 L' U F R2
L B2 R U R F
L B2 R' U R' F
L B2 R' U F R'
L B2 U R' F R'
L B2 U R2 D F
L B2 U R2 D' F
L B2 U R2 D2 F
L B2 U R2 F D
L B2 U R2 F D'
L B2 U R2 F D2
L B2 U F R2 D
L B2 U F R2 D'
L B2 U F R2 D2
L B2 U F' R2 F2
D B2 U2 R' U' F'
L B2 D B2 U F
B' L R U R F B
B' L R U R B F
D' L R U D R2 F
D' L R U D F R2
D L R U D' R2 F
D L R U D' F R2
D L R U F D' R2
R' L U R F R2 D
R' L U R F R2 D'
R' L U R F R2 D2
R' L U R F' R2 F2
D' L R U2 F2 U' F'
R' L U R' D F D
R' L U R' D F D'
R' L U R' D F D2
R' L U R' D' F D
R' L U R' D' F D'
R' L U R' D' F D2
R' L U R' D2 F D
R' L U R' D2 F D'
R' L U R' D2 F D2
D' L R D U R2 F
D' L R D U F R2
R' L U R' F2 D F'
R' L U R' F2 D' F'
R' L U R' F2 D2 F'
L R U R D F D
L R U R D F D'
L R U R D F D2
L R U R D' F D
L R U R D' F D'
L R U R D' F D2
R' L U R2 D R F
L R U R D2 F D
L R U R D2 F D'
L R U R D2 F D2
R' L U R2 D' R F
R' L U R2 D2 R F
L R U R F2 D F'
L R U R F2 D' F'
L R U R F2 D2 F'
R' L U D R F R2
R' L U D R' D F
R' L U D R' D' F
R' L U D R' D2 F
R' L U D R' F D
R' L U D R' F D'
R' L U D R' F D2
R' L U D F R' D
R' L U D F R' D'
R' L U D F R' D2
R' L U D F D R'
R' L U D F D' R'
R' L U D F D2 R'
R' L U D F' R' F2
L R U R' F R2 D
L R U R' F R2 D'
L R U R' F R2 D2
L R U R' F' R2 F2
R' L U D' R F R2
D L R D' U R2 F
D L R D' U F R2
R' L U D' R' D F
R' L U D' R' D' F
R' L U D' R' D2 F
R' L U D' R' F D
R' L U D' R' F D'
R' L U D' R' F D2
D' L R D2 B2 U F
R' L U D' F R' D
R' L U D' F R' D'
R' L U D' F R' D2
R' L U D' F D R'
R' L U D' F D' R'
R' L U D' F D2 R'
R' L U D' F' R' F2
L R U R2 D R' F
L R U R2 D F R'
L R U R2 D' R' F
L R U R2 D' F R'
L R U R2 D2 R' F
L R U R2 D2 F R'
L R U R2 F R' D
L R U R2 F R' D'
L R U R2 F R' D2
L R U R2 F D R'
L R U R2 F D' R'
L R U R2 F D2 R'
L R U R2 F' R' F2
R' L U D2 R F R2
R' L U D2 R' D F
R' L U D2 R' D' F
R' L U D2 R' D2 F
R' L U D2 R' F D
R' L U D2 R' F D'
R' L U D2 R' F D2
R' L U D2 F R' D
R' L U D2 F R' D'
R' L U D2 F R' D2
