L2 U' R F' B' L'
L2 U' R B' F' L'
L2 U' B' R F' L'
R D' L2 F' B' L
R D' L2 B' L F'
R D' L2 B' F' L
L' R F' L D' L2 B'
L' R F' L' D' B' L2
L' R F' L' B' D' L2
L' R F' D' L' B' L'
L2 R B' L F' D' L2
L2 R' U' R2 F' B' L'
L2 R' U' R2 B' F' L'
R L' F' L D' L2 B'
R L' F' L' D' B' L2
R L' F' L' B' D' L2
R L' F' L' B' D' L2
R L' F' D' L' B' L'
D2 L' D' R F L' B'
R' L2 U' R2 F' B' L'
R' L2 U' R2 B' F' L'
B' L2 U' R F' B' L'
B' L2 U' R B' F' L'
U' L2 U' R F' B' L'
U' L2 U' R B' F' L'
B2 L2 U' R F' B' L'
U2 L2 U' R F' B' L'
B2 L2 U' R B' F' L'
U2 L2 U' R B' F' L'
B L2 U' R F' B' L'
B L2 U' R B' F' L'
B' L2 U' B' R F' L'
U L2 U' R F' B' L'
U L2 U' R B' F' L'
U' L2 U' B' R F' L'
B2 L2 U' B' R F' L'
U2 L2 U' B' R F' L'
B L2 U' B' R F' L'
U L2 U' B' R F' L'
R L2 B' L F' D' L2
D2 L2 D R B' L F
D2 L2 D B' L R F
D2 L2 D B' R L F
R U L2 U' F' B' L'
R U L2 U' B' F' L'
L2 U R F' B L B2
L2 U R B L F' B2
L2 U R B L B2 F'
L2 U R B F' L B2
D' L2 B' L D R F'
D' L2 B' D L R F'
D' L2 B' D R L F'
D' L2 B' D R F' L
L2 U B L R F' B2
L2 U B L R B2 F'
L2 U B L B2 R F'
L2 U B R L F' B2
L2 U B R L B2 F'
L2 U B R F' L B2
L2 U B' R D2 L2 F'
L2 U B' R D2 F' L2
L2 U B' R F' D2 L2
B' R D' L2 F' B' L
B' R D' L2 B' L F'
B' R D' L2 B' F' L
U' R D' L2 F' B' L
U' R D' L2 B' L F'
U' R D' L2 B' F' L
B2 R D' L2 F' B' L
B2 R D' L2 B' L F'
B2 R D' L2 B' F' L
U2 R D' L2 F' B' L
U2 R D' L2 B' L F'
U2 R D' L2 B' F' L
B R D' L2 F' B' L
B R D' L2 B' L F'
B R D' L2 B' F' L
L2 U' L R F' L' B'
U R D' L2 F' B' L
U R D' L2 B' L F'
U R D' L2 B' F' L
L2 U' R L F' L' B'
L2 U' R D F' B' L'
L2 U' R D B' F' L'
L2 U' R D' F' B' L'
L2 U' R D' B' F' L'
L2 U' R D2 F' B' L'
L2 U' R D2 B' F' L'
L2 U' R F' D B' L'
L2 U' R F' D' B' L'
L2 U' R F' D2 B' L'
L2 U' R F' B L' B2
L2 U' R F' B' L' D
L2 U' R F' B' L' D'
L2 U' R F' B' L' D2
L2 U' R F' B' D L'
L2 U' R F' B' D' L'
L2 U' R F' B' D2 L'
L2 U' R F' B2 L' B
L2 U' R B F' L' B2
L2 U' R B' L F' L'
L2 U' R B' L' F' L'
L2 U' R B' L2 F' L'
L2 U' R B' D F' L'
L2 U' R B' D' F' L'
L2 U' R B' D2 F' L'
L2 U' R B' F' L' D
L2 U' R B' F' L' D'
L2 U' R B' F' L' D2
L2 U' R B' F' D L'
L2 U' R B' F' D' L'
L2 U' R B' F' D2 L'
L2 U' R B2 F' L' B
L2 U' B R F' L' B2
L2 U' B R F' B2 L'
L2 U' B R B2 F' L'
L2 U' B' L R F' L'
L2 U' B' L' R F' L'
L2 U' B' L2 R F' L'
L2 U' B' R L F' L'
L2 U' B' R L' F' L'
L2 U' B' R L2 F' L'
L2 U' B' R D F' L'
L2 U' B' R D' F' L'
L2 U' B' R D2 F' L'
L2 U' B' R F' L' D
L2 U' B' R F' L' D'
L2 U' B' R F' L' D2
L2 U' B' R F' D L'
L2 U' B' R F' D' L'
L2 U' B' R F' D2 L'
L' U2 R F' D' L2 B
L' U2 R F' D' B L2
L' U2 R F' B D' L2
L' U2 R B F' D' L2
L2 U2 R F' B' D L2
L2 U2 R B' D L2 F'
L2 U2 R B' D F' L2
L2 U2 R B' F' D L2
R U2 D F U2 L' F2
R D L' F L' F2 B'
R D L' F L' B' F2
R D L2 D2 F' B' L
R D L2 D2 B' L F'
R D L2 D2 B' F' L
R D L2 F B' L' F2
R D L2 B' F L' F2
R D U2 F U2 L' F2
R D F L' F2 D2 B2
R D F' U2 R F2 U2
R D F' U2 F2 U2 L'
R D' L F' L B' L
R D' L F' B' L B'
R D' L B' L F' B'
R D' L B' L B' F'
R D' L B' F' L B'
R2 D' L2 R' F' B' L
R2 D' L2 R' B' L F'
R2 D' L2 R' B' F' L
R D' L' F' L' B' L
R D' L2 F B' L F2
R D' L2 F' B' L D
R D' L2 F' B' L D'
R D' L2 F' B' L D2
R D' L2 F' B' D L
R D' L2 F' B' D' L
R D' L2 F' B' D2 L
R D' L2 B' L D F'
R D' L2 B' L D' F'
R D' L2 B' L D2 F'
R D' L2 B' L F' D
R D' L2 B' L F' D'
R D' L2 B' L F' D2
R D' L2 B' L' F' L2
R D' L2 B' D L F'
R D' L2 B' D F' L
R D' L2 B' D' L F'
R D' L2 B' D' F' L
R D' L2 B' D2 L F'
R D' L2 B' D2 F' L
R D' L2 B' F L F2
R D' L2 B' F' L D
R D' L2 B' F' L D'
R D' L2 B' F' L D2
R D' L2 B' F' D L
R D' L2 B' F' D' L
R D' L2 B' F' D2 L
R2 D' R' L2 F' B' L
R2 D' R' L2 B' L F'
R2 D' R' L2 B' F' L
R D' F' B D2 B2 L
R D' F' B' L D2 B2
R D' F' B' D2 L B2
R D' B F' D2 B2 L
R D' B' L2 B' L' F'
R D' B' F' L D2 B2
R D' B' F' D2 L B2
R D2 L2 D F' B' L
R D2 L2 D B' L F'
R D2 L2 D B' F' L
R D2 L2 F' D B' L
R F' D' B D' B2 L
R F' D' B' D' L B2
R F' D2 B' D B' L
R F2 D F L' D2 B2
R F2 D F D2 L' B2
R F2 D F D2 B2 L'
L2 B U' R F' L' B2
L2 B U' R F' B2 L'
L2 B U' R B2 F' L'
L2 B U' B2 R F' L'
R B D' L2 F' B' L
R B D' L2 B' L F'
R B D' L2 B' F' L
L2 B' L R F' D' L2
L B' L U' R F' B'
L B' L U' R B' F'
L B' L U' B' R F'
L2 B' R L F' D' L2
R B' D' L2 F' B' L
R B' D' L2 B' L F'
R B' D' L2 B' F' L
L2 B2 U B L R F'
L2 B2 U B R L F'
L2 B2 U B R F' L
L2 B2 U' B R F' L'
R B2 D' L2 F' B' L
R B2 D' L2 B' L F'
R B2 D' L2 B' F' L
