D L B2 L F B
D L B2 L B F
D' R' B' U2 R B2
D' R' B' U2 B2 R
U2 R' B' U L U
L2 D F B2 L B'
L D B2 L F B'
L D B2 L B' F
L2 D B2 F L B'
U2 D' R' B' U2 B2
D' U2 R' B' U2 B2
L2 F D B2 L B'
R' B' U L U R
D B2 L B' D2 F2
D' L U2 R' U2 F' B
D' L U2 R' U2 B F'
D L U2 R' U2 F' B'
D L U2 R' U2 B' F'
F' L D B2 L F B'
F' L D B2 L B' F
F2 L D B2 L F B'
F2 L D B2 L B' F
D L D B2 L F B
D L D B2 L B F
F L D B2 L F B'
F L D B2 L B' F
D2 L D' B2 L F B'
D2 L D' B2 L B' F
D L D' B2 L F B
D L D' B2 L B F
D' L D2 B2 L F B'
D' L D2 B2 L B' F
D L D2 B2 L F B
D L D2 B2 L B F
D L F B2 L F B
D L F B2 L B F
D L F' B2 L F B
D L F' B2 L B F
D L F2 B2 L F B
D L F2 B2 L B F
D L B' L D2 F L'
D L B' D2 L F L'
D L B2 L D F B
D L B2 L D B F
D L B2 L D' F B
D L B2 L D' B F
D L B2 L D2 F B
D L B2 L D2 B F
D L B2 L F D B
D L B2 L F D' B
D L B2 L F D2 B
D L B2 L F B D
D L B2 L F B D'
D L B2 L F B D2
D L B2 L B D F
D L B2 L B D' F
D L B2 L B D2 F
D L B2 L B F D
D L B2 L B F D'
D L B2 L B F D2
D L B2 L2 B L' F
D2 L B2 D' L F B'
D2 L B2 D' L B' F
D' L B2 D2 L F B'
D' L B2 D2 L B' F
D L B2 D L F B
D L B2 D L B F
D L B2 D' L F B
D L B2 D' L B F
D L B2 D2 L F B
D L B2 D2 L B F
D L B2 F L F B
D L B2 F L B F
D L B2 F' L F B
D L B2 F' L B F
D L B2 F2 L F B
D L B2 F2 L B F
D L' B' L2 B' L F
D' L2 R' U2 B R F
D L2 R' U2 R F B
D L2 R' U2 R B F
D' L2 U2 R' U2 F B
D' L2 U2 R' U2 B F
D L2 U2 R' F' U2 F2
F' L2 D F B2 L B'
F2 L2 D F B2 L B'
F' L2 D B2 F L B'
F L2 D F B2 L B'
F2 L2 D B2 F L B'
F L2 D B2 F L B'
D2 L2 D' F B2 L B'
D2 L2 D' B2 F L B'
D' L2 D2 F B2 L B'
D' L2 D2 B2 F L B'
D2 L2 F L D' B2 L
D L2 F L' B2 L B
D' L2 F U2 R' U2 B
D L2 F L2 B2 L B'
F' L2 F D B2 L B'
D' L2 F D2 B2 L B'
D2 L2 F B2 L D' B2
F2 L2 F D B2 L B'
D L2 F U2 R' F' U2
D' L2 F B2 D2 L B'
F L2 F D B2 L B'
D L2 F B' L' B' L
D L2 F B2 L' B' L2
D L2 B' L' B' L F
D L2 B' D2 F L' B'
D L2 B' F L' B' L
D2 L2 B2 D' F L B'
D2 L2 B2 F L D' B2
D' L2 B2 D2 F L B'
D' L2 B2 F D2 L B'
D L2 B2 F L' B' L2
D R D2 L2 R' F B
D R D2 L2 R' B F
D R D2 L2 F R' B
D R D2 R' L2 F B
D R D2 R' L2 B F
D' R F' R2 B' U2 R
D' R B' R2 U2 B R'
U2 R B' R2 U L U
D' R' L2 U2 B R F
D R' L2 U2 R F B
D R' L2 U2 R B F
D' R' U2 B R D2 F2
D' R' U2 B D2 R F2
D' R' D B' U2 R B2
D' R' D B' U2 B2 R
D' R' D' B' U2 R B2
D' R' D' B' U2 B2 R
D' R' D2 B' U2 R B2
D' R' D2 B' U2 B2 R
U2 R' F B' U L U
U2 R' F' B' U L U
D' R' F2 B' L' U2 B2
U2 R' F2 B' U L U
D R' F2 B' L' F U2
D' R' B' L U2 R B2
D' R' B' L U2 B2 R
D' R' B' L' U2 R B2
D' R' B' L' U2 B2 R
D' R' B' L2 U2 R B2
D' R' B' L2 U2 B2 R
F' R' B' U L U R
U' R' B' U L B U
D' R' B' U2 R B2 D
D' R' B' U2 R B2 D'
D' R' B' U2 R B2 D2
D' R' B' U2 R' B2 R2
D' R' B' U2 B' R B'
D' R' B' U2 B2 R D
D' R' B' U2 B2 R D'
D' R' B' U2 B2 R D2
D' R' B' U2 B2 D R
D' R' B' U2 B2 D' R
D' R' B' U2 B2 D2 R
D R' B' L U2 R B'
D R' B' L U2 B' R
F2 R' B' U L U R
D' R' B' D2 F2 L' U2
D R' B' L2 U2 R B
U2 R' B' U L U D
U2 R' B' U L U D'
U2 R' B' U L U D2
U2 R' B' U L D U
U2 R' B' U L D' U
U2 R' B' U L D2 U
U2 R' B' U D L U
U2 R' B' U D' L U
U2 R' B' U D2 L U
D' R' B' F2 L' U2 B2
U2 R' B' D U L U
U2 R' B' D' U L U
U2 R' B' D2 U L U
U2 R' B' F U L U
U2 R' B' F' U L U
F R' B' U L U R
U2 R' B' F2 U L U
D R' B' F2 L' F U2
L2 U2 D' R' U2 F B
L2 U2 D' R' U2 B F
L U2 D' R' U2 F' B
L U2 D' R' U2 B F'
U2 R2 D' R F' B' U2
U2 R2 D' R B' F' U2
U2 R2 D' B' R F' U2
L D L F B2 L B
L D L B' D2 F L'
R' D L2 U2 R F B
R' D L2 U2 R B F
L D L B2 F L B
D' R2 B' R U2 B R
U2 R2 B' R U L U
L2 D F L B2 L B
L2 D F B' L B' L
L2 D F B2 L D B'
L2 D F B2 L D' B'
L2 D F B2 L D2 B'
L2 D F B2 L B' D
L2 D F B2 L B' D'
L2 D F B2 L B' D2
L D F B2 L F B'
L D F B2 L B' F
L2 D F' B2 L F2 B'
L2 D F' B2 L B' F2
R' D F2 B' L' F U2
L D F' B2 L F B'
L D F' B2 L B' F
L2 D F2 B2 L F' B'
L2 D F2 B2 L B' F'
B U R B R2 U' F'
R' D B' L U2 R B'
R' D B' L U2 B' R
R' D B' L2 U2 R B
L D F2 B2 L F B'
L D F2 B2 L B' F
R' D B' F2 L' F U2
L D B' L F B' L
L D B' L B' F L
L2 D B' F L B' L
L D B2 L D F B'
L D B2 L D B' F
L D B2 L D' F B'
L D B2 L D' B' F
L D B2 L D2 F B'
L D B2 L D2 B' F
L D B2 L F D B'
L D B2 L F D' B'
L D B2 L F D2 B'
L D B2 L F B' D
L D B2 L F B' D'
L D B2 L F B' D2
L2 D B2 F L D B'
L2 D B2 F L D' B'
L2 D B2 F L D2 B'
L2 D B2 F L B' D
L2 D B2 F L B' D'
L D B2 L B' D F
L2 D B2 F L B' D2
L D B2 L B' D' F
L D B2 L B' D2 F
L D B2 L B' F D
L D B2 L B' F D'
L D B2 L B' F D2
L2 D B2 F' L F2 B'
L2 D B2 F' L B' F2
L2 D B2 F2 L F' B'
L2 D B2 F2 L B' F'
L D B2 F L F B'
L D B2 F L B' F
L D B2 F' L F B'
L D B2 F' L B' F
L D B2 F2 L F B'
L D B2 F2 L B' F
U2 D B' U2 L B' L
U2 D B' U2 B' L B'
L2 D' R' U2 B R F
R D' R' D' L2 F B
R D' R' D' L2 B F
L2 D' U2 R' U2 F B
L2 D' U2 R' U2 B F
U2 D' R F' R2 B' U2
U2 D' R F' B' R2 U2
L D' U2 R' U2 F' B
L D' U2 R' U2 B F'
U2 D' R B' R2 U2 B
U2 D' R B' F' R2 U2
L2 D' F U2 R' U2 B
L2 D' F D2 B2 L B'
U2 D' R' U2 B D2 F2
U2 D' R' D B' U2 B2
U2 D' R' D' B' U2 B2
L2 D' F B2 D2 L B'
U2 D' R' D2 B' U2 B2
U2 D' R' F B' U2 B2
U2 D' R' F' B' U2 B2
U2 D' R' F2 B' U2 B2
U2 D' R' B' U2 B2 D
U2 D' R' B' U2 B2 D'
U2 D' R' B' U2 B2 D2
U2 D' R' B' D2 F2 U2
U2 D' R' B' F U2 B2
U2 D' R' B' F' U2 B2
U2 D' R' B' F2 U2 B2
U2 D' R2 B' R U2 B
U2 D' F R' B' U2 B2
R' D' B' U2 R' B R2
U2 D' F' R' B' U2 B2
U2 D' F2 R' B' U2 B2
L2 D' B2 D2 F L B'
L2 D' B2 F D2 L B'
L D' B2 D2 L F B'
L D' B2 D2 L B' F
R D2 L2 D R' F B
R D2 L2 D R' B F
R D2 L2 D F R' B
D' U2 R F' R2 B' U2
D' U2 R F' B' R2 U2
D' U2 R B' R2 U2 B
D' U2 R B' F' R2 U2
D' U2 R' U2 B D2 F2
D' U2 R' D B' U2 B2
D' U2 R' D' B' U2 B2
D' U2 R' D2 B' U2 B2
D' U2 R' F B' U2 B2
D' U2 R' F' B' U2 B2
D' U2 R' F2 B' U2 B2
D' U2 R' B' U2 B2 D
D' U2 R' B' U2 B2 D'
D' U2 R' B' U2 B2 D2
D' U2 R' B' D2 F2 U2
D' U2 R' B' F U2 B2
D' U2 R' B' F' U2 B2
D' U2 R' B' F2 U2 B2
D' U2 R2 B' R U2 B
D' U2 F R' B' U2 B2
L2 D2 F L D' B2 L
D' U2 F' R' B' U2 B2
L2 D2 F B2 L D' B2
D' U2 F2 R' B' U2 B2
