B' U F2 U2 R' F
B' U F2 U2 F R'
B' U' D2 F' R' B2
B' U' F' R2 B R
F2 U' B' U' F R
B' D2 U' F' R' B2
D2 B' U' F' R' B'
B' L U F2 U2 R' F
B' L U F2 U2 F R'
B' L U' D2 F' R' B2
B' L U' F' R2 B R
B' L D2 U' F' R' B2
B L F2 U' B2 U' F
B L F2 U2 D F L2
B L F2 U2 F D L2
B L F2 D U2 F L2
B L F2 D' R2 U2 F
B' L' U F2 U2 R' F
B' L' U F2 U2 F R'
B' L' U' D2 F' R' B2
B' L' U' F' R2 B R
B' L' D2 U' F' R' B2
B' L2 U F2 U2 R' F
B' L2 U F2 U2 F R'
B' L2 U' D2 F' R' B2
B' L2 U' F' R2 B R
B' L2 D2 U' F' R' B2
D' L2 F B' U R' F2
D' L2 F B' U F2 R'
F2 L2 B' U F U R'
D' L2 B' F U R' F2
D' L2 B' F U F2 R'
F2 R U' B' U' F R
D R B' R U' R2 F'
F2 R' U' B' U' F R
B' R2 U F2 L' B U2
B' R2 U F2 B L' U2
B' R2 U B F2 L' U2
F2 R2 U' B' U' F R
B' R2 D R2 U' F' R'
F' R2 B U B2 U' R'
R' D R2 B' L U' R'
F' R2 B' R' B2 D L2
R2 D R2 B' U' F' R'
D R2 B' U B2 L U2
D R2 B' U' R' D2 F2
D R2 B' U' D2 R' F2
D R2 B' U' D2 F2 R'
D R2 B' D L2 U' R'
D R2 B' D2 U' R' F2
D R2 B' D2 U' F2 R'
B' U L F2 U2 R' F
B' U L F2 U2 F R'
B' U L' F2 U2 R' F
B' U L' F2 U2 F R'
B' U L2 F2 U2 R' F
B' U L2 F2 U2 F R'
R' D B' L R2 U' R
R' D B' R2 L U' R
R D B' R2 U' R F'
D2 U B' U' F' B' R'
D2 U B' U' B' F' R'
B' U F2 L' U2 R' F'
B' U F2 U2 R F R2
B' U F2 U2 R' D F
B' U F2 U2 R' D' F
B' U F2 U2 R' D2 F
B' U F2 U2 R' F D
B' U F2 U2 R' F D'
B' U F2 U2 R' F D2
B' U F2 U2 D R' F
B' U F2 U2 D F R'
B' U F2 U2 D' R' F
B' U F2 U2 D' F R'
B' U F2 U2 D2 R' F
B' U F2 U2 D2 F R'
B' U F2 U2 F R' D
B' U F2 U2 F R' D'
B' U F2 U2 F R' D2
B' U F2 U2 F D R'
B' U F2 U2 F D' R'
B' U F2 U2 F D2 R'
B' U F2 U2 F' R' F2
B' U F2 D U2 R' F
B' U F2 D U2 F R'
B' U F2 D' U2 R' F
B' U F2 D' U2 F R'
B' U F2 D2 U2 R' F
B' U F2 D2 U2 F R'
B' U F2 B U2 F R
B' U B F2 U2 F R
F' U B' U F' L' U2
B' U B2 L F2 U2 F
U2 D' L2 F U R F2
B' U' D F' D R' B2
F2 U' D B' U' F R
B' U' D' F' R' D' B2
B' U' D' F' D' R' B2
F2 U' D' B' U' F R
B' U' D2 F R' F2 B2
B' U' D2 F R' B2 F2
