L2 U' B R2 U'
F' L2 U' B R2 U'
F2 L2 U' B R2 U'
F L2 U' B R2 U'
L2 U' R2 U2 F' U
L2 U' D B U' B
L2 U' B R2 U' D
L2 U' B R2 U' D'
L2 U' B R2 U' D2
L2 U' B R2 D U'
L2 U' B R2 D' U'
L2 U' B R2 D2 U'
L2 U' B U' D B2
L2 U' B D U' B2
L2 U' B' R2 B2 U'
L2 U' B2 R2 B' U'
B R2 U L2 U2 F
B R2 U B' L2 U2
L2 U2 B' D L2 B2
L2 U2 B' D B2 L2
L2 D U' B U' B
U' D F2 B U' B
U' D B F2 U' B
L2 D' F2 U' B U'
D U' F2 B U' B
D U' B F2 U' B
L2 F U' B R2 U'
L2 F' U' B R2 U'
L2 F2 U' B R2 U'
U' B R2 U L2 U2
U' B R2 U' D2 R2
U' B R2 D F2 U'
U' B R2 D2 U' R2
U' B D F2 U' B2
L2 R U' R U2 F' U
L2 R U' R' B R2 U'
B' L R2 B2 U' F' R'
D L U' F2 B U' B
D L U' B F2 U' B
B' L D B2 L2 R' F
B' L D B2 L2 F R'
B' L D B2 R' L2 F
L2 R' U' R' B U' L
B L' R2 U L' U2 F
D L' U' F2 B U' B
D L' U' B F2 U' B
L2 R2 U F' L2 U B'
R2 L2 U F' L2 U B'
L2 R2 U F' U' F U2
R2 L2 U F' U' F U2
R' L2 U' R' B U' L
L2 R2 U' R2 B U' B'
R2 L2 U' R2 B U' B'
R L2 U' R U2 F' U
R L2 U' R' B R2 U'
U2 L' B' D L2 B2 R'
U' L2 U' L2 B R2 U'
F' L2 U' R2 U2 F' U
B' L2 U' R2 B2 U' F'
F' L2 U' D B U' B
F2 L2 U' R2 U2 F' U
F2 L2 U' D B U' B
F' L2 U' B R2 U' D
F' L2 U' B R2 U' D'
F' L2 U' B R2 U' D2
F' L2 U' B R2 D U'
F' L2 U' B R2 D' U'
F' L2 U' B R2 D2 U'
F' L2 U' B U' D B2
F' L2 U' B D U' B2
U' L2 U' B L2 R2 U'
F L2 U' R2 U2 F' U
U' L2 U' B R2 L2 U'
F' L2 U' B' R2 B2 U'
F' L2 U' B2 R2 B' U'
F L2 U' D B U' B
F2 L2 U' B R2 U' D
F2 L2 U' B R2 U' D'
F2 L2 U' B R2 U' D2
F2 L2 U' B R2 D U'
F2 L2 U' B R2 D' U'
F2 L2 U' B R2 D2 U'
F2 L2 U' B U' D B2
F2 L2 U' B D U' B2
F2 L2 U' B' R2 B2 U'
D L2 U' F2 B U' B
F2 L2 U' B2 R2 B' U'
D L2 U' B F2 U' B
F L2 U' B R2 U' D
F L2 U' B R2 U' D'
F L2 U' B R2 U' D2
F L2 U' B R2 D U'
F L2 U' B R2 D' U'
F L2 U' B R2 D2 U'
F L2 U' B U' D B2
F L2 U' B D U' B2
F L2 U' B' R2 B2 U'
F L2 U' B2 R2 B' U'
B' L2 U2 D B2 L2 F
F' L2 U2 B' D L2 B2
F' L2 U2 B' D B2 L2
F2 L2 U2 B' D L2 B2
F2 L2 U2 B' D B2 L2
F L2 U2 B' D L2 B2
F L2 U2 B' D B2 L2
U L2 U2 B R2 U' R2
F' L2 D U' B U' B
B' L2 D U2 B2 L2 F
F2 L2 D U' B U' B
B' L2 D B U2 L2 B
B' L2 D B U2 B L2
F L2 D U' B U' B
B' L2 D' R2 F2 U2 F
B' L2 D' F2 R2 U2 F'
B' L2 D' F2 B R2 U2
B' L2 D' B R2 F2 U2
F' L2 D' F2 U' B U'
B' L2 D' B F2 R2 U2
F2 L2 D' F2 U' B U'
L2 U L U2 B R2 U'
F L2 D' F2 U' B U'
L2 U L' U2 B R2 U'
F' L2 F U' B R2 U'
F2 L2 F U' B R2 U'
F L2 F U' B R2 U'
R2 U L2 U F' U F
L2 U L2 U2 B R2 U'
F' L2 F' U' B R2 U'
F2 L2 F' U' B R2 U'
F L2 F' U' B R2 U'
F' L2 F2 U' B R2 U'
F2 L2 F2 U' B R2 U'
F L2 F2 U' B R2 U'
B' L2 B U' B R2 U'
L2 U D2 L2 U2 B U'
L2 U F U2 B R2 U'
L2 U F' U2 B R2 U'
R2 U F' U' L2 U2 B'
R2 U F' U' F L2 U2
L2 U F2 U2 B R2 U'
L2 U' L B L' R2 U'
L2 U' L B R2 L' U'
L2 U' L2 B L2 R2 U'
L2 U' L2 B R2 L2 U'
L2 U' R2 U2 D F' U
L2 U' R2 U2 D' F' U
L2 U' R2 U2 D2 F' U
L2 U' R2 U2 F' U D
L2 U' R2 U2 F' U D'
L2 U' R2 U2 F' U D2
L2 U' R2 U2 F' D U
L2 U' R2 U2 F' D' U
L2 U' R2 U2 F' D2 U
L2 U' R2 D U2 F' U
L2 U' R2 D' U2 F' U
L2 U' R2 D2 U2 F' U
L2 U' R2 B U2 F' U
L2 U' R2 B' U2 F' U
L2 U' R2 B2 U2 F' U
L2 U' D B U' D B
L2 U' D B U' D' B
L2 U' D B U' D2 B
L2 U' D B U' B D
L2 U' D B U' B D'
L2 U' D B U' B D2
L2 U' D B D U' B
L2 U' D B D' U' B
L2 U' D B D2 U' B
L U' D B U' B R'
L2 U' D' B U F2 U2
L2 U' D' B U' D2 B2
L2 U' D' B D R2 U'
L2 U' D' B D2 U' B2
L2 U' D2 B U' D' B2
L2 U' D2 B U2 L2 U
L2 U' D2 B D' U' B2
L2 U' D2 B D2 R2 U'
L2 U' F' B R2 F U'
L' U' F2 B R2 U' R'
L2 U' F2 B R2 F2 U'
L' U' B R2 U L' U2
L' U' B R2 F2 U' R
L2 U' B R D R U'
L2 U' B R D' R U'
L2 U' B R D2 R U'
L2 U' B R' D R' U'
L2 U' B R' D' R' U'
L2 U' B R' D2 R' U'
L2 U' B U D' F2 U2
L2 U' B U' D B2 D
L2 U' B U' D B2 D'
L2 U' B U' D B2 D2
L2 U' B U' B D B2
L2 U' B U' B' D B2
L2 U' B U' B2 D B2
L2 U' B U2 D2 L2 U
L' U' B F2 R2 U' R'
L2 U' B D R U' B2
L2 U' B D R' U' B2
L2 U' B D R2 U' B2
L2 U' B D U' B2 D
L2 U' B D U' B2 D'
L2 U' B D U' B2 D2
L2 U' B D' U F2 U2
L2 U' B D2 U2 L2 U
L2 U' B F' R2 F U'
L2 U' B F2 R2 F2 U'
L2 U' B' R B2 R U'
L2 U' B' R2 U' D L2
L2 U' B' R2 D U' L2
L2 U' B' R2 B2 U' D
L2 U' B' R2 B2 U' D'
L2 U' B' R2 B2 U' D2
L2 U' B' R2 B2 D U'
L2 U' B' R2 B2 D' U'
L2 U' B' R2 B2 D2 U'
L2 U' B' U' D L2 B2
L2 U' B' U' D B2 L2
L2 U' B' D U' L2 B2
L2 U' B' D U' B2 L2
L2 U' B2 R B' R U'
L2 U' B2 R2 D B' U'
L2 U' B2 R2 D' B' U'
L2 U' B2 R2 D2 B' U'
L2 U' B2 R2 B' U' D
L2 U' B2 R2 B' U' D'
L2 U' B2 R2 B' U' D2
L2 U' B2 R2 B' D U'
L2 U' B2 R2 B' D' U'
L2 U' B2 R2 B' D2 U'
L2 U' B2 D B' U' B'
L U' B2 R2 B' U' R
L2 U2 L U B R2 U'
L2 U2 L B' D L2 B2
L2 U2 L B' D B2 L2
L2 U2 L' U B R2 U'
L2 U2 L' B' D L2 B2
L2 U2 L' B' D B2 L2
L2 U2 L2 U B R2 U'
L2 U2 L2 B' D L2 B2
L2 U2 L2 B' D B2 L2
L2 U2 D B' D B' L2
L2 U2 D B2 U B' U'
R2 U2 D' F' B2 U F
R2 U2 D' B2 F' U F
B' R2 L B2 U' F' R'
R2 U2 D2 F' U R2 F
R2 U2 D2 F' U F R2
B R2 L' U L' U2 F
U' R2 U L2 U F' U
R2 U2 F' U D2 R2 F
R2 U2 F' U D2 F R2
R2 U2 F' U F D2 R2
D2 R2 U F' L2 B' U
R2 U2 F' U' L2 B' U2
B R2 U L2 U2 D F
B R2 U L2 U2 D' F
B R2 U L2 U2 D2 F
B R2 U L2 U2 F D
B R2 U L2 U2 F D'
B R2 U L2 U2 F D2
B R2 U L2 D U2 F
B R2 U L2 D' U2 F
B R2 U L2 D2 U2 F
B R2 U L2 B U2 F
B R2 U L2 B' U2 F
R2 U2 F' D' B2 U F
B R2 U L2 B2 U2 F
R2 U2 F' D2 U R2 F
R2 U2 F' D2 U F R2
B R2 U D2 B' U2 R2
B R2 U B L2 B2 U2
B R2 U B' L2 U2 D
B R2 U B' L2 U2 D'
B R2 U B' L2 U2 D2
B R2 U B' L2 D U2
B R2 U B' L2 D' U2
B R2 U B' L2 D2 U2
B R2 U B' U2 D2 R2
B R2 U B' D2 U2 R2
B R2 U B2 L2 B U2
U' R2 U2 D' F' B2 U
U' R2 U2 D' B2 F' U
U' R2 U2 D2 F' U R2
L2 U2 B D B2 D L2
U' R2 U2 F' U D2 R2
U' R2 U2 F' U' L2 U2
U' R2 U2 F' D' B2 U
U' R2 U2 F' D2 U R2
L2 U2 B' L D L2 B2
L2 U2 B' L D B2 L2
L2 U2 B' L' D L2 B2
L2 U2 B' L' D B2 L2
L2 U2 B' L2 D L2 B2
L2 U2 B' L2 D B2 L2
L' U2 B' D L2 B2 R'
L2 U2 B' U R2 B2 U'
L2 U2 B' U B2 R2 U'
L2 U2 B' D L' B2 L'
L2 U2 B' D L2 B2 D
L2 U2 B' D L2 B2 D'
L2 U2 B' D L2 B2 D2
L2 U2 B' D B L2 B
L2 U2 B' D B2 L2 D
L2 U2 B' D B2 L2 D'
L2 U2 B' D B2 L2 D2
U' R2 D F2 U2 F U
B' R2 D F2 U' F L2
B R2 D L2 F2 U' F'
B2 R2 D F2 B' L2 U'
B2 R2 D B' L2 F2 U'
B2 R2 D B' F2 L2 U'
L2 U2 B2 U R2 B' U'
L2 U2 B2 U B' R2 U'
B R2 D F2 L2 U' F
B R2 D F2 U B' U2
U' R2 D' U2 F' B2 U
U' R2 D' U2 B2 F' U
U' R2 D2 U2 F' U R2
L' D L' U' B U' B
B R2 D2 L2 U' R2 F
B R2 D2 L2 U' F R2
L D L U' B U' B
B2 R2 D2 B' U' R2 F2
B2 R2 D2 B' U' F2 R2
B R2 D2 U B' U2 R2
U' R2 F D2 B2 U' R2
B R2 F U L2 U2 F
B R2 F U B' L2 U2
U' R2 F' U L2 U2 L2
B R2 F' U L2 U2 F
B R2 F' U B' L2 U2
D' R2 F2 U F B2 U
D' R2 F2 U B2 F U
B R2 F2 U L2 U2 F
B R2 F2 U B' L2 U2
L2 D R2 U F' U B2
B2 R2 B' U L2 U2 F
B2 R2 B' U B' L2 U2
B' R2 B2 U L2 U2 F'
B' R2 B2 U' D2 F' R2
B' R2 B2 U' F' D2 R2
B' R2 B2 D F2 U' F
B' R2 B2 D2 U' F' R2
L2 D U' B U' D B
L2 D U' B U' D' B
L2 D U' B U' D2 B
L2 D U' B U' B D
L2 D U' B U' B D'
L2 D U' B U' B D2
L2 D U' B D U' B
L2 D U' B D' U' B
L2 D U' B D2 U' B
L D U' B U' B R'
L2 D U2 B' D B' L2
L2 D U2 B2 U B' U'
L2 D F U' B U' B
D2 U L2 U2 B U' R2
B U L2 U' R2 U' F
L2 D F' U' B U' B
B U L2 U2 D F B2
B U L2 U2 D B2 F
B U L2 U2 F D B2
B U L2 D U2 F B2
B U L2 D U2 B2 F
B U L2 D' F2 U2 F'
L2 D F2 U' B U' B
R2 D F2 U2 F U F'
U' D F2 D' B R2 U'
L' D' L' F2 U' B U'
U' D F2 B U' D B
U' D F2 B U' D' B
