R' U F' U' L' B'
L' R D B' L D' R2
L' R D B' D' L R2
L' R D B' D' R2 L
L' R' U F' U' B' L'
R' L' U F' U' B' L'
R L' D B' L D' R2
R L' D B' D' L R2
R L' D B' D' R2 L
B L' R' F' U' F B'
B L' R' F' U' B' F
R' L' B' U F' U' L'
L' R' B' U F' U' L'
B L' F U' F' B' R'
B L' F U' B' F' R'
B L' F' U' F B' R'
B L' F' U' B' R' F
B L' F' U' B' F R'
B L' F2 U' F2 B' R'
B L' F2 U' B' R' F2
B L' F2 U' B' F2 R'
R' U D F' U' L' B'
R' U D' F' U' L' B'
R' U D2 F' U' L' B'
L' U F B U' R B2
L' U F B U' B2 R
R' U F' R U' L' B'
R' U F' R' U' L' B'
R' U F' R2 U' L' B'
R' U F' U' L' D B'
R' U F' U' L' D' B'
R' U F' U' L' D2 B'
R' U F' U' L' B' D
R' U F' U' L' B' D'
R' U F' U' L' B' D2
R' U F' U' D L' B'
R' U F' U' D' L' B'
R' U F' U' D2 L' B'
R' U F' U' B L' B'
R' U F' U' B' L' B'
R' U F' U' B2 L' B'
R' U F' D U' L' B'
R' U F' D' U' L' B'
R' U F' D2 U' L' B'
R' U F' B' R' U' L'
L' U B F U' R B2
L' U B F U' B2 R
R' U B' F' R' U' L'
R2 U' D' F' L' U R
B R' L' F' U' F B'
B R' L' F' U' B' F
D2 R' U F' U' L' B'
D' R' U F' U' L' B'
B2 R' U F' B' R' U'
B2 R' U B' F' R' U'
D R' U F' U' L' B'
R D L' B' L D' R2
R D L' B' D' L R2
R D L' B' D' R2 L
R' D U F' U' L' B'
B2 U F B' R' U' R2
B2 U B' R' F U' R
R' D' U F' U' L' B'
B2 U B' F R' U' R2
R2 D' U' F' L' U R
L2 D' B R' F' U' F
R' D2 U F' U' L' B'
U F B U2 L U R
U F B' R' B2 U' R2
L' B R' F' U' F B2
L' B R' F' U' B2 F
U' B U L F U2 F'
R' B U F' U' L' B'
U' B U' L U2 L' B'
F2 B L' U' F2 B' R'
F2 B L' U' B' R' F2
F2 B L' U' B' F2 R'
B F L' U' F' B' R'
U B U2 L B' U R'
B F L' U' B' F' R'
F B L' U' F' B' R'
F B L' U' B' F' R'
U B F U2 L U R
L' B' R' U F' B2 U'
L' B' R' U B2 F' U'
R' B' U F' U' L' B'
L' B' U F B2 U' R
U B' R' F B2 U' R
L' B' U B2 F U' R
U B' R' B2 F U' R
U B' F R' B2 U' R2
B F2 L' U' F2 B' R'
B F2 L' U' B' R' F2
B F2 L' U' B' F2 R'
R' B2 U F' U' L' B'
