F2 U R B U L2
U' L F L2 U' B' L'
B L F2 U' L2 U' L'
B L F2 U2 D L F2
B L F2 U2 D F2 L
B L F2 D U2 L F2
B L F2 D U2 F2 L
B L F2 D' B2 R' U2
F2 L' U R B U L'
B L' U L2 F2 U2 L
B' L' U F2 R U2 R2
B L' U F2 L2 R U2
B L' U F2 R L2 U2
B' L' U' L' R' D2 B2
B' L' U' L' D2 R' B2
B' L' U' R' L' D2 B2
B' L' U' R' D2 L' B2
B' L' U' R' D2 B2 L'
B' L' U' D2 L' R' B2
B' L' U' D2 R' L' B2
B' L' U' D2 R' B2 L'
B L' U' D2 L' R2 B2
B L' U' D2 L' B2 R2
B L' U' D2 R2 L' B2
B L' U' D2 R2 B2 L'
B L' U' D2 B2 L' R2
B L' U' D2 B2 R2 L'
B' L' D R2 U' L' R
B' L' D R2 U' R L'
B' L' D2 U' L' R' B2
B' L' D2 U' R' L' B2
B' L' D2 U' R' B2 L'
B L' D2 U' L' R2 B2
B L' D2 U' L' B2 R2
B L' D2 U' R2 L' B2
B L' D2 U' R2 B2 L'
B L' D2 U' B2 L' R2
B L' D2 U' B2 R2 L'
F L2 F B' R' D' F2
F L2 B' F R' D' F2
L' U F2 R U B U
L' D R2 B' U' L' R'
L' D R2 B' U' R' L'
F2 U R D F2 B U
F2 U R D B F2 U
F2 U R F B U L2
F2 U R F' B U L2
F2 U R F2 B U L2
F2 U R B U L2 D
F2 U R B U L2 D'
F2 U R B U L2 D2
F2 U R B D F2 U
F2 U R B F U L2
F2 U R B F' U L2
F2 U R B F2 U L2
L' D B' R2 U' L' R
L' D B' R2 U' R L'
F2 U D R F2 B U
F2 U D R B F2 U
F2 U B R B U L2
F2 U B' R B U L2
F2 U B2 R B U L2
F2 U2 L2 U' R B U
F2 U2 L2 F D R F'
L' D2 B' U' R' B' L'
F2 U2 F L2 D R F'
U F U' L2 B' R' F'
F2 D U R F2 B U
F2 D U R B F2 U
R' F2 U R B U L2
R2 F2 U R B U L2
R F2 U R B U L2
B' D2 L' U' R' B2 L
B' D2 R' B2 L D F2
L' B U L F2 U2 L2
L' B U F2 L R U2
L' B U F2 R L U2
L' B U' L' D2 R2 B2
L' B U' L' D2 B2 R2
L' B U' D2 B2 L' R'
L' B U' D2 B2 R' L'
F2 B L U R U L
L' B D2 U' B2 L' R'
L' B D2 U' B2 R' L'
B' F U' L2 R' F' B'
B' F U' L2 R' B' F'
B' F U' R' L2 F' B'
B' F U' R' L2 B' F'
L' B' U F2 R U2 R2
L' B' U' L' R' D2 B2
L' B' U' L' D2 R' B2
L' B' U' R' L' D2 B2
L' B' U' R' D2 L' B2
L' B' U' R' D2 B2 L'
L' B' U' D2 L' R' B2
L' B' U' D2 R' L' B2
L' B' U' D2 R' B2 L'
L' B' D R2 U' L' R
L' B' D R2 U' R L'
L' B' D2 U' L' R' B2
L' B' D2 U' R' L' B2
L' B' D2 U' R' B2 L'
F2 B' U R U L2 R2
F2 B' U R U R2 L2
F2 B' U2 L2 R' D' F2
F2 B' U2 R' L2 D' F2
F B' U' L2 R' F' B'
F B' U' L2 R' B' F'
F B' U' R' L2 F' B'
F B' U' R' L2 B' F'
B F2 L U R U L
B' F2 U R U L2 R2
B' F2 U R U R2 L2
B' F2 U2 L2 R' D' F2
B' F2 U2 R' L2 D' F2
