B2 L F U R F' U2
F' L' U' R' B' U B2
R' L' F' B' U L' B2
R' L' F' B' U B2 L'
L' R' F' B' U L' B2
L' R' F' B' U B2 L'
R' L' B' F' U L' B2
R' L' B' F' U B2 L'
L' R' B' F' U L' B2
L' R' B' F' U B2 L'
L' U' R' F' B' U B2
L' U' R' B' F' U B2
U2 R B R2 U L B
F' R' U L' B' R' B2
F' R' U B L' D2 R2
F' R' U B' L' R' B2
F' R' U B' R' L' B2
F' R' U B' R' B2 L'
F R' U B' R' B2 L
F R' U' R2 F' L' U2
U2 R' U2 F' U' L' B
U2 R' U2 F' U' B L'
U' R' F' U' L' U2 B
L' U2 R' B' U B2 L
F' R' B2 U B' L' R'
F' R' B2 U B' R' L'
R' U2 B2 U' B' L R'
R' U2 B2 U' B' R' L
U' F R' F' U B R2
L' F' R' B' U L' B2
L' F' R' B' U B2 L'
R' F' U L' B' R' B2
R' F' U B L' D2 R2
R' F' U B' L' R' B2
R' F' U B' R' L' B2
R' F' U B' R' B2 L'
R' F' B2 U B' L' R'
R' F' B2 U B' R' L'
U' F2 R' F' U B R
R' B2 F' U B' L' R'
R' B2 F' U B' R' L'
