R' U R2 U B' U
F2 R' U2 B' U L'
R' U2 D' F2 B' U
R' U2 D' B' F2 U
R' U2 D2 B' U L2
R' U2 B' U D2 L2
R' U2 B' U' R2 U2
R' U2 B' D' F2 U
R' U2 B' D2 U L2
R' D B2 U2 B U
R' D' U2 F2 B' U
R' D' U2 B' F2 U
R' D2 U2 B' U L2
B D2 F2 U' L' B'
R' B D2 F2 U' L2
R' B D2 F2 U' L2
R' B' U R2 U2 R2
L2 R U' R2 F L2 U'
L2 R U' F L2 R2 U'
L2 R U' F R2 L2 U'
B2 L F2 B R U L'
B2 L B F2 R U L'
L2 R' D F B2 U' F
L2 R' D B2 F U' F
L2 R' F L2 U R2 U2
L2 R' F L2 U' D2 L2
L2 R' F L2 D B2 U'
L2 R' F L2 D2 U' L2
L2 R' F D B2 U' F2
R L2 U' R2 F L2 U'
R L2 U' F L2 R2 U'
R L2 U' F R2 L2 U'
R' L2 D F B2 U' F
R' L2 D B2 F U' F
U L2 R U' R2 F U'
U L2 R U' F R2 U'
R' L2 F L2 U R2 U2
R' L2 F L2 U' D2 L2
R' L2 F L2 D B2 U'
R' L2 F L2 D2 U' L2
F2 L2 R' F L2 U' L'
R' L2 F D B2 U' F2
F L2 R' F L2 U' L
F2 L2 F L2 R' U' L'
R' U L2 R2 U' F U'
F2 L2 F R' L2 U' L'
F L2 F L2 R' U' L
F L2 F R' L2 U' L
R' U R2 L2 U' F U'
R' U R2 U D B' U
R' U R2 U D' B' U
R' U R2 U D2 B' U
R' U R2 U B' U D
R' U R2 U B' U D'
R' U R2 U B' U D2
R' U R2 U B' D U
R' U R2 U B' D' U
R' U R2 U B' D2 U
R' U R2 D U B' U
R' U R2 D' U B' U
R' U R2 D2 U B' U
U R L2 U' R2 F U'
U R L2 U' F R2 U'
U R U D B' U B'
U R U D2 B' L2 U
U R U B' U D B2
U R U B' U2 R2 U'
U R U B' D U B2
U R U B' D2 L2 U
U R U' R2 U2 B' U
R U B' U2 R2 U' F'
U R D U B' U B'
U R D' F2 U B' U
U R D2 U B' L2 U
R U' L2 R2 F U' F'
R U' R2 L2 F U' F'
F' R B2 R2 F' U' L'
R' U' D2 L2 U F U'
F2 R' L2 F L2 U' L'
D2 R' U R2 U B' U
D' R' U R2 U B' U
F R' L2 F L2 U' L
D R' U R2 U B' U
D2 R' U2 D' F2 B' U
D' R' U2 D' F2 B' U
D2 R' U2 D' B' F2 U
D' R' U2 D' B' F2 U
D' R' U2 D2 B' U L2
D2 R' U2 D2 B' U L2
F2 R' U2 D B' U L'
D2 R' U2 B' U D2 L2
D2 R' U2 B' U' R2 U2
D' R' U2 B' U D2 L2
D' R' U2 B' U' R2 U2
D2 R' U2 B' D' F2 U
D2 R' U2 B' D2 U L2
F2 R' U2 D' B' U L'
D' R' U2 B' D' F2 U
D' R' U2 B' D2 U L2
F2 R' U2 D2 B' U L'
F' R' U2 B' U' R' U2
D R' U2 D' F2 B' U
D R' U2 D' B' F2 U
D R' U2 D2 B' U L2
F2 R' U2 B' U L' D
F2 R' U2 B' U L' D'
F2 R' U2 B' U L' D2
F2 R' U2 B' U D L'
F2 R' U2 B' U D' L'
F2 R' U2 B' U D2 L'
F2 R' U2 B' D U L'
F2 R' U2 B' D' U L'
F2 R' U2 B' D2 U L'
F R' U2 D2 B' U L
D R' U2 B' U D2 L2
D R' U2 B' U' R2 U2
D R' U2 B' D' F2 U
D R' U2 B' D2 U L2
F R' U2 F B' U L'
F R' U2 B' F U L'
D2 R' D B2 U2 B U
D' R' D B2 U2 B U
F2 R' D U2 B' U L'
B2 R' D B2 R' F' U'
D2 R' D' U2 F2 B' U
D2 R' D' U2 B' F2 U
D' R' D' U2 F2 B' U
D' R' D' U2 B' F2 U
D R' D B2 U2 B U
F2 R' D' U2 B' U L'
D R' D' U2 F2 B' U
D R' D' U2 B' F2 U
D2 R' D2 U2 B' U L2
D' R' D2 U2 B' U L2
F2 R' D2 U2 B' U L'
D R' D2 U2 B' U L2
F R' D2 U2 B' U L
F R' F U2 B' U L'
F' R' F' U2 B' U L'
D2 R' B D2 F2 U' L2
D' R' B D2 F2 U' L2
F2 R' B U' L' D' R2
F2 R' B U' D' L' R2
F2 R' B U' D' R2 L'
F2 R' B U2 B2 U L'
F2 R' B D' U' L' R2
F2 R' B D' U' R2 L'
D2 R' B' U R2 U2 R2
D' R' B' U R2 U2 R2
D R' B D2 F2 U' L2
R' U2 D B' U2 B' U'
D R' B' U R2 U2 R2
F' R' B2 U2 B U L
R' U2 D' F2 D B' U
R' U2 D' F2 D' B' U
R' U2 D' F2 D2 B' U
R' U2 D' F2 B' U D
R' U2 D' F2 B' U D'
R' U2 D' F2 B' U D2
R' U2 D' F2 B' D U
R' U2 D' F2 B' D' U
R' U2 D' F2 B' D2 U
R' U2 D' B' U D' L2
R' U2 D' B' D' U L2
R' U2 D' B' F2 U D
R' U2 D' B' F2 U D'
R' U2 D' B' F2 U D2
R' U2 D' B' F2 D U
R' U2 D' B' F2 D' U
R' U2 D' B' F2 D2 U
F2 R' B2 U2 B U L'
R' U2 D2 F B' U L2
R' U2 D2 F' B' U L2
R' U2 D2 F2 B' U L2
R' U2 D2 B' U L2 D
R' U2 D2 B' U L2 D'
R' U2 D2 B' U L2 D2
R' U2 D2 B' D F2 U
R' U2 D2 B' F U L2
R' U2 D2 B' F' U L2
R' U2 D2 B' F2 U L2
R' U2 F D' F2 B' U
R' U2 F D' B' F2 U
R' U2 F D2 B' U L2
R' U2 F B' U D2 L2
R' U2 F B' U' R2 U2
R' U2 F B' D' F2 U
R' U2 F B' D2 U L2
R U2 D2 B' L2 U L2
R' U2 F' D' F2 B' U
R' U2 F' D' B' F2 U
R' U2 F' D2 B' U L2
R' U2 F' B' U D2 L2
R' U2 F' B' U' R2 U2
R' U2 F' B' D' F2 U
R' U2 F' B' D2 U L2
