U' L' U' R' U2 R
R' U L' U2 L U'
U2 R' U L' U R
F2 R' U' R2 U' F2
F2 R' U2 F2 D B2
L D' L2 B2 L R'
L D' L2 B2 R' L
L D' B2 L D2 R2
F' D R' U2 F B
F' D R' U2 B F
R' F2 U' R U' F2
U2 L R' U L2 U R
U2 L R' U2 R D' B2
U2 L R' U2 D' R B2
U2 L R' U2 D' B2 R
U2 L R' D F2 L' U2
U2 L R' D' U2 R B2
U2 L R' D' U2 B2 R
R' L D L' F2 U2 F2
R' L D F2 U2 R F2
B2 L U' L2 U' L U2
B2 L U' L2 B2 U R'
B2 L U2 L' U L' U
B2 L U2 D L' F2 U2
B2 L U2 D F2 U2 R
B2 L U2 D' L' U2 B2
L R D2 L2 D B2 R'
R L D2 L2 D B2 R'
U2 L D R' F2 L' U2
B2 L D U2 L' F2 U2
B2 L D U2 F2 U2 R
U2 L D F2 R' U2 R
D' L D' L2 B2 L R'
D' L D' L2 B2 R' L
D2 L D' L2 B2 L R'
D2 L D' L2 B2 R' L
B2 L D' L2 B2 L2 R'
B2 L D' L2 B2 R' L2
D L D' L2 B2 L R'
D L D' L2 B2 R' L
U2 L D' R' U2 R B2
U2 L D' R' U2 B2 R
B2 L D' U2 L' U2 B2
B2 L D' F2 R F2 B2
B2 L D' F2 R B2 F2
B2 L D' F2 B2 R F2
D' L D' B2 L D2 R2
D2 L D' B2 L D2 R2
U2 L D' B2 L D2 F2
D L D' B2 L D2 R2
U2 L D' B2 D2 L F2
U2 L D' B2 D2 F2 L
B2 L D' B2 U2 L' U2
B2 L D' B2 F2 R F2
B2 L F2 R F2 D' B2
L R' D L' F2 U2 F2
U L' R' U2 L U' L'
L R' D F2 U2 R F2
B2 L' U L2 D F2 R
U' L' U' L R' U2 R
U' L' U' L' R' U2 R
U' L' U' L2 R' U2 R
U' L' U' R' L U2 R
U' L' U' R' L' U2 R
U' L' U' R' L2 U2 R
U' L' U' R' U2 R D
U' L' U' R' U2 R D'
U' L' U' R' U2 R D2
U' L' U' R' U2 D R
U' L' U' R' U2 D' R
U' L' U' R' U2 D2 R
U' L' U' R' D U2 R
U' L' U' R' D' U2 R
U' L' U' R' D2 U2 R
U' L' U' D R' U2 R
U' L' U' D' R' U2 R
U' L' U' D2 R' U2 R
U L' U' R' U' L U'
U L' U2 L U R' U2
U L' U2 L B2 U' L
U' L' D U' R' U2 R
U' L' D' U' R' U2 R
U' L' D2 U' R' U2 R
B2 L' F2 U L2 F2 R
U' L' F2 D2 B2 U L
B2 L' B2 L2 R' D' B2
B2 L' B2 L2 D' R' B2
B2 L' B2 R' L2 D' B2
U2 L2 R' U L U R
B2 L2 D' L' D' R2 B2
B2 L2 D' L' D' B2 R2
B2 L2 D2 L' R2 D' B2
R' U L' R U2 L U'
R' U L' R' U2 L U'
R' U L' R2 U2 L U'
B2 L2 D2 R2 L' D' B2
R' U L' U2 L U' D
R' U L' U2 L U' D'
R' U L' U2 L U' D2
R' U L' U2 L D U'
R' U L' U2 L D' U'
R' U L' U2 L D2 U'
R' U L' U2 D L U'
R' U L' U2 D' L U'
R' U L' U2 D2 L U'
R' U L' D U2 L U'
R' U L' D' U2 L U'
R' U L' D2 U2 L U'
R' U L' B2 R' B2 U
R' U L2 D L U F2
R' U L2 D2 L R2 U
R' U L2 D2 R2 L U
R' U R L' U2 L U'
R' U R' L' U2 L U'
R' U R2 L' U2 L U'
R' U D L' U2 L U'
R' U D' L' U2 L U'
R' U D2 L' U2 L U'
R' U B2 L' B2 R' U
L' U B2 U' L R' B2
L' U B2 U' R' L B2
L' U' L R' U R U
L2 U' L U' L R' U2
L2 U' L U' R' L U2
L2 U' L B2 U L R'
L2 U' L B2 U R' L
R2 U' L' U' R U2 R'
R U' L' U' R2 U2 R2
L U' L2 U' L R' U2
L U' L2 U' R' L U2
R' U' R U2 L' R' U
R' U' R U2 R' L' U
L U' L2 B2 U L R'
L U' L2 B2 U R' L
L' U' R' L U R U
R' U' R' U2 L' R U
R' U' R' U2 R L' U
R' U' R2 U2 L' R2 U
R' U' R2 U2 R2 L' U
L2 U' D' L B2 U L
U2 R' L U L2 U R
U2 R' L U2 R D' B2
U2 R' L U2 D' R B2
U2 R' L U2 D' B2 R
U2 R' L D F2 L' U2
U2 R' L D' U2 R B2
U2 R' L D' U2 B2 R
U R' L' U2 L U' L'
U2 R' L2 U L U R
D2 R' U L' U2 L U'
D' R' U L' U2 L U'
U2 R' U L' U R D
U2 R' U L' U R D'
U2 R' U L' U R D2
U2 R' U L' U D R
U2 R' U L' U D' R
U2 R' U L' U D2 R
U2 R' U L' D U R
U2 R' U L' D' U R
U2 R' U L' D2 U R
U2 R' U L' B U R
U2 R' U L' B' U R
U2 R' U L' B2 U R
D R' U L' U2 L U'
F2 R' U D R2 U B2
