B L2 U2 B' U' F2
B L2 U2 B' U' F2
F2 L2 F' B U F
F' L2 F2 B U F
F' L2 B F2 U F
F2 L2 B F' U F
F L2 B U D2 F2
F L2 B U' B2 U2
F L2 B D' R2 U
F L2 B D2 U F2
F2 U' L2 F' B U
F2 U' L2 B F' U
F2 U' F' L2 B U
F2 U' F' B L2 U
F2 U' B L2 F' U
F2 U' B F' L2 U
F D' B U F B
F D' B U B F
L2 B U F2 D L2
F' B L2 F2 U F
L2 B U2 B2 U' F2
L2 B D R2 U L2
F2 B L2 F' U F
B F L2 U' B' U2
F B L2 U' B' U2
B F U D' F B2
B F U D' B2 F
B F U F D' B2
F B U D' F B2
F B U D' B2 F
F B U F D' B2
B F D' U F B2
B F D' U B2 F
F B D' U F B2
F B D' U B2 F
B F' L2 F2 U F
B F2 L2 F' U F
F2 L U' L F' B U
F2 L U' L B F' U
F2 L U' F' L B U
F L D' L B R' U
F2 L' U' L' F' B U
F2 L' U' L' B F' U
F2 L' U' B L' F' U
F' L' B L' F2 U F
F2 L' B L' F' U F
F L' B L' U' B' U2
L2 R2 U2 F' B' U' F'
R2 L2 U2 F' B' U' F'
L2 R2 U2 B' F' U' F'
R2 L2 U2 B' F' U' F'
B L2 R U2 B' U' F2
B L2 R' U2 B' U' F2
F L2 R' U' B' U2 R'
D' L2 R' B' U' B' R'
D' L2 R2 F' B' U' B'
B L2 R2 U2 B' U' F2
D' L2 R2 B' F' U' B'
B L2 U F2 U B' U'
F L2 U' B' U B2 U
F L2 U' B' U2 D' R2
F L2 U' B' D L2 U2
F L2 U' B' D' U2 R2
B2 L2 U2 F B' U' F
B L2 U2 D' B' L2 U'
B2 L2 U2 B' F U' F
B L2 U2 B' L U' F2
B L2 U2 B' L' U' F2
B L2 U2 B' L2 U' F2
B L2 U2 B' U' F2 D
B L2 U2 B' U' F2 D'
B L2 U2 B' U' F2 D2
B L2 U2 B' D' L2 U'
B L2 D R2 U2 B' U'
F2 L2 D F' B U F
F2 L2 D B F' U F
F L2 D B U D2 F2
F L2 D B U' B2 U2
F L2 D B D' R2 U
F L2 D B D2 U F2
D' L2 D' R2 F' B' U'
D' L2 D' R2 B' F' U'
F' L2 D' B U L2 F'
F' L2 D' B U F' L2
F2 L2 D' F' B U F
B L2 D' U2 B' L2 U'
F2 L2 D' B F' U F
F L2 D' B U D2 F2
F L2 D' B U' B2 U2
F L2 D' B D' R2 U
F L2 D' B D2 U F2
F2 L2 D2 F' B U F
F2 L2 D2 B F' U F
L' U L' B U L F2
L' U L' B U F2 L
F L2 D2 B U D2 F2
F L2 D2 B U' B2 U2
F L2 D2 B D' R2 U
F L2 D2 B D2 U F2
B L2 F U2 B' U' F
F2 L2 F' R' U F R
F2 L2 F' D B U F
F2 L2 F' D' B U F
B L2 F' U2 B' U' F'
F2 L2 F' D2 B U F
F2 L2 F' B R U F
F2 L2 F' B R' U F
F2 L2 F' B R2 U F
F2 L2 F' B U D F
F2 L2 F' B U D' F
F2 L2 F' B U D2 F
F2 L2 F' B U F D
F2 L2 F' B U F D'
F2 L2 F' B U F D2
F2 L2 F' B D U F
F2 L2 F' B D' U F
F2 L2 F' B D2 U F
F' L2 F2 R' U F R
F' L2 F2 D B U F
F' L2 F2 D' B U F
F' L2 F2 D2 B U F
F' L2 F2 B R U F
F' L2 F2 B R' U F
F' L2 F2 B R2 U F
F' L2 F2 B U D F
F' L2 F2 B U D' F
F' L2 F2 B U D2 F
F' L2 F2 B U F D
F' L2 F2 B U F D'
F' L2 F2 B U F D2
F' L2 F2 B D U F
F' L2 F2 B D' U F
F' L2 F2 B D2 U F
F' L2 B U D' L2 F'
F' L2 B U D' F' L2
U' L2 B U F2 D L2
U' L2 B U2 B2 U' F2
U' L2 B D R2 U L2
U2 L2 B U F2 D L2
F' L2 B D' U L2 F'
F' L2 B D' U F' L2
F L2 B R U D2 F2
F L2 B R U' B2 U2
F L2 B R D' R2 U
F L2 B R D2 U F2
F L2 B R' U D2 F2
F L2 B R' U' B2 U2
F L2 B R' D' R2 U
F L2 B R' D2 U F2
U2 L2 B U2 B2 U' F2
U2 L2 B D R2 U L2
F L2 B R2 U D2 F2
F2 L2 B D F' U F
F L2 B R2 U' B2 U2
F L2 B R2 D' R2 U
F L2 B R2 D2 U F2
F' L2 B F2 R U F
F' L2 B F2 R' U F
F' L2 B F2 R2 U F
F2 L2 B D' F' U F
F' L2 B F2 U D F
F' L2 B F2 U D' F
F' L2 B F2 U D2 F
F' L2 B F2 U F D
F' L2 B F2 U F D'
F' L2 B F2 U F D2
F L2 B U D2 F2 D
F L2 B U D2 F2 D'
F L2 B U D2 F2 D2
F' L2 B F2 D U F
F L2 B U F D2 F2
F' L2 B F2 D' U F
F L2 B U F' D2 F2
F' L2 B F2 D2 U F
F L2 B U F2 D2 F2
F2 L2 B D2 F' U F
F L2 B U' B2 U2 D
F L2 B U' B2 U2 D'
F L2 B U' B2 U2 D2
F L2 B U' B2 D U2
F L2 B U' B2 D' U2
F L2 B U' B2 D2 U2
F L2 B U2 D L2 U'
F2 L2 B F' R U F
F2 L2 B F' R' U F
F2 L2 B F' R2 U F
F2 L2 B F' U D F
F2 L2 B F' U D' F
F2 L2 B F' U D2 F
F2 L2 B F' U F D
F2 L2 B F' U F D'
F2 L2 B F' U F D2
F2 L2 B F' D U F
F2 L2 B F' D' U F
F2 L2 B F' D2 U F
F L2 B D U2 L2 U'
U L2 B U F2 D L2
F L2 B D' R2 U D
F L2 B D' R2 U D'
F L2 B D' R2 U D2
F L2 B D' R2 D U
F L2 B D' R2 D' U
F L2 B D' R2 D2 U
F L2 B D2 R U F2
F L2 B D2 R' U F2
F L2 B D2 R2 U F2
F L2 B D2 U F2 D
F L2 B D2 U F2 D'
F L2 B D2 U F2 D2
U L2 B U2 B2 U' F2
U L2 B D R2 U L2
D' L2 B' U' D' R2 B'
D' L2 B' U' D' B' R2
D' L2 B' U2 B2 U B
D' L2 B' D' U' R2 B'
D' L2 B' D' U' B' R2
D' L2 B' D2 F2 U' B'
B' L2 B2 R2 F' U F'
B' L2 B2 U2 B U' F2
B' L2 B2 D R2 F' U
F L2 B2 R2 B' U F'
B R L2 U2 B' U' F2
L' U B L' U L2 F2
L' U B L' U F2 L2
B R F L2 U' B' U2
B R F U D' F B2
B R F U D' B2 F
B R F U F D' B2
B R F D' U F B2
B R F D' U B2 F
B R F' L2 F2 U F
B R F2 L2 F' U F
D' R' L2 B' U' B' R'
B R' L2 U2 B' U' F2
F R' L2 U' B' U2 R'
F R' U D' F R B2
F R' U D' F B2 R
F R' U D' B2 F R
F R' U F R D' B2
F R' U F D' R B2
F R' U F D' B2 R
F R' D' U F R B2
F R' D' U F B2 R
F R' D' U B2 F R
B R' F L2 U' B' U2
B R' F U D' F B2
B R' F U D' B2 F
B R' F U F D' B2
B R' F D' U F B2
B R' F D' U B2 F
B R' F' L2 F2 U F
B R' F2 L2 F' U F
D' R2 L2 F' B' U' B'
D' R2 L2 B' F' U' B'
B R2 L2 U2 B' U' F2
D2 R2 D L2 F' B' U'
D2 R2 D L2 B' F' U'
L2 U2 B' U' F2 D' R2
L2 U2 B' U2 B2 U F2
L2 U2 B' D' L2 U' R2
B R2 F L2 U' B' U2
B R2 F U D' F B2
B R2 F U D' B2 F
B R2 F U F D' B2
B R2 F D' U F B2
B R2 F D' U B2 F
D2 R2 F' D2 B2 U' F2
B R2 F' L2 F2 U F
B R2 F2 L2 F' U F
L2 D R2 U2 F' B' U'
L2 D R2 U2 B' F' U'
F' U L2 F2 B U F
F' U L2 B F2 U F
L2 D B R2 U D L2
L2 D B R2 U2 B2 U'
L2 D B R2 D U L2
L2 D B R2 D2 F2 U
L2 D B2 R2 F' B' U
L2 D B2 R2 B' F' U
F2 U D2 R2 F' B U'
F2 U D2 R2 B F' U'
R' D' L2 B' U' B' R'
F U F U' L2 B U
F U F U' B L2 U
R2 D' L2 F' B' U' B'
R2 D' L2 B' F' U' B'
F U F B' D' R2 B2
F U F B' D' B2 R2
B U F' D' L2 F' B2
B U F' D' L2 B2 F'
B U F' D' F' L2 B2
B U F' D' F' B2 L2
B U F' D' B2 L2 F'
B U F' D' B2 F' L2
F' U B L2 F2 U F
B U F2 U' L2 F' U
B U F2 U' F' L2 U
F U B L2 U L2 F
F U B' D' R2 F B2
F U B' D' R2 B2 F
F U B' D' F R2 B2
F U B' D' F B2 R2
F U B' D' B2 R2 F
F U B' D' B2 F R2
F U B' F D' R2 B2
F U B' F D' B2 R2
F2 U' L F' L B U
F2 U' L' B L' F' U
F2 U' L2 D F' B U
F2 U' L2 D B F' U
F2 U' L2 D' F' B U
F2 U' L2 D' B F' U
F' U' L2 F2 B U F
F2 U' L2 D2 F' B U
F2 U' L2 D2 B F' U
F' U' L2 B F2 U F
F2 U' L2 F' D B U
F2 U' L2 F' D' B U
F2 U' L2 F' D2 B U
F2 U' L2 F' B U D
F2 U' L2 F' B U D'
F2 U' L2 F' B U D2
F2 U' L2 F' B D U
F2 U' L2 F' B D' U
F2 U' L2 F' B D2 U
F2 U' L2 B D F' U
F2 U' L2 B D' F' U
F2 U' L2 B D2 F' U
F2 U' L2 B F' U D
F2 U' L2 B F' U D'
F2 U' L2 B F' U D2
F2 U' L2 B F' D U
F2 U' L2 B F' D' U
F2 U' L2 B F' D2 U
L2 D' B U D L2 F2
L2 D' B U D F2 L2
L2 D' B U2 L2 B2 U'
L2 D' B U2 B2 L2 U'
L2 D' B D U L2 F2
L2 D' B D U F2 L2
L2 D' B D2 R2 F2 U
L2 D' B D2 F2 R2 U
F2 U' D' F' B U B
F2 U' D' B F' U B
F2 U' F L2 F2 B U
F2 U' F L2 B F2 U
F2 U' F B L2 F2 U
F2 U' F' L' B L' U
F2 U' F' L2 D B U
F2 U' F' L2 D' B U
F2 U' F' L2 D2 B U
F2 U' F' L2 B U D
F2 U' F' L2 B U D'
F2 U' F' L2 B U D2
F2 U' F' L2 B D U
F2 U' F' L2 B D' U
F2 U' F' L2 B D2 U
F2 U' F' D' B U B
F2 U' F' B L2 U D
F2 U' F' B L2 U D'
F2 U' F' B L2 U D2
F2 U' F' B L2 D U
F2 U' F' B L2 D' U
F2 U' F' B L2 D2 U
F2 U' F' B U D' B2
F2 U' F' B D' U B2
F2 U' F' B' L2 B2 U
F' U' B L2 F2 U F
F2 U' B L F' L U
F2 U' B L2 D F' U
F2 U' B L2 D' F' U
F2 U' B L2 D2 F' U
F2 U' B L2 F' U D
F2 U' B L2 F' U D'
F2 U' B L2 F' U D2
F2 U' B L2 F' D U
F2 U' B L2 F' D' U
F2 U' B L2 F' D2 U
F2 U' B D' F' U B2
F2 U' B F L2 F2 U
F2 U' B F' L2 U D
F2 U' B F' L2 U D'
F2 U' B F' L2 U D2
F2 U' B F' L2 D U
F2 U' B F' L2 D' U
F2 U' B F' L2 D2 U
F2 U' B F' U D' B2
F2 U' B F' D' U B2
F2 U' B' L2 F' B2 U
F2 U' B' L2 B2 F' U
F2 U' B' F' L2 B2 U
F' U2 L2 F2 B U F
F' U2 L2 B F2 U F
B U2 D' L2 B' U' B'
R' F L2 U' B' U2 R'
U' F L2 B U D2 F2
U' F L2 B U' B2 U2
U' F L2 B D' R2 U
U' F L2 B D2 U F2
F U2 D2 R2 F' U' F2
U2 F L2 B U D2 F2
U2 F L2 B U' B2 U2
U2 F L2 B D' R2 U
U2 F L2 B D2 U F2
F2 U2 F' B L2 U F
D F L2 B R2 U B2
U F L2 B U D2 F2
U F L2 B U' B2 U2
U F L2 B D' R2 U
U F L2 B D2 U F2
F' U2 B L2 F2 U F
F2 U2 B L2 F' U F2
F2 U2 B F' L2 U F
R' F U D' F R B2
R' F U D' F B2 R
R' F U D' B2 F R
R' F U F R D' B2
R' F U F D' R B2
R' F U F D' B2 R
D' F D L2 B U F2
D' F D B L2 U F2
R' F D' U F R B2
R' F D' U F B2 R
R' F D' U B2 F R
U' F D' B U F B
U' F D' B U B F
D2 F D2 L2 B U F2
U2 F D' B U F B
U2 F D' B U B F
D2 F D2 B L2 U F2
U' F B L2 U' B' U2
U' F B U D' F B2
U' F B U D' B2 F
U' F B U F D' B2
D' F B U D F2 B
D' F B U D B F2
D' F B U B D F2
U' F B D' U F B2
U' F B D' U B2 F
D' F B U2 L2 U' B
D2 F B U2 R2 U' F'
U F D' B U F B
U F D' B U B F
D' F B D U F2 B
D' F B D U B F2
U2 F B L2 U' B' U2
U2 F B U D' F B2
U2 F B U D' B2 F
L2 F B U D F L2
U2 F B U F D' B2
L2 F B U F D L2
L2 F B U2 B2 U' F
L2 F B D U F L2
U2 F B D' U F B2
U2 F B D' U B2 F
D F B L2 R2 U B'
L2 F B D2 F2 U F'
D F B R2 L2 U B'
D F B R2 U' F U2
U F B L2 U' B' U2
U F B U D' F B2
U F B U D' B2 F
U F B U F D' B2
B D R2 D' F L2 U
B D R2 D2 F U B2
B D R2 F L2 U B'
B D R2 F U' F U2
U F B D' U F B2
U F B D' U B2 F
U' F' L2 F2 B U F
U' F' L2 B F2 U F
R' F' L2 F2 U F R
B D F L2 R2 U B'
B D F R2 L2 U B'
B D F R2 U' F U2
U2 F' L2 F2 B U F
U2 F' L2 B F2 U F
B D F' R2 F2 U B
U F' L2 F2 B U F
U F' L2 B F2 U F
F D B U D2 F B2
F D B U D2 B2 F
F D B U' F2 U2 F'
F D B D2 U F B2
F D B D2 U B2 F
R2 F' U' D' L2 F' B2
R2 F' U' D' L2 B2 F'
R2 F' U' D' F' L2 B2
R2 F' U' D' F' B2 L2
R2 F' U' D' B2 L2 F'
R2 F' U' D' B2 F' L2
R2 F' U2 L2 F2 U F
B' D' L2 B' U' R2 B'
B' D' L2 B' U' B' R2
B2 D' L2 F B' U' B'
B2 D' L2 B' F U' B'
R2 F' D' U' L2 F' B2
R2 F' D' U' L2 B2 F'
R2 F' D' U' F' L2 B2
R2 F' D' U' F' B2 L2
R2 F' D' U' B2 L2 F'
R2 F' D' U' B2 F' L2
U' F' B L2 F2 U F
R F' D' L2 F' R B2
R F' D' L2 F' B2 R
R F' D' L2 B2 F' R
R F' D' F' L2 R B2
R F' D' F' L2 B2 R
R F' D' F' R L2 B2
R F' D' F' R B2 L2
U2 F' B L2 F2 U F
R F' D' F' B2 L2 R
R F' D' F' B2 R L2
R F' D' B2 L2 F' R
L2 F' B U D L2 F'
L2 F' B U D F' L2
L2 F' B U F' D L2
R F' D' B2 F' L2 R
R F' D' B2 F' R L2
L2 F' B U2 B2 U' F'
L2 F' B D U L2 F'
L2 F' B D U F' L2
F D' R' U F R B2
F D' R' U F B2 R
F D' R' U B2 F R
L2 F' B D2 F2 U F
D F' B R2 F2 U B
U F' B L2 F2 U F
F2 D' U' F' B U B
F2 D' U' B F' U B
B D' U2 L2 B' U' B'
U' F2 L2 F' B U F
U' F2 L2 B F' U F
R' F2 L2 F' U F R
B D' F U B2 D F2
B D' F U2 L2 U' B2
U2 F2 L2 F' B U F
B D' F D L2 U F2
U2 F2 L2 B F' U F
R2 F2 L2 F' B' U F
F2 D' F' B U F B
F2 D' F' B U B F
R2 F2 L2 B' F' U F
U F2 L2 F' B U F
U F2 L2 B F' U F
F' D' B U L2 F' B
F' D' B U L2 B F'
F' D' B U F' L2 B
F' D' B U F' B L2
F' D' B U B L2 F'
F' D' B U B F' L2
F2 D' B F' U F B
F2 D' B F' U B F
F D' B U D F B
F D' B U D B F
F D' B U D' F B
F D' B U D' B F
F D' B U D2 F B
F D' B U D2 B F
F D' B U F D B
F D' B U F D' B
F D' B U F D2 B
F D' B U F B D
F D' B U F B D'
F D' B U F B D2
F D' B U B D F
F D' B U B D' F
F D' B U B D2 F
F D' B U B F D
F D' B U B F D'
F D' B U B F D2
F' D' B2 L2 F' D R2
U' F2 U' L2 F' B U
U' F2 U' L2 B F' U
F D' B D U F B
F D' B D U B F
F D' B D' U F B
F D' B D' U B F
F D' B D2 U F B
F D' B D2 U B F
U' F2 U' F' L2 B U
U' F2 U' F' B L2 U
U' F2 U' B L2 F' U
U' F2 U' B F' L2 U
F2 D' B2 U' F' B' U
F2 D' B2 U' B' F' U
U2 F2 U' L2 F' B U
U2 F2 U' L2 B F' U
D F2 U F' B R2 U
D F2 U B F' R2 U
R2 F2 U' L2 F' B' U
R2 F2 U' L2 B' F' U
U2 F2 U' F' L2 B U
U2 F2 U' F' B L2 U
U2 F2 U' B L2 F' U
U2 F2 U' B F' L2 U
U F2 U' L2 F' B U
U F2 U' L2 B F' U
U F2 U' F' L2 B U
U F2 U' F' B L2 U
U F2 U' B L2 F' U
U F2 U' B F' L2 U
U' F2 B L2 F' U F
U2 F2 B L2 F' U F
L2 F2 B D2 F2 U F2
F2 D2 R2 F' B U' F
F2 D2 R2 B F' U' F
U F2 B L2 F' U F
F2 D2 U R2 F' B U'
F2 D2 U R2 B F' U'
L' B L' U2 B' U' F2
U' B L2 U2 B' U' F2
F D2 U2 R2 F' U' F2
U2 B L2 U2 B' U' F2
B D2 F D2 L2 U F2
L2 B R U F2 D L2
L2 B R U2 B2 U' F2
L2 B R D R2 U L2
U B L2 U2 B' U' F2
L2 B R' U F2 D L2
L2 B R' U2 B2 U' F2
L2 B R' D R2 U L2
L2 B R2 U F2 D L2
L2 B R2 U2 B2 U' F2
L2 B R2 D R2 U L2
F D2 B U D F B2
F D2 B U D B2 F
F D2 B U F D B2
L2 B U L F2 D L2
L2 B U L' F2 D L2
D B R2 D' F L2 U
F D2 B U2 R2 U' F
L2 B U L2 F2 D L2
D B R2 D2 F U B2
F D2 B D U F B2
F D2 B D U B2 F
D B R2 F L2 U B'
D B R2 F U' F U2
L2 B U D L2 D' F2
L2 B U F D F L2
L2 B U F' D L2 F'
L2 B U F' D F' L2
L2 B U F2 L D L2
L2 B U F2 L' D L2
L2 B U F2 L2 D L2
L2 B U F2 U B2 U'
L2 B U F2 D L2 D
L2 B U F2 D L2 D'
L2 B U F2 D L2 D2
D' B U2 L2 B' U' B2
L2 B U2 L B2 U' F2
L2 B U2 L' B2 U' F2
L2 B U2 L2 B2 U' F2
D' B D F U F B
D' B D F U B F
L2 B U2 B2 L U' F2
L2 B U2 B2 L' U' F2
L2 B U2 B2 L2 U' F2
L2 B U2 B2 U' F2 D
L2 B U2 B2 U' F2 D'
L2 B U2 B2 U' F2 D2
L2 B U2 B2 D' L2 U'
F' B L2 U D' L2 F'
F' B L2 U D' F' L2
F' B L2 D' U L2 F'
F' B L2 D' U F' L2
L2 B D R2 U L2 D
L2 B D R2 U L2 D'
L2 B D R2 U L2 D2
L2 B D R2 D F2 U
L2 B D R2 F U L2
L2 B D R2 F' U L2
L2 B D R2 F2 U L2
L2 B D U L2 D' F2
B' F L2 B2 R2 U F'
B' F L2 B2 U' B U2
L2 B D F R2 U L2
F' B L2 F2 R U F
F' B L2 F2 R' U F
F' B L2 F2 R2 U F
F' B L2 F2 U D F
F' B L2 F2 U D' F
F' B L2 F2 U D2 F
F' B L2 F2 U F D
F' B L2 F2 U F D'
F' B L2 F2 U F D2
F2 B L2 D F' U F
F' B L2 F2 D U F
F' B L2 F2 D' U F
F' B L2 F2 D2 U F
L2 B D F' R2 U L2
F2 B L2 D' F' U F
L2 B D F2 R2 U L2
F2 B L2 D2 F' U F
F2 B L2 F' R U F
F2 B L2 F' R' U F
F2 B L2 F' R2 U F
F2 B L2 F' U D F
F2 B L2 F' U D' F
F2 B L2 F' U D2 F
F2 B L2 F' U F D
F2 B L2 F' U F D'
F2 B L2 F' U F D2
F2 B L2 F' D U F
F2 B L2 F' D' U F
F2 B L2 F' D2 U F
B F L2 R U' B' U2
B F L2 R' U' B' U2
B F L2 R2 U' B' U2
B F L2 U L2 F L2
B F L2 U' D B' U2
B F L2 U' D' B' U2
B F L2 U' D2 B' U2
B F L2 U' B' U2 D
B F L2 U' B' U2 D'
B F L2 U' B' U2 D2
B F L2 U' B' D U2
B F L2 U' B' D' U2
B F L2 U' B' D2 U2
B F L2 U2 L2 U' F
B F L2 D U' B' U2
B F L2 D' U' B' U2
F B L2 R U' B' U2
B F L2 D2 U' B' U2
F B L2 R' U' B' U2
F B L2 R2 U' B' U2
F B L2 U L2 F L2
F B L2 U' D B' U2
F B L2 U' D' B' U2
F B L2 U' D2 B' U2
F B L2 U' B' U2 D
F B L2 U' B' U2 D'
F B L2 U' B' U2 D2
F B L2 U' B' D U2
F B L2 U' B' D' U2
F B L2 U' B' D2 U2
F B L2 U2 L2 U' F
F B L2 D U' B' U2
U' B F L2 U' B' U2
F B L2 D' U' B' U2
F B L2 D2 U' B' U2
B F R L2 U' B' U2
B F R U D' F B2
B F R U D' B2 F
B F R U F D' B2
U' B F U D' F B2
U' B F U D' B2 F
U' B F U F D' B2
B F R D' U F B2
B F R D' U B2 F
U' B F D' U F B2
U' B F D' U B2 F
D' B F U D F2 B
D' B F U D B F2
D' B F U B D F2
F B R L2 U' B' U2
D2 B F U2 R2 U' F'
D' B F U2 L2 U' B
L2 B D2 F2 U D2 F2
F B R U D' F B2
F B R U D' B2 F
L2 B D2 F2 U' B2 U2
F B R U F D' B2
L2 B D2 F2 D' R2 U
L2 B D2 F2 D2 U F2
D' B F D U F2 B
D' B F D U B F2
U' B F' L2 F2 U F
F B R D' U F B2
F B R D' U B2 F
U2 B F L2 U' B' U2
B F R' L2 U' B' U2
B F R' U D' F B2
B F R' U D' B2 F
B F R' U F D' B2
U2 B F U D' F B2
U2 B F U D' B2 F
L2 B F U D F L2
U2 B F U F D' B2
L2 B F U F D L2
B F R' D' U F B2
B F R' D' U B2 F
L2 B F U2 B2 U' F
L2 B F D U F L2
U' B F2 L2 F' U F
F B R' L2 U' B' U2
U2 B F D' U F B2
U2 B F D' U B2 F
F B R' U D' F B2
F B R' U D' B2 F
F B R' U F D' B2
D B F L2 R2 U B'
L2 B F D2 F2 U F'
D B F R2 L2 U B'
D B F R2 U' F U2
B' F U D' R2 F B2
B' F U D' R2 B2 F
B' F U D' F R2 B2
B' F U D' F B2 R2
U2 B F' L2 F2 U F
B' F U D' B2 R2 F
F B R' D' U F B2
B' F U D' B2 F R2
F B R' D' U B2 F
B' F U F D' R2 B2
B' F U F D' B2 R2
B F R2 L2 U' B' U2
B F R2 U D' F B2
B F R2 U D' B2 F
B F R2 U F D' B2
L2 B F' U D L2 F'
L2 B F' U D F' L2
L2 B F' U F' D L2
F' B U D' L2 F' B2
F' B U D' L2 B2 F'
F' B U D' F' L2 B2
F' B U D' F' B2 L2
F' B U D' B2 L2 F'
F' B U D' B2 F' L2
L2 B F' U2 B2 U' F'
U B F L2 U' B' U2
L2 B F' D U L2 F'
L2 B F' D U F' L2
B F R2 D' U F B2
B F R2 D' U B2 F
L2 B F' D2 F2 U F
F B R2 L2 U' B' U2
U B F U D' F B2
U B F U D' B2 F
U B F U F D' B2
F B R2 U D' F B2
F B R2 U D' B2 F
F B R2 U F D' B2
U2 B F2 L2 F' U F
D B F' R2 F2 U B
F B R2 D' U F B2
U B F D' U F B2
F B R2 D' U B2 F
U B F D' U B2 F
U B F' L2 F2 U F
L2 B F2 D2 F2 U F2
B F U D' F B2 D
B F U D' F B2 D'
B F U D' F B2 D2
B F U D' B2 D F
B F U D' B2 D' F
B F U D' B2 D2 F
B F U D' B2 F D
B F U D' B2 F D'
B F U D' B2 F D2
B F U D2 F D B2
B F U F U' L2 U
B F U F D' B2 D
B F U F D' B2 D'
B F U F D' B2 D2
B F U F B D' B2
B F U F B' D' B2
B F U F B2 D' B2
B F U F2 D' F' B2
B F U F2 D' B2 F'
B F U B D' F B2
B F U B D' B2 F
B F U B F D' B2
B F U B' D' F B2
B F U B' D' B2 F
B F U B' F D' B2
B F U B2 D' F B2
B F U B2 D' B2 F
B F U B2 F D' B2
F B U D' F B2 D
F B U D' F B2 D'
F B U D' F B2 D2
F B U D' B2 D F
F B U D' B2 D' F
F B U D' B2 D2 F
F B U D' B2 F D
F B U D' B2 F D'
F B U D' B2 F D2
F B U D2 F D B2
U B F2 L2 F' U F
F B U F U' L2 U
F B U F D' B2 D
F B U F D' B2 D'
F B U F D' B2 D2
F B U F B D' B2
F B U F B' D' B2
F B U F B2 D' B2
F B U F2 D' F' B2
F B U F2 D' B2 F'
F B U B D' F B2
F B U B D' B2 F
F B U B F D' B2
F B U B' D' F B2
F B U B' D' B2 F
F B U B' F D' B2
B F U' D F2 U2 F'
F B U B2 D' F B2
F B U B2 D' B2 F
F B U B2 F D' B2
F B U' D F2 U2 F'
B F U2 D2 R2 U' F
B' F D' U R2 F B2
B' F D' U R2 B2 F
B' F D' U F R2 B2
B' F D' U F B2 R2
B' F D' U B2 R2 F
B' F D' U B2 F R2
F B U2 D2 R2 U' F
F' B D' U L2 F' B2
F' B D' U L2 B2 F'
F' B D' U F' L2 B2
F' B D' U F' B2 L2
F' B D' U B2 L2 F'
F' B D' U B2 F' L2
B F D U' F2 U2 F'
F2 B D' F' U F B2
F2 B D' F' U B2 F
B2 F D' B' U F B'
B2 F D' B' U B' F
F B D U' F2 U2 F'
B F D' R U F B2
B F D' R U B2 F
B F D' R' U F B2
B F D' R' U B2 F
B F D' R2 U F B2
B F D' R2 U B2 F
B F D' U F B2 D
B F D' U F B2 D'
B F D' U F B2 D2
B F D' U B2 D F
B F D' U B2 D' F
B F D' U B2 D2 F
B F D' U B2 F D
B F D' U B2 F D'
B F D' U B2 F D2
F B D' R U F B2
F B D' R U B2 F
F B D' R' U F B2
F B D' R' U B2 F
F B D' R2 U F B2
F B D' R2 U B2 F
F B D' U F B2 D
F B D' U F B2 D'
F B D' U F B2 D2
F B D' U B2 D F
F B D' U B2 D' F
F B D' U B2 D2 F
F B D' U B2 F D
F B D' U B2 F D'
F B D' U B2 F D2
B F D2 U F D B2
B F D2 U2 R2 U' F
F B D2 U F D B2
F B D2 U2 R2 U' F
B' F' L2 F2 B2 U F
B' F' L2 B2 F2 U F
F' B' L2 F2 B2 U F
F' B' L2 B2 F2 U F
F2 B' L2 F' B2 U F
F2 B' L2 B2 F' U F
B F' L2 U D' L2 F'
B F' L2 U D' F' L2
B F' L2 D' U L2 F'
B F' L2 D' U F' L2
