U B U L U2 F
R' L U F U' F2 L'
U L B U L U2 F
L R' U F U' F2 L'
R' L' B' U F' L' B
R' L' B' U F' B L'
R' L' B' U B F' L'
L' R' B' U F' L' B
L' R' B' U F' B L'
L' R' B' U B F' L'
U L' B U L U2 F
U L2 B U L U2 F
L2 U D' B U' R' F'
L2 U F' L' F B U'
L2 U F' L' B F U'
L U F B U2 R U
L U F' L' F2 B U'
L U F' L' B F2 U'
L2 U F' B L' F U'
L U F' B L' F2 U'
B R U B L U2 B2
B R U B U2 B2 R'
L2 U B F' L' F U'
L U B F U2 R U
L U B F' L' F2 U'
L' U' R' B' R' F' U
L' U' R2 F' B' R' U
L' U' R2 B' F' R' U
R2 U' F' U F2 R F'
B R' U' F R F2 B'
B R' U' F R B' F2
B R' U' F B' R F2
B R' U' B' F R F2
L' U' B' R' U D L2
L' U' B' R' U2 B2 U'
L' U' B' R' D U L2
L' U' B' R' D2 F2 U
L' U' B' U2 B2 L U'
L' U' B' D R' U L2
L' U' B' D2 R' F2 U
L' U' B' D2 F2 R' U
B R' F2 U' F R B'
B R' F2 U' F B' R
B R' F2 U' B' F R
B R2 U' F R F' B'
B R2 U' F R B' F'
B R2 U' F B' R F'
B R2 U' B' F R F'
U' R2 F' U' L' B' U2
D' U B U L U2 F
D2 U B U L U2 F
D U B U L U2 F
U D B U L U2 F
F' U B U L U2 F
F2 U B U L U2 F
F U B U L U2 F
B2 U B' U' R' F' B'
B2 U B' U' R' B' F'
L2 D' U B U' R' F'
U D' B U L U2 F
B U' F B' R D' F2
B U' B' F R D' F2
U D2 B U L U2 F
U' F R2 F' U R' F'
B' D L2 D' B R' F'
L F B R' U' F' B'
L F B R' U' B' F'
U F' L' B U L U2
U F' B L' U L2 U2
U F' B L' U' D2 R2
U F' B L' D F2 U'
U F' B L' D2 U' R2
L F2 U F' L' B U'
L F2 U F' B L' U'
R2 F2 U' F U R F'
L F2 U B F' L' U'
U' B L F U' R B
U B L2 U L' B' U2
R' B U F' B' L' R'
R' B U F' B' R' L'
L B R' F U' F2 B'
L B R' F U' B' F2
R' B U B' F' L' R'
R' B U B' F' R' L'
U B U L U2 D F
U B U L U2 D' F
U B U L U2 D2 F
U B U L U2 F D
U B U L U2 F D'
U B U L U2 F D2
U B U L D U2 F
U B U L D' U2 F
U B U L D2 U2 F
U B U L B U2 F
U B U L B' U2 F
U B U L B2 U2 F
U B U L' B' L2 U2
U B U D L U2 F
U B U D' L U2 F
U B U D2 L U2 F
U B U B2 U2 R' F'
U B U' B2 R' F' B2
U B U' B2 R' B2 F'
U B D U L U2 F
U B D' U L U2 F
U B D2 U L U2 F
L B F R' U' F' B'
L B F R' U' B' F'
U B F' L' U L2 U2
U B F' L' U' D2 R2
U B F' L' D F2 U'
U B F' L' D2 U' R2
U B' U' R' D L2 F'
U B' U' R' D F' L2
U B' U' R' F' D L2
U B' U' D L2 R' F'
U B' U' D R' L2 F'
U B' U' D R' F' L2
U B' D U' L2 R' F'
U B' D U' R' L2 F'
U B' D U' R' F' L2
U' B2 U2 B' L U' R'
U2 B2 U' B' U' R' F'
